Well_Plate,Stage,StageAJC,Green530,Red585
A4_355,G1,G1,-4.106003292,-2.057374879
A5_355,G1,G1,-4.300824174,-3.360924593
A7_355,G1,G1,-4.145866346,-3.436092645
A9_355,G1,G1,-4.25817174,-2.518940727
A20_355,G1,G1,-4.560835563,-3.281665614
A21_355,G1,G1,-3.988125904,-2.491098525
A22_355,G1,G1,-4.370448864,-3.2877721
B8_355,G1,G1,-4.282742167,-2.299834872
B9_355,G1,G1,-4.351737209,-3.078832598
B13_355,G1,G1,-4.622866529,-3.466149491
B16_355,G1,G1,-4.622554783,-3.465911735
B17_355,G1,G1,-4.495359295,-3.519472209
B19_355,G1,G1,-4.370396266,-3.350787781
B23_355,G1,G1,-3.966845424,-2.259269431
C8_355,G1,G1,-4.410497653,-2.93697807
C13_355,G1,G1,-3.770509594,-2.144370295
C16_355,G1,G1,-4.052008437,-2.153619062
C20_355,G1,G1,-3.69761213,-2.152431926
C24_355,G1,G1,-4.352537529,-2.96635687
D2_355,G1,G1,-4.161987423,-2.948056777
D9_355,G1,G1,-4.664580198,-3.113302246
D11_355,G1,G1,-4.464406892,-3.419085975
D12_355,G1,G1,-4.390675648,-3.051339532
D14_355,G1,G1,-4.142858551,-2.876189959
D18_355,G1,G1,-4.136916238,-2.256403382
D19_355,G1,G1,-3.979864166,-2.611787657
D21_355,G1,G1,-4.267851981,-2.950709589
D23_355,G1,G1,-4.152726033,-2.682410554
E1_355,G1,G1,-3.985183603,-2.021504514
E3_355,G1,G1,-4.407118854,-2.338605261
E4_355,G1,G1,-3.967684097,-2.117973572
E6_355,G1,G1,-4.372190883,-2.976971002
E8_355,G1,G1,-4.444378413,-3.306810896
E12_355,G1,G1,-4.703231175,-3.725098826
E13_355,G1,G1,-3.647066397,-2.12231125
E14_355,G1,G1,-4.002445418,-2.019838743
F1_355,G1,G1,-4.079304882,-2.654642096
F2_355,G1,G1,-4.505143946,-2.884059562
F14_355,G1,G1,-3.86677095,-2.709857165
F20_355,G1,G1,-4.124155214,-2.813178569
F22_355,G1,G1,-4.059874446,-2.630049375
F24_355,G1,G1,-3.736315147,-2.330054044
G7_355,G1,G1,-4.117986098,-2.829752299
G13_355,G1,G1,-4.231019698,-2.755009404
G16_355,G1,G1,-3.770783918,-1.836306376
G20_355,G1,G1,-4.000134044,-2.705059697
G22_355,G1,G1,-3.867872187,-2.468851445
G24_355,G1,G1,-3.960649596,-2.255362974
H7_355,G1,G1,-4.217921056,-3.071243592
H9_355,G1,G1,-4.126107045,-2.726965319
H11_355,G1,G1,-4.099227549,-2.648133281
H17_355,G1,G1,-3.955043222,-2.296749295
H19_355,G1,G1,-4.165975239,-2.820338047
H21_355,G1,G1,-3.716414315,-2.302785857
H22_355,G1,G1,-4.154404408,-2.224944482
H23_355,G1,G1,-3.795297672,-1.848438075
I2_355,G1,G1,-3.780518055,-2.361079958
I4_355,G1,G1,-3.736737252,-1.89996706
I5_355,G1,G1,-3.73208759,-1.904251721
I8_355,G1,G1,-4.322552356,-2.409425172
I15_355,G1,G1,-4.178401342,-3.040646286
I18_355,G1,G1,-4.248897305,-3.014657976
J2_355,G1,G1,-4.10958893,-2.836110398
J12_355,G1,G1,-3.577328047,-1.486079322
J13_355,G1,G1,-4.221483789,-3.018461459
J15_355,G1,G1,-4.221341777,-3.143795204
J16_355,G1,G1,-3.890641596,-2.419919051
J18_355,G1,G1,-4.127920176,-2.555952419
J19_355,G1,G1,-3.89023859,-2.523970918
J21_355,G1,G1,-3.355990535,-1.755433074
K3_355,G1,G1,-4.037356,-3.054632694
K4_355,G1,G1,-3.521797869,-1.625672057
K6_355,G1,G1,-4.190633576,-2.63049836
K9_355,G1,G1,-3.854670332,-2.120392231
K10_355,G1,G1,-3.669797632,-1.941701564
K12_355,G1,G1,-3.498573392,-1.670081264
K14_355,G1,G1,-4.282078055,-2.084118594
K15_355,G1,G1,-4.420064721,-3.042138987
K18_355,G1,G1,-3.547155791,-1.683128844
K21_355,G1,G1,-3.538145586,-1.71765712
K24_355,G1,G1,-3.864284172,-2.467885462
L1_355,G1,G1,-3.672854193,-1.825174232
L2_355,G1,G1,-3.726039389,-2.255365293
L3_355,G1,G1,-3.745252279,-2.491314601
L7_355,G1,G1,-3.804645091,-2.287087733
L9_355,G1,G1,-3.611302027,-2.177344492
L15_355,G1,G1,-4.014967051,-2.731069503
L17_355,G1,G1,-3.764977965,-2.273076646
L19_355,G1,G1,-3.419290784,-1.734079122
M1_355,G1,G1,-3.747502438,-2.490386025
M2_355,G1,G1,-3.745694893,-1.996899966
M4_355,G1,G1,-4.097721385,-2.83160449
M5_355,G1,G1,-3.63387665,-1.703629444
M7_355,G1,G1,-4.041225954,-2.462776339
M9_355,G1,G1,-3.40849436,-1.498525924
M10_355,G1,G1,-3.837976028,-2.488856402
M16_355,G1,G1,-4.008855564,-2.644791486
M17_355,G1,G1,-3.589799099,-1.750944988
M18_355,G1,G1,-3.67272963,-1.542581687
M22_355,G1,G1,-3.846166949,-2.3049567
N1_355,G1,G1,-3.511327108,-1.68797462
N2_355,G1,G1,-3.436913524,-1.455312716
N3_355,G1,G1,-3.452016566,-1.70775305
N4_355,G1,G1,-3.537287875,-1.390379242
N5_355,G1,G1,-3.694742265,-1.653944338
N6_355,G1,G1,-3.694616166,-2.172849823
N7_355,G1,G1,-3.285864549,-1.835713542
N8_355,G1,G1,-3.318777048,-1.290451134
N9_355,G1,G1,-3.643063172,-2.031666756
N10_355,G1,G1,-3.450969035,-1.789159968
N11_355,G1,G1,-3.721936957,-2.336634817
N12_355,G1,G1,-3.721783145,-1.586134991
N13_355,G1,G1,-3.406430288,-2.018312407
N14_355,G1,G1,-3.721618285,-2.01220823
N15_355,G1,G1,-3.535811288,-1.581269454
N16_355,G1,G1,-3.353388594,-1.486176423
N17_355,G1,G1,-3.642057625,-1.505067551
N18_355,G1,G1,-3.855744862,-2.108434258
N19_355,G1,G1,-3.783095119,-1.936707707
N20_355,G1,G1,-3.574758619,-2.395341204
N21_355,G1,G1,-3.46554257,-1.780887115
N22_355,G1,G1,-3.328588958,-1.122697625
N23_355,G1,G1,-3.180638597,-1.018185477
N24_355,G1,G1,-4.051339987,-2.079977386
A4_356,G1,G1,-4.547202714,-3.182372013
A5_356,G1,G1,-4.092223547,-2.700986519
B8_356,G1,G1,-4.314972631,-2.401861731
B13_356,G1,G1,-4.31178246,-2.548451373
C20_356,G1,G1,-3.480711257,-2.502276255
D11_356,G1,G1,-3.193164545,-2.099105442
D18_356,G1,G1,-3.955324939,-2.653522765
D21_356,G1,G1,-4.438863929,-2.816946549
D23_356,G1,G1,-4.258549489,-2.675062748
E3_356,G1,G1,-4.363626752,-3.080037788
E4_356,G1,G1,-3.952998164,-2.038707923
E6_356,G1,G1,-4.664135406,-3.506304227
E8_356,G1,G1,-3.70072129,-2.140012794
F14_356,G1,G1,-4.19809018,-2.49014027
G7_356,G1,G1,-3.577916196,-1.809950625
G13_356,G1,G1,-3.975658131,-2.748391767
G16_356,G1,G1,-4.502521002,-2.586632761
G20_356,G1,G1,-4.081887139,-1.8139463
I2_356,G1,G1,-3.429348473,-1.650246516
I18_356,G1,G1,-4.137177717,-2.571572303
J2_356,G1,G1,-4.163097125,-2.801915908
J15_356,G1,G1,-4.462699902,-3.663152465
J18_356,G1,G1,-4.329235116,-2.345902623
J21_356,G1,G1,-4.317755252,-2.817147678
K6_356,G1,G1,-3.379161493,-2.024193668
K21_356,G1,G1,-3.453447254,-2.436305249
L2_356,G1,G1,-3.811349514,-2.199835187
L9_356,G1,G1,-3.895656499,-2.040810596
M4_356,G1,G1,-3.962144316,-2.643095155
M5_356,G1,G1,-3.802584598,-2.125404614
M9_356,G1,G1,-3.863305862,-1.659593398
M17_356,G1,G1,-4.094775492,-2.561659096
N1_356,G1,G1,-3.899316998,-2.666495695
N2_356,G1,G1,-3.264911127,-1.334660509
N3_356,G1,G1,-3.597294705,-2.074305725
N4_356,G1,G1,-3.751960592,-2.409981402
N5_356,G1,G1,-3.500038774,-1.304281139
N6_356,G1,G1,-3.57568258,-1.946320258
N7_356,G1,G1,-3.856371819,-2.659119258
N8_356,G1,G1,-3.466285316,-1.897835473
N9_356,G1,G1,-3.466224844,-1.855665337
N10_356,G1,G1,-3.225342282,-1.590298679
N11_356,G1,G1,-3.855898935,-2.205113208
N12_356,G1,G1,-3.516821724,-1.853577094
N13_356,G1,G1,-3.942729898,-2.165796065
N14_356,G1,G1,-3.465476487,-1.819796947
N15_356,G1,G1,-3.855397997,-2.039867158
N16_356,G1,G1,-3.215400703,-1.418146132
N17_356,G1,G1,-4.118430077,-2.494038581
N18_356,G1,G1,-3.617563135,-2.037637738
N19_356,G1,G1,-3.419162396,-1.124142337
N20_356,G1,G1,-3.720087604,-1.675625609
N21_356,G1,G1,-4.050915319,-2.839742599
N22_356,G1,G1,-3.895930583,-2.677099777
N23_356,G1,G1,-3.223794091,-1.237416362
N24_356,G1,G1,-3.854444066,-2.182625213
A9_357,G1,G1,-3.24213468,-2.309099541
A22_357,G1,G1,-3.076507297,-2.592563956
B9_357,G1,G1,-4.232290459,-2.39161201
B16_357,G1,G1,-4.587588752,-2.791441486
C16_357,G1,G1,-4.421476416,-3.210735055
C20_357,G1,G1,-4.350446009,-2.758291204
D11_357,G1,G1,-4.241227029,-2.562401844
D12_357,G1,G1,-3.117536726,-2.027887519
D14_357,G1,G1,-3.602057057,-2.126971081
D21_357,G1,G1,-3.041739139,-2.479048736
E4_357,G1,G1,-4.130071734,-2.904308484
E6_357,G1,G1,-4.27454423,-2.678727289
F1_357,G1,G1,-4.023120367,-2.088195953
F20_357,G1,G1,-3.13752891,-2.197967943
F22_357,G1,G1,-3.459470672,-1.361268308
G16_357,G1,G1,-3.86408709,-2.32945174
G20_357,G1,G1,-4.104359058,-2.233801117
G24_357,G1,G1,-3.829854602,-2.485145491
H9_357,G1,G1,-4.292918087,-2.741966683
