hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,mean_padj,cilow_padj,ciupp_padj,mean_pval,cilow_pval,ciupp_pval,mean_sim,sem_sim
LAP3,18449,extracellular exosome,GO:0070062,cellular component,10.0,33.0,4.460e-02,3.446e-02,5.771e-02,2.006e-02,1.466e-02,2.747e-02,8.777e-01,6.384e-03
LAP3,18449,focal adhesion,GO:0005925,cellular component,10.0,11.0,4.460e-02,3.446e-02,5.771e-02,2.059e-02,8.147e-03,5.203e-02,8.719e-01,1.779e-02
LAP3,18449,midbody,GO:0030496,cellular component,10.0,26.0,4.509e-02,3.364e-02,6.043e-02,3.473e-02,2.650e-02,4.550e-02,8.256e-01,6.610e-03
LAP3,18449,cytosol,GO:0005829,cellular component,10.0,78.0,4.509e-02,3.364e-02,6.043e-02,4.066e-02,3.080e-02,5.368e-02,8.091e-01,7.410e-03
LAP3,18449,nucleus,GO:0005634,cellular component,10.0,151.0,4.509e-02,3.364e-02,6.043e-02,4.267e-02,2.921e-02,6.232e-02,8.038e-01,1.027e-02
LAP3,18449,nucleoplasm,GO:0005654,cellular component,10.0,74.0,4.509e-02,3.364e-02,6.043e-02,4.439e-02,3.424e-02,5.756e-02,7.995e-01,7.029e-03
CREBBP,2348,"positive regulation of transcription, DNA-templated",GO:0045893,biological process,50.0,41.0,4.781e-02,2.640e-02,8.659e-02,9.023e-03,5.176e-03,1.573e-02,9.292e-01,6.462e-03
CREBBP,2348,protein destabilization,GO:0031648,biological process,50.0,2.0,5.044e-02,2.786e-02,9.134e-02,1.684e-02,5.477e-03,5.179e-02,8.864e-01,1.978e-02
CREBBP,2348,cellular response to UV,GO:0034644,biological process,50.0,12.0,5.299e-02,3.304e-02,8.500e-02,2.747e-02,2.081e-02,3.625e-02,8.489e-01,6.596e-03
CREBBP,2348,"regulation of transcription, DNA-templated",GO:0006355,biological process,50.0,36.0,5.299e-02,3.304e-02,8.500e-02,2.913e-02,1.346e-02,6.308e-02,8.421e-01,1.896e-02
CREBBP,2348,positive regulation of transforming growth factor beta receptor signaling pathway,GO:0030511,biological process,50.0,4.0,6.302e-02,3.437e-02,1.155e-01,4.882e-02,2.939e-02,8.109e-02,7.884e-01,1.376e-02
CREBBP,2348,negative regulation of transcription by RNA polymerase II,GO:0000122,biological process,50.0,54.0,7.312e-02,2.946e-02,1.815e-01,5.638e-02,1.807e-02,1.759e-01,7.688e-01,3.145e-02
CREBBP,2348,N-terminal peptidyl-lysine acetylation,GO:0018076,biological process,50.0,4.0,7.839e-02,2.605e-02,2.359e-01,6.997e-02,2.259e-02,2.168e-01,7.425e-01,3.505e-02
