Well,Plate,Variable,Main
A07,6717,TRUE,Cytoplasm
A06,6717,TRUE,Nucleus
A05,6717,TRUE,Nucleus
C10,6717,TRUE,0
D10,6717,TRUE,Nucleus
D06,6717,TRUE,Nucleus
F10,6717,TRUE,Nucleus
G11,6717,TRUE,Nucleus
G07,6717,TRUE,Cytoplasm
H10,6717,TRUE,Cell
H08,6717,TRUE,Cell
H05,6717,TRUE,Nucleus
A05,6718,TRUE,Cytoplasm
C01,6718,TRUE,Nucleus
G08,6718,TRUE,Nucleus
H07,6718,TRUE,Nucleus
H02,6718,TRUE,Nucleus
A01,6719,TRUE,Cytoplasm
C05,6719,TRUE,Nucleus
F02,6719,TRUE,Cell
G01,6719,TRUE,Nucleus
H06,6719,TRUE,Nucleus
A08,6720,TRUE,Nucleus
B09,6720,TRUE,Nucleus
B07,6720,TRUE,Cytosol
B02,6720,TRUE,Cytosol
C10,6720,TRUE,Cell
C05,6720,TRUE,Nucleus
C03,6720,TRUE,Nucleus
C02,6720,TRUE,Cell
C01,6720,TRUE,Nucleus
D09,6720,TRUE,Cytosol
D07,6720,TRUE,Cell
D06,6720,TRUE,Cytosol
D02,6720,TRUE,Nucleus
E08,6720,TRUE,Cell
E05,6720,TRUE,Nucleus
E03,6720,TRUE,Nucleus
E02,6720,TRUE,Cell
F08,6720,TRUE,Cytosol
F01,6720,TRUE,Cytosol
G07,6720,TRUE,Cytosol
G02,6720,TRUE,Cell
H08,6720,TRUE,Cell
H05,6720,TRUE,Cell
H02,6720,TRUE,Cell
B11,6721,TRUE,Cytoplasm
E01,6721,TRUE,Cytoplasm
H11,6721,TRUE,Cytoplasm
A10,6722,TRUE,Nucleus
B10,6722,TRUE,Nucleus
B01,6722,TRUE,Nucleus
C06,6722,TRUE,Nucleus
D05,6722,TRUE,Nucleus
E09,6722,TRUE,Cell
E04,6722,TRUE,Nucleus
F03,6722,TRUE,Cytoplasm
B12,6724,TRUE,Cell
B09,6724,TRUE,Cell
B05,6724,TRUE,Cell
B04,6724,TRUE,Cell
B02,6724,TRUE,Nucleus
C12,6724,TRUE,Cell
C05,6724,TRUE,Cell
C04,6724,TRUE,Cell
C03,6724,TRUE,Nucleus
C02,6724,TRUE,Nucleus
D12,6724,TRUE,Cyto
D04,6724,TRUE,Cell
D03,6724,TRUE,Nucleus
D02,6724,TRUE,Cell
D01,6724,TRUE,Nucleus
E09,6724,TRUE,Cyto
E08,6724,TRUE,Cyto
F04,6724,TRUE,Cell
F01,6724,TRUE,Cell
G07,6724,TRUE,Cell
G04,6724,TRUE,Nucleus
H09,6724,TRUE,Cyto
H06,6724,TRUE,Cyto
H05,6724,TRUE,Nucleus
A08,6725,TRUE,Nucleus
F08,6725,TRUE,Nucleus
A03,6731,TRUE,Nucleus
H04,6731,TRUE,Cytoplasm
E04,6734,TRUE,Nucleus
F05,6734,TRUE,Nucleus
H04,6734,TRUE,Nucleus
B01,6735,TRUE,Nucleus
A12,6736,TRUE,Nucleus
A11,6736,TRUE,Cell
A05,6736,TRUE,Cell
A02,6736,TRUE,Nucleus
A01,6736,TRUE,Nucleus
B08,6736,TRUE,Cell
B06,6736,TRUE,Cell
B05,6736,TRUE,Cyto
B03,6736,TRUE,Nucleus
B01,6736,TRUE,Nucleus
C11,6736,TRUE,Nucleus
C09,6736,TRUE,Nucleus
C07,6736,TRUE,Nucleus
C06,6736,TRUE,Nucleus
C04,6736,TRUE,Nucleus
D11,6736,TRUE,Nucleus
D10,6736,TRUE,Cell
D08,6736,TRUE,Nucleus
D06,6736,TRUE,Nucelus
D05,6736,TRUE,Cell
D03,6736,TRUE,Nucleus
E10,6736,TRUE,Cell
E04,6736,TRUE,Cyto
E03,6736,TRUE,Nucleus
F11,6736,TRUE,Cell
F10,6736,TRUE,Cell
F09,6736,TRUE,Nucleus
F04,6736,TRUE,Nucleus
F03,6736,TRUE,Nucleus
G10,6736,TRUE,Nucleus
G09,6736,TRUE,Cell
G05,6736,TRUE,Cyto
G03,6736,TRUE,Cell
G01,6736,TRUE,Nucleus
A08,6745,TRUE,Nucleus
D04,6745,TRUE,Nucleus
G08,6745,TRUE,Nucleus
A12,6717,FALSE,0
A11,6717,FALSE,0
A10,6717,FALSE,0
A09,6717,FALSE,0
A08,6717,FALSE,0
A04,6717,FALSE,0
A03,6717,FALSE,0
A02,6717,FALSE,0
A01,6717,FALSE,0
B12,6717,FALSE,0
B11,6717,FALSE,0
B10,6717,FALSE,0
