Well,Plate,FOV,UseImage,ImageNum,well_plate_imgnb
A12,6717,1,1,67,A12_6717_67
A11,6717,1,0,61,A11_6717_61
A10,6717,1,1,55,A10_6717_55
A09,6717,1,1,49,A09_6717_49
A08,6717,1,1,43,A08_6717_43
A07,6717,1,1,37,A07_6717_37
A06,6717,1,1,31,A06_6717_31
A05,6717,1,1,25,A05_6717_25
A04,6717,1,1,19,A04_6717_19
A03,6717,1,1,13,A03_6717_13
A02,6717,1,0,7,A02_6717_7
A01,6717,1,0,1,A01_6717_1
B12,6717,1,1,139,B12_6717_139
B11,6717,1,0,133,B11_6717_133
B10,6717,1,1,127,B10_6717_127
B09,6717,1,1,121,B09_6717_121
B08,6717,1,0,115,B08_6717_115
B07,6717,1,1,109,B07_6717_109
B06,6717,1,1,103,B06_6717_103
B05,6717,1,1,97,B05_6717_97
B04,6717,1,0,91,B04_6717_91
B03,6717,1,0,85,B03_6717_85
B02,6717,1,1,79,B02_6717_79
B01,6717,1,1,73,B01_6717_73
C12,6717,1,1,211,C12_6717_211
C11,6717,1,1,205,C11_6717_205
C10,6717,1,1,199,C10_6717_199
C09,6717,1,1,193,C09_6717_193
C08,6717,1,1,187,C08_6717_187
C07,6717,1,1,181,C07_6717_181
C06,6717,1,1,175,C06_6717_175
C05,6717,1,1,169,C05_6717_169
C04,6717,1,1,163,C04_6717_163
C03,6717,1,1,157,C03_6717_157
C02,6717,1,0,151,C02_6717_151
C01,6717,1,0,145,C01_6717_145
D12,6717,1,1,283,D12_6717_283
D11,6717,1,1,277,D11_6717_277
D10,6717,1,1,271,D10_6717_271
D09,6717,1,0,265,D09_6717_265
D08,6717,1,0,259,D08_6717_259
D07,6717,1,0,253,D07_6717_253
D06,6717,1,1,247,D06_6717_247
D05,6717,1,0,241,D05_6717_241
D04,6717,1,0,235,D04_6717_235
D03,6717,1,1,229,D03_6717_229
D02,6717,1,0,223,D02_6717_223
D01,6717,1,0,217,D01_6717_217
E12,6717,1,0,355,E12_6717_355
E11,6717,1,0,349,E11_6717_349
E10,6717,1,0,343,E10_6717_343
E09,6717,1,1,337,E09_6717_337
E08,6717,1,0,331,E08_6717_331
E07,6717,1,1,325,E07_6717_325
E06,6717,1,1,319,E06_6717_319
E05,6717,1,1,313,E05_6717_313
E04,6717,1,0,307,E04_6717_307
E03,6717,1,0,301,E03_6717_301
E02,6717,1,1,295,E02_6717_295
E01,6717,1,1,289,E01_6717_289
F12,6717,1,1,427,F12_6717_427
F11,6717,1,0,421,F11_6717_421
F10,6717,1,1,415,F10_6717_415
F09,6717,1,0,409,F09_6717_409
F08,6717,1,0,403,F08_6717_403
F07,6717,1,1,397,F07_6717_397
F06,6717,1,0,391,F06_6717_391
F05,6717,1,1,385,F05_6717_385
F04,6717,1,1,379,F04_6717_379
F03,6717,1,0,373,F03_6717_373
F02,6717,1,1,367,F02_6717_367
F01,6717,1,0,361,F01_6717_361
G12,6717,1,0,499,G12_6717_499
G11,6717,1,1,493,G11_6717_493
G10,6717,1,1,487,G10_6717_487
G09,6717,1,1,481,G09_6717_481
G08,6717,1,0,475,G08_6717_475
G07,6717,1,1,469,G07_6717_469
G06,6717,1,1,463,G06_6717_463
G05,6717,1,1,457,G05_6717_457
G04,6717,1,1,451,G04_6717_451
G03,6717,1,1,445,G03_6717_445
G02,6717,1,0,439,G02_6717_439
G01,6717,1,1,433,G01_6717_433
H12,6717,1,0,571,H12_6717_571
H11,6717,1,0,565,H11_6717_565
H10,6717,1,1,559,H10_6717_559
H09,6717,1,0,553,H09_6717_553
H08,6717,1,1,547,H08_6717_547
H07,6717,1,0,541,H07_6717_541
H06,6717,1,1,535,H06_6717_535
H05,6717,1,1,529,H05_6717_529
H04,6717,1,1,523,H04_6717_523
H03,6717,1,0,517,H03_6717_517
H02,6717,1,0,511,H02_6717_511
H01,6717,1,1,505,H01_6717_505
A12,6718,1,1,67,A12_6718_67
A11,6718,1,1,61,A11_6718_61
A10,6718,1,0,55,A10_6718_55
A09,6718,1,0,49,A09_6718_49
A08,6718,1,1,43,A08_6718_43
A07,6718,1,1,37,A07_6718_37
A06,6718,1,1,31,A06_6718_31
A05,6718,1,1,25,A05_6718_25
A04,6718,1,1,19,A04_6718_19
A03,6718,1,1,13,A03_6718_13
A02,6718,1,1,7,A02_6718_7
A01,6718,1,0,1,A01_6718_1
B12,6718,1,1,139,B12_6718_139
B11,6718,1,1,133,B11_6718_133
B10,6718,1,1,127,B10_6718_127
B09,6718,1,1,121,B09_6718_121
B08,6718,1,0,115,B08_6718_115
B07,6718,1,0,109,B07_6718_109
