To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
1,A01,A01_6717,HPA001803,DNMT3B,Q9UBC3,13.14,DNA methyltransferase 3 beta,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas);Transcription factors,ENSG00000088305,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,,,
2,B01,B01_6717,HPA003722,OGFOD1,Q8N543,23.72,2-oxoglutarate and iron dependent oxygenase domain containing 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000087263,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
3,C01,C01_6717,HPA004109,TSPAN6,O43657,33.96,tetraspanin 6,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000000003,Diana,,1000: Finished IF,Cytosol - 8: Approved (auto);Nucleoli fibrillar center - 8: Approved (auto);Cell Junctions - 8: Approved (auto),3:Approved,Nucleoli fibrillar center;Cytosol,Cell Junctions,,Cytosol,,,,7:Only bands not corresponding to the predicted size.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.
4,D01,D01_6717,HPA005142,TROVE2,P10155,11.74,TROVE domain family member 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000116747,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Cytosol,Nucleoplasm,,Nucleoplasm,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
5,E01,E01_6717,HPA005811,EPC1,Q9H2F5,13.51,enhancer of polycomb homolog 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000120616,Diana,,11: In IF,Nucleoplasm - no score;Nuclear bodies - no score,,,,,,,,,7:Only bands not corresponding to the predicted size.,,
6,F01,F01_6717,HPA007120,STK3,Q13188,11.83,serine/threonine kinase 3,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000104375,Diana,,1000: Finished IF,Intermediate filaments - 7: Approved (auto);Rods & Rings - 7: Approved (auto),3:Approved,Intermediate filaments;Rods & Rings,,,Intermediate filaments,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
7,G01,G01_6717,HPA007415,WWTR1,Q9GZV5,17.58,WW domain containing transcription regulator 1,Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000018408,Diana,,1000: Finished IF,Nuclear bodies - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Nucleoplasm;Nuclear bodies,Cytosol,,Nuclear bodies,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
8,H01,H01_6717,HPA013322,CELF4,Q9BZC1,0.67,CUGBP Elav-like family member 4,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000101489,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,7:Only bands not corresponding to the predicted size.,,
9,A02,A02_6717,HPA013611,P3H2,Q8IVL5,18.03,prolyl 3-hydroxylase 2,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000090530,Diana,,11: In IF,Golgi apparatus - no score;Nucleoplasm - no score,,,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,2:Band of predicted size in kDa (+/-20%) with additional bands present.
10,B02,B02_6717,HPA016604,TCL1A,P56279,2.99,T cell leukemia/lymphoma 1A,Cancer related proteins;Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100721,Diana,,1000: Finished IF,Cytosol - 7: Approved (manual);Endoplasmic reticulum - 3: Supportive (manual);Nucleoplasm - 7: Approved (manual),2:Supportive,Endoplasmic reticulum;Cytosol,Nucleoplasm,,Nucleoplasm,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,4:No bands detected.
