,ERCC-00002,ERCC-00003,ERCC-00004,ERCC-00009,ERCC-00012,ERCC-00013,ERCC-00014,ERCC-00016,ERCC-00017,ERCC-00019,ERCC-00022,ERCC-00024,ERCC-00025,ERCC-00028,ERCC-00031,ERCC-00033,ERCC-00034,ERCC-00035,ERCC-00039,ERCC-00040,ERCC-00041,ERCC-00042,ERCC-00043,ERCC-00044,ERCC-00046,ERCC-00048,ERCC-00051,ERCC-00053,ERCC-00054,ERCC-00057,ERCC-00058,ERCC-00059,ERCC-00060,ERCC-00061,ERCC-00062,ERCC-00067,ERCC-00069,ERCC-00071,ERCC-00073,ERCC-00074,ERCC-00075,ERCC-00076,ERCC-00077,ERCC-00078,ERCC-00079,ERCC-00081,ERCC-00083,ERCC-00084,ERCC-00085,ERCC-00086,ERCC-00092,ERCC-00095,ERCC-00096,ERCC-00097,ERCC-00098,ERCC-00099,ERCC-00104,ERCC-00108,ERCC-00109,ERCC-00111,ERCC-00112,ERCC-00113,ERCC-00116,ERCC-00117,ERCC-00120,ERCC-00123,ERCC-00126,ERCC-00130,ERCC-00131,ERCC-00134,ERCC-00136,ERCC-00137,ERCC-00138,ERCC-00142,ERCC-00143,ERCC-00144,ERCC-00145,ERCC-00147,ERCC-00148,ERCC-00150,ERCC-00154,ERCC-00156,ERCC-00157,ERCC-00158,ERCC-00160,ERCC-00162,ERCC-00163,ERCC-00164,ERCC-00165,ERCC-00168,ERCC-00170,ERCC-00171
A10_355,223.67,0.00,14.14,7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.47,3.05,35.44,0.00,0.00,3.47,0.00,0.00,0.00,0.00,0.00,0.00,3.47,0.00,0.00,0.00,0.00,92.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.29,14.20,44.72,0.00,0.00,0.00,0.00,3.47,0.00,0.00,0.00,76.73,0.00,0.00,0.00,0.00,0.00,167.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.04
A10_356,147.15,7.16,24.35,29.85,0.00,0.00,0.00,0.00,0.00,7.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.33,10.52,39.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,283.10,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,19.49,0.00,226.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.68,0.00,0.00,0.00,0.00,0.00,158.96,0.00,0.00,42.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.36
A10_357,130.60,0.00,19.76,45.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.42,0.00,8.53,9.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,109.34,0.00,0.00,0.00,0.00,2.42,0.00,0.00,0.00,5.96,0.00,0.00,0.00,0.00,0.00,121.51,0.00,0.00,7.19,0.00,0.00,0.00,0.00,4.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.40
A11_355,188.61,2.72,55.50,65.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,83.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.55,0.00,5.44,0.00,0.00,13.35,0.00,266.93,0.00,0.00,0.00,2.81,0.00,0.00,0.00,0.00,0.00,0.00,14.80,27.86,152.89,0.00,0.00,0.00,0.00,62.65,0.00,0.00,0.00,73.59,0.00,0.00,0.00,0.00,0.00,230.97,0.00,0.00,2.69,0.00,0.00,0.00,0.00,0.00,5.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.53
A11_356,322.57,14.13,49.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.04,8.89,74.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,515.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312.36,0.00,0.00,0.00,0.00,54.55,0.00,0.00,0.00,14.89,0.00,0.00,0.00,0.00,0.00,274.53,0.00,0.00,99.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.98
A11_357,200.98,2.35,33.49,36.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.35,2.07,52.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.78,0.00,0.00,0.00,0.00,0.00,20.51,234.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.38,4.80,125.32,0.00,0.00,0.00,0.00,35.22,0.00,14.50,0.00,89.39,0.00,0.00,0.00,0.00,0.00,92.77,22.10,0.00,37.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.09,0.00,0.00,49.70
A12_355,211.31,0.00,24.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.06,0.00,112.32,0.00,0.00,9.15,0.00,0.00,0.00,0.00,0.00,29.98,0.00,0.00,0.00,0.00,0.00,105.86,0.00,0.00,12.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A12_356,174.06,0.00,8.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,4.41,0.00,31.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.54,0.00,0.00,19.99,0.00,83.27,0.00,0.00,0.00,0.00,24.28,0.00,0.00,0.00,43.37,0.00,0.00,0.00,0.00,0.00,91.45,0.00,0.00,13.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.17,0.00,0.00,0.00,0.00,0.00,4.41,28.03
A12_357,152.29,0.00,94.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,11.61,58.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.71,0.00,0.00,0.00,0.00,0.00,0.00,20.38,0.00,13.50,0.00,0.00,0.00,0.00,0.00,135.63,26.61,0.00,30.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.32,0.00,0.00,0.00,0.00,37.24
A13_355,99.87,2.80,17.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.40,0.00,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.43,0.00,14.81,17.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.61,0.00,0.00,0.00,0.00,143.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.96,0.00,0.00,0.00,0.00,16.84,0.00,0.00,0.00,13.79,0.00,0.00,0.00,0.00,0.00,119.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.82
A13_356,360.88,22.45,91.56,30.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.73,8.98,7.91,64.23,0.00,0.00,4.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.81,0.00,349.43,0.00,0.00,0.00,0.00,94.37,0.00,11.57,0.00,171.08,0.00,0.00,0.00,0.00,0.00,331.28,0.00,0.00,17.78,0.00,0.00,0.00,0.00,31.08,13.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.36
A13_357,138.27,2.39,24.41,17.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.11,24.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,0.00,0.00,0.00,0.00,0.00,0.00,210.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.53,4.90,143.32,0.00,0.00,0.00,0.00,26.36,0.00,0.00,0.00,32.37,0.00,0.00,0.00,0.00,0.00,71.58,0.00,0.00,61.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.07
A14_355,191.51,9.04,18.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.04,0.00,73.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.24,0.00,0.00,0.00,0.00,18.10,0.00,9.32,0.00,11.12,0.00,0.00,0.00,0.00,0.00,139.56,0.00,0.00,17.90,0.00,0.00,0.00,0.00,0.00,8.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A14_356,421.57,10.18,36.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.37,20.37,17.94,57.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,333.00,0.00,0.00,0.00,0.00,20.74,0.00,0.00,0.00,0.00,0.00,9.23,0.00,152.43,0.00,0.00,0.00,0.00,17.84,0.00,0.00,4.57,15.65,0.00,0.00,0.00,0.00,0.00,169.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.58
A14_357,127.53,0.00,55.90,57.08,0.00,0.00,0.00,0.00,0.00,0.00,12.64,0.00,0.00,0.00,0.00,0.00,0.00,10.30,0.00,0.00,0.00,0.00,2.28,4.02,46.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.47,0.00,182.04,0.00,37.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.35,0.00,170.41,0.00,0.00,0.00,0.00,25.15,0.00,0.00,0.00,47.73,0.00,0.00,0.00,0.00,0.00,165.23,0.00,0.00,40.70,0.00,0.00,0.00,0.00,0.00,4.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.97,0.00,0.00,0.00,0.00,0.00,38.71
A15_355,51.22,0.00,45.69,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,11.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.16,0.00,49.01,0.00,0.00,0.00,0.00,8.41,0.00,0.00,0.00,17.21,0.00,0.00,0.00,0.00,0.00,43.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A15_356,37.11,0.00,4.91,5.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.18,0.00,15.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.92,0.00,0.00,4.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10
A15_357,25.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,9.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.76,0.00,0.00,0.00,0.00,0.00,62.62,0.00,0.00,6.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.97
A16_355,199.67,2.50,50.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,51.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.34,0.00,158.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.86,0.00,108.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.01,0.00,0.00,0.00,0.00,0.00,139.80,0.00,0.00,14.84,0.00,0.00,0.00,0.00,0.00,19.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.88
A16_356,141.12,2.06,50.53,12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.58,0.00,0.00,0.00,0.00,14.45,3.64,8.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.38,0.00,206.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.72,0.00,79.88,0.00,0.00,0.00,0.00,68.20,0.00,19.15,0.00,38.07,0.00,0.00,0.00,0.00,0.00,95.59,0.00,0.00,8.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.87
A16_357,342.96,21.21,116.77,8.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.52,0.00,0.00,0.00,0.00,16.96,8.48,7.47,182.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.97,0.00,0.00,0.00,0.00,0.00,0.00,394.37,0.00,3.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,0.00,322.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.95,0.00,0.00,0.00,0.00,0.00,210.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.95,0.00,0.00,0.00,0.00,0.00,67.39
