well_plate,Compartments
A01_55185977,Nucleus
A01_55195978,Cell
A01_55215982,nucleus
A01_55225983,Nucleus
A01_55235979,nucleus
A01_55245981,nucleus
A01_55365987,Cytosol
A01_55375988,Cell
A01_55395990,Cell
A01_55405991,Cell
A02_55185977,Nucleus
A02_55205980,Cell
A02_55225983,Nucleus
A02_55235979,Cell
A02_55245981,nucleus
A02_55335984,Cell
A02_55345985,Cell
A02_55355986,nucleus
A02_55365987,Nucleus
A02_55375988,Nucleus
A02_55385989,nucleus
A02_55405991,Nucleus
A02_75846286,Cell
A03_55185977,Cell
A03_55195978,Cell
A03_55205980,Cell
A03_55235979,Cytosol
A03_55345985,Nucleus
A03_55355986,Cell
A03_55365987,nucleus
A03_55375988,Nucleus
A03_55395990,Cell
A03_75846286,nucleus
A04_55185977,Cell
A04_55195978,Cell
A04_55205980,Nucleus
A04_55215982,Cell
A04_55225983,Cell
A04_55235979,Cytosol
A04_55245981,Nucleus
A04_55335984,Cell
A04_55345985,Nucleus
A04_55355986,nucleus
A04_55375988,Nucleus
A04_55395990,nucleus
A04_55405991,Cell
A04_75836284,Cell
A05_55185977,Cell
A05_55195978,Cytosol
A05_55205980,Nucleus
A05_55215982,Nucleus
A05_55225983,Cell
A05_55235979,Nucleus
A05_55335984,Cell
A05_55345985,Nucleus
A05_55355986,Nucleus
A05_55365987,Cell
A05_55375988,nucleus
A05_55385989,cytosol
A05_55395990,nucleus
A05_55405991,Cell
A06_55195978,Cell
A06_55205980,Cell
A06_55215982,Cell
A06_55225983,Nucleus
A06_55235979,Nucleus
A06_55245981,Cell
A06_55335984,Cytosol
A06_55345985,Nucleus
A06_55355986,Nucleus
A06_55375988,Nucleus
A06_55395990,Nucleus
A06_55405991,Cell
A06_75846286,Cell
A07_55195978,Nucleus
A07_55205980,Cell
A07_55215982,nucleus
A07_55225983,Cell
A07_55235979,Cytosol
A07_55245981,Cell
A07_55345985,Cell
A07_55355986,Cytosol
A07_55365987,nucleus
A07_55375988,Nucleus
A07_55385989,Nucleus
A07_55395990,Nucleus
A07_55405991,nucleus
A07_75836284,Cell
A07_75846286,Cytosol
A08_55185977,Cell
A08_55195978,Cell
A08_55205980,nucleus
A08_55215982,Cell
A08_55225983,Cell
A08_55235979,Nucleus
A08_55245981,Cell
