well_plate,shows_variation
A01_6720,FALSE
B01_6720,FALSE
D01_6720,TRUE
G01_6720,TRUE
A02_6720,TRUE
B02_6720,TRUE
E02_6720,TRUE
D03_6720,TRUE
H03_6720,FALSE
C04_6720,FALSE
D04_6720,TRUE
A05_6720,FALSE
A06_6720,FALSE
B06_6720,FALSE
F06_6720,TRUE
A07_6720,FALSE
H07_6720,FALSE
F09_6720,FALSE
A10_6720,FALSE
B10_6720,TRUE
F10_6720,TRUE
D12_6720,TRUE
A01_6721,FALSE
B01_6721,FALSE
C01_6721,FALSE
D01_6721,FALSE
E01_6721,TRUE
F01_6721,FALSE
G01_6721,FALSE
H01_6721,TRUE
A02_6721,FALSE
B02_6721,TRUE
C02_6721,FALSE
D02_6721,TRUE
E02_6721,FALSE
F02_6721,FALSE
G02_6721,TRUE
H02_6721,TRUE
A03_6721,FALSE
B03_6721,FALSE
C03_6721,FALSE
D03_6721,FALSE
E03_6721,FALSE
F03_6721,FALSE
G03_6721,TRUE
H03_6721,FALSE
A04_6721,FALSE
B04_6721,FALSE
C04_6721,TRUE
D04_6721,FALSE
E04_6721,TRUE
F04_6721,FALSE
G04_6721,FALSE
H04_6721,FALSE
A05_6721,FALSE
B05_6721,FALSE
C05_6721,TRUE
D05_6721,FALSE
E05_6721,TRUE
F05_6721,FALSE
G05_6721,FALSE
H05_6721,FALSE
A06_6721,FALSE
B06_6721,FALSE
C06_6721,FALSE
D06_6721,FALSE
E06_6721,FALSE
F06_6721,TRUE
G06_6721,TRUE
H06_6721,FALSE
A07_6721,FALSE
B07_6721,TRUE
C07_6721,TRUE
D07_6721,FALSE
E07_6721,FALSE
F07_6721,FALSE
G07_6721,FALSE
H07_6721,TRUE
A08_6721,FALSE
B08_6721,FALSE
C08_6721,FALSE
D08_6721,TRUE
E08_6721,FALSE
F08_6721,TRUE
G08_6721,TRUE
H08_6721,FALSE
A09_6721,FALSE
B09_6721,FALSE
C09_6721,FALSE
D09_6721,FALSE
E09_6721,FALSE
F09_6721,FALSE
G09_6721,FALSE
H09_6721,FALSE
A10_6721,FALSE
B10_6721,FALSE
C10_6721,TRUE
D10_6721,FALSE
E10_6721,TRUE
F10_6721,FALSE
G10_6721,FALSE
H10_6721,FALSE
A11_6721,FALSE
B11_6721,TRUE
C11_6721,FALSE
D11_6721,FALSE
E11_6721,FALSE
F11_6721,FALSE
G11_6721,TRUE
H11_6721,TRUE
A12_6721,FALSE
B12_6721,FALSE
C12_6721,FALSE
D12_6721,FALSE
E12_6721,FALSE
F12_6721,FALSE
G12_6721,TRUE
A01_6722,TRUE
B01_6722,FALSE
C01_6722,TRUE
D01_6722,TRUE
E01_6722,FALSE
F01_6722,FALSE
G01_6722,TRUE
H01_6722,TRUE
A02_6722,FALSE
B02_6722,FALSE
C02_6722,FALSE
D02_6722,FALSE
E02_6722,FALSE
F02_6722,FALSE
G02_6722,FALSE
H02_6722,FALSE
A03_6722,FALSE
B03_6722,TRUE
C03_6722,FALSE
D03_6722,TRUE
E03_6722,FALSE
F03_6722,TRUE
G03_6722,FALSE
H03_6722,FALSE
A04_6722,FALSE
B04_6722,FALSE
C04_6722,TRUE
D04_6722,FALSE
E04_6722,FALSE
F04_6722,TRUE
G04_6722,TRUE
H04_6722,FALSE
A05_6722,FALSE
B05_6722,FALSE
C05_6722,FALSE
D05_6722,TRUE
E05_6722,FALSE
F05_6722,FALSE
G05_6722,FALSE
H05_6722,FALSE
A06_6722,FALSE
B06_6722,FALSE
C06_6722,TRUE
D06_6722,FALSE
E06_6722,FALSE
F06_6722,FALSE
G06_6722,FALSE
H06_6722,FALSE
A07_6722,FALSE
B07_6722,FALSE
C07_6722,FALSE
D07_6722,TRUE
E07_6722,FALSE
F07_6722,FALSE
G07_6722,TRUE
H07_6722,TRUE
A08_6722,FALSE
B08_6722,FALSE
C08_6722,FALSE
D08_6722,FALSE
E08_6722,FALSE
F08_6722,FALSE
G08_6722,FALSE
H08_6722,FALSE
A09_6722,FALSE
B09_6722,FALSE
C09_6722,FALSE
D09_6722,FALSE
E09_6722,FALSE
F09_6722,FALSE
G09_6722,FALSE
H09_6722,FALSE
A10_6722,TRUE
B10_6722,FALSE
C10_6722,TRUE
D10_6722,FALSE
E10_6722,FALSE
F10_6722,TRUE
G10_6722,TRUE
H10_6722,FALSE
A11_6722,FALSE
B11_6722,TRUE
