Well_Plate,Stage,StageAJC
A4_355,G1,G1
A5_355,G1,G1
A7_355,G1,G1
A9_355,G1,G1
A20_355,G1,G1
A21_355,G1,G1
A22_355,G1,G1
B8_355,G1,G1
B9_355,G1,G1
B13_355,G1,G1
B16_355,G1,G1
B17_355,G1,G1
B19_355,G1,G1
B23_355,G1,G1
C8_355,G1,G1
C13_355,G1,G1
C16_355,G1,G1
C20_355,G1,G1
C24_355,G1,G1
D2_355,G1,G1
D9_355,G1,G1
D11_355,G1,G1
D12_355,G1,G1
D14_355,G1,G1
D18_355,G1,G1
D19_355,G1,G1
D21_355,G1,G1
D23_355,G1,G1
E1_355,G1,G1
E3_355,G1,G1
E4_355,G1,G1
E6_355,G1,G1
E8_355,G1,G1
E12_355,G1,G1
E13_355,G1,G1
E14_355,G1,G1
F1_355,G1,G1
F2_355,G1,G1
F14_355,G1,G1
F20_355,G1,G1
F22_355,G1,G1
F24_355,G1,G1
G7_355,G1,G1
G13_355,G1,G1
G16_355,G1,G1
G20_355,G1,G1
G22_355,G1,G1
G24_355,G1,G1
H7_355,G1,G1
H9_355,G1,G1
H11_355,G1,G1
H17_355,G1,G1
H19_355,G1,G1
H21_355,G1,G1
H22_355,G1,G1
H23_355,G1,G1
I2_355,G1,G1
I4_355,G1,G1
I5_355,G1,G1
I8_355,G1,G1
I15_355,G1,G1
I18_355,G1,G1
J2_355,G1,G1
J12_355,G1,G1
J13_355,G1,G1
J15_355,G1,G1
J16_355,G1,G1
J18_355,G1,G1
J19_355,G1,G1
J21_355,G1,G1
K3_355,G1,G1
K4_355,G1,G1
K6_355,G1,G1
K9_355,G1,G1
K10_355,G1,G1
K12_355,G1,G1
K14_355,G1,G1
K15_355,G1,G1
K18_355,G1,G1
K21_355,G1,G1
K24_355,G1,G1
L1_355,G1,G1
L2_355,G1,G1
L3_355,G1,G1
L7_355,G1,G1
L9_355,G1,G1
L15_355,G1,G1
L17_355,G1,G1
L19_355,G1,G1
M1_355,G1,G1
M2_355,G1,G1
M4_355,G1,G1
M5_355,G1,G1
M7_355,G1,G1
M9_355,G1,G1
M10_355,G1,G1
M16_355,G1,G1
M17_355,G1,G1
M18_355,G1,G1
M22_355,G1,G1
