Well,Plate,Variable,Main,WellPlate
A07,6717,TRUE,Cytoplasm,A07_6717
A06,6717,TRUE,Nucleus,A06_6717
A05,6717,TRUE,Nucleus,A05_6717
C10,6717,TRUE,Nucleus,C10_6717
D10,6717,TRUE,Nucleus,D10_6717
D06,6717,TRUE,Nucleus,D06_6717
F10,6717,TRUE,Nucleus,F10_6717
G11,6717,TRUE,Nucleus,G11_6717
G07,6717,TRUE,Cytoplasm,G07_6717
H10,6717,TRUE,Cell,H10_6717
H08,6717,TRUE,Cell,H08_6717
H05,6717,TRUE,Nucleus,H05_6717
A05,6718,TRUE,Cytoplasm,A05_6718
C01,6718,TRUE,Nucleus,C01_6718
G08,6718,TRUE,Nucleus,G08_6718
H07,6718,TRUE,Nucleus,H07_6718
H02,6718,TRUE,Nucleus,H02_6718
A01,6719,TRUE,Cytoplasm,A01_6719
C05,6719,TRUE,Nucleus,C05_6719
F02,6719,TRUE,Cell,F02_6719
G01,6719,TRUE,Nucleus,G01_6719
H06,6719,TRUE,Nucleus,H06_6719
A08,6720,TRUE,Nucleus,A08_6720
B09,6720,TRUE,Nucleus,B09_6720
B07,6720,TRUE,Cytosol,B07_6720
B02,6720,TRUE,Cytosol,B02_6720
C10,6720,TRUE,Cell,C10_6720
C05,6720,TRUE,Nucleus,C05_6720
C03,6720,TRUE,Nucleus,C03_6720
C02,6720,TRUE,Cell,C02_6720
C01,6720,TRUE,Nucleus,C01_6720
D09,6720,TRUE,Cytosol,D09_6720
D07,6720,TRUE,Cell,D07_6720
D06,6720,TRUE,Cytosol,D06_6720
D02,6720,TRUE,Nucleus,D02_6720
E08,6720,TRUE,Cell,E08_6720
E05,6720,TRUE,Nucleus,E05_6720
E03,6720,TRUE,Nucleus,E03_6720
E02,6720,TRUE,Cell,E02_6720
F08,6720,TRUE,Cytosol,F08_6720
F01,6720,TRUE,Cytosol,F01_6720
G07,6720,TRUE,Cytosol,G07_6720
G02,6720,TRUE,Cell,G02_6720
H08,6720,TRUE,Cell,H08_6720
H05,6720,TRUE,Cell,H05_6720
H02,6720,TRUE,Cell,H02_6720
B11,6721,TRUE,Cytoplasm,B11_6721
E01,6721,TRUE,Cytoplasm,E01_6721
H11,6721,TRUE,Cytoplasm,H11_6721
A10,6722,TRUE,Nucleus,A10_6722
B10,6722,TRUE,Nucleus,B10_6722
B01,6722,TRUE,Nucleus,B01_6722
C06,6722,TRUE,Nucleus,C06_6722
D05,6722,TRUE,Nucleus,D05_6722
E09,6722,TRUE,Cell,E09_6722
E04,6722,TRUE,Nucleus,E04_6722
F03,6722,TRUE,Cytoplasm,F03_6722
B12,6724,TRUE,Cell,B12_6724
B09,6724,TRUE,Cell,B09_6724
B05,6724,TRUE,Cell,B05_6724
B04,6724,TRUE,Cell,B04_6724
B02,6724,TRUE,Nucleus,B02_6724
