well,well_plate,Antibody,Gene,ENSG,U-2 OS (tpm),Gene desc,Results_final_update,Compartment
A01,A01_55185977,HPA000390,AUTS2,ENSG00000158321,21.87,autism susceptibility candidate 2,notccd,Nucleus
B01,B01_55185977,HPA000524,KCND1,ENSG00000102057,2.32,"potassium channel, voltage gated Shal related subfamily D, member 1",ccd,nucleus
C01,C01_55185977,HPA000540,MLLT11,ENSG00000213190,19.36,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11",notccd,Cell
D01,D01_55185977,HPA000561,CCDC120,ENSG00000147144,5.58,coiled-coil domain containing 120,negative,not found in excel lookup
E01,E01_55185977,HPA000720,ZFHX2,ENSG00000136367,1.31,zinc finger homeobox 2,ccd,Cell
F01,F01_55185977,HPA000750,GSTT2B,ENSG00000133433,6.77,glutathione S-transferase theta 2B (gene/pseudogene),notccd,Cell
G01,G01_55185977,HPA000793,ENO3,ENSG00000108515,23.69,"enolase 3 (beta, muscle)",notccd,Cell
H01,H01_55185977,HPA000842,PROX1,ENSG00000117707,0.75,prospero homeobox 1,notccd,Cytosol
A02,A02_55185977,HPA000843,H1F0,ENSG00000189060,856.51,"H1 histone family, member 0",ccd,Nucleus
B02,B02_55185977,HPA000850,NOP9,ENSG00000196943,15.33,NOP9 nucleolar protein,negative,not found in excel lookup
C02,C02_55185977,HPA000944,NGDN,ENSG00000129460,56.97,"neuroguidin, EIF4E binding protein",notccd,Cell
D02,D02_55185977,HPA000956,APEX1,ENSG00000100823,300.44,APEX nuclease (multifunctional DNA repair enzyme) 1,notccd,Nucleus
E02,E02_55185977,HPA000994,TXN2,ENSG00000100348,93.92,thioredoxin 2,notccd,Cell
F02,F02_55185977,HPA001031,CSTA,ENSG00000121552,20.66,cystatin A (stefin A),notccd,Cell
G02,G02_55185977,HPA001218,DRG1,ENSG00000185721,72.15,developmentally regulated GTP binding protein 1,ccd,nucleus
H02,H02_55185977,HPA001254,CKB,ENSG00000166165,40.64,"creatine kinase, brain",notccd,Cytosol
A03,A03_55185977,HPA001374,CXorf57,ENSG00000147231,2.79,chromosome X open reading frame 57,notccd,Cell
B03,B03_55185977,HPA001384,SYK,ENSG00000165025,0.42,spleen tyrosine kinase,notccd,Cytosol
C03,C03_55185977,HPA001562,ATF3,ENSG00000162772,20.29,activating transcription factor 3,ccd,Nucleus
D03,D03_55185977,HPA001592,UPF3B,ENSG00000125351,16.75,UPF3 regulator of nonsense transcripts homolog B (yeast),notccd,Nucleus
E03,E03_55185977,HPA001644,MYH9,ENSG00000100345,385.37,"myosin, heavy chain 9, non-muscle",notccd,Cell
F03,F03_55185977,HPA001654,APOH,ENSG00000091583,0.22,apolipoprotein H (beta-2-glycoprotein I),negative,not found in excel lookup
G03,G03_55185977,HPA001790,EFS,ENSG00000100842,0.04,embryonal Fyn-associated substrate,ccd,nucleus
H03,H03_55185977,HPA001893,SIX1,ENSG00000126778,5.79,SIX homeobox 1,notccd,Nucleus
A04,A04_55185977,HPA002064,ARHGAP36,ENSG00000147256,0.17,Rho GTPase activating protein 36,ccd,Cell
B04,B04_55185977,HPA002109,KIAA2026,ENSG00000183354,5.65,KIAA2026,notccd,Cell
C04,C04_55185977,HPA002134,IFI16,ENSG00000163565,31.34,"interferon, gamma-inducible protein 16",notccd,Cell
D04,D04_55185977,HPA002455,PSD3,ENSG00000156011,11.47,pleckstrin and Sec7 domain containing 3,ccd,Cell
E04,E04_55185977,HPA002465,KRT19,ENSG00000171345,6.47,"keratin 19, type I",negative,not found in excel lookup
F04,F04_55185977,HPA002871,ZNF410,ENSG00000119725,63.25,zinc finger protein 410,notccd,Nucleus
G04,G04_55185977,HPA002943,CECR2,ENSG00000099954,3.61,"cat eye syndrome chromosome region, candidate 2",notccd,Nucleus
H04,H04_55185977,HPA002955,METTL17,ENSG00000165792,66.68,methyltransferase like 17,notccd,Nucleus
A05,A05_55185977,HPA003008,NCAPH,ENSG00000121152,113.28,"non-SMC condensin I complex, subunit H",ccd,Cell
B05,B05_55185977,HPA003201,ZKSCAN5,ENSG00000196652,12.3,zinc finger with KRAB and SCAN domains 5,notccd,Cell
C05,C05_55185977,HPA003216,PSMD5,ENSG00000095261,24.99,"proteasome 26S subunit, non-ATPase 5",notccd,Cell
D05,D05_55185977,HPA003223,KREMEN2,ENSG00000131650,12.75,kringle containing transmembrane protein 2,notccd,Nucleus
E05,E05_55185977,HPA003239,PCMT1,ENSG00000120265,85.96,protein-L-isoaspartate (D-aspartate) O-methyltransferase,notccd,Cytosol
F05,F05_55185977,HPA003282,ALDOC,ENSG00000109107,5.56,"aldolase C, fructose-bisphosphate",notccd,nucleus
G05,G05_55185977,HPA003324,SLC16A1,ENSG00000155380,45.81,"solute carrier family 16 (monocarboxylate transporter), member 1",no variation,not found in excel lookup
H05,H05_55185977,HPA003340,S100A10,ENSG00000197747,653.89,S100 calcium binding protein A10,notccd,Cell
A06,A06_55185977,HPA003387,CDK1,ENSG00000170312,203.79,cyclin-dependent kinase 1,negative,not found in excel lookup
B06,B06_55185977,HPA003719,ZNF3,ENSG00000166526,23.4,zinc finger protein 3,notccd,Nucleus
C06,C06_55185977,HPA003868,MIF,ENSG00000240972,270.09,macrophage migration inhibitory factor (glycosylation-inhibiting factor),notccd,Cytosol
D06,D06_55185977,HPA003880,PDLIM2,ENSG00000120913,114.13,PDZ and LIM domain 2 (mystique),negative,not found in excel lookup
E06,E06_55185977,HPA003984,OVOL1,ENSG00000172818,0.08,ovo-like zinc finger 1,ccd,nucleus
F06,F06_55185977,HPA004057,SLC6A2,ENSG00000103546,0.07,"solute carrier family 6 (neurotransmitter transporter), member 2",negative,not found in excel lookup
G06,G06_55185977,HPA004712,HNF4A,ENSG00000101076,0.18,"hepatocyte nuclear factor 4, alpha",negative,not found in excel lookup
H06,H06_55185977,HPA004715,KIF2A,ENSG00000068796,64.7,kinesin heavy chain member 2A,ccd,nucleus
A07,A07_55185977,HPA004726,VCAN,ENSG00000038427,0.61,versican,negative,not found in excel lookup
B07,B07_55185977,HPA004742,CTNNBL1,ENSG00000132792,59.71,"catenin, beta like 1",notccd,Nucleus
C07,C07_55185977,HPA004805,EYA4,ENSG00000112319,0.05,EYA transcriptional coactivator and phosphatase 4,notccd,Nucleus
