Well,Plate,well_plate,IsVariable,Main
C11,6736,C11_6736,yes/no (no nucleoli),Nucleus
D06,6736,D06_6736,yes/no,Nucelus
C12,6724,C12_6724,"yes, (excl: 2)",Cell
A05,6736,A05_6736,"yes / no, folded cells also",Cell
G03,6736,G03_6736,"yes , weak mitochondria",Cell
D08,6736,D08_6736,yes (nice),Nucleus
F09,6736,F09_6736,yes (nice cell in fld6),Nucleus
D05,6736,D05_6736,"yes (high expression in some cells, fld3)",Cell
B12,6724,B12_6724,yes (excl: 1-2),Cell
B09,6724,B09_6724,yes (excl: 1),Cell
D12,6724,D12_6724,yes ( excl 1),Cyto
D07,6720,D07_6720,Yes,Cell
E08,6720,E08_6720,Yes,Cell
H05,6720,H05_6720,Yes,Cell
H02,6720,H02_6720,Yes,Cell
H08,6720,H08_6720,Yes,Cell
C10,6720,C10_6720,Yes,Cell
C02,6720,C02_6720,Yes,Cell
G02,6720,G02_6720,Yes,Cell
H10,6717,H10_6717,Yes,Cell
H08,6717,H08_6717,Yes,Cell
F02,6719,F02_6719,Yes,Cell
E09,6722,E09_6722,Yes,Cell
B05,6724,B05_6724,yes,Cell
B04,6724,B04_6724,yes,Cell
C05,6724,C05_6724,yes,Cell
C04,6724,C04_6724,yes,Cell
D04,6724,D04_6724,yes,Cell
D02,6724,D02_6724,yes,Cell
F04,6724,F04_6724,yes,Cell
F01,6724,F01_6724,yes,Cell
G07,6724,G07_6724,yes,Cell
A11,6736,A11_6736,yes,Cell
B08,6736,B08_6736,yes,Cell
B06,6736,B06_6736,yes,Cell
D10,6736,D10_6736,yes,Cell
E10,6736,E10_6736,yes,Cell
F11,6736,F11_6736,yes,Cell
F10,6736,F10_6736,yes,Cell
G09,6736,G09_6736,yes,Cell
E02,6720,E02_6720,Yes,Cell
E09,6724,E09_6724,yes,Cyto
E08,6724,E08_6724,yes,Cyto
H09,6724,H09_6724,yes,Cyto
H06,6724,H06_6724,yes,Cyto
B05,6736,B05_6736,yes,Cyto
E04,6736,E04_6736,yes,Cyto
G05,6736,G05_6736,yes,Cyto
A07,6717,A07_6717,Yes,Cytoplasm
G07,6717,G07_6717,Yes,Cytoplasm
A05,6718,A05_6718,Yes,Cytoplasm
A01,6719,A01_6719,Yes,Cytoplasm
B11,6721,B11_6721,Yes,Cytoplasm
E01,6721,E01_6721,Yes,Cytoplasm
H11,6721,H11_6721,Yes,Cytoplasm
F03,6722,F03_6722,Yes,Cytoplasm
H04,6731,H04_6731,Yes,Cytoplasm
B07,6720,B07_6720,Yes,Cytosol
B02,6720,B02_6720,Yes,Cytosol
D06,6720,D06_6720,Yes,Cytosol
F08,6720,F08_6720,Yes,Cytosol
F01,6720,F01_6720,Yes,Cytosol
D09,6720,D09_6720,Yes,Cytosol
G07,6720,G07_6720,Yes,Cytosol
A08,6720,A08_6720,Yes,Nucleus
B09,6720,B09_6720,Yes,Nucleus
C01,6720,C01_6720,Yes,Nucleus
E05,6720,E05_6720,Yes,Nucleus
E03,6720,E03_6720,Yes,Nucleus
C05,6720,C05_6720,Yes,Nucleus
A06,6717,A06_6717,Yes,Nucleus
A05,6717,A05_6717,Yes,Nucleus
C10,6717,C10_6717,Yes,Nucleus
D10,6717,D10_6717,Yes,Nucleus
D06,6717,D06_6717,Yes,Nucleus
F10,6717,F10_6717,Yes,Nucleus
G11,6717,G11_6717,Yes,Nucleus
H05,6717,H05_6717,Yes,Nucleus
C01,6718,C01_6718,Yes,Nucleus
G08,6718,G08_6718,Yes,Nucleus
H07,6718,H07_6718,Yes,Nucleus
H02,6718,H02_6718,Yes,Nucleus
C05,6719,C05_6719,Yes,Nucleus
G01,6719,G01_6719,Yes,Nucleus
H06,6719,H06_6719,Yes,Nucleus
A10,6722,A10_6722,Yes,Nucleus
B10,6722,B10_6722,Yes,Nucleus
B01,6722,B01_6722,Yes,Nucleus
C06,6722,C06_6722,Yes,Nucleus
D05,6722,D05_6722,Yes,Nucleus
E04,6722,E04_6722,Yes,Nucleus
B02,6724,B02_6724,yes,Nucleus
C03,6724,C03_6724,yes,Nucleus
C02,6724,C02_6724,yes,Nucleus
D03,6724,D03_6724,yes,Nucleus
D01,6724,D01_6724,yes,Nucleus
G04,6724,G04_6724,yes,Nucleus
H05,6724,H05_6724,yes,Nucleus
A08,6725,A08_6725,Yes,Nucleus
F08,6725,F08_6725,Yes,Nucleus
A03,6731,A03_6731,Yes,Nucleus
E04,6734,E04_6734,Yes,Nucleus
F05,6734,F05_6734,Yes,Nucleus
H04,6734,H04_6734,Yes,Nucleus
B01,6735,B01_6735,Yes,Nucleus
A12,6736,A12_6736,yes,Nucleus
A02,6736,A02_6736,yes,Nucleus
A01,6736,A01_6736,yes,Nucleus
B03,6736,B03_6736,yes,Nucleus
B01,6736,B01_6736,yes,Nucleus
C09,6736,C09_6736,yes,Nucleus
C07,6736,C07_6736,yes,Nucleus
C06,6736,C06_6736,yes,Nucleus
C04,6736,C04_6736,yes,Nucleus
D11,6736,D11_6736,yes,Nucleus
D03,6736,D03_6736,yes,Nucleus
E03,6736,E03_6736,yes,Nucleus
F04,6736,F04_6736,yes,Nucleus
F03,6736,F03_6736,yes,Nucleus
G10,6736,G10_6736,yes,Nucleus
G01,6736,G01_6736,yes,Nucleus
A08,6745,A08_6745,Yes,Nucleus
D04,6745,D04_6745,Yes,Nucleus
G08,6745,G08_6745,Yes,Nucleus
D02,6720,D02_6720,Yes,Nucleus
C03,6720,C03_6720,Yes,Nucleus
E03,6724,E03_6724,"unspecific, ugly cells",0
B03,6724,B03_6724,unspecific,0
B12,6736,B12_6736,unspecific,0
B04,6736,B04_6736,unspecific,0
C12,6736,C12_6736,unspecific,0
C08,6736,C08_6736,unspecific,0
