well_plate,shows_variation
B12_6720,FALSE
B11_6720,FALSE
B10_6720,FALSE
B09_6720,TRUE
B08_6720,FALSE
B07_6720,TRUE
B06_6720,FALSE
B05_6720,FALSE
B04_6720,FALSE
B03_6720,FALSE
B02_6720,TRUE
B01_6720,FALSE
A12_6720,FALSE
A11_6720,FALSE
A10_6720,FALSE
A09_6720,FALSE
A08_6720,TRUE
A07_6720,FALSE
A06_6720,FALSE
A05_6720,FALSE
A04_6720,FALSE
A03_6720,FALSE
A02_6720,FALSE
A01_6720,FALSE
C12_6720,FALSE
C11_6720,FALSE
C10_6720,TRUE
C09_6720,FALSE
C08_6720,FALSE
C07_6720,FALSE
C06_6720,FALSE
C05_6720,TRUE
C04_6720,FALSE
C03_6720,TRUE
C02_6720,TRUE
C01_6720,TRUE
D12_6720,FALSE
D11_6720,FALSE
D10_6720,FALSE
D09_6720,TRUE
D08_6720,FALSE
D07_6720,TRUE
D06_6720,TRUE
D05_6720,FALSE
D04_6720,FALSE
D03_6720,FALSE
D02_6720,TRUE
D01_6720,FALSE
E12_6720,FALSE
E11_6720,FALSE
E10_6720,FALSE
E09_6720,FALSE
E08_6720,TRUE
E07_6720,FALSE
E06_6720,FALSE
E05_6720,TRUE
E04_6720,FALSE
E03_6720,TRUE
E02_6720,TRUE
E01_6720,FALSE
F12_6720,FALSE
F11_6720,FALSE
F10_6720,FALSE
F09_6720,FALSE
F08_6720,TRUE
F07_6720,FALSE
F06_6720,FALSE
F05_6720,FALSE
F04_6720,FALSE
F03_6720,FALSE
F02_6720,FALSE
F01_6720,TRUE
G12_6720,FALSE
G11_6720,FALSE
G10_6720,FALSE
G09_6720,FALSE
G08_6720,FALSE
G07_6720,TRUE
G06_6720,FALSE
G05_6720,FALSE
G04_6720,FALSE
G03_6720,FALSE
G02_6720,TRUE
G01_6720,FALSE
H12_6720,FALSE
H11_6720,FALSE
H10_6720,FALSE
H09_6720,FALSE
H08_6720,TRUE
H07_6720,FALSE
H06_6720,FALSE
H05_6720,TRUE
H04_6720,FALSE
H03_6720,FALSE
H02_6720,TRUE
H01_6720,FALSE
