Gene stable ID	Gene name
ENSG00000094914	AAAS
ENSG00000094914	AAAS
ENSG00000094914	AAAS
ENSG00000276072	AATF
ENSG00000276072	AATF
ENSG00000276072	AATF
ENSG00000275700	AATF
ENSG00000275700	AATF
ENSG00000275700	AATF
ENSG00000085563	ABCB1
ENSG00000085563	ABCB1
ENSG00000085563	ABCB1
ENSG00000097007	ABL1
ENSG00000097007	ABL1
ENSG00000097007	ABL1
ENSG00000138107	ACTR1A
ENSG00000138107	ACTR1A
ENSG00000138107	ACTR1A
ENSG00000138071	ACTR2
ENSG00000138071	ACTR2
ENSG00000138071	ACTR2
ENSG00000138071	ACTR2
ENSG00000115091	ACTR3
ENSG00000115091	ACTR3
ENSG00000115091	ACTR3
ENSG00000115091	ACTR3
ENSG00000115091	ACTR3
ENSG00000115091	ACTR3
ENSG00000113812	ACTR8
ENSG00000113812	ACTR8
ENSG00000115170	ACVR1
ENSG00000115170	ACVR1
ENSG00000115170	ACVR1
ENSG00000115170	ACVR1
ENSG00000115170	ACVR1
ENSG00000135503	ACVR1B
ENSG00000135503	ACVR1B
ENSG00000151694	ADAM17
ENSG00000151694	ADAM17
ENSG00000151694	ADAM17
ENSG00000151694	ADAM17
ENSG00000151694	ADAM17
ENSG00000151694	ADAM17
ENSG00000151694	ADAM17
ENSG00000197381	ADARB1
ENSG00000197381	ADARB1
ENSG00000197381	ADARB1
ENSG00000141433	ADCYAP1
ENSG00000169129	AFAP1L2
ENSG00000169129	AFAP1L2
ENSG00000134698	AGO4
ENSG00000153207	AHCTF1
ENSG00000153207	AHCTF1
ENSG00000106546	AHR
ENSG00000106546	AHR
ENSG00000106546	AHR
ENSG00000235588	AIF1
ENSG00000235588	AIF1
ENSG00000235588	AIF1
ENSG00000235588	AIF1
ENSG00000206428	AIF1
ENSG00000206428	AIF1
ENSG00000206428	AIF1
ENSG00000206428	AIF1
ENSG00000234836	AIF1
ENSG00000234836	AIF1
ENSG00000234836	AIF1
ENSG00000234836	AIF1
ENSG00000237727	AIF1
ENSG00000237727	AIF1
ENSG00000237727	AIF1
ENSG00000237727	AIF1
ENSG00000204472	AIF1
ENSG00000204472	AIF1
ENSG00000204472	AIF1
ENSG00000204472	AIF1
ENSG00000235985	AIF1
ENSG00000235985	AIF1
ENSG00000235985	AIF1
ENSG00000235985	AIF1
ENSG00000129474	AJUBA
ENSG00000129474	AJUBA
ENSG00000129474	AJUBA
ENSG00000106992	AK1
ENSG00000106992	AK1
ENSG00000106992	AK1
ENSG00000106992	AK1
ENSG00000106992	AK1
ENSG00000105127	AKAP8
ENSG00000105127	AKAP8
ENSG00000011243	AKAP8L
ENSG00000011243	AKAP8L
ENSG00000011243	AKAP8L
ENSG00000011243	AKAP8L
ENSG00000011243	AKAP8L
ENSG00000011243	AKAP8L
ENSG00000011243	AKAP8L
ENSG00000127914	AKAP9
ENSG00000127914	AKAP9
ENSG00000127914	AKAP9
ENSG00000127914	AKAP9
ENSG00000127914	AKAP9
ENSG00000127914	AKAP9
ENSG00000127914	AKAP9
ENSG00000127914	AKAP9
ENSG00000142208	AKT1
ENSG00000142208	AKT1
ENSG00000142208	AKT1
ENSG00000142208	AKT1
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000105221	AKT2
ENSG00000160993	ALKBH4
ENSG00000116127	ALMS1
ENSG00000116127	ALMS1
ENSG00000116127	ALMS1
ENSG00000116127	ALMS1
ENSG00000116127	ALMS1
ENSG00000179593	ALOX15B
ENSG00000179593	ALOX15B
ENSG00000153107	ANAPC1
ENSG00000153107	ANAPC1
ENSG00000153107	ANAPC1
ENSG00000164162	ANAPC10
ENSG00000164162	ANAPC10
ENSG00000164162	ANAPC10
ENSG00000164162	ANAPC10
ENSG00000164162	ANAPC10
ENSG00000164162	ANAPC10
ENSG00000141552	ANAPC11
ENSG00000141552	ANAPC11
ENSG00000141552	ANAPC11
ENSG00000141552	ANAPC11
ENSG00000141552	ANAPC11
ENSG00000141552	ANAPC11
ENSG00000129055	ANAPC13
ENSG00000129055	ANAPC13
ENSG00000110200	ANAPC15
ENSG00000110200	ANAPC15
ENSG00000110200	ANAPC15
ENSG00000110200	ANAPC15
ENSG00000110200	ANAPC15
ENSG00000110200	ANAPC15
ENSG00000110200	ANAPC15
ENSG00000110200	ANAPC15
ENSG00000166295	ANAPC16
ENSG00000166295	ANAPC16
ENSG00000176248	ANAPC2
ENSG00000053900	ANAPC4
ENSG00000053900	ANAPC4
ENSG00000053900	ANAPC4
ENSG00000089053	ANAPC5
ENSG00000089053	ANAPC5
ENSG00000089053	ANAPC5
ENSG00000089053	ANAPC5
ENSG00000089053	ANAPC5
ENSG00000089053	ANAPC5
ENSG00000196510	ANAPC7
ENSG00000196510	ANAPC7
ENSG00000174606	ANGEL2
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000151150	ANK3
ENSG00000160117	ANKLE1
ENSG00000160117	ANKLE1
ENSG00000160117	ANKLE1
