Antibody RRID	Reliability (IF)
HPA037779: AB_10670529, HPA044079: AB_2678800	Supported
HPA001141: AB_1078139	Uncertain
HPA040086: AB_10805602	Approved
HPA058815: 	Approved
HPA037502: AB_10671759	Approved
HPA039371: AB_10805476, HPA040174: AB_10805605	Supported
HPA017931: AB_1844406, HPA020289: AB_1844407	Supported
HPA037918: AB_2675737, HPA037919: AB_2675738	Approved
CAB017717: , HPA031868: 	Supported
HPA054321: 	Supported
CAB034220: AB_1564205, HPA048645: 	Approved
HPA068290: 	Approved
CAB034261: AB_1562673, HPA040870: AB_10794995, HPA044223: AB_2678862	Enhanced
HPA035636: AB_10670837, HPA061396: 	Enhanced
HPA021408: AB_1844410, HPA022869: AB_1844411, HPA023714: AB_1844412	Approved
HPA020637: AB_1844415, HPA020728: AB_1844416, HPA020734: AB_1844417	Enhanced
HPA004940: AB_1078075, HPA075963: 	Supported
HPA009073: AB_1078076	Uncertain
HPA041528: AB_10795690, HPA041690: AB_10794674	Supported
CAB069889: AB_10002789, HPA057283: 	Approved
HPA078239: 	Approved
HPA063601: 	Approved
HPA007884: AB_1078077	Approved
HPA022032: AB_1844427, HPA062904: 	Approved
HPA064878: , HPA067180: 	Enhanced
HPA041564: 	Supported
HPA044914: AB_10964859	Approved
HPA052113: , HPA054823: 	Approved
CAB001716: , HPA002199: AB_1844428	Approved
HPA019035: AB_1844429	Uncertain
HPA049395: , HPA053288: 	Approved
HPA046723: AB_10960288, HPA058011: 	Supported
HPA034982: AB_10601010	Supported
HPA045187: AB_10964281	Supported
CAB033052: AB_2273463, HPA035113: , HPA035114: AB_10601329	Supported
HPA002380: AB_1844432	Supported
CAB037136: AB_477165, HPA048483: 	Supported
HPA002476: AB_1844434	Approved
HPA044067: , HPA052295: 	Approved
HPA038105: 	Supported
CAB011451: , HPA042318: 	Approved
HPA007279: AB_1844435	Approved
CAB032516: AB_2257637, CAB075749: , HPA032026: AB_2674117, HPA032027: AB_10602103	Enhanced
CAB012476: , HPA036846: 	Enhanced
HPA017578: AB_1844438	Enhanced
CAB020682: , HPA020091: AB_1844439, HPA021815: AB_1844440, HPA030388: AB_10601558	Enhanced
HPA020091: AB_1844439, HPA021815: AB_1844440, HPA030388: AB_10601558	Uncertain
HPA036332: AB_10603571	Approved
HPA031470: AB_10599188, HPA031471: AB_10600201	Supported
CAB037299: AB_476804, HPA054719: 	Supported
HPA019556: AB_1844444	Approved
HPA036991: , HPA036992: AB_10672345, HPA066081: 	Approved
HPA024042: AB_1844445, HPA049641: 	Supported
HPA002873: AB_2220573	Uncertain
HPA032143: AB_2674178, HPA032144: AB_10602304	Approved
HPA038153: , HPA056913: 	Enhanced
HPA036174: , HPA036175: , HPA038153: 	Uncertain
HPA036444: AB_10672221, HPA036642: AB_10672225	Approved
HPA014470: AB_1852993	Approved
HPA059272: 	Approved
HPA043270: AB_2678401, HPA047226: AB_2679991	Approved
HPA050168: , HPA051676: 	Approved
HPA005999: AB_1078080	Approved
HPA010729: AB_1844449	Approved
