hgnc_symbol,gene_id
MT-TF,ENSG00000210049
MT-RNR1,ENSG00000211459
MT-TV,ENSG00000210077
MT-RNR2,ENSG00000210082
MT-TL1,ENSG00000209082
MT-ND1,ENSG00000198888
MT-TI,ENSG00000210100
MT-TQ,ENSG00000210107
MT-TM,ENSG00000210112
MT-ND2,ENSG00000198763
MT-TW,ENSG00000210117
MT-TA,ENSG00000210127
MT-TN,ENSG00000210135
MT-TC,ENSG00000210140
MT-TY,ENSG00000210144
MT-CO1,ENSG00000198804
MT-TS1,ENSG00000210151
MT-TD,ENSG00000210154
MT-CO2,ENSG00000198712
MT-TK,ENSG00000210156
MT-ATP8,ENSG00000228253
MT-ATP6,ENSG00000198899
MT-CO3,ENSG00000198938
MT-TG,ENSG00000210164
MT-ND3,ENSG00000198840
MT-TR,ENSG00000210174
MT-ND4L,ENSG00000212907
MT-ND4,ENSG00000198886
MT-TH,ENSG00000210176
MT-TS2,ENSG00000210184
MT-TL2,ENSG00000210191
MT-ND5,ENSG00000198786
MT-ND6,ENSG00000198695
MT-TE,ENSG00000210194
MT-CYB,ENSG00000198727
MT-TT,ENSG00000210195
MT-TP,ENSG00000210196
MIR3170,ENSG00000263399
,ENSG00000200390
MIR4536-2,ENSG00000266328
MIR323B,ENSG00000208004
,ENSG00000200506
RNA5SP520,ENSG00000252315
RNU2-53P,ENSG00000252066
MIR5701-2,ENSG00000277841
MIR4312,ENSG00000265195
,ENSG00000200334
RNY1P3,ENSG00000223158
,ENSG00000283274
MIR6504,ENSG00000275109
,ENSG00000206929
RNU6-721P,ENSG00000222087
MIR6165,ENSG00000277478
,ENSG00000202388
RN7SL565P,ENSG00000276562
MIR657,ENSG00000207736
RNU6-1213P,ENSG00000252884
MIR150,ENSG00000207782
RN7SL767P,ENSG00000241529
MIR8074,ENSG00000278617
,ENSG00000277836
MIR8485,ENSG00000216191
RNU6-2,ENSG00000207357
MIR548F2,ENSG00000221782
,ENSG00000283568
,ENSG00000207438
MIR941-5,ENSG00000275842
MIR6821,ENSG00000276753
,ENSG00000278817
RNU6-529P,ENSG00000200253
RNU6-903P,ENSG00000212572
MIR7976,ENSG00000276083
MIR4452,ENSG00000266515
RNA5SP137,ENSG00000252642
RNU7-40P,ENSG00000252206
MIR8066,ENSG00000273882
,ENSG00000201933
MIR9-2,ENSG00000284447
MIR3914-2,ENSG00000283278
RN7SL134P,ENSG00000263360
MIR2861,ENSG00000284547
MIR3689D1,ENSG00000265848
,ENSG00000199938
RNU2-41P,ENSG00000222923
,ENSG00000207466
,ENSG00000204805
RNU6-1028P,ENSG00000252973
RNU4-25P,ENSG00000222501
,ENSG00000200237
,ENSG00000199366
MIR3675,ENSG00000263811
RN7SL704P,ENSG00000241693
MIR6878,ENSG00000283933
,ENSG00000202382
MIRLET7A2,ENSG00000198975
,ENSG00000275154
MIR614,ENSG00000283759
,ENSG00000276096
,ENSG00000207488
MIR6502,ENSG00000284011
MIR8067,ENSG00000277919
,ENSG00000252412
,ENSG00000283666
MIR422A,ENSG00000199156
,ENSG00000207119
MIR1269B,ENSG00000265503
RNA5SP451,ENSG00000222520
MIR4522,ENSG00000263583
,ENSG00000207292
MIR5684,ENSG00000263800
RNU6-565P,ENSG00000222869
,ENSG00000274420
MIR4786,ENSG00000264279
RN7SKP134,ENSG00000200830
MIR103B2,ENSG00000283320
SNORD77B,ENSG00000212414
MIR647,ENSG00000207554
SNORA74D,ENSG00000252213
,ENSG00000252868
MIR4279,ENSG00000266243
,ENSG00000200314
MIR3141,ENSG00000264760
RNU6-284P,ENSG00000223037
,ENSG00000238503
MIR1236,ENSG00000284446
MIR4426,ENSG00000283795
,ENSG00000199764
MIR6124,ENSG00000275373
MIR588,ENSG00000207632
MIR1260B,ENSG00000266192
RNU6-1218P,ENSG00000239175
MIR3943,ENSG00000264069
MIR3920,ENSG00000263885
MIR335,ENSG00000199043
MIR4495,ENSG00000265861
SNORA4,ENSG00000263776
RNU4-74P,ENSG00000223212
MIR8079,ENSG00000276319
MIR6847,ENSG00000284200
,ENSG00000274721
MIR7703,ENSG00000283856
MIR4477A,ENSG00000276029
RN7SKP43,ENSG00000251982
MIR3713,ENSG00000266449
MIR3074,ENSG00000207617
,ENSG00000273913
MIR6768,ENSG00000274805
,ENSG00000277794
MIR8081,ENSG00000277889
MIR3179-2,ENSG00000257381
RNU6-717P,ENSG00000239190
MIR602,ENSG00000207693
MIR27A,ENSG00000207808
,ENSG00000278554
,ENSG00000207439
MIR500A,ENSG00000207785
MIR4261,ENSG00000265418
MIR1468,ENSG00000222532
RNU4ATAC15P,ENSG00000252224
RNU6-166P,ENSG00000207099
MIR4772,ENSG00000264764
MIR514A2,ENSG00000207866
RNA5SP290,ENSG00000252942
MIR9500,ENSG00000283639
RNU6-22P,ENSG00000207083
RNU1-47P,ENSG00000199836
MIR548X,ENSG00000265841
,ENSG00000201003
MIR4790,ENSG00000265180
RNU6-919P,ENSG00000252540
,ENSG00000200150
MIR8064,ENSG00000275789
RN7SKP38,ENSG00000222714
MIR548AG1,ENSG00000265829
RNU6-242P,ENSG00000207087
RN7SL193P,ENSG00000239679
RNU6-24P,ENSG00000207169
MIR367,ENSG00000199169
RN7SL863P,ENSG00000244632
RNA5SP40,ENSG00000252956
MIR3688-1,ENSG00000264105
RNA5SP56,ENSG00000222209
MIR7161,ENSG00000278571
,ENSG00000203411
,ENSG00000206927
RNU6-1251P,ENSG00000201372
MIR651,ENSG00000207628
RNU6-1065P,ENSG00000207242
MIR548I4,ENSG00000221494
,ENSG00000199797
RNU6-1147P,ENSG00000200250
MIR1911,ENSG00000222715
,ENSG00000212205
,ENSG00000252317
,ENSG00000206640
RNU6-103P,ENSG00000200556
RN7SL205P,ENSG00000241392
RNY3P10,ENSG00000207495
,ENSG00000200191
,ENSG00000200040
RNU6-1037P,ENSG00000238680
RN7SL209P,ENSG00000240927
RNU6-537P,ENSG00000253086
RNA5SP461,ENSG00000252260
RNU6-203P,ENSG00000206765
,ENSG00000201666
,ENSG00000200646
RNY4P27,ENSG00000200211
,ENSG00000199884
RNU2-34P,ENSG00000252343
,ENSG00000274062
,ENSG00000206822
,ENSG00000276193
,ENSG00000275071
RN7SKP102,ENSG00000223118
,ENSG00000238387
RNA5SP384,ENSG00000252424
,ENSG00000222467
RNU7-107P,ENSG00000238523
RNU6-388P,ENSG00000252821
RNU6-1000P,ENSG00000212368
,ENSG00000277628
,ENSG00000274230
RNU7-59P,ENSG00000238880
SNORA32,ENSG00000206799
RNU6-815P,ENSG00000206807
RNU6-1294P,ENSG00000251804
,ENSG00000202434
RNA5SP339,ENSG00000212289
RNU2-20P,ENSG00000222357
RNU6-791P,ENSG00000222399
RNU6-946P,ENSG00000206605
RNU6-532P,ENSG00000207045
SNORD116-18,ENSG00000206688
RN7SL496P,ENSG00000242855
RNU4ATAC17P,ENSG00000253081
RN7SL602P,ENSG00000264352
RN7SL197P,ENSG00000276031
,ENSG00000222529
,ENSG00000252461
RNU4-37P,ENSG00000222146
,ENSG00000200291
,ENSG00000275900
RNU7-188P,ENSG00000252872
RNA5SP59,ENSG00000222854
RNU1-108P,ENSG00000199426
RNU6-310P,ENSG00000207385
,ENSG00000277563
RNU1-104P,ENSG00000253089
,ENSG00000276568
RN7SL23P,ENSG00000240823
,ENSG00000212195
SNORA72,ENSG00000207067
RNU6-1310P,ENSG00000206880
,ENSG00000276183
SNORA70I,ENSG00000207274
,ENSG00000276696
SNORA65,ENSG00000201302
SNORD100,ENSG00000221500
RN7SKP17,ENSG00000223174
,ENSG00000251852
,ENSG00000206805
RNU6-86P,ENSG00000271923
RNY3P5,ENSG00000206854
RNA5SP534,ENSG00000274059
RNU6-818P,ENSG00000201707
,ENSG00000238966
RN7SL237P,ENSG00000264767
