Protein ID	Melting point [°C]	Protein stability class	AUC	Curve fit converged	R2 of curve fit
A0AVK6_E2F8		non-melter	0.67	TRUE	0.9
A0AVT1_UBA6	49.41	medium	0.38	TRUE	0.99
A0JNW5_UHRF1BP1L	57.12	medium	0.64	TRUE	0.98
A0MZ66_KIAA1598	54.59	medium	0.58	TRUE	0.99
A1A4S6_ARHGAP10	55.43	medium	0.61	TRUE	0.99
A1A5A9_KIAA0999	55.95	medium	0.59	TRUE	0.98
A1L188_C17orf89		non-melter	0.9	TRUE	0.63
A1L390_PLEKHG3		non-melter	0.8	TRUE	0.93
A1X283_SH3PXD2B	51.58	medium	0.49	TRUE	0.98
A2A3N6_PIPSL	48.82	medium	0.36	TRUE	1
A2RTX5-2_TARSL2	51.54	medium	0.46	TRUE	0.99
A2RUC4_TYW5	50.67	medium	0.44	TRUE	0.98
A2RUS2-2_DENND3	49.61	medium	0.39	TRUE	0.98
A3KMH1-2_VWA8	48.57	non-stable	0.33	TRUE	0.98
A3KN83-2_SBNO1	52.08	medium	0.51	TRUE	0.98
A4D1P6-2_WDR91	58.11	medium	0.62	TRUE	0.98
A4D1S0-2_KLRG2		non-melter	0.8	TRUE	0.93
A4D1U4_LCHN	61.1	stable	0.78	TRUE	0.91
A4D2B0_MBLAC1	46.49	medium	0.51	TRUE	0.89
A5PLN9-2_TRAPPC13	48.42	non-stable	0.32	TRUE	0.99
A5YKK6_CNOT1	49.94	medium	0.38	TRUE	0.99
A6H8Y1-7_BDP1		non-melter	0.83	TRUE	0.91
A6ND36_FAM83G	53.24	medium	0.58	TRUE	0.99
A6NDG6_PGP	63.25	stable	0.78	TRUE	1
A6NDU8_C5orf51	50.26	medium	0.4	TRUE	0.98
A6NED2_RCCD1	51.16	medium	0.45	TRUE	0.99
A6NF31_OFD1		non-melter	0.85	TRUE	0.82
A6NF48_ZNF281		non-melter	0.75	TRUE	0.99
A6NF51_BPNT1	54.84	medium	0.58	TRUE	0.96
A6NFI3_ZNF316	65.33	stable	0.85	TRUE	0.18
A6NG32_CHMP1A		non-melter	0.81	TRUE	0.91
A6NG64_C10orf11		non-melter	0.69	TRUE	0.98
A6NG79_PRCC		non-melter	0.82	TRUE	0.71
A6NGB9_WIPF3		non-melter	0.74	TRUE	0.88
A6NGP5_HN1L		non-melter	0.85	TRUE	0.89
A6NHR9_SMCHD1	46.92	non-stable	0.28	TRUE	0.99
A6NHX0_GATSL2	60.66	stable	0.69	TRUE	0.98
A6NIH7_UNC119B	46.96	non-stable	0.33	TRUE	0.82
A6NIX2_WTIP		non-melter	0.92	TRUE	0.33
A6NJ78-2_METTL15	51.3	medium	0.46	TRUE	0.98
A6NJ97_C13orf23	54.57	medium	0.59	TRUE	0.98
A6NKD9_CCDC85C		non-melter	0.9	TRUE	0.82
A6NKT7_RGPD3	49.99	medium	0.39	TRUE	0.99
A6NML8_DIAPH2	48.67	medium	0.35	TRUE	0.99
A6NN40_SHROOM1	64.44	stable	0.68	TRUE	0.97
A6NNV6_ZWINT		non-melter	0.81	TRUE	0.78
A6PVM9_AIF1L	60.96	stable	0.69	TRUE	0.98
A6QL63_BTBD11	53.11	medium	0.48	TRUE	0.97
A6ZKI3_FAM127A	47.62	non-stable	0.3	TRUE	1
A7KAX9_ARHGAP32	57.25	medium	0.6	TRUE	0.99
A7Y2D6_PYGO1		non-melter	0.97	TRUE	0.05
A8CG34-2_POM121C	57.13	medium	0.61	TRUE	0.98
A8CTX8_ITSN1	58.96	stable	0.66	TRUE	0.99
A8MQB8_FMR1		non-melter	1.29	TRUE	0.75
A8MTK3_POT1	48.84	medium	0.38	TRUE	0.99
A8MTZ6_S100PBP		non-melter	0.79	TRUE	0.92
A8MU44_HOOK1	50.93	medium	0.46	TRUE	0.99
A8MUB1_TUBA4A	51.88	medium	0.43	TRUE	0.99
A8MVZ6_BICD1	53.51	medium	0.49	TRUE	0.99
A8MWK3_CDH2		non-melter	0.77	TRUE	0.93
A8MWR2_WIPF2		non-melter	0.82	TRUE	0.82
A8MX75_ERCC2	49.95	medium	0.42	TRUE	0.99
A8MXV4_NUDT19	55.63	medium	0.55	TRUE	0.99
A9Z1X7_SRRM1		non-melter	1.07	TRUE	0.24
B0FLL2_PFKFB2	50.94	medium	0.43	TRUE	0.99
B0QY74_MKL1	55.66	medium	0.61	TRUE	0.97
B0QYI3_TBC1D22A	60.83	stable	0.72	TRUE	1
B0S8A9_FLOT1	63.71	stable	0.69	TRUE	0.98
B0UX83_BAG6	60.51	stable	0.69	TRUE	0.99
B0UZY3_EHMT2	60.47	stable	0.66	TRUE	0.99
B1AHQ7_CENPM	52.72	medium	0.48	TRUE	0.97
B1AJY7_PSMD10	50.3	medium	0.4	TRUE	0.99
B1AK13_HMGCL	49.7	medium	0.41	TRUE	0.99
B1AKC7_RASAL2	54.78	medium	0.59	TRUE	0.99
B1AKL4_EIF4ENIF1		non-melter	1	TRUE	-0.07
B1AKN7_NFIA		non-melter	0.88	TRUE	0.93
B1AL69_CDC37L1	61.22	stable	0.72	TRUE	0.99
B1AMU7_EXOSC1	49.57	medium	0.43	TRUE	0.98
B1AN89_EIF4G3		non-melter	0.88	TRUE	0.7
B1AN99_PRSS3		non-melter	0.98	TRUE	0.17
B1ANH0_GUK1	48.56	non-stable	0.34	TRUE	0.99
B1N949_PPFIA4	53.65	medium	0.47	TRUE	0.96
B2R5P6_TXNRD1		non-melter		FALSE	
B2RTY4-5_MYO9A	49.87	medium	0.46	TRUE	0.99
B3KNQ0_CCDC92		non-melter	0.74	TRUE	0.95
B3KP87_MDS025		non-melter	0.82	TRUE	0.79
B3KRS5_HDAC2	51.5	medium	0.44	TRUE	0.99
B3KSI9_LZTFL1	55.67	medium	0.58	TRUE	1
B3KSJ7_DCLRE1C	57.43	medium	0.64	TRUE	0.96
B3KUK2_SOD2		non-melter	0.78	TRUE	0.62
B3KVH8_PHF23		non-melter	0.82	TRUE	0.93
B3KVZ3_CENPH	50.34	medium	0.47	TRUE	0.99
B3KWN8_PYROXD1	49.03	medium	0.38	TRUE	0.99
