Protein ID	Melting point [°C]	Protein stability class	AUC	Curve fit converged	R2 of curve fit
A0AVT1_UBA6	48.06	medium	0.4	TRUE	1
A0FGR8-2_ESYT2	49.14	medium	0.41	TRUE	0.98
A0JNW5_UHRF1BP1L	50.34	medium	0.47	TRUE	0.93
A0MZ66_KIAA1598	47.59	medium	0.4	TRUE	1
A0PJW6_TMEM223	52.05	medium	0.58	TRUE	0.98
A1A5A9_KIAA0999	49.41	medium	0.44	TRUE	0.99
A1L0T0_ILVBL	51.95	medium	0.54	TRUE	1
A2A274_ACO2	49.57	medium	0.45	TRUE	1
A2A2F0_RALGAPB	46.88	medium	0.37	TRUE	0.98
A2A2G4_ALG6	49.92	medium	0.45	TRUE	0.98
A2A2Q9_AAR2	43.15	non-stable	0.26	TRUE	0.98
A2A2V1_PRNP	53.55	medium	0.6	TRUE	0.91
A2A3N6_PIPSL	51.75	medium	0.51	TRUE	0.98
A2RRP1_NBAS	44.55	non-stable	0.29	TRUE	0.99
A2VDF0-2_FUOM	52.68	medium	0.55	TRUE	0.99
A3KN83-3_SBNO1	50.11	medium	0.46	TRUE	0.99
A4D126_ISPD	56.28	stable	0.69	TRUE	0.94
A4D1E9_GTPBP10	48.9	medium	0.41	TRUE	1
A4D212_DKFZP586J0619	44.77	non-stable	0.3	TRUE	0.99
A4D2B0_MBLAC1	55.07	stable	0.69	TRUE	0.98
A4UGR9-2_XIRP2	47.34	medium	0.41	TRUE	0.95
A5YKK6_CNOT1	46.09	non-stable	0.34	TRUE	0.99
A6NCS9_SDCCAG8	53.43	medium	0.58	TRUE	0.78
A6ND22_MRPS16	44.29	non-stable	0.3	TRUE	0.98
A6ND36-2_FAM83G	48.06	medium	0.42	TRUE	1
A6NDB9_PALM3	51.55	medium	0.62	TRUE	0.97
A6NDG6_PGP	60.29	stable	0.72	TRUE	0.91
A6NDJ8_	54.64	medium	0.6	TRUE	0.99
A6NDU8_C5orf51	48.36	medium	0.4	TRUE	1
A6NED2_RCCD1	52.08	medium	0.53	TRUE	0.99
A6NEM2_HCFC1	50.97	medium	0.5	TRUE	0.99
A6NEM5_PIGK	49.01	medium	0.43	TRUE	0.95
A6NF31_OFD1	50.35	medium	0.48	TRUE	0.95
A6NF48_ZNF281	41.23	non-stable	0.18	TRUE	0.98
A6NF51_BPNT1	51.59	medium	0.62	TRUE	0.91
A6NFI3_ZNF316	47.09	medium	0.4	TRUE	0.98
A6NFQ2-3_FAM115C	44.54	non-stable	0.31	TRUE	1
A6NFX8_NUDT5		non-melter	0.74	TRUE	0.59
A6NG32_CHMP1A	51.31	medium	0.62	TRUE	0.98
A6NG51_SPTAN1	49.84	medium	0.46	TRUE	0.99
A6NG79_PRCC	52.14	stable	0.66	TRUE	0.91
A6NGB9_WIPF3		non-melter	0.95	TRUE	0.1
A6NGH7_CCDC160	47.81	medium	0.4	TRUE	0.98
A6NGP5_HN1L		non-melter	0.9	TRUE	0.26
A6NGU5_GGT3P	57.72	stable	0.72	TRUE	0.93
A6NHL2-2_TUBAL3	55.28	medium	0.62	TRUE	0.9
A6NHN7_ZMYM3	44.9	medium	0.37	TRUE	0.98
A6NHQ2_FBLL1	47.98	medium	0.4	TRUE	0.96
A6NHR9_SMCHD1	45.61	non-stable	0.32	TRUE	1
A6NIH7_UNC119B	51.45	medium	0.57	TRUE	0.99
A6NIW2_DOCK11	46.47	medium	0.36	TRUE	0.99
A6NIZ0_NDEL1	50.28	medium	0.5	TRUE	0.98
A6NJ78_METTL15	46.95	medium	0.36	TRUE	1
A6NJX6_CHCHD1	50.01	medium	0.5	TRUE	0.99
A6NK28_MAP2K5	46.47	non-stable	0.35	TRUE	0.99
A6NK88_CDKN1C	52.23	medium	0.57	TRUE	0.99
A6NKD9_CCDC85C	46.89	medium	0.4	TRUE	1
A6NKF9_GPR89C	47.89	medium	0.4	TRUE	0.97
A6NKZ2_RENBP	53.97	medium	0.59	TRUE	1
A6NLH6_CNIH4	49.38	medium	0.45	TRUE	0.97
A6NMH6_SEPT8	53.21	medium	0.57	TRUE	0.99
A6NMQ1_POLA1	46.02	non-stable	0.32	TRUE	1
A6NN40_SHROOM1	44.62	non-stable	0.3	TRUE	1
A6PVN5_PPP2R4	53.91	medium	0.58	TRUE	0.98
A6PW58_PIP5K1A	48.07	medium	0.43	TRUE	0.88
