Protein ID	Melting point [°C]	Protein stability class	Quantile-normalized melting point [°C]	AUC	Curve fit converged	R2 of curve fit
(XM_371598) HYPOTHETICAL PROTEIN XP_371598.	50.6	medium	50.42	0.49	TRUE	0.99
14 KDA PROTEIN.	48.93	medium	48.54	0.42	TRUE	0.85
21 KDA PROTEIN.	52.65	medium	53.34	0.58	TRUE	1
37500	51.72	medium	51.98	0.61	TRUE	0.96
38961	52.02	stable	52.42	0.65	TRUE	0.91
39326	51.58	medium	51.8	0.51	TRUE	1
39692	50.23	medium	49.99	0.49	TRUE	0.99
40057	50.06	medium	49.78	0.46	TRUE	0.99
40422	51.24	medium	51.31	0.49	TRUE	0.99
40787	51.26	medium	51.34	0.64	TRUE	0.93
42 KDA PROTEIN.	52.63	medium	53.32	0.6	TRUE	0.99
42248	51.64	medium	51.87	0.56	TRUE	0.98
A1CF	43.42	non-stable	43.14	0.23	TRUE	1
A2LD1	49.73	medium	49.4	0.46	TRUE	1
A2M	51.39	stable	51.49	0.68	TRUE	0.92
A7E2U1_HUMAN	46.74	non-stable	46.38	0.35	TRUE	1
AAAS	48.84	medium	48.43	0.42	TRUE	0.99
AACS	45.67	non-stable	45.29	0.31	TRUE	1
AADACL1	52.94	medium	53.91	0.62	TRUE	0.96
AADAT	51.41	medium	51.53	0.55	TRUE	0.99
AAK1	49.67	medium	49.34	0.45	TRUE	1
AAMP	48.83	medium	48.42	0.43	TRUE	0.99
AARS	49.66	medium	49.33	0.43	TRUE	1
AARS2	46.07	non-stable	45.7	0.32	TRUE	1
AARSD1	47.88	medium	47.43	0.37	TRUE	1
AASDH	47.32	medium	46.87	0.39	TRUE	0.99
AASDHPPT	50.62	medium	50.45	0.47	TRUE	1
AASS	50.37	medium	50.16	0.46	TRUE	1
AATF	49.08	medium	48.71	0.45	TRUE	0.86
ABAT	51.86	stable	52.19	0.67	TRUE	0.93
ABCA1	49.65	medium	49.32	0.47	TRUE	0.99
ABCB1	50.4	medium	50.2	0.48	TRUE	0.99
ABCB10	50.52	medium	50.34	0.47	TRUE	1
ABCB6	50.62	medium	50.45	0.51	TRUE	0.99
ABCB7	49.86	medium	49.54	0.44	TRUE	1
ABCB8	50.62	medium	50.46	0.5	TRUE	1
ABCC1	51.83	medium	52.16	0.53	TRUE	0.99
ABCC10	46.44	non-stable	46.09	0.35	TRUE	0.98
ABCC2	49.75	medium	49.42	0.45	TRUE	0.99
ABCC3	51.51	medium	51.7	0.52	TRUE	0.99
ABCC4	52.61	medium	53.29	0.6	TRUE	0.97
ABCC5	50.96	medium	50.92	0.51	TRUE	0.99
ABCC6	49.92	medium	49.6	0.49	TRUE	0.98
