well_plate,ENSG,antibody,antibody_hpa_scores,compartment,variance_comp,gini_comp,known_by_GoReactomeCyclebaseNcbi,mean_percvar_diff_from_random,wp_comp_kruskal_gaussccd_adj,log_10_pval_eq_percvar,pass_median_diff,pass_gauss,CCD_COMP,ccd_reason,nonccd_comp,ccd_unimodal,ccd_clust1,clust1_difffromrng,clust1_log10pval_percvar,ccd_clust2,ccd_clust2_difffromrng,ccd_clust2_log10pval_percvar
A01_55185977,ENSG00000158321,HPA000390,Approved,Nuc,0.001234054450820307,0.25945971611817226,False,-0.016210731265676435,0.21951166647133338,-3.126780577012009,False,False,True,Pseudotime,False,False,True,0.11401090096999897,323.3062153431158,False,-0.03766199025589981,-9.64327466553287e-17
A01_55195978,ENSG00000136108,HPA008410,Approved,Cell,0.0009855378349535068,0.2639315970011127,True,0.07227198181776516,0.005748697653876762,323.3062153431158,False,True,False,No                 ,True,False,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A01_55215982,ENSG00000138347,HPA036299,Approved,Nuc,0.0030298715331531444,0.12894682195817841,True,0.06884276574472842,0.0059110752058667065,323.3062153431158,False,True,False,No                 ,True,False,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A01_55225983,ENSG00000111605,HPA039973,Enhanced,Nuc,0.004849099480342496,0.09127999946555541,True,0.011362963639060105,0.45748516391167143,323.3062153431158,False,False,False,No                 ,True,False,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A01_55235979,ENSG00000106012,HPA019515,Approved,Nuc,0.0009722525239964553,0.18233402523307946,False,0.46534407464185734,6.032031163039838e-15,323.3062153431158,True,True,True,Pseudotime,False,True,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A01_55245981,ENSG00000168159,HPA030098,Supported,Nuc,0.006087031590132206,0.26385176551398554,True,0.2680315177132919,4.136522960156047e-09,323.3062153431158,True,True,True,Pseudotime,False,True,True,0.33747300694053445,323.3062153431158,False,0.013045058642412243,323.3062153431158
A01_55365987,ENSG00000214212,HPA055027,Uncertain,Cyto,0.00026609573624750686,0.16131750588674165,False,-0.01116776746180187,0.4976713268543389,-3.126780577012009,False,False,False,No                 ,True,False,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A01_55375988,ENSG00000166347,HPA058547,Enhanced,Cell,8.957688540783894e-06,0.09133596224050969,False,0.02061492666328529,0.15407384393216958,323.3062153431158,False,False,False,No                 ,True,False,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A01_55395990,ENSG00000180822,HPA067652,Approved,Cell,0.00010415719768537402,0.13629801341648673,False,0.003400874408682747,0.03922160522034062,95.33072751110448,False,False,False,No                 ,True,False,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A01_55405991,ENSG00000128422,HPA000453,Enhanced,Cell,0.006633498850871234,0.2501841848596163,False,0.12155943197454447,1.0785602717817135e-05,323.3062153431158,True,True,True,Pseudotime,False,True,False,0.058478586207445594,323.3062153431158,False,0.02860286335018846,323.3062153431158
A01_6719,ENSG00000196839,HPA001399,Supported,Cyto,0.002086865787397872,0.4645639166096517,True,0.0442007708130475,0.48404546261339854,323.3062153431158,False,False,False,No                 ,True,False,False,0.03785528755564774,323.3062153431158,False,0.040617963499102676,323.3062153431158
A01_6736,ENSG00000101115,HPA015791,Enhanced,Nuc,1.551227903868678e-06,0.09786352593785466,True,0.12203470090293593,0.00012854605737335794,323.3062153431158,True,True,True,Pseudotime,False,True,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A02_55185977,ENSG00000189060,HPA000843,Supported,Nuc,0.02421035017139009,0.17223894480433258,True,0.09205596868492921,0.00286550034278498,323.3062153431158,True,True,True,Pseudotime,False,True,False,0.0,323.3062153431158,False,0.0,323.3062153431158
A02_55225983,ENSG00000138614,HPA040255,Approved,Nuc,0.0031294495392066557,0.11565194267820791,False,0.05037555942932008,0.011360387545817892,323.3062153431158,False,False,False,No                 ,True,False,False,0.0,323.3062153431158,False,0.0,323.3062153431158
