well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,differing,true_int_false_mean,false_int_true_mean,,,
A01_55195978,ENSG00000136108,937302.9799,0.198954278,FALSE,8.18E-06,TRUE,FALSE,TRUE,FALSE,CKAP2,0.000985538,0.136468917,TRUE,0.005797554,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,ccd_int,818
A01_55215982,ENSG00000138347,115796.1433,0.241762652,FALSE,4.69E-07,TRUE,FALSE,TRUE,TRUE,MYPN,0.003029872,0.16388362,TRUE,0.00603084,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,ccd_mean,428
A01_55225983,ENSG00000111605,153252.1555,0.305827363,TRUE,4.59E-15,TRUE,TRUE,FALSE,FALSE,CPSF6,0.004849099,0.10820933,FALSE,0.457397978,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,differing,536
A01_55365987,ENSG00000214212,162337.1161,0.265451094,TRUE,2.66E-09,TRUE,TRUE,FALSE,FALSE,C19orf38,0.000265637,0.103783204,FALSE,0.442006537,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,
A01_55395990,ENSG00000180822,48906.44557,0.255190117,TRUE,1.07E-11,TRUE,TRUE,FALSE,FALSE,PSMG4,0.000104157,0.10275255,FALSE,0.042213602,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,
A02_55205980,ENSG00000118292,11420.05855,0.312600892,TRUE,4.30E-13,TRUE,TRUE,FALSE,FALSE,C1orf54,4.24056E-05,0.10856987,FALSE,0.756436722,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,
A02_55245981,ENSG00000111912,34231.23352,0.282338878,TRUE,8.49E-11,TRUE,TRUE,FALSE,FALSE,NCOA7,0.001000287,0.111831884,FALSE,0.008576354,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,
A02_55335984,ENSG00000100744,236766.4266,0.310372617,TRUE,1.99E-07,TRUE,TRUE,FALSE,FALSE,GSKIP,0.000565161,0.148523217,TRUE,0.32525172,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,
A02_55345985,ENSG00000171421,20101.00668,0.351441426,TRUE,2.21E-22,TRUE,TRUE,FALSE,FALSE,MRPL36,6.87539E-05,0.095418087,FALSE,0.061689719,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,
A02_55365987,ENSG00000165156,13487.47648,0.339104359,TRUE,1.04E-11,TRUE,TRUE,FALSE,FALSE,ZHX1,0.000386658,0.110698368,FALSE,0.46135811,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,
