well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
A01_55185977,ENSG00000158321,28248.17173,0.181515259,FALSE,0.000714506,TRUE,FALSE,TRUE,FALSE,AUTS2
A01_55195978,ENSG00000136108,937302.9799,0.198954278,FALSE,8.18E-06,TRUE,FALSE,TRUE,FALSE,CKAP2
A01_55215982,ENSG00000138347,115796.1433,0.241762652,FALSE,4.69E-07,TRUE,FALSE,TRUE,TRUE,MYPN
A01_55225983,ENSG00000111605,153252.1555,0.305827363,TRUE,4.59E-15,TRUE,TRUE,FALSE,FALSE,CPSF6
A01_55235979,ENSG00000106012,29277.44917,0.547070858,TRUE,6.37E-17,TRUE,TRUE,FALSE,TRUE,IQCE
A01_55245981,ENSG00000168159,67093.29638,0.52498356,TRUE,2.82E-18,TRUE,TRUE,FALSE,TRUE,RNF187
A01_55365987,ENSG00000214212,162337.1161,0.265451094,TRUE,2.66E-09,TRUE,TRUE,FALSE,FALSE,C19orf38
A01_55375988,ENSG00000166347,21079.92838,0.213163805,FALSE,2.49E-07,TRUE,FALSE,TRUE,FALSE,CYB5A
A01_55395990,ENSG00000180822,48906.44557,0.255190117,TRUE,1.07E-11,TRUE,TRUE,FALSE,FALSE,PSMG4
A01_55405991,ENSG00000128422,3131583.848,0.359888209,TRUE,2.37E-12,TRUE,TRUE,FALSE,TRUE,KRT17
A01_6719,ENSG00000196839,176951.2718,0.189997773,FALSE,0.009615367,TRUE,FALSE,TRUE,FALSE,ADA
A01_6736,ENSG00000101115,48.04115002,0.256896111,TRUE,1.69E-06,TRUE,TRUE,FALSE,FALSE,SALL4
A02_55185977,ENSG00000189060,660024.9825,0.279270415,TRUE,2.29E-10,TRUE,TRUE,FALSE,TRUE,H1F0
A02_55205980,ENSG00000118292,11420.05855,0.312600892,TRUE,4.30E-13,TRUE,TRUE,FALSE,FALSE,C1orf54
A02_55225983,ENSG00000138614,102137.2931,0.296846219,TRUE,5.77E-16,TRUE,TRUE,FALSE,FALSE,INTS14
A02_55235979,ENSG00000163644,187439.5726,0.238077378,FALSE,0.000187066,TRUE,FALSE,TRUE,FALSE,PPM1K
A02_55245981,ENSG00000111912,34231.23352,0.282338878,TRUE,8.49E-11,TRUE,TRUE,FALSE,FALSE,NCOA7
A02_55335984,ENSG00000100744,236766.4266,0.310372617,TRUE,1.99E-07,TRUE,TRUE,FALSE,FALSE,GSKIP
A02_55345985,ENSG00000171421,20101.00668,0.351441426,TRUE,2.21E-22,TRUE,TRUE,FALSE,FALSE,MRPL36
A02_55355986,ENSG00000167065,1761438.12,0.933913236,TRUE,6.02E-35,TRUE,TRUE,FALSE,TRUE,DUSP18
A02_55365987,ENSG00000165156,13487.47648,0.339104359,TRUE,1.04E-11,TRUE,TRUE,FALSE,FALSE,ZHX1
A02_55375988,ENSG00000213638,1472.422686,0.371972271,TRUE,1.36E-17,TRUE,TRUE,FALSE,FALSE,ADAT3
A02_55385989,ENSG00000105372,1082.235685,0.440962381,TRUE,1.22E-17,TRUE,TRUE,FALSE,TRUE,RPS19
A02_55405991,ENSG00000177311,6289.164777,0.231831736,FALSE,4.81E-09,TRUE,FALSE,TRUE,FALSE,ZBTB38
A02_6736,ENSG00000076201,1893.183024,0.313673229,TRUE,1.49E-12,TRUE,TRUE,FALSE,FALSE,PTPN23
A02_75846286,ENSG00000189221,17640.34091,0.201031892,FALSE,0.019507785,TRUE,FALSE,TRUE,FALSE,MAOA
A03_55185977,ENSG00000147231,34099.03566,0.154872154,FALSE,0.001355728,TRUE,FALSE,TRUE,FALSE,RADX
A03_55195978,ENSG00000143217,66455.16327,0.140443866,FALSE,2.66E-05,TRUE,FALSE,TRUE,FALSE,NECTIN4
A03_55205980,ENSG00000179104,83819.89744,0.285619343,TRUE,6.37E-11,TRUE,TRUE,FALSE,FALSE,TMTC2
A03_55235979,ENSG00000197776,73826.54184,0.101586034,FALSE,0.15089394,FALSE,FALSE,TRUE,FALSE,KLHDC1
A03_55345985,ENSG00000177352,24447.7937,0.335277946,TRUE,8.20E-09,TRUE,TRUE,FALSE,FALSE,CCDC71
A03_55355986,ENSG00000166123,200280.4131,0.412388689,TRUE,4.05E-14,TRUE,TRUE,FALSE,FALSE,GPT2
A03_55365987,ENSG00000108592,217060.6308,0.141206168,FALSE,5.81E-06,TRUE,FALSE,TRUE,FALSE,FTSJ3
A03_55375988,ENSG00000183011,2960.380576,0.503445536,TRUE,2.57E-13,TRUE,TRUE,FALSE,FALSE,NAA38
A03_55395990,ENSG00000127418,654085.0227,0.115393014,FALSE,0.106367844,FALSE,FALSE,TRUE,FALSE,FGFRL1
A03_6731,ENSG00000008311,1385.726077,0.586791575,TRUE,3.38E-17,TRUE,TRUE,FALSE,FALSE,AASS
A03_75846286,ENSG00000138050,1887.280476,0.513079885,TRUE,2.71E-20,TRUE,TRUE,FALSE,TRUE,THUMPD2
A04_55185977,ENSG00000147256,36335.85069,0.514628977,TRUE,4.26E-13,TRUE,TRUE,FALSE,TRUE,ARHGAP36
