well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
A01_55185977,ENSG00000158321,0.001229994,0.086318417,FALSE,0.216253265,FALSE,FALSE,TRUE,FALSE,AUTS2
A01_55195978,ENSG00000136108,0.000985538,0.136468917,TRUE,0.005797554,TRUE,TRUE,FALSE,FALSE,CKAP2
A01_55215982,ENSG00000138347,0.003029872,0.16388362,TRUE,0.00603084,TRUE,TRUE,FALSE,TRUE,MYPN
A01_55225983,ENSG00000111605,0.004849099,0.10820933,FALSE,0.457397978,FALSE,FALSE,TRUE,FALSE,CPSF6
A01_55235979,ENSG00000106012,0.000972253,0.444639278,TRUE,6.36E-15,TRUE,TRUE,FALSE,TRUE,IQCE
A01_55245981,ENSG00000168159,0.006087032,0.419145451,TRUE,4.30E-09,TRUE,TRUE,FALSE,TRUE,RNF187
A01_55365987,ENSG00000214212,0.000265637,0.103783204,FALSE,0.442006537,FALSE,FALSE,TRUE,FALSE,C19orf38
A01_55375988,ENSG00000166347,8.96E-06,0.121498831,FALSE,0.154172281,FALSE,FALSE,TRUE,FALSE,CYB5A
A01_55395990,ENSG00000180822,0.000104157,0.10275255,FALSE,0.042213602,TRUE,FALSE,TRUE,FALSE,PSMG4
A01_55405991,ENSG00000128422,0.006633499,0.21489255,TRUE,1.11E-05,TRUE,TRUE,FALSE,TRUE,KRT17
A01_6719,ENSG00000196839,0.002086866,0.143231971,TRUE,0.47727735,FALSE,FALSE,TRUE,FALSE,ADA
A01_6736,ENSG00000101115,1.55E-06,0.222896816,TRUE,0.000104818,TRUE,TRUE,FALSE,FALSE,SALL4
A02_55185977,ENSG00000189060,0.024857012,0.167378406,TRUE,0.001797495,TRUE,TRUE,FALSE,TRUE,H1F0
A02_55205980,ENSG00000118292,4.24E-05,0.10856987,FALSE,0.756436722,FALSE,FALSE,TRUE,FALSE,C1orf54
A02_55225983,ENSG00000138614,0.00328864,0.147888008,TRUE,0.012267009,TRUE,TRUE,FALSE,FALSE,INTS14
A02_55235979,ENSG00000163644,0.000217159,0.178045253,TRUE,0.213224134,FALSE,FALSE,TRUE,FALSE,PPM1K
A02_55245981,ENSG00000111912,0.001000287,0.111831884,FALSE,0.008576354,TRUE,FALSE,TRUE,FALSE,NCOA7
A02_55335984,ENSG00000100744,0.000565161,0.148523217,TRUE,0.32525172,FALSE,FALSE,TRUE,FALSE,GSKIP
A02_55345985,ENSG00000171421,6.88E-05,0.095418087,FALSE,0.061689719,FALSE,FALSE,TRUE,FALSE,MRPL36
A02_55355986,ENSG00000167065,0.097174475,0.957583403,TRUE,1.70E-35,TRUE,TRUE,FALSE,TRUE,DUSP18
A02_55365987,ENSG00000165156,0.000386658,0.110698368,FALSE,0.46135811,FALSE,FALSE,TRUE,FALSE,ZHX1
A02_55375988,ENSG00000213638,5.31E-05,0.100410488,FALSE,0.22415739,FALSE,FALSE,TRUE,FALSE,ADAT3
A02_55385989,ENSG00000105372,2.24E-05,0.170155279,TRUE,0.031781752,TRUE,TRUE,FALSE,TRUE,RPS19
A02_55405991,ENSG00000177311,0.000287345,0.063383877,FALSE,0.607894161,FALSE,FALSE,TRUE,FALSE,ZBTB38
A02_6736,ENSG00000076201,0.000158424,0.18987582,TRUE,4.27E-06,TRUE,TRUE,FALSE,FALSE,PTPN23
A02_75846286,ENSG00000189221,2.99E-05,0.089621202,FALSE,0.353256621,FALSE,FALSE,TRUE,FALSE,MAOA
A03_55185977,ENSG00000147231,0.000185215,0.2080543,TRUE,0.001717888,TRUE,TRUE,FALSE,FALSE,RADX
A03_55195978,ENSG00000143217,7.83E-05,0.084556905,FALSE,0.513676422,FALSE,FALSE,TRUE,FALSE,NECTIN4
A03_55205980,ENSG00000179104,0.000480955,0.130893918,TRUE,0.223341935,FALSE,FALSE,TRUE,FALSE,TMTC2
A03_55235979,ENSG00000197776,6.75E-05,0.159424921,TRUE,0.247014513,FALSE,FALSE,TRUE,FALSE,KLHDC1
A03_55345985,ENSG00000177352,0.001386253,0.155979952,TRUE,0.392097715,FALSE,FALSE,TRUE,FALSE,CCDC71
A03_55355986,ENSG00000166123,0.000434811,0.109597164,FALSE,0.196828641,FALSE,FALSE,TRUE,FALSE,GPT2
A03_55365987,ENSG00000108592,0.009282733,0.064495028,FALSE,0.021536828,TRUE,FALSE,TRUE,FALSE,FTSJ3
A03_55375988,ENSG00000183011,0.000119821,0.157992719,TRUE,0.304487175,FALSE,FALSE,TRUE,FALSE,NAA38
A03_55395990,ENSG00000127418,0.001745105,0.141879009,TRUE,0.039603514,TRUE,TRUE,FALSE,FALSE,FGFRL1
A03_6731,ENSG00000008311,9.15E-05,0.598679434,TRUE,7.91E-15,TRUE,TRUE,FALSE,FALSE,AASS
A03_75846286,ENSG00000138050,5.02E-05,0.332002598,TRUE,1.61E-08,TRUE,TRUE,FALSE,TRUE,THUMPD2
A04_55185977,ENSG00000147256,7.77E-05,0.361338462,TRUE,0.001036974,TRUE,TRUE,FALSE,TRUE,ARHGAP36
A04_55195978,ENSG00000116031,2.62E-05,0.091010725,FALSE,0.334552198,FALSE,FALSE,TRUE,FALSE,CD207
A04_55205980,ENSG00000120278,0.000618175,0.200971357,TRUE,0.050145561,FALSE,FALSE,TRUE,TRUE,PLEKHG1
A04_55215982,ENSG00000176928,0.000168249,0.152531099,TRUE,0.010664513,TRUE,TRUE,FALSE,FALSE,GCNT4
A04_55225983,ENSG00000078328,0.001522474,0.115384792,FALSE,0.203160144,FALSE,FALSE,TRUE,FALSE,RBFOX1
A04_55235979,ENSG00000147874,0.000455519,0.166323486,TRUE,0.039603514,TRUE,TRUE,FALSE,FALSE,HAUS6
A04_55245981,ENSG00000064933,0.000537259,0.167155206,TRUE,0.016671758,TRUE,TRUE,FALSE,FALSE,PMS1
A04_55335984,ENSG00000096968,0.000649497,0.110977327,FALSE,0.734869188,FALSE,FALSE,TRUE,FALSE,JAK2
A04_55345985,ENSG00000179918,0.001011468,0.097819693,FALSE,0.008188708,TRUE,FALSE,TRUE,FALSE,SEPHS2
A04_55355986,ENSG00000181513,0.001374085,0.189492898,TRUE,0.001301165,TRUE,TRUE,FALSE,FALSE,ACBD4
A04_55375988,ENSG00000116793,6.83E-05,0.146819639,TRUE,0.107729874,FALSE,FALSE,TRUE,FALSE,PHTF1
A04_55395990,ENSG00000158125,0.000636712,0.141648178,TRUE,0.002255447,TRUE,TRUE,FALSE,TRUE,XDH
A04_55405991,ENSG00000073578,0.000185019,0.102696515,FALSE,0.021618442,TRUE,FALSE,TRUE,FALSE,SDHA
A04_75836284,ENSG00000136404,9.16E-06,0.172618915,TRUE,0.618000519,FALSE,FALSE,TRUE,FALSE,TM6SF1
A05_55185977,ENSG00000121152,0.000664625,0.172692454,TRUE,0.073229104,FALSE,FALSE,TRUE,TRUE,NCAPH
A05_55195978,ENSG00000136114,1.87E-05,0.127075865,FALSE,0.770879046,FALSE,FALSE,TRUE,FALSE,THSD1
A05_55205980,ENSG00000100479,0.000348007,0.061183292,FALSE,0.299535775,FALSE,FALSE,TRUE,FALSE,POLE2
A05_55215982,ENSG00000041802,0.005170603,0.139353752,TRUE,0.324933128,FALSE,FALSE,TRUE,FALSE,LSG1
A05_55225983,ENSG00000152229,0.000960088,0.117625759,FALSE,0.022092693,TRUE,FALSE,TRUE,FALSE,PSTPIP2
A05_55235979,ENSG00000187607,6.86E-05,0.12644819,FALSE,0.210240452,FALSE,FALSE,TRUE,TRUE,ZNF286A
A05_55335984,ENSG00000006704,0.00068892,0.239049992,TRUE,0.003810011,TRUE,TRUE,FALSE,TRUE,GTF2IRD1
A05_55345985,ENSG00000211450,0.001394424,0.152706726,TRUE,0.098323044,FALSE,FALSE,TRUE,FALSE,SELENOH
A05_55355986,ENSG00000158480,0.000388128,0.110770657,FALSE,0.121835218,FALSE,FALSE,TRUE,FALSE,SPATA2
A05_55365987,ENSG00000082482,0.00036123,0.1351017,TRUE,0.05654692,FALSE,FALSE,TRUE,FALSE,KCNK2
A05_55375988,ENSG00000134602,0.004470135,0.330330352,TRUE,5.54E-05,TRUE,TRUE,FALSE,TRUE,STK26
A05_55385989,ENSG00000135119,0.000142809,0.15851595,TRUE,0.000689438,TRUE,TRUE,FALSE,TRUE,RNFT2
A05_55395990,ENSG00000241484,0.000695379,0.195960727,TRUE,7.99E-05,TRUE,TRUE,FALSE,TRUE,ARHGAP8
A05_55405991,ENSG00000108602,0.000315598,0.142447793,TRUE,0.011822614,TRUE,TRUE,FALSE,TRUE,ALDH3A1
A05_6717,ENSG00000053702,0.00170709,0.188219378,TRUE,0.151562759,FALSE,FALSE,TRUE,FALSE,NRIP2
A05_6718,ENSG00000139344,0.000286195,0.173624827,TRUE,0.150001703,FALSE,FALSE,TRUE,FALSE,AMDHD1
A05_6736,ENSG00000101290,1.58E-05,0.149111559,TRUE,0.291591706,FALSE,FALSE,TRUE,FALSE,CDS2
A06_55195978,ENSG00000157103,1.71E-05,0.094140916,FALSE,0.542016373,FALSE,FALSE,TRUE,FALSE,SLC6A1
A06_55205980,ENSG00000157191,4.74E-05,0.115036657,FALSE,0.124947022,FALSE,FALSE,TRUE,FALSE,NECAP2
A06_55215982,ENSG00000180104,5.42E-05,0.156065072,TRUE,0.077320528,FALSE,FALSE,TRUE,FALSE,EXOC3
A06_55225983,ENSG00000110104,0.010233322,0.113517551,FALSE,0.106121524,FALSE,FALSE,TRUE,FALSE,CCDC86
A06_55235979,ENSG00000124813,5.88E-05,0.10364781,FALSE,0.107948595,FALSE,FALSE,TRUE,FALSE,RUNX2
A06_55245981,ENSG00000077549,0.001199026,0.103881601,FALSE,0.790529807,FALSE,FALSE,TRUE,FALSE,CAPZB
A06_55335984,ENSG00000141506,0.00013342,0.152027043,TRUE,0.064878673,FALSE,FALSE,TRUE,FALSE,PIK3R5
A06_55345985,ENSG00000274349,0.000215888,0.111022964,FALSE,0.042907452,TRUE,FALSE,TRUE,FALSE,ZNF658
A06_55355986,ENSG00000185507,0.000150225,0.119019957,FALSE,0.071673096,FALSE,FALSE,TRUE,FALSE,IRF7
A06_55375988,ENSG00000161956,0.000259446,0.232777397,TRUE,0.335343957,FALSE,FALSE,TRUE,FALSE,SENP3
A06_55395990,ENSG00000160539,5.03E-05,0.110629281,FALSE,0.749004303,FALSE,FALSE,TRUE,FALSE,PLPP7
A06_55405991,ENSG00000122642,0.000377207,0.152173418,TRUE,0.002704191,TRUE,TRUE,FALSE,FALSE,FKBP9
A06_6717,ENSG00000111615,4.24E-05,0.154322117,TRUE,0.186140935,FALSE,FALSE,TRUE,FALSE,KRR1
A06_75846286,ENSG00000197712,0.000198942,0.109312869,FALSE,0.408493174,FALSE,FALSE,TRUE,FALSE,FAM114A1
A07_55195978,ENSG00000213853,0.000140598,0.07599277,FALSE,0.839602669,FALSE,FALSE,TRUE,FALSE,EMP2
A07_55205980,ENSG00000162396,4.90E-06,0.148459448,TRUE,0.604733686,FALSE,FALSE,TRUE,FALSE,PARS2
A07_55215982,ENSG00000159335,0.003692055,0.098623643,FALSE,0.218756249,FALSE,FALSE,TRUE,FALSE,PTMS
A07_55225983,ENSG00000112149,0.000177616,0.100848768,FALSE,0.41526462,FALSE,FALSE,TRUE,FALSE,CD83
A07_55235979,ENSG00000166263,6.92E-05,0.076851234,FALSE,0.940865452,FALSE,FALSE,TRUE,FALSE,STXBP4
A07_55245981,ENSG00000154079,0.000130901,0.082400117,FALSE,0.242469198,FALSE,FALSE,TRUE,FALSE,SDHAF4
A07_55345985,ENSG00000136866,0.000215898,0.168198089,TRUE,0.034396555,TRUE,TRUE,FALSE,FALSE,ZFP37
A07_55355986,ENSG00000139304,6.92E-05,0.144010669,TRUE,0.000304109,TRUE,TRUE,FALSE,FALSE,PTPRQ
A07_55365987,ENSG00000071889,0.001660198,0.212846573,TRUE,3.53E-05,TRUE,TRUE,FALSE,TRUE,FAM3A
A07_55375988,ENSG00000198517,8.81E-05,0.120498235,FALSE,0.163907227,FALSE,FALSE,TRUE,FALSE,MAFK
A07_55385989,ENSG00000174282,0.001180673,0.095556938,FALSE,0.597579709,FALSE,FALSE,TRUE,FALSE,ZBTB4
A07_55395990,ENSG00000169297,0.000153827,0.107867732,FALSE,0.083049551,FALSE,FALSE,TRUE,FALSE,NR0B1
A07_55405991,ENSG00000069275,0.00145464,0.142175862,TRUE,0.003305573,TRUE,TRUE,FALSE,TRUE,NUCKS1
A07_6717,ENSG00000010704,8.64E-05,0.112497484,FALSE,0.124310207,FALSE,FALSE,TRUE,FALSE,HFE
A07_75836284,ENSG00000130635,0.000245244,0.09618952,FALSE,0.285450769,FALSE,FALSE,TRUE,FALSE,COL5A1
A07_75846286,ENSG00000165730,0.000241029,0.087664504,FALSE,0.142114833,FALSE,FALSE,TRUE,FALSE,STOX1
A08_55185977,ENSG00000164120,0.000121366,0.201040814,TRUE,0.023592182,TRUE,TRUE,FALSE,TRUE,HPGD
A08_55195978,ENSG00000059758,0.000465712,0.229341412,TRUE,2.88E-05,TRUE,TRUE,FALSE,TRUE,CDK17
A08_55205980,ENSG00000181450,0.000456896,0.319764885,TRUE,1.90E-06,TRUE,TRUE,FALSE,TRUE,ZNF678
A08_55215982,ENSG00000061794,0.000649991,0.123949572,FALSE,0.061865832,FALSE,FALSE,TRUE,FALSE,MRPS35
A08_55225983,ENSG00000183044,0.001832674,0.054528605,FALSE,0.615235212,FALSE,FALSE,TRUE,FALSE,ABAT
A08_55235979,ENSG00000162302,0.000769465,0.10307082,FALSE,0.492729071,FALSE,FALSE,TRUE,FALSE,RPS6KA4
A08_55245981,ENSG00000011021,0.005301632,0.149028859,TRUE,0.867048738,FALSE,FALSE,TRUE,FALSE,CLCN6
A08_55335984,ENSG00000215114,0.00130431,0.092358288,FALSE,0.203782517,FALSE,FALSE,TRUE,FALSE,UBXN2B
A08_55345985,ENSG00000181035,0.000671295,0.155002787,TRUE,0.184505997,FALSE,FALSE,TRUE,FALSE,SLC25A42
A08_55355986,ENSG00000113558,0.001043675,0.12472058,FALSE,0.191935958,FALSE,FALSE,TRUE,FALSE,SKP1
A08_55375988,ENSG00000158615,0.000124811,0.143662413,TRUE,0.032614565,TRUE,TRUE,FALSE,FALSE,PPP1R15B
A08_55385989,ENSG00000071894,0.000746916,0.125008536,FALSE,0.010367046,TRUE,FALSE,TRUE,FALSE,CPSF1
A08_55395990,ENSG00000177990,0.001307216,0.170236387,TRUE,0.165567856,FALSE,FALSE,TRUE,FALSE,DPY19L2
A08_55405991,ENSG00000067365,0.000815076,0.345412288,TRUE,2.44E-10,TRUE,TRUE,FALSE,TRUE,METTL22
A08_6720,ENSG00000114346,0.0005201,0.130299467,FALSE,0.107526276,FALSE,FALSE,TRUE,FALSE,ECT2
A08_6725,ENSG00000058600,0.003831802,0.140254707,TRUE,0.615235212,FALSE,FALSE,TRUE,FALSE,POLR3E
A08_6745,ENSG00000188486,0.002354451,0.180358474,TRUE,0.046603309,TRUE,TRUE,FALSE,FALSE,H2AFX
A09_55185977,ENSG00000167380,0.00109728,0.16683687,TRUE,0.184598693,FALSE,FALSE,TRUE,TRUE,ZNF226
A09_55195978,ENSG00000135636,4.61E-05,0.124217326,FALSE,0.162106603,FALSE,FALSE,TRUE,FALSE,DYSF
A09_55205980,ENSG00000018869,2.67E-05,0.107617949,FALSE,0.302357884,FALSE,FALSE,TRUE,FALSE,ZNF582
A09_55215982,ENSG00000148737,0.001332504,0.167782619,TRUE,0.004863069,TRUE,TRUE,FALSE,TRUE,TCF7L2
A09_55235979,ENSG00000175931,2.27E-05,0.141888964,TRUE,0.732973499,FALSE,FALSE,TRUE,FALSE,UBE2O
