well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,perc_var_rng_wilcoxon_p_adj,pass_percvar_rng,mean_percvar_diff_from_random,pass_median_diff,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
A01_55185977,ENSG00000158321,0.001229994,0.077808501,FALSE,0.216253265,FALSE,1321,FALSE,-0.014271481,FALSE,FALSE,TRUE,FALSE,AUTS2
A01_55195978,ENSG00000136108,0.000985538,0.164785881,TRUE,0.005797554,TRUE,3.80E-161,TRUE,0.074284804,TRUE,TRUE,FALSE,FALSE,CKAP2
A01_55215982,ENSG00000138347,0.003029872,0.174489955,TRUE,0.00603084,TRUE,2.20E-162,TRUE,0.076580844,TRUE,TRUE,FALSE,TRUE,MYPN
A01_55225983,ENSG00000111605,0.004849099,0.109277175,FALSE,0.457397978,FALSE,3.11E-63,TRUE,0.010383106,FALSE,FALSE,TRUE,FALSE,CPSF6
A01_55235979,ENSG00000106012,0.000972253,0.560010826,TRUE,6.36E-15,TRUE,2.20E-162,TRUE,0.465607578,TRUE,TRUE,FALSE,TRUE,IQCE
A01_55245981,ENSG00000168159,0.006087032,0.351555708,TRUE,4.30E-09,TRUE,2.20E-162,TRUE,0.254793753,TRUE,TRUE,FALSE,TRUE,RNF187
A01_55365987,ENSG00000214212,0.000265637,0.102367874,FALSE,0.442006537,FALSE,2.80E-20,TRUE,0.00709097,FALSE,FALSE,TRUE,FALSE,C19orf38
A01_55375988,ENSG00000166347,8.96E-06,0.116089333,FALSE,0.154172281,FALSE,7.01E-91,TRUE,0.019724351,FALSE,FALSE,TRUE,FALSE,CYB5A
A01_55395990,ENSG00000180822,0.000104157,0.098044372,FALSE,0.042213602,TRUE,0.600665734,FALSE,0.001188219,FALSE,FALSE,TRUE,FALSE,PSMG4
A01_55405991,ENSG00000128422,0.006633499,0.218034248,TRUE,1.11E-05,TRUE,2.20E-162,TRUE,0.121497441,TRUE,TRUE,FALSE,TRUE,KRT17
A01_6719,ENSG00000196839,0.002086866,0.141221813,TRUE,0.47727735,FALSE,5.58E-160,TRUE,0.044064295,FALSE,FALSE,TRUE,FALSE,ADA
A01_6736,ENSG00000101115,1.55E-06,0.216017273,TRUE,0.000104818,TRUE,2.20E-162,TRUE,0.121502393,TRUE,TRUE,FALSE,FALSE,SALL4
A02_55185977,ENSG00000189060,0.024857012,0.200127135,TRUE,0.001797495,TRUE,2.24E-162,TRUE,0.106837816,TRUE,TRUE,FALSE,TRUE,H1F0
A02_55205980,ENSG00000118292,4.24E-05,0.100344963,FALSE,0.756436722,FALSE,2.48E-13,TRUE,0.003674386,FALSE,FALSE,TRUE,FALSE,C1orf54
A02_55225983,ENSG00000138614,0.00328864,0.139287449,TRUE,0.012267009,TRUE,1.45E-160,TRUE,0.041874064,FALSE,FALSE,TRUE,FALSE,INTS14
A02_55235979,ENSG00000163644,0.000217159,0.164665104,TRUE,0.213224134,FALSE,1.21E-161,TRUE,0.071340425,TRUE,TRUE,FALSE,FALSE,PPM1K
A02_55245981,ENSG00000111912,0.001000287,0.107194759,FALSE,0.008576354,TRUE,1.06E-45,TRUE,0.010382398,FALSE,FALSE,TRUE,FALSE,NCOA7
A02_55335984,ENSG00000100744,0.000565161,0.14415006,TRUE,0.32525172,FALSE,3.99E-157,TRUE,0.04892302,FALSE,FALSE,TRUE,FALSE,GSKIP
A02_55345985,ENSG00000171421,6.88E-05,0.098114362,FALSE,0.061689719,FALSE,0.197295514,FALSE,0.001513535,FALSE,FALSE,TRUE,FALSE,MRPL36
A02_55355986,ENSG00000167065,0.097174475,0.938879031,TRUE,1.70E-35,TRUE,2.20E-162,TRUE,0.843506214,TRUE,TRUE,FALSE,TRUE,DUSP18
A02_55365987,ENSG00000165156,0.000386658,0.117105802,FALSE,0.46135811,FALSE,6.55E-108,TRUE,0.020860178,FALSE,FALSE,TRUE,FALSE,ZHX1
A02_55375988,ENSG00000213638,5.31E-05,0.117467832,FALSE,0.22415739,FALSE,4.42E-109,TRUE,0.021876382,FALSE,FALSE,TRUE,FALSE,ADAT3
A02_55385989,ENSG00000105372,2.24E-05,0.169301308,TRUE,0.031781752,TRUE,2.46E-162,TRUE,0.073295708,TRUE,TRUE,FALSE,TRUE,RPS19
A02_55405991,ENSG00000177311,0.000287345,0.080606562,FALSE,0.607894161,FALSE,1321,FALSE,-0.015612599,FALSE,FALSE,TRUE,FALSE,ZBTB38
A02_6736,ENSG00000076201,0.000158424,0.131365718,TRUE,4.27E-06,TRUE,1.55E-156,TRUE,0.036411613,FALSE,FALSE,TRUE,FALSE,PTPN23
A02_75846286,ENSG00000189221,2.99E-05,0.089701926,FALSE,0.353256621,FALSE,1228.468421,FALSE,-0.003134787,FALSE,FALSE,TRUE,FALSE,MAOA
A03_55185977,ENSG00000147231,0.000185215,0.157044568,TRUE,0.001717888,TRUE,3.29E-162,TRUE,0.063682172,TRUE,TRUE,FALSE,FALSE,RADX
A03_55195978,ENSG00000143217,7.83E-05,0.097987292,FALSE,0.513676422,FALSE,0.000295611,TRUE,0.002190647,FALSE,FALSE,TRUE,FALSE,NECTIN4
A03_55205980,ENSG00000179104,0.000480955,0.128493044,TRUE,0.223341935,FALSE,1.05E-151,TRUE,0.030953098,FALSE,FALSE,TRUE,FALSE,TMTC2
A03_55235979,ENSG00000197776,6.75E-05,0.161418625,TRUE,0.247014513,FALSE,3.73E-160,TRUE,0.071766696,TRUE,TRUE,FALSE,FALSE,KLHDC1
A03_55345985,ENSG00000177352,0.001386253,0.150350039,TRUE,0.392097715,FALSE,1.56E-161,TRUE,0.053737722,TRUE,TRUE,FALSE,FALSE,CCDC71
A03_55355986,ENSG00000166123,0.000434811,0.102207026,FALSE,0.196828641,FALSE,7.80E-14,TRUE,0.005510787,FALSE,FALSE,TRUE,FALSE,GPT2
A03_55365987,ENSG00000108592,0.009282733,0.08690136,FALSE,0.021536828,TRUE,1321,FALSE,-0.008015775,FALSE,FALSE,TRUE,FALSE,FTSJ3
A03_55375988,ENSG00000183011,0.000119821,0.166675029,TRUE,0.304487175,FALSE,4.06E-162,TRUE,0.07071279,TRUE,TRUE,FALSE,FALSE,NAA38
A03_55395990,ENSG00000127418,0.001745105,0.13433764,TRUE,0.039603514,TRUE,1.13E-158,TRUE,0.039754243,FALSE,FALSE,TRUE,FALSE,FGFRL1
A03_6731,ENSG00000008311,9.15E-05,0.548791281,TRUE,7.91E-15,TRUE,2.20E-162,TRUE,0.452928546,TRUE,TRUE,FALSE,FALSE,AASS
A03_75846286,ENSG00000138050,5.02E-05,0.300109367,TRUE,1.61E-08,TRUE,2.20E-162,TRUE,0.203873387,TRUE,TRUE,FALSE,TRUE,THUMPD2
A04_55185977,ENSG00000147256,7.77E-05,0.386037873,TRUE,0.001036974,TRUE,2.20E-162,TRUE,0.292771794,TRUE,TRUE,FALSE,TRUE,ARHGAP36
A04_55195978,ENSG00000116031,2.62E-05,0.082122343,FALSE,0.334552198,FALSE,1321,FALSE,-0.010268083,FALSE,FALSE,TRUE,FALSE,CD207
A04_55205980,ENSG00000120278,0.000618175,0.184649781,TRUE,0.050145561,FALSE,2.20E-162,TRUE,0.08805314,TRUE,TRUE,FALSE,TRUE,PLEKHG1
A04_55215982,ENSG00000176928,0.000168249,0.153533167,TRUE,0.010664513,TRUE,2.35E-162,TRUE,0.056293162,TRUE,TRUE,FALSE,FALSE,GCNT4
A04_55225983,ENSG00000078328,0.001522474,0.111246862,FALSE,0.203160144,FALSE,1.47E-75,TRUE,0.014092503,FALSE,FALSE,TRUE,FALSE,RBFOX1
A04_55235979,ENSG00000147874,0.000455519,0.153601903,TRUE,0.039603514,TRUE,8.61E-154,TRUE,0.061648178,TRUE,TRUE,FALSE,FALSE,HAUS6
A04_55245981,ENSG00000064933,0.000537259,0.172899267,TRUE,0.016671758,TRUE,2.26E-162,TRUE,0.077578933,TRUE,TRUE,FALSE,FALSE,PMS1
A04_55335984,ENSG00000096968,0.000649497,0.105963009,FALSE,0.734869188,FALSE,4.09E-39,TRUE,0.008175021,FALSE,FALSE,TRUE,FALSE,JAK2
A04_55345985,ENSG00000179918,0.001011468,0.129769933,TRUE,0.008188708,TRUE,8.36E-151,TRUE,0.034985988,FALSE,FALSE,TRUE,FALSE,SEPHS2
A04_55355986,ENSG00000181513,0.001374085,0.140774425,TRUE,0.001301165,TRUE,1.01E-158,TRUE,0.045369867,FALSE,FALSE,TRUE,FALSE,ACBD4
A04_55375988,ENSG00000116793,6.83E-05,0.157873394,TRUE,0.107729874,FALSE,3.06E-161,TRUE,0.062749768,TRUE,TRUE,FALSE,FALSE,PHTF1
A04_55395990,ENSG00000158125,0.000636712,0.165530087,TRUE,0.002255447,TRUE,2.64E-162,TRUE,0.069439531,TRUE,TRUE,FALSE,TRUE,XDH
A04_55405991,ENSG00000073578,0.000185019,0.095569217,FALSE,0.021618442,TRUE,228.3528903,FALSE,-0.000488816,FALSE,FALSE,TRUE,FALSE,SDHA
A04_75836284,ENSG00000136404,9.16E-06,0.183346561,TRUE,0.618000519,FALSE,2.48E-162,TRUE,0.090550329,TRUE,TRUE,FALSE,FALSE,TM6SF1
A05_55185977,ENSG00000121152,0.000664625,0.191455337,TRUE,0.073229104,FALSE,3.87E-162,TRUE,0.100818874,TRUE,TRUE,FALSE,TRUE,NCAPH
A05_55195978,ENSG00000136114,1.87E-05,0.11249057,FALSE,0.770879046,FALSE,5.67E-81,TRUE,0.022418265,FALSE,FALSE,TRUE,FALSE,THSD1
A05_55205980,ENSG00000100479,0.000348007,0.071424208,FALSE,0.299535775,FALSE,1321,FALSE,-0.018732993,FALSE,FALSE,TRUE,FALSE,POLE2
A05_55215982,ENSG00000041802,0.005170603,0.13979358,TRUE,0.324933128,FALSE,6.11E-161,TRUE,0.042973399,FALSE,FALSE,TRUE,FALSE,LSG1
A05_55225983,ENSG00000152229,0.000960088,0.118241747,FALSE,0.022092693,TRUE,1.03E-125,TRUE,0.022494171,FALSE,FALSE,TRUE,FALSE,PSTPIP2
A05_55235979,ENSG00000187607,6.86E-05,0.134367435,TRUE,0.210240452,FALSE,7.05E-141,TRUE,0.040872922,FALSE,FALSE,TRUE,TRUE,ZNF286A
A05_55335984,ENSG00000006704,0.00068892,0.224839758,TRUE,0.003810011,TRUE,2.20E-162,TRUE,0.128275461,TRUE,TRUE,FALSE,TRUE,GTF2IRD1
A05_55345985,ENSG00000211450,0.001394424,0.151446348,TRUE,0.098323044,FALSE,1.62E-161,TRUE,0.057226632,TRUE,TRUE,FALSE,FALSE,SELENOH
A05_55355986,ENSG00000158480,0.000388128,0.108415595,FALSE,0.121835218,FALSE,2.16E-49,TRUE,0.012679182,FALSE,FALSE,TRUE,FALSE,SPATA2
A05_55365987,ENSG00000082482,0.00036123,0.125938283,TRUE,0.05654692,FALSE,5.20E-131,TRUE,0.03050553,FALSE,FALSE,TRUE,FALSE,KCNK2
A05_55375988,ENSG00000134602,0.004470135,0.265346457,TRUE,5.54E-05,TRUE,2.20E-162,TRUE,0.170654067,TRUE,TRUE,FALSE,TRUE,STK26
A05_55385989,ENSG00000135119,0.000142809,0.157197119,TRUE,0.000689438,TRUE,2.32E-161,TRUE,0.060948236,TRUE,TRUE,FALSE,TRUE,RNFT2
A05_55395990,ENSG00000241484,0.000695379,0.192250132,TRUE,7.99E-05,TRUE,2.23E-162,TRUE,0.095599303,TRUE,TRUE,FALSE,TRUE,ARHGAP8
A05_55405991,ENSG00000108602,0.000315598,0.1493388,TRUE,0.011822614,TRUE,2.82E-161,TRUE,0.052872799,TRUE,TRUE,FALSE,TRUE,ALDH3A1
A05_6717,ENSG00000053702,0.00170709,0.195592094,TRUE,0.151562759,FALSE,2.20E-162,TRUE,0.099241019,TRUE,TRUE,FALSE,FALSE,NRIP2
A05_6718,ENSG00000139344,0.000286195,0.152006851,TRUE,0.150001703,FALSE,1.96E-160,TRUE,0.056968138,TRUE,TRUE,FALSE,FALSE,AMDHD1
A05_6736,ENSG00000101290,1.58E-05,0.147733241,TRUE,0.291591706,FALSE,4.22E-159,TRUE,0.051968607,TRUE,TRUE,FALSE,FALSE,CDS2
A06_55195978,ENSG00000157103,1.71E-05,0.104278886,FALSE,0.542016373,FALSE,2.47E-32,TRUE,0.009103474,FALSE,FALSE,TRUE,FALSE,SLC6A1
A06_55205980,ENSG00000157191,4.74E-05,0.110098182,FALSE,0.124947022,FALSE,5.40E-77,TRUE,0.017401621,FALSE,FALSE,TRUE,FALSE,NECAP2
A06_55215982,ENSG00000180104,5.42E-05,0.16716453,TRUE,0.077320528,FALSE,2.20E-162,TRUE,0.070184252,TRUE,TRUE,FALSE,FALSE,EXOC3
A06_55225983,ENSG00000110104,0.010233322,0.117332599,FALSE,0.106121524,FALSE,8.04E-114,TRUE,0.020897783,FALSE,FALSE,TRUE,FALSE,CCDC86
A06_55235979,ENSG00000124813,5.88E-05,0.109341988,FALSE,0.107948595,FALSE,5.02E-58,TRUE,0.015683466,FALSE,FALSE,TRUE,FALSE,RUNX2
A06_55245981,ENSG00000077549,0.001199026,0.089094304,FALSE,0.790529807,FALSE,1321,FALSE,-0.00756584,FALSE,FALSE,TRUE,FALSE,CAPZB
A06_55335984,ENSG00000141506,0.00013342,0.152596024,TRUE,0.064878673,FALSE,1.50E-161,TRUE,0.056217437,TRUE,TRUE,FALSE,FALSE,PIK3R5
A06_55345985,ENSG00000274349,0.000215888,0.114481988,FALSE,0.042907452,TRUE,3.28E-83,TRUE,0.018961688,FALSE,FALSE,TRUE,FALSE,ZNF658
A06_55355986,ENSG00000185507,0.000150225,0.10913511,FALSE,0.071673096,FALSE,2.84E-56,TRUE,0.012268695,FALSE,FALSE,TRUE,FALSE,IRF7
A06_55375988,ENSG00000161956,0.000259446,0.239989967,TRUE,0.335343957,FALSE,2.20E-162,TRUE,0.144893307,TRUE,TRUE,FALSE,FALSE,SENP3
A06_55395990,ENSG00000160539,5.03E-05,0.104387936,FALSE,0.749004303,FALSE,1.78E-40,TRUE,0.009260973,FALSE,FALSE,TRUE,FALSE,PLPP7
A06_55405991,ENSG00000122642,0.000377207,0.14288133,TRUE,0.002704191,TRUE,5.65E-159,TRUE,0.046638465,FALSE,FALSE,TRUE,FALSE,FKBP9
A06_6717,ENSG00000111615,4.24E-05,0.134671588,TRUE,0.186140935,FALSE,9.12E-156,TRUE,0.038577447,FALSE,FALSE,TRUE,FALSE,KRR1
A06_75846286,ENSG00000197712,0.000198942,0.118566202,FALSE,0.408493174,FALSE,1.28E-130,TRUE,0.021346154,FALSE,FALSE,TRUE,FALSE,FAM114A1
A07_55195978,ENSG00000213853,0.000140598,0.065165879,FALSE,0.839602669,FALSE,1321,FALSE,-0.024064053,FALSE,FALSE,TRUE,FALSE,EMP2
A07_55205980,ENSG00000162396,4.90E-06,0.155787771,TRUE,0.604733686,FALSE,2.04E-159,TRUE,0.062934372,TRUE,TRUE,FALSE,FALSE,PARS2
A07_55215982,ENSG00000159335,0.003692055,0.116743732,FALSE,0.218756249,FALSE,5.04E-118,TRUE,0.019914927,FALSE,FALSE,TRUE,FALSE,PTMS
A07_55225983,ENSG00000112149,0.000177616,0.100368364,FALSE,0.41526462,FALSE,7.97E-08,TRUE,0.003509825,FALSE,FALSE,TRUE,FALSE,CD83
A07_55235979,ENSG00000166263,6.92E-05,0.088326106,FALSE,0.940865452,FALSE,1321,FALSE,-0.007811555,FALSE,FALSE,TRUE,FALSE,STXBP4
A07_55245981,ENSG00000154079,0.000130901,0.08534573,FALSE,0.242469198,FALSE,1321,FALSE,-0.009864394,FALSE,FALSE,TRUE,FALSE,SDHAF4
A07_55345985,ENSG00000136866,0.000215898,0.171324279,TRUE,0.034396555,TRUE,2.30E-162,TRUE,0.074842518,TRUE,TRUE,FALSE,FALSE,ZFP37
A07_55355986,ENSG00000139304,6.92E-05,0.115630915,FALSE,0.000304109,TRUE,7.90E-89,TRUE,0.019448894,FALSE,FALSE,TRUE,FALSE,PTPRQ
A07_55365987,ENSG00000071889,0.001660198,0.20567563,TRUE,3.53E-05,TRUE,2.20E-162,TRUE,0.109799869,TRUE,TRUE,FALSE,TRUE,FAM3A
A07_55375988,ENSG00000198517,8.81E-05,0.119282033,FALSE,0.163907227,FALSE,1.07E-125,TRUE,0.024631673,FALSE,FALSE,TRUE,FALSE,MAFK
A07_55385989,ENSG00000174282,0.001180673,0.09959378,FALSE,0.597579709,FALSE,2.83E-08,TRUE,0.003633349,FALSE,FALSE,TRUE,FALSE,ZBTB4
A07_55395990,ENSG00000169297,0.000153827,0.104982756,FALSE,0.083049551,FALSE,4.68E-34,TRUE,0.009418565,FALSE,FALSE,TRUE,FALSE,NR0B1
A07_55405991,ENSG00000069275,0.00145464,0.176079593,TRUE,0.003305573,TRUE,2.20E-162,TRUE,0.079792433,TRUE,TRUE,FALSE,TRUE,NUCKS1
A07_6717,ENSG00000010704,8.64E-05,0.11296784,FALSE,0.124310207,FALSE,1.36E-87,TRUE,0.017757487,FALSE,FALSE,TRUE,FALSE,HFE
A07_75836284,ENSG00000130635,0.000245244,0.102852101,FALSE,0.285450769,FALSE,2.02E-21,TRUE,0.006252572,FALSE,FALSE,TRUE,FALSE,COL5A1
A07_75846286,ENSG00000165730,0.000241029,0.077668342,FALSE,0.142114833,FALSE,1321,FALSE,-0.018824633,FALSE,FALSE,TRUE,FALSE,STOX1
A08_55185977,ENSG00000164120,0.000121366,0.18689399,TRUE,0.023592182,TRUE,3.32E-162,TRUE,0.098537612,TRUE,TRUE,FALSE,TRUE,HPGD
A08_55195978,ENSG00000059758,0.000465712,0.214638902,TRUE,2.88E-05,TRUE,2.20E-162,TRUE,0.120197179,TRUE,TRUE,FALSE,TRUE,CDK17
A08_55205980,ENSG00000181450,0.000456896,0.342312162,TRUE,1.90E-06,TRUE,2.20E-162,TRUE,0.246031538,TRUE,TRUE,FALSE,TRUE,ZNF678
A08_55215982,ENSG00000061794,0.000649991,0.117820982,FALSE,0.061865832,FALSE,2.03E-117,TRUE,0.021260619,FALSE,FALSE,TRUE,FALSE,MRPS35
A08_55225983,ENSG00000183044,0.001832674,0.059373421,FALSE,0.615235212,FALSE,1321,FALSE,-0.035812104,FALSE,FALSE,TRUE,FALSE,ABAT
A08_55235979,ENSG00000162302,0.000769465,0.112881835,FALSE,0.492729071,FALSE,3.60E-76,TRUE,0.022495377,FALSE,FALSE,TRUE,FALSE,RPS6KA4
A08_55245981,ENSG00000011021,0.005301632,0.142813617,TRUE,0.867048738,FALSE,1.54E-160,TRUE,0.045954107,FALSE,FALSE,TRUE,FALSE,CLCN6
A08_55335984,ENSG00000215114,0.00130431,0.096834485,FALSE,0.203782517,FALSE,0.216189563,FALSE,0.001623672,FALSE,FALSE,TRUE,FALSE,UBXN2B
A08_55345985,ENSG00000181035,0.000671295,0.122800778,FALSE,0.184505997,FALSE,5.20E-121,TRUE,0.027940661,FALSE,FALSE,TRUE,FALSE,SLC25A42
A08_55355986,ENSG00000113558,0.001043675,0.130110041,TRUE,0.191935958,FALSE,7.91E-145,TRUE,0.033486903,FALSE,FALSE,TRUE,FALSE,SKP1
A08_55375988,ENSG00000158615,0.000124811,0.13783343,TRUE,0.032614565,TRUE,1.45E-156,TRUE,0.041856846,FALSE,FALSE,TRUE,FALSE,PPP1R15B
A08_55385989,ENSG00000071894,0.000746916,0.115696535,FALSE,0.010367046,TRUE,8.21E-102,TRUE,0.021052079,FALSE,FALSE,TRUE,FALSE,CPSF1
A08_55395990,ENSG00000177990,0.001307216,0.184420342,TRUE,0.165567856,FALSE,2.26E-162,TRUE,0.089500293,TRUE,TRUE,FALSE,FALSE,DPY19L2
A08_55405991,ENSG00000067365,0.000815076,0.298943086,TRUE,2.44E-10,TRUE,2.20E-162,TRUE,0.202798492,TRUE,TRUE,FALSE,TRUE,METTL22
A08_6720,ENSG00000114346,0.0005201,0.113849075,FALSE,0.107526276,FALSE,2.68E-88,TRUE,0.019841173,FALSE,FALSE,TRUE,FALSE,ECT2
A08_6725,ENSG00000058600,0.003831802,0.176598519,TRUE,0.615235212,FALSE,2.33E-162,TRUE,0.081887159,TRUE,TRUE,FALSE,FALSE,POLR3E
A08_6745,ENSG00000188486,0.002354451,0.175758692,TRUE,0.046603309,TRUE,2.44E-162,TRUE,0.082454246,TRUE,TRUE,FALSE,FALSE,H2AFX
A09_55185977,ENSG00000167380,0.00109728,0.137074601,TRUE,0.184598693,FALSE,1.22E-136,TRUE,0.051571266,TRUE,TRUE,FALSE,TRUE,ZNF226
