well_plate,ENSG,var_comp,perc_var_comp,pass_percvar,wp_comp_kruskal_gaussccd_adj,pass_gauss,perc_var_rng_wilcoxon_p_adj,pass_percvar_rng,ccd_comp,nonccd_comp,wp_prev_ccd,gene_name
A01_55185977,ENSG00000158321,0.001229994,0.256148908,TRUE,0.216253265,FALSE,3.48E-07,FALSE,FALSE,TRUE,FALSE,AUTS2
A01_55195978,ENSG00000136108,0.000985538,0.223495109,TRUE,0.005797554,TRUE,2.13E-146,TRUE,TRUE,FALSE,FALSE,CKAP2
A01_55215982,ENSG00000138347,0.003029872,0.150357623,TRUE,0.00603084,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,MYPN
A01_55225983,ENSG00000111605,0.004849099,0.11515402,FALSE,0.457397978,FALSE,1.18E-71,TRUE,FALSE,TRUE,FALSE,CPSF6
A01_55235979,ENSG00000106012,0.000972253,0.574469984,TRUE,6.36E-15,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,IQCE
A01_55245981,ENSG00000168159,0.006087032,0.414631649,TRUE,4.30E-09,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,RNF187
A01_55365987,ENSG00000214212,0.000265637,0.114678832,FALSE,0.442006537,FALSE,9.68E-34,TRUE,FALSE,TRUE,FALSE,C19orf38
A01_55375988,ENSG00000166347,8.96E-06,0.098905071,FALSE,0.154172281,FALSE,1.65E-128,TRUE,FALSE,TRUE,FALSE,CYB5A
A01_55395990,ENSG00000180822,0.000104157,0.09434467,FALSE,0.042213602,TRUE,6.90E-20,TRUE,FALSE,TRUE,FALSE,PSMG4
A01_55405991,ENSG00000128422,0.006633499,0.277525931,TRUE,1.11E-05,TRUE,2.55E-164,TRUE,TRUE,FALSE,TRUE,KRT17
A01_6719,ENSG00000196839,0.002086866,0.109657087,FALSE,0.47727735,FALSE,9.33E-163,TRUE,FALSE,TRUE,FALSE,ADA
A01_6736,ENSG00000101115,1.55E-06,0.221148849,TRUE,0.000104818,TRUE,2.55E-164,TRUE,TRUE,FALSE,FALSE,SALL4
A02_55185977,ENSG00000189060,0.024857012,0.268116397,TRUE,0.001797495,TRUE,8.56E-164,TRUE,TRUE,FALSE,TRUE,H1F0
A02_55205980,ENSG00000118292,4.24E-05,0.079753861,FALSE,0.756436722,FALSE,7.00E-52,TRUE,FALSE,TRUE,FALSE,C1orf54
A02_55225983,ENSG00000138614,0.00328864,0.127299886,FALSE,0.012267009,TRUE,2.95E-164,TRUE,FALSE,TRUE,FALSE,INTS14
A02_55235979,ENSG00000163644,0.000217159,0.162089062,TRUE,0.213224134,FALSE,3.43E-164,TRUE,FALSE,TRUE,FALSE,PPM1K
A02_55245981,ENSG00000111912,0.001000287,0.065964686,FALSE,0.008576354,TRUE,5.36E-84,TRUE,FALSE,TRUE,FALSE,NCOA7
