,fucci_time,cell
0,0.0,379
1,0.0,664
2,0.0,10
3,0.001,294
4,0.002,63
5,0.003,539
6,0.004,93
7,0.005,469
8,0.006,326
9,0.006,49
10,0.006999999999999999,349
11,0.008,328
12,0.009000000000000001,911
13,0.01,219
14,0.011000000000000001,57
15,0.012,81
16,0.013000000000000001,90
17,0.013000000000000001,99
18,0.013999999999999999,106
19,0.015,262
20,0.016,39
21,0.017,354
22,0.018000000000000002,4
23,0.019,502
24,0.02,33
25,0.02,236
26,0.021,164
27,0.022000000000000002,663
28,0.023,181
29,0.024,311
30,0.025,55
31,0.026000000000000002,458
32,0.027000000000000003,593
33,0.027000000000000003,530
34,0.027999999999999997,771
35,0.028999999999999998,567
36,0.03,199
37,0.031,141
38,0.032,340
39,0.033,285
40,0.034,591
41,0.034,222
42,0.035,710
43,0.036000000000000004,657
44,0.037000000000000005,735
45,0.038,600
46,0.039,330
47,0.04,166
48,0.040999999999999995,610
49,0.040999999999999995,89
50,0.042,103
51,0.043,348
52,0.044000000000000004,189
53,0.045,264
54,0.046,268
55,0.047,252
56,0.047,251
57,0.048,84
58,0.049,475
59,0.05,506
60,0.051,210
61,0.052000000000000005,824
62,0.053,604
63,0.054000000000000006,770
64,0.054000000000000006,344
65,0.055,228
66,0.055999999999999994,408
67,0.057,263
68,0.057999999999999996,598
69,0.059000000000000004,514
70,0.06,973
71,0.061,696
72,0.061,918
73,0.062,495
74,0.063,253
75,0.064,531
76,0.065,685
77,0.066,393
78,0.067,635
79,0.068,697
80,0.068,92
81,0.069,424
82,0.07,134
83,0.071,364
84,0.07200000000000001,47
85,0.073,179
86,0.07400000000000001,617
87,0.075,575
88,0.075,441
89,0.076,737
90,0.077,442
91,0.078,573
92,0.079,807
93,0.08,557
94,0.081,58
95,0.08199999999999999,370
96,0.08199999999999999,350
97,0.083,465
98,0.084,259
99,0.085,258
100,0.086,197
101,0.087,372
102,0.08800000000000001,390
103,0.08900000000000001,507
104,0.08900000000000001,976
105,0.09,8
106,0.091,451
107,0.092,780
108,0.09300000000000001,20
109,0.094,967
110,0.095,241
111,0.095,649
112,0.096,882
113,0.09699999999999999,740
114,0.098,399
115,0.099,919
116,0.1,371
117,0.10099999999999999,1000
118,0.102,797
119,0.102,412
120,0.10300000000000001,445
121,0.10400000000000001,233
122,0.105,470
123,0.107,221
124,0.10800000000000001,243
125,0.109,959
126,0.109,82
127,0.11,718
128,0.111,601
129,0.11199999999999999,182
130,0.113,151
131,0.114,76
132,0.115,152
133,0.11599999999999999,886
134,0.11599999999999999,672
135,0.11699999999999999,706
136,0.11800000000000001,713
137,0.11900000000000001,281
138,0.12,69
139,0.121,989
140,0.122,751
141,0.12300000000000001,607
142,0.12300000000000001,373
143,0.124,791
144,0.125,205
145,0.126,958
146,0.127,365
147,0.128,218
148,0.129,332
149,0.13,642
150,0.13,675
151,0.131,139
152,0.132,36
153,0.133,707
154,0.134,679
155,0.135,107
156,0.136,415
157,0.136,927
158,0.13699999999999998,339
159,0.138,143
160,0.139,14
161,0.14,673
162,0.141,309
163,0.142,864
164,0.14300000000000002,275
165,0.14300000000000002,479
166,0.14400000000000002,471
167,0.145,765
168,0.146,646
169,0.147,794
170,0.14800000000000002,138
171,0.149,482
172,0.15,461
173,0.15,843
174,0.151,894
175,0.152,668
176,0.153,644
177,0.154,666
178,0.155,905
179,0.156,811
180,0.157,677
181,0.157,240
182,0.158,620
183,0.159,991
184,0.16,543
185,0.161,25
186,0.162,467
187,0.163,525
188,0.16399999999999998,388
189,0.16399999999999998,452
190,0.165,624
191,0.166,334
192,0.16699999999999998,178
193,0.168,419
194,0.16899999999999998,114
195,0.17,477
196,0.171,527
197,0.171,903
198,0.172,418
199,0.17300000000000001,732
200,0.174,45
201,0.175,848
202,0.17600000000000002,908
203,0.177,503
204,0.17800000000000002,21
205,0.17800000000000002,111
206,0.179,799
207,0.18,405
208,0.18100000000000002,939
209,0.182,162
210,0.183,855
211,0.184,15
212,0.184,376
213,0.185,53
214,0.18600000000000003,969
215,0.187,550
216,0.188,540
217,0.18899999999999997,813
218,0.19,946
219,0.191,290
220,0.191,54
221,0.192,940
222,0.193,981
223,0.19399999999999998,932
224,0.195,757
225,0.196,392
226,0.19699999999999998,125
227,0.198,342
228,0.198,982
229,0.19899999999999998,840
230,0.2,841
231,0.201,292
232,0.20199999999999999,289
233,0.203,214
234,0.204,789
235,0.205,300
236,0.205,755
237,0.20600000000000002,769
238,0.207,318
239,0.20800000000000002,960
240,0.209,343
241,0.21,650
242,0.21100000000000002,818
243,0.212,153
244,0.212,922
245,0.213,947
246,0.214,862
247,0.215,996
248,0.21600000000000003,362
249,0.217,952
250,0.218,682
251,0.21899999999999997,653
252,0.21899999999999997,177
253,0.22,355
254,0.221,857
255,0.222,563
256,0.223,878
257,0.22399999999999998,868
258,0.225,701
259,0.226,962
260,0.226,466
261,0.22699999999999998,861
262,0.228,980
263,0.22899999999999998,48
264,0.23,719
265,0.231,647
266,0.23199999999999998,297
267,0.23199999999999998,938
268,0.233,41
269,0.23399999999999999,898
270,0.235,998
271,0.23600000000000002,230
272,0.237,912
273,0.23800000000000002,948
274,0.239,758
275,0.239,274
276,0.24,484
277,0.24100000000000002,963
278,0.242,446
279,0.243,887
280,0.244,613
281,0.245,1005
282,0.24600000000000002,988
283,0.24600000000000002,589
284,0.247,893
285,0.248,961
286,0.249,546
287,0.25,533
288,0.251,630
289,0.252,633
290,0.253,953
291,0.253,457
292,0.254,720
293,0.255,450
294,0.256,941
295,0.257,31
296,0.258,308
297,0.259,890
298,0.26,26
299,0.26,455
300,0.261,934
301,0.262,74
302,0.263,743
303,0.264,80
304,0.265,489
305,0.266,854
306,0.267,859
307,0.267,997
308,0.26899999999999996,944
309,0.27,71
310,0.271,145
311,0.272,821
312,0.273,992
313,0.273,386
314,0.27399999999999997,970
315,0.275,599
316,0.276,78
317,0.27699999999999997,496
318,0.27899999999999997,945
319,0.28,942
320,0.28,383
321,0.281,921
322,0.282,943
323,0.28300000000000003,885
324,0.284,1001
325,0.285,781
326,0.28600000000000003,454
327,0.287,881
328,0.287,1003
329,0.28800000000000003,487
330,0.289,3
331,0.29,254
332,0.29100000000000004,336
333,0.292,691
334,0.293,1006
335,0.294,505
336,0.294,888
337,0.295,756
338,0.29600000000000004,28
339,0.297,378
340,0.298,949
341,0.299,722
342,0.3,566
343,0.301,744
344,0.301,693
345,0.302,972
346,0.303,957
347,0.304,936
348,0.305,966
349,0.306,333
350,0.307,760
351,0.308,726
352,0.308,774
353,0.309,519
354,0.31,951
355,0.311,237
356,0.312,956
357,0.313,987
358,0.314,654
359,0.315,468
360,0.315,638
361,0.316,965
362,0.317,639
363,0.318,819
364,0.319,529
365,0.32,968
366,0.321,220
367,0.321,395
368,0.322,625
369,0.32299999999999995,684
370,0.324,990
371,0.325,131
372,0.326,731
373,0.327,999
374,0.32799999999999996,763
375,0.32799999999999996,779
376,0.32899999999999996,1004
377,0.33,977
378,0.331,984
379,0.332,174
380,0.33299999999999996,438
381,0.33399999999999996,994
382,0.335,933
383,0.335,401
384,0.336,56
385,0.337,1007
386,0.33799999999999997,950
387,0.33899999999999997,954
388,0.34,224
389,0.341,817
390,0.342,974
391,0.342,964
392,0.34299999999999997,937
393,0.344,337
394,0.345,669
395,0.34600000000000003,1002
396,0.34700000000000003,570
397,0.348,995
398,0.349,985
