,ENSG
0,ENSG00000138347
1,ENSG00000189060
2,ENSG00000105372
3,ENSG00000120278
4,ENSG00000158125
5,ENSG00000121152
6,ENSG00000187607
7,ENSG00000164120
8,ENSG00000167380
9,ENSG00000164941
10,ENSG00000103876
11,ENSG00000175573
12,ENSG00000142197
13,ENSG00000255112
14,ENSG00000160781
15,ENSG00000157916
16,ENSG00000185022
17,ENSG00000102316
18,ENSG00000005339
19,ENSG00000173599
20,ENSG00000125534
21,ENSG00000179528
22,ENSG00000102908
23,ENSG00000160710
24,ENSG00000107295
25,ENSG00000107581
26,ENSG00000089022
27,ENSG00000105204
28,ENSG00000168538
29,ENSG00000132530
30,ENSG00000168286
31,ENSG00000170345
32,ENSG00000167674
33,ENSG00000186185
34,ENSG00000126756
35,ENSG00000132405
36,ENSG00000069399
37,ENSG00000162772
38,ENSG00000090316
39,ENSG00000117724
40,ENSG00000197191
41,ENSG00000182674
42,ENSG00000214517
43,ENSG00000149503
44,ENSG00000122035
45,ENSG00000164904
46,ENSG00000173153
47,ENSG00000117419
48,ENSG00000117280
49,ENSG00000006634
50,ENSG00000109814
51,ENSG00000232112
52,ENSG00000204950
53,ENSG00000118495
54,ENSG00000156011
55,ENSG00000051382
56,ENSG00000130725
57,ENSG00000176731
58,ENSG00000131979
59,ENSG00000221944
60,ENSG00000158458
61,ENSG00000111786
62,ENSG00000124541
63,ENSG00000187514
64,ENSG00000139618
65,ENSG00000116991
66,ENSG00000185024
67,ENSG00000118971
68,ENSG00000204315
69,ENSG00000143476
70,ENSG00000087510
71,ENSG00000105576
72,ENSG00000148704
73,ENSG00000162069
74,ENSG00000170473
75,ENSG00000107554
76,ENSG00000105063
77,ENSG00000182325
78,ENSG00000140455
79,ENSG00000125968
80,ENSG00000100938
81,ENSG00000111615
82,ENSG00000143951
83,ENSG00000124788
84,ENSG00000129194
85,ENSG00000070476
86,ENSG00000197921
87,ENSG00000023892
88,ENSG00000165972
89,ENSG00000131061
90,ENSG00000143552
91,ENSG00000130522
92,ENSG00000185721
93,ENSG00000078043
94,ENSG00000162367
95,ENSG00000082701
96,ENSG00000011451
97,ENSG00000136936
98,ENSG00000104679
99,ENSG00000124688
100,ENSG00000108961
101,ENSG00000177853
102,ENSG00000178691
103,ENSG00000197757
104,ENSG00000106013
105,ENSG00000171161
106,ENSG00000168671
107,ENSG00000185002
108,ENSG00000132600
109,ENSG00000068796
110,ENSG00000070778
111,ENSG00000070669
112,ENSG00000005513
113,ENSG00000167470
114,ENSG00000182481
115,ENSG00000039319
116,ENSG00000188976
