protein_name,median_melting_point,transcript_reg,nontranscr_reg
(XM_371598) HYPOTHETICAL PROTEIN XP_371598.,50.81,False,False
14 KDA PROTEIN.,49.305,False,False
21 KDA PROTEIN.,52.65,False,False
37500,51.72,False,False
38961,52.4,False,False
39326,51.82,False,False
39692,51.95,False,False
40057,50.06,False,False
40422,51.24,False,False
40787,51.26,False,False
42 KDA PROTEIN.,52.79,False,False
42248,51.64,False,False
49 KDA PROTEIN.,48.35,False,False
A1CF,43.86,False,False
A2LD1,49.705,False,False
A2M,51.39,False,False
A7E2U1_HUMAN,46.995000000000005,False,False
AAAS,49.38,False,False
AACS,45.67,False,False
AADACL1,52.94,False,False
AADAT,51.68,False,False
AAGAB,51.945,False,False
AAK1,49.67,False,False
AAMDC,56.355000000000004,False,False
AAMP,52.33,False,False
AAR2,53.095,False,False
AARS,50.2,False,False
AARS2,46.25,False,False
AARSD1,48.515,False,False
AASDH,48.94,False,False
AASDHPPT,50.99,False,False
AASS,50.27,False,True
AATF,50.144999999999996,False,False
ABAT,51.86,False,False
ABCA1,49.28,False,False
ABCB1,50.325,False,False
ABCB10,51.4,False,False
ABCB11,50.42,False,False
ABCB6,50.6,False,False
ABCB7,50.09,False,False
ABCB8,50.62,False,False
ABCC1,51.95,False,False
ABCC10,50.61,False,False
ABCC2,49.75,False,False
ABCC3,51.51,False,False
ABCC4,52.61,False,False
ABCC5,50.96,False,False
ABCC6,49.92,False,False
ABCD1,47.68,False,False
ABCD3,49.98,False,False
ABCD4,51.02,False,False
ABCE1,54.69,False,False
ABCF1,49.96,False,False
ABCF2,50.09,False,False
ABCF3,45.68,False,False
ABHD10,52.48,False,False
ABHD11,50.65,False,False
ABHD12,50.95,False,False
ABHD13,53.12,False,False
ABHD14A,50.2,False,False
ABHD14B,51.89,False,False
ABHD16A,50.385,False,False
ABHD17A,53.64,False,False
ABHD4,47.52,False,False
ABHD5,51.55,False,False
ABHD6,47.42,False,False
ABI1,50.485,False,False
ABI2,51.16,False,False
ABL1,51.254999999999995,False,True
ABL2,46.51,False,False
ABLIM1,49.495000000000005,False,False
ABR,48.31,False,False
ABRACL,66.27,False,False
ABTB2,53.05,False,False
ACAA1,52.22,False,False
ACAA2,64.11,False,False
ACACA,47.845,False,False
ACACB,48.085,False,False
ACAD10,48.349999999999994,False,False
ACAD11,49.745000000000005,False,False
ACAD8,53.07,False,False
ACAD9,51.1,False,False
ACADM,52.76,False,False
ACADS,51.78,False,False
ACADSB,52.88,False,False
ACADVL,52.84,False,False
ACAP2,48.75,False,False
ACAP3,48.94,False,False
ACAT1,52.565,False,False
ACAT2,54.015,False,False
ACBD3,49.97,False,False
ACBD5,46.83,False,False
ACBD6,49.845,False,False
ACBD7,51.49,False,False
ACCS,57.165000000000006,False,False
ACD,53.19,False,False
ACIN1,47.925,False,False
ACLY,50.54,False,False
ACN9,50.67,False,False
ACO1,48.85,False,False
ACO2,50.03,False,False
ACOT1,52.45,False,False
ACOT11,49.89,False,False
ACOT13,59.71,False,False
ACOT2,49.71,False,False
ACOT7,59.5,False,False
ACOT8,51.71,False,False
ACOT9,51.13,False,False
ACOX1,52.19499999999999,False,False
ACOX2,51.32,False,False
ACOX3,51.44,False,False
ACP1,50.515,False,False
ACP2,54.43,False,False
ACP6,52.16,False,False
ACSF2,46.83,False,False
ACSF3,48.16,False,False
ACSL1,50.165,False,False
ACSL3,49.97,False,False
ACSL4,45.89,False,False
ACSL5,47.56,False,False
ACSL6,48.5,False,False
ACSM2B,47.85,False,False
ACSM3,46.8,False,False
ACSS1,50.03,False,False
ACSS2,50.83,False,False
ACSS3,51.05,False,False
ACTA1,55.485,False,False
ACTA2,55.9,False,False
ACTB,52.245000000000005,False,False
ACTBL2,51.65,False,False
ACTC1,51.269999999999996,False,False
ACTG1,55.345,False,False
ACTL6A,48.22,False,False
ACTN1,53.99,False,False
ACTN4,55.21,False,False
ACTR10,50.39,False,False
ACTR1A,50.84,False,False
ACTR1B,51.33,False,False
ACTR2,52.31,False,False
ACTR3,54.65,False,False
ACTR3B,54.08,False,False
ACTR5,46.03,False,False
ACTR6,47.14,False,False
ACTR8,43.599999999999994,False,False
ACVR1,48.96,False,False
ACY1,63.745,False,False
ACY3,49.74,False,False
ACYP1,53.99,False,False
ACYP2,51.88,False,False
ADA,58.230000000000004,False,False
ADAL,55.71,False,False
ADAM10,51.22,False,False
ADAM15,50.86,False,False
ADAM17,51.0,False,False
ADAM22,51.2,False,False
ADAM9,51.44,False,False
ADAMTS12,54.2,False,False
ADAMTSL4,50.95,False,False
ADAP1,49.55,False,False
ADAR,47.48,False,False
ADARB1,48.745,False,False
ADAT1,49.29,False,False
ADAT2,51.565,False,False
ADAT3,52.03,False,False
ADCK1,59.93,False,False
ADCK3,51.83,False,False
ADCK4,46.84,False,False
ADCK5,50.71,False,False
ADCY9,50.955,False,False
ADD1,59.845,False,False
ADD2,58.66,False,False
ADD3,61.435,False,False
ADFP,51.08,False,False
ADH1B,58.685,False,False
ADH5,56.34,False,False
ADI1,51.135000000000005,False,False
ADIPOR1,53.83,False,False
ADK,52.99,False,False
ADNP,45.14,False,False
ADNP2,43.995000000000005,False,False
ADO,53.32,False,False
ADPGK,53.34,False,False
ADPRH,52.67,False,False
ADPRHL2,50.16,False,False
ADRBK1,49.73,False,False
ADRBK2,49.41,False,False
ADRM1,49.37,False,False
ADSL,55.59,False,False
ADSS,55.65,False,False
ADSSL1,52.86,False,False
AEBP2,54.79,False,False
AES,51.85,False,False
AFAP1,56.71,False,False
AFAP1L2,56.03,False,False
AFF1,64.06,False,False
AFF4,48.85,False,False
AFG3L2,49.89,False,False
AFMID,48.1,False,False
AFP,52.09,False,False
AFTPH,49.73,False,False
AGAP1,49.935,False,False
AGAP3,48.49,False,False
AGFG1,51.6,False,False
AGFG2,46.08,False,False
AGGF1,63.625,False,False
AGK,50.62,False,False
AGL,49.39,False,False
AGO1,64.36,False,False
AGO2,68.46,False,False
AGPAT1,50.11,False,False
AGPAT2,49.46,False,False
AGPAT3,50.89,False,False
AGPAT4,50.705,False,False
AGPAT5,50.34,False,False
AGPAT6,50.849999999999994,False,False
AGPAT9,49.0,False,False
AGPS,50.065,False,False
AGR2,55.945,False,False
AGRN,50.96,False,False
AGT,52.0,False,False
AGTPBP1,51.19,False,False
AGTRAP,53.91,False,False
AGXT,57.415,False,False
AHCTF1,50.47,False,False
AHCY,57.435,False,False
AHCYL1,51.5,False,False
AHCYL2,52.08,False,False
AHI1,48.91,False,False
AHNAK,48.72,False,False
AHR,45.46,False,False
AHSA1,50.24,False,False
AHSG,51.54,False,False
AIDA,52.99,False,True
AIF1L,51.065,False,False
AIFM1,55.09,False,False
AIFM2,50.79,False,False
AIG1,51.51,False,False
AIM1,47.08,False,False
AIMP1,49.905,False,False
AIMP2,47.95,False,False
AIP,48.21,False,False
AJUBA,61.3,False,False
AK1,50.67,False,False
AK2,61.13,False,False
AK3,54.14,False,False
AK3L1,49.18,False,False
AK4,53.09,False,False
AKAP1,48.23,False,False
AKAP10,47.19,False,True
AKAP11,49.14,False,False
AKAP12,53.14,False,False
AKAP13,47.525000000000006,False,False
AKAP17A,48.9,False,False
AKAP6,49.55,False,False
AKAP7,50.29,False,False
AKAP8,47.545,False,False
AKAP8L,45.555,False,False
AKAP9,47.275,False,False
AKIRIN2,49.81,False,False
AKR1A1,51.04,False,False
AKR1B1,53.66,False,False
AKR1B10,52.88,False,False
AKR1B15,54.435,False,False
AKR1C1,47.04,False,False
AKR1C2,47.35,False,False
AKR1C3,48.89,False,False
AKR1C4,52.65,False,False
AKR1CL1,50.22,False,False
AKR1D1,47.620000000000005,False,False
AKR7A2,51.26,False,False
AKT1,48.46,False,False
AKT1S1,50.15,False,False
AKT2,49.09,False,False
AKT3,56.07,False,False
AKTIP,48.879999999999995,False,False
ALAD,51.005,False,False
ALAS1,48.62,False,False
ALDH16A1,51.89,False,False
