,ENSG
0,ENSG00000111605
1,ENSG00000214212
2,ENSG00000180822
3,ENSG00000101115
4,ENSG00000118292
5,ENSG00000138614
6,ENSG00000111912
7,ENSG00000100744
8,ENSG00000171421
9,ENSG00000165156
10,ENSG00000213638
11,ENSG00000076201
12,ENSG00000179104
13,ENSG00000177352
14,ENSG00000166123
15,ENSG00000183011
16,ENSG00000008311
17,ENSG00000116031
18,ENSG00000064933
19,ENSG00000179918
20,ENSG00000181513
21,ENSG00000116793
22,ENSG00000136404
23,ENSG00000041802
24,ENSG00000211450
25,ENSG00000158480
26,ENSG00000053702
27,ENSG00000110104
28,ENSG00000124813
29,ENSG00000077549
30,ENSG00000274349
31,ENSG00000185507
32,ENSG00000161956
33,ENSG00000160539
34,ENSG00000122642
35,ENSG00000111615
36,ENSG00000197712
37,ENSG00000162396
38,ENSG00000159335
39,ENSG00000112149
40,ENSG00000154079
41,ENSG00000136866
42,ENSG00000198517
43,ENSG00000174282
44,ENSG00000169297
45,ENSG00000130635
46,ENSG00000011021
47,ENSG00000215114
48,ENSG00000113558
49,ENSG00000158615
50,ENSG00000071894
51,ENSG00000177990
52,ENSG00000114346
53,ENSG00000135636
54,ENSG00000175931
55,ENSG00000077463
56,ENSG00000105176
57,ENSG00000118194
58,ENSG00000105393
59,ENSG00000137947
60,ENSG00000158161
61,ENSG00000108578
62,ENSG00000142552
63,ENSG00000174943
64,ENSG00000083812
65,ENSG00000104889
66,ENSG00000088833
67,ENSG00000097096
68,ENSG00000070770
69,ENSG00000225830
70,ENSG00000182670
71,ENSG00000118939
72,ENSG00000170775
73,ENSG00000128923
74,ENSG00000067829
75,ENSG00000127241
76,ENSG00000148935
77,ENSG00000119969
78,ENSG00000169744
79,ENSG00000120594
80,ENSG00000144354
81,ENSG00000105640
82,ENSG00000095739
83,ENSG00000021776
84,ENSG00000196588
85,ENSG00000196419
86,ENSG00000104299
87,ENSG00000123496
88,ENSG00000166483
89,ENSG00000100749
90,ENSG00000186198
91,ENSG00000164649
92,ENSG00000179008
93,ENSG00000132466
94,ENSG00000165501
95,ENSG00000156026
96,ENSG00000196652
97,ENSG00000115904
98,ENSG00000124496
99,ENSG00000141258
100,ENSG00000128731
101,ENSG00000010219
102,ENSG00000166526
103,ENSG00000118985
104,ENSG00000159216
105,ENSG00000189091
106,ENSG00000010803
107,ENSG00000248383
108,ENSG00000134013
109,ENSG00000125731
110,ENSG00000169180
111,ENSG00000116039
112,ENSG00000119729
113,ENSG00000114346
114,ENSG00000081479
115,ENSG00000099812
116,ENSG00000013573
117,ENSG00000074047
118,ENSG00000186111
119,ENSG00000187479
120,ENSG00000163348
121,ENSG00000196361
122,ENSG00000254470
123,ENSG00000186166
124,ENSG00000100749
125,ENSG00000111300
126,ENSG00000155792
127,ENSG00000185811
128,ENSG00000198356
129,ENSG00000174899
130,ENSG00000130921
131,ENSG00000171988
132,ENSG00000179111
133,ENSG00000212907
134,ENSG00000100297
135,ENSG00000007202
136,ENSG00000120071
137,ENSG00000107937
138,ENSG00000112981
139,ENSG00000182986
140,ENSG00000146463
141,ENSG00000046774
142,ENSG00000111011
143,ENSG00000176842
144,ENSG00000112576
145,ENSG00000155393
146,ENSG00000183248
147,ENSG00000131747
148,ENSG00000122882
149,ENSG00000129351
150,ENSG00000129460
151,ENSG00000131591
152,ENSG00000117054
153,ENSG00000077458
154,ENSG00000185477
155,ENSG00000154309
156,ENSG00000164853
157,ENSG00000147874
158,ENSG00000122952
159,ENSG00000102543
160,ENSG00000146950
161,ENSG00000100065
162,ENSG00000041880
163,ENSG00000050165
164,ENSG00000133731
165,ENSG00000096060
166,ENSG00000105486
167,ENSG00000144554
168,ENSG00000125484
169,ENSG00000095261
170,ENSG00000136813
171,ENSG00000100271
172,ENSG00000129422
173,ENSG00000151611
174,ENSG00000131652
175,ENSG00000187866
176,ENSG00000167548
177,ENSG00000172716
178,ENSG00000112319
179,ENSG00000145692
180,ENSG00000123213
181,ENSG00000107816
182,ENSG00000125966
183,ENSG00000122787
184,ENSG00000092853
185,ENSG00000184867
186,ENSG00000166343
187,ENSG00000114646
188,ENSG00000131931
189,ENSG00000164778
190,ENSG00000097007
191,ENSG00000159263
192,ENSG00000134815
193,ENSG00000184384
194,ENSG00000128951
195,ENSG00000168411
196,ENSG00000163608
197,ENSG00000172731
198,ENSG00000105220
199,ENSG00000117000
200,ENSG00000145391
201,ENSG00000158402
202,ENSG00000185869
203,ENSG00000170004
204,ENSG00000083123
205,ENSG00000120697
206,ENSG00000213965
207,ENSG00000117133
208,ENSG00000155621
209,ENSG00000175197
210,ENSG00000118492
211,ENSG00000133119
212,ENSG00000137434
213,ENSG00000215183
214,ENSG00000111846
215,ENSG00000109736
216,ENSG00000107864
217,ENSG00000083817
218,ENSG00000171462
219,ENSG00000117758
220,ENSG00000080345
221,ENSG00000122515
222,ENSG00000164951
223,ENSG00000164543
224,ENSG00000102921
225,ENSG00000152242
226,ENSG00000171405
227,ENSG00000143512
228,ENSG00000164535
229,ENSG00000135972
230,ENSG00000185808
231,ENSG00000117399
232,ENSG00000072682
233,ENSG00000025156
234,ENSG00000148291
235,ENSG00000196388
236,ENSG00000181090
237,ENSG00000172493
238,ENSG00000145425
239,ENSG00000146426
240,ENSG00000067369
241,ENSG00000169733
242,ENSG00000107742
243,ENSG00000086544
244,ENSG00000119950
245,ENSG00000071462
246,ENSG00000004866
247,ENSG00000102981
248,ENSG00000189241
249,ENSG00000165264
250,ENSG00000135414
251,ENSG00000084453
252,ENSG00000184640
253,ENSG00000117394
254,ENSG00000104522
255,ENSG00000162927
256,ENSG00000136243
257,ENSG00000177971
258,ENSG00000042088
259,ENSG00000169612
260,ENSG00000172465
261,ENSG00000128710
262,ENSG00000149761
263,ENSG00000165716
264,ENSG00000144485
265,ENSG00000123096
266,ENSG00000085231
267,ENSG00000114739
268,ENSG00000010539
269,ENSG00000204764
270,ENSG00000121413
271,ENSG00000251664
272,ENSG00000159069
273,ENSG00000198768
274,ENSG00000174444
275,ENSG00000115234
276,ENSG00000095380
277,ENSG00000177951
278,ENSG00000155034
279,ENSG00000152078
280,ENSG00000071564
281,ENSG00000080815
282,ENSG00000178127
283,ENSG00000153147
284,ENSG00000168116
285,ENSG00000106333
286,ENSG00000178307
287,ENSG00000142632
288,ENSG00000183166
289,ENSG00000137601
290,ENSG00000111875
291,ENSG00000157227
292,ENSG00000029153
293,ENSG00000132341
294,ENSG00000145934
295,ENSG00000119004
296,ENSG00000166477
297,ENSG00000137802
298,ENSG00000159231
299,ENSG00000130035
300,ENSG00000047056
301,ENSG00000136819
302,ENSG00000095319
303,ENSG00000067082
304,ENSG00000171766
305,ENSG00000163565
306,ENSG00000141552
307,ENSG00000243660
308,ENSG00000178685
309,ENSG00000183696
310,ENSG00000125149
311,ENSG00000074201
312,ENSG00000196482
313,ENSG00000104886
314,ENSG00000172171
315,ENSG00000134884
316,ENSG00000178878
317,ENSG00000103653
318,ENSG00000051596
319,ENSG00000120800
320,ENSG00000184967
321,ENSG00000129173
322,ENSG00000180543
323,ENSG00000119929
324,ENSG00000007545
325,ENSG00000153779
326,ENSG00000119632
327,ENSG00000152784
328,ENSG00000163602
329,ENSG00000141750
330,ENSG00000167461
331,ENSG00000118960
332,ENSG00000186603
333,ENSG00000137337
334,ENSG00000171488
335,ENSG00000172243
336,ENSG00000144857
337,ENSG00000185730
338,ENSG00000122557
339,ENSG00000118523
340,ENSG00000112667
341,ENSG00000153237
342,ENSG00000135373
343,ENSG00000183291
344,ENSG00000143379
345,ENSG00000053372
346,ENSG00000111641
347,ENSG00000138944
348,ENSG00000166411
349,ENSG00000249459
350,ENSG00000102699
351,ENSG00000266964
352,ENSG00000163781
353,ENSG00000132646
354,ENSG00000008382
355,ENSG00000160714
356,ENSG00000180287
357,ENSG00000179010
358,ENSG00000196391
359,ENSG00000169564
360,ENSG00000139219
361,ENSG00000128652
362,ENSG00000124207
363,ENSG00000175175
364,ENSG00000119725
365,ENSG00000150054
366,ENSG00000111834
367,ENSG00000164379
368,ENSG00000133878
369,ENSG00000109107
370,ENSG00000197915
371,ENSG00000122512
372,ENSG00000100362
373,ENSG00000135334
374,ENSG00000065183
375,ENSG00000079257
376,ENSG00000181938
377,ENSG00000124535
378,ENSG00000172292
379,ENSG00000078747
380,ENSG00000165084
381,ENSG00000111602
382,ENSG00000056998
383,ENSG00000143105
384,ENSG00000163431
385,ENSG00000119523
386,ENSG00000163874
387,ENSG00000276043
388,ENSG00000118407
389,ENSG00000145779
390,ENSG00000137074
391,ENSG00000128016
392,ENSG00000101457
393,ENSG00000187498
394,ENSG00000084774
395,ENSG00000140386
396,ENSG00000197024
397,ENSG00000172985
398,ENSG00000103381
399,ENSG00000183665
400,ENSG00000139405
401,ENSG00000105085
402,ENSG00000100156
403,ENSG00000138439
404,ENSG00000140259
405,ENSG00000006652
406,ENSG00000127952
407,ENSG00000112964
408,ENSG00000137449
409,ENSG00000124143
410,ENSG00000165684
411,ENSG00000006468
412,ENSG00000065243
413,ENSG00000149591
414,ENSG00000163249
415,ENSG00000152611
416,ENSG00000125508
417,ENSG00000152413
418,ENSG00000114993
419,ENSG00000003249
420,ENSG00000130311
421,ENSG00000143507
422,ENSG00000144959
423,ENSG00000163938
424,ENSG00000186451
425,ENSG00000041357
426,ENSG00000258429
427,ENSG00000166197
428,ENSG00000171150
429,ENSG00000144029
430,ENSG00000140577
431,ENSG00000177156
432,ENSG00000121897
433,ENSG00000106330
434,ENSG00000131095
435,ENSG00000147162
436,ENSG00000145247
437,ENSG00000253251
438,ENSG00000143578
439,ENSG00000164338
440,ENSG00000117222
441,ENSG00000096433
442,ENSG00000198081
443,ENSG00000169220
444,ENSG00000204103
445,ENSG00000171824
446,ENSG00000119630
447,ENSG00000198730
448,ENSG00000143507
449,ENSG00000167014
450,ENSG00000068654
451,ENSG00000165462
452,ENSG00000165061
453,ENSG00000167393
454,ENSG00000214274
455,ENSG00000004779
456,ENSG00000138029
457,ENSG00000075856
458,ENSG00000138376
459,ENSG00000108424
460,ENSG00000205078
461,ENSG00000073111
462,ENSG00000152061
463,ENSG00000138650
464,ENSG00000052749
465,ENSG00000135540
466,ENSG00000172932
467,ENSG00000116157
468,ENSG00000144895
469,ENSG00000137628
470,ENSG00000137343
471,ENSG00000183762
472,ENSG00000111802
473,ENSG00000171772
474,ENSG00000099250
475,ENSG00000149929
476,ENSG00000135698
477,ENSG00000163053
478,ENSG00000070495
479,ENSG00000132471
480,ENSG00000148399
481,ENSG00000108591
482,ENSG00000131370
483,ENSG00000126778
484,ENSG00000130707
485,ENSG00000154654
486,ENSG00000100105
487,ENSG00000182944
488,ENSG00000102760
489,ENSG00000158555
490,ENSG00000166797
491,ENSG00000172006
492,ENSG00000165792
493,ENSG00000141579
494,ENSG00000167112
495,ENSG00000115232
496,ENSG00000187416
497,ENSG00000087586
498,ENSG00000196420
499,ENSG00000004660
500,ENSG00000181789
501,ENSG00000164944
502,ENSG00000234616
503,ENSG00000167065
504,ENSG00000101639
505,ENSG00000145388
506,ENSG00000128849
507,ENSG00000111331
508,ENSG00000181666
509,ENSG00000145041
510,ENSG00000221843
511,ENSG00000100401
512,ENSG00000214274
513,ENSG00000183943
514,ENSG00000104325
515,ENSG00000036549
516,ENSG00000127419
517,ENSG00000138161
518,ENSG00000166912
519,ENSG00000110057
520,ENSG00000157601
521,ENSG00000131153
522,ENSG00000169016
523,ENSG00000177613
524,ENSG00000171408
525,ENSG00000170989
526,ENSG00000067057
527,ENSG00000037757
528,ENSG00000156261
529,ENSG00000146856
530,ENSG00000160180
531,ENSG00000137185
532,ENSG00000166261
533,ENSG00000177511
534,ENSG00000198952
535,ENSG00000164346
536,ENSG00000124098
537,ENSG00000198722
538,ENSG00000155868
