ENSG,well_plate_pair,sum(ccd),ccd_pair,gene_name
ENSG00000041357,"G02_55365987,H08_6720",0,"False,False",PSMA4
ENSG00000067369,"D02_6720,D06_55235979",1,"True,False",TP53BP1
ENSG00000085662,"E01_55205980,G02_6720",2,"True,True",AKR1B1
ENSG00000099812,"B07_6720,B08_55345985",1,"True,False",MISP
ENSG00000100401,"C10_6720,H06_55405991",1,"False,True",RANGAP1
ENSG00000100749,"B03_6736,B10_55195978",1,"True,False",VRK1
ENSG00000101639,"G02_55225983,H05_6720",1,"True,False",CEP192
ENSG00000102572,"H01_55205980,H02_6720",0,"False,False",STK24
ENSG00000107816,"C07_55335984,D06_6720",0,"False,False",LZTS2
ENSG00000110092,"C05_55205980,D08_6736",2,"True,True",CCND1
ENSG00000111615,"A06_6717,F03_55355986",0,"False,False",KRR1
ENSG00000111640,"G08_55375988,H08_6717",0,"False,False",GAPDH
ENSG00000111641,"E05_6720,F01_55225983",1,"True,False",NOP2
ENSG00000111716,"E04_6736,H04_75836284",0,"False,False",LDHB
ENSG00000112576,"C01_55365987,F08_6720",1,"False,True",CCND3
ENSG00000114346,"A08_6720,B07_55355986",0,"False,False",ECT2
ENSG00000115539,"A11_55195978,F01_6720",1,"False,True",PDCL3
ENSG00000119705,"D05_6736,E02_55235979",1,"False,True",SLIRP
ENSG00000119950,"B09_6720,D06_55365987",1,"True,False",MXI1
ENSG00000120738,"E03_6720,G02_55405991",0,"False,False",EGR1
ENSG00000122882,"C01_6720,F02_75836284",1,"True,False",ECD
ENSG00000124207,"C05_6720,F03_55405991",1,"True,False",CSE1L
ENSG00000124762,"B01_6735,E08_55185977",1,"True,False",CDKN1A
ENSG00000136243,"D08_55365987,D09_6720",1,"False,True",NUP42
ENSG00000136930,"D12_55355986,E08_6720",0,"False,False",PSMB7
ENSG00000141552,"C03_6720,E05_55205980",1,"True,False",ANAPC11
ENSG00000143507,"G01_6736,G08_55195978",1,"True,False",DUSP10
ENSG00000147874,"A04_55235979,C02_6720",2,"True,True",HAUS6
ENSG00000163565,"C04_55185977,E04_6734",1,"False,True",IFI16
ENSG00000163608,"C10_6717,F04_55395990",2,"True,True",NEPRO
ENSG00000167065,"A02_55355986,H05_6717",2,"True,True",DUSP18
ENSG00000172716,"C06_6736,D07_55235979",1,"True,False",SLFN11
ENSG00000178685,"E05_55355986,G07_6720",0,"False,False",PARP10
ENSG00000184640,"D07_6720,H11_55345985",0,"False,False",SEPTIN9
ENSG00000198900,"F04_6736,G11_55195978",1,"True,False",TOP1
ENSG00000214274,"G08_6718,H06_6719",2,"True,True",ANG
