gene,variance_rna,gini_rna,cv_rna,variance_comp_prot,gini_comp_prot,cv_comp_prot,variance_cell_prot,gini_cell_prot,cv_cell_prot
ENSG00000003137,0.015681949,0.5696669435267279,1.1658016,0.0009977708030698884,0.343749475740256,0.8694272063091347,0.0015230314214856938,0.3350875831360794,0.9353940054340096
ENSG00000003249,0.012363963,0.8182483700724353,2.065672,0.0025574692069406484,0.109922206955506,0.20228922067172303,0.0008745363643087064,0.14870831037347543,0.2660296022854306
ENSG00000004660,0.020068545,0.6216681234157495,1.2609484,0.0008759569492424174,0.1950313121201265,0.34756948154325434,0.00079807979560443,0.19155449738638614,0.34120012865812044
ENSG00000004779,0.017553372,0.15912837889488354,0.28486013,5.324777207358913e-05,0.14134678290661404,0.27896442676334626,5.324777207358913e-05,0.14134678290661404,0.27896442676334626
ENSG00000004866,0.017315581,0.4890025370087896,0.9454311,0.006153142184542863,0.16193748157239893,0.4457364192733239,0.0008868889120289466,0.16754589371516257,0.3973807963675058
ENSG00000005194,0.012208707,0.29007392585642927,0.5345561,0.00037391825579552836,0.15820998258832522,0.3269899154335373,0.00037391825579552836,0.15820998258832522,0.3269899154335373
ENSG00000005339,0.011954945,0.3707365874122896,0.73105574,0.001118802812312615,0.10882527494013658,0.20148061402727663,0.00025236872831674436,0.14488788597941557,0.2693175329101957
ENSG00000006118,0.015840106,0.4292312290938247,0.8237614,0.0009674257365361919,0.18174482768687406,0.39345202638385907,0.0009674257365361919,0.18174482768687406,0.39345202638385907
ENSG00000006194,0.019169461,0.4552891802701712,0.8608965,0.00045120376009304933,0.11205335753924654,0.21925793790430387,0.0009663440363517401,0.11604718644222753,0.23730618452141883
ENSG00000006459,0.015269074,0.8337229172375628,2.204448,0.0015475627040746716,0.2679944888026026,0.5024415665691548,0.00014596593784005455,0.18987915292420346,0.3451184473598316
ENSG00000006468,0.008497562,0.9401395162720767,3.9109328,0.00031941175157231146,0.169247684384229,0.4433738047537186,5.547061316860096e-05,0.15954135683298012,0.43289627876188147
ENSG00000006634,0.015372021,0.33644039242122453,0.62313694,0.0018913892158101122,0.12558189163518826,0.22739301885346613,0.0006219352589269692,0.1292074151533875,0.23450323594526043
ENSG00000006652,0.010869816,0.4205231753423504,0.78480667,0.0007660672227402804,0.1578632234512326,0.3209709037126855,0.0007660672227402804,0.1578632234512326,0.3209709037126855
ENSG00000006704,0.024490518,0.5102832597855982,0.970872,0.000688920479523343,0.14534852393035136,0.27930840500994264,0.000688920479523343,0.14534852393035136,0.27930840500994264
ENSG00000006747,0.011540444,0.9318153550038843,3.653969,0.00026734406637127076,0.17048465826209933,0.3099291095659299,0.00035152093918546315,0.16145171957593143,0.32798205678064496
