,gene
0,
1,ENSG00000003402
2,ENSG00000004897
3,ENSG00000006327
4,ENSG00000006634
5,ENSG00000007968
6,ENSG00000010292
7,ENSG00000011426
8,ENSG00000012048
9,ENSG00000013573
10,ENSG00000013588
11,ENSG00000013810
12,ENSG00000014138
13,ENSG00000019186
14,ENSG00000024526
15,ENSG00000025770
16,ENSG00000035499
17,ENSG00000040275
18,ENSG00000049192
19,ENSG00000049541
20,ENSG00000051180
21,ENSG00000051341
22,ENSG00000054654
23,ENSG00000055044
24,ENSG00000057019
25,ENSG00000065328
26,ENSG00000065548
27,ENSG00000066279
28,ENSG00000066322
29,ENSG00000068028
30,ENSG00000068489
31,ENSG00000070404
32,ENSG00000072571
33,ENSG00000072864
34,ENSG00000073111
35,ENSG00000075131
36,ENSG00000075218
37,ENSG00000075618
38,ENSG00000076003
39,ENSG00000076248
40,ENSG00000076382
41,ENSG00000077152
42,ENSG00000077514
43,ENSG00000078401
44,ENSG00000078900
45,ENSG00000079616
46,ENSG00000080986
47,ENSG00000081320
48,ENSG00000084733
49,ENSG00000085840
50,ENSG00000085999
51,ENSG00000087586
52,ENSG00000088305
53,ENSG00000088325
54,ENSG00000088986
55,ENSG00000089685
56,ENSG00000090889
57,ENSG00000091073
58,ENSG00000091164
59,ENSG00000092140
60,ENSG00000092470
61,ENSG00000092853
62,ENSG00000093009
63,ENSG00000094804
64,ENSG00000095002
65,ENSG00000095383
66,ENSG00000096384
67,ENSG00000099194
68,ENSG00000099399
69,ENSG00000100029
70,ENSG00000100097
71,ENSG00000100242
72,ENSG00000100297
73,ENSG00000100401
74,ENSG00000100519
75,ENSG00000100526
76,ENSG00000100632
77,ENSG00000100714
78,ENSG00000101057
79,ENSG00000101104
80,ENSG00000101224
81,ENSG00000101412
82,ENSG00000101447
83,ENSG00000101608
84,ENSG00000101773
85,ENSG00000102362
86,ENSG00000102384
87,ENSG00000104064
88,ENSG00000104147
89,ENSG00000104267
90,ENSG00000104738
91,ENSG00000104881
92,ENSG00000105011
93,ENSG00000105173
94,ENSG00000105325
95,ENSG00000105355
96,ENSG00000105821
97,ENSG00000106355
98,ENSG00000106367
99,ENSG00000108106
100,ENSG00000109062
101,ENSG00000109099
102,ENSG00000109674
103,ENSG00000109805
104,ENSG00000109971
105,ENSG00000111077
106,ENSG00000111206
107,ENSG00000111247
108,ENSG00000111665
109,ENSG00000111859
110,ENSG00000112029
111,ENSG00000112118
112,ENSG00000112576
113,ENSG00000112742
114,ENSG00000112983
115,ENSG00000112984
116,ENSG00000113810
117,ENSG00000114346
118,ENSG00000115053
119,ENSG00000115163
120,ENSG00000115392
121,ENSG00000115541
122,ENSG00000115641
123,ENSG00000115946
124,ENSG00000116062
125,ENSG00000116717
126,ENSG00000116830
127,ENSG00000117139
128,ENSG00000117399
129,ENSG00000117650
130,ENSG00000117713
131,ENSG00000117724
132,ENSG00000118193
133,ENSG00000118655
134,ENSG00000118971
135,ENSG00000119333
136,ENSG00000119397
137,ENSG00000119669
138,ENSG00000119705
139,ENSG00000119969
140,ENSG00000120053
141,ENSG00000120129
142,ENSG00000120334
143,ENSG00000120539
144,ENSG00000120694
145,ENSG00000120802
146,ENSG00000120948
147,ENSG00000121152
148,ENSG00000121621
149,ENSG00000121716
150,ENSG00000121957
151,ENSG00000122565
152,ENSG00000122644
153,ENSG00000122952
154,ENSG00000123146
155,ENSG00000123219
156,ENSG00000123416
157,ENSG00000123473
158,ENSG00000123485
159,ENSG00000123545
160,ENSG00000123975
161,ENSG00000124207
162,ENSG00000124216
163,ENSG00000124610
164,ENSG00000124766
165,ENSG00000125319
166,ENSG00000125870
167,ENSG00000125871
168,ENSG00000125898
169,ENSG00000126226
170,ENSG00000126368
171,ENSG00000126787
172,ENSG00000127483
173,ENSG00000127564
174,ENSG00000128340
175,ENSG00000128510
176,ENSG00000128944
177,ENSG00000128951
178,ENSG00000129195
179,ENSG00000129355
180,ENSG00000129474
181,ENSG00000129534
182,ENSG00000129810
183,ENSG00000130669
184,ENSG00000130816
185,ENSG00000130921
186,ENSG00000131153
187,ENSG00000131462
188,ENSG00000131470
189,ENSG00000131475
190,ENSG00000131747
191,ENSG00000132002
192,ENSG00000132475
193,ENSG00000132485
194,ENSG00000132646
195,ENSG00000132780
196,ENSG00000132823
197,ENSG00000134057
198,ENSG00000134222
199,ENSG00000134291
200,ENSG00000134690
201,ENSG00000135046
202,ENSG00000135185
203,ENSG00000135334
204,ENSG00000135451
205,ENSG00000135476
206,ENSG00000136108
207,ENSG00000136122
208,ENSG00000136492
209,ENSG00000136982
210,ENSG00000137135
211,ENSG00000137310
212,ENSG00000137497
213,ENSG00000137804
214,ENSG00000137807
215,ENSG00000137812
216,ENSG00000138160
217,ENSG00000138180
218,ENSG00000138182
219,ENSG00000138346
220,ENSG00000138376
221,ENSG00000138778
222,ENSG00000138796
223,ENSG00000139211
224,ENSG00000139354
225,ENSG00000139734
226,ENSG00000140264
227,ENSG00000140451
228,ENSG00000140534
229,ENSG00000141232
230,ENSG00000142102
231,ENSG00000142945
232,ENSG00000143217
233,ENSG00000143228
234,ENSG00000143476
235,ENSG00000143815
236,ENSG00000143933
237,ENSG00000143947
238,ENSG00000144048
239,ENSG00000144227
240,ENSG00000144354
241,ENSG00000145337
242,ENSG00000145365
243,ENSG00000145386
244,ENSG00000145592
245,ENSG00000145741
246,ENSG00000145779
247,ENSG00000145934
248,ENSG00000146278
249,ENSG00000146410
250,ENSG00000146425
251,ENSG00000146592
252,ENSG00000146670
253,ENSG00000146834
254,ENSG00000148248
255,ENSG00000148677
256,ENSG00000148773
257,ENSG00000149483
258,ENSG00000149503
259,ENSG00000149636
260,ENSG00000149639
261,ENSG00000150782
262,ENSG00000150991
263,ENSG00000151466
264,ENSG00000152253
265,ENSG00000152518
266,ENSG00000153048
267,ENSG00000154473
268,ENSG00000154640
269,ENSG00000154839
270,ENSG00000155846
271,ENSG00000156463
272,ENSG00000156802
273,ENSG00000156970
274,ENSG00000157456
275,ENSG00000158373
276,ENSG00000158402
277,ENSG00000160113
278,ENSG00000160298
279,ENSG00000160949
280,ENSG00000160957
281,ENSG00000161692
282,ENSG00000161800
283,ENSG00000161888
284,ENSG00000162063
285,ENSG00000162073
286,ENSG00000162222
287,ENSG00000162407
288,ENSG00000163507
289,ENSG00000163535
290,ENSG00000163918
291,ENSG00000163950
292,ENSG00000164104
293,ENSG00000164109
294,ENSG00000164211
295,ENSG00000164251
296,ENSG00000164611
297,ENSG00000164674
298,ENSG00000164754
299,ENSG00000165244
300,ENSG00000165304
301,ENSG00000165480
302,ENSG00000165502
303,ENSG00000165886
304,ENSG00000166002
305,ENSG00000166197
306,ENSG00000166508
307,ENSG00000166741
308,ENSG00000166801
309,ENSG00000166803
310,ENSG00000166851
311,ENSG00000166949
312,ENSG00000166965
313,ENSG00000167325
314,ENSG00000167513
315,ENSG00000167553
316,ENSG00000167601
317,ENSG00000167670
318,ENSG00000167747
319,ENSG00000167900
320,ENSG00000168061
321,ENSG00000168078
322,ENSG00000168140
323,ENSG00000168282
324,ENSG00000168298
325,ENSG00000168476
326,ENSG00000168496
327,ENSG00000169188
328,ENSG00000169607
329,ENSG00000169679
330,ENSG00000170264
331,ENSG00000170312
332,ENSG00000170540
333,ENSG00000170734
334,ENSG00000170759
335,ENSG00000170779
336,ENSG00000170852
337,ENSG00000170889
338,ENSG00000171161
339,ENSG00000171241
340,ENSG00000171320
341,ENSG00000171792
342,ENSG00000171793
343,ENSG00000171848
344,ENSG00000171863
345,ENSG00000172432
346,ENSG00000173207
347,ENSG00000173456
348,ENSG00000174371
349,ENSG00000174501
350,ENSG00000175063
351,ENSG00000175130
352,ENSG00000175216
353,ENSG00000175265
354,ENSG00000175305
355,ENSG00000175455
356,ENSG00000175573
357,ENSG00000175592
358,ENSG00000175643
359,ENSG00000176014
360,ENSG00000176148
361,ENSG00000176222
362,ENSG00000176697
363,ENSG00000176890
364,ENSG00000177426
365,ENSG00000177595
366,ENSG00000177683
367,ENSG00000177943
368,ENSG00000178074
369,ENSG00000178343
370,ENSG00000178607
371,ENSG00000178719
372,ENSG00000178999
373,ENSG00000179958
374,ENSG00000182197
375,ENSG00000182378
376,ENSG00000182481
377,ENSG00000182541
378,ENSG00000183255
379,ENSG00000183741
380,ENSG00000183856
381,ENSG00000183864
382,ENSG00000183963
383,ENSG00000184047
384,ENSG00000184445
385,ENSG00000184661
386,ENSG00000184678
387,ENSG00000184992
388,ENSG00000185324
389,ENSG00000185361
390,ENSG00000186185
391,ENSG00000186193
392,ENSG00000186283
393,ENSG00000186767
394,ENSG00000187051
395,ENSG00000187514
396,ENSG00000187741
397,ENSG00000188021
398,ENSG00000188229
399,ENSG00000188313
400,ENSG00000188486
401,ENSG00000188529
402,ENSG00000188610
403,ENSG00000189057
404,ENSG00000196230
405,ENSG00000196531
406,ENSG00000196550
407,ENSG00000196787
408,ENSG00000197061
409,ENSG00000197183
410,ENSG00000197256
411,ENSG00000198033
412,ENSG00000198056
413,ENSG00000198331
414,ENSG00000198355
415,ENSG00000198680
416,ENSG00000198826
417,ENSG00000198900
418,ENSG00000198901
419,ENSG00000198933
420,ENSG00000204138
421,ENSG00000204382
422,ENSG00000204388
423,ENSG00000204389
424,ENSG00000204899
425,ENSG00000205352
426,ENSG00000212907
427,ENSG00000213024
428,ENSG00000213186
429,ENSG00000213347
430,ENSG00000213853
431,ENSG00000214357
432,ENSG00000215252
433,ENSG00000221829
434,ENSG00000225921
435,ENSG00000228716
436,ENSG00000235109
437,ENSG00000237649
438,ENSG00000250312
439,ENSG00000255302
440,ENSG00000263513
441,ENSG00000274997
442,ENSG00000276043
443,ENSG00000276368
444,ENSG00000277161
445,ENSG00000278828
446,ENSG00000284906
