gene,ptm_count
PKM,0
KLHL21,0
KRT40,0
PPP2R3C,0
FGFR3,0
ATP7A,0
AGFG2,0
PPARG,0
WDR27,0
TMEM179B,0
SGCZ,0
PTPA,0
GPAM,0
CNKSR1,0
ZNF302,0
SIL1,0
HFE,0
PSAP,0
SAA2,0
ARID1A,0
PRRT2,0
PTPRK,0
LIAS,0
ARMC8,0
CRYL1,0
IFITM3,0
STXBP5,0
ITIH5,0
IL36G,0
FKBP9,0
RCL1,0
NRDC,0
UBQLN1,0
ATF7IP,0
DCAF11,0
PHF1,0
MILR1,0
ZNF461,0
PCDH15,0
ASRGL1,0
LAIR1,0
CEMIP2,0
SPOP,0
KIAA2026,0
HIST1H2BN,0
PPAN-P2RY11,0
PPHLN1,0
EML3,0
DMTF1,0
JUP,0
SAMD3,0
HNRNPC,0
HNRNPLL,0
APOL4,0
SLC4A3,0
SLC22A10,0
UBTF,0
ATP10B,0
PCDH12,0
SRSF7,0
MMP10,0
TRIM59,0
C2CD3,0
ERCC8,0
MOV10,0
TPM3,0
HACL1,0
RFX2,0
PIGN,0
PPY,0
ARHGAP45,0
TSTD2,0
ITIH4,0
CDC42EP3,0
GAS2L1,0
OLAH,0
RAB3IL1,0
LMNTD1,0
PPP2R5C,0
DOK2,0
GCGR,0
CSNK2A1,0
DTWD2,0
KHDRBS3,0
MCMDC2,0
EIF3K,0
UROS,0
ZYG11B,0
RBM23,0
TUBB8,0
TRBV5-7,0
hCG_1642624,0
ACTB,0
A0A1B0GTQ1,0
CHD4,0
TBC1D9B,0
TRBV17,0
CAPZB,0
SURF4,0
CLTC,0
HSD17B10,0
OR9K2,0
VIM,0
MYCT1,0
ADM,0
TRIM13,0
PCDHB2,0
AMT,0
PIGQ,0
ARX,0
PLEKHA6,0
OXA1L,0
A0A1B0GWJ7,0
FLT3,0
ELN,0
CREB1,0
SUSD5,0
GSE1,0
ZSWIM8,0
ACOX2,0
FXN,0
UBN2,0
SLA,0
RABL6,0
DDX39B,0
NAB1,0
BRDT,0
IGFBP2,0
ARPP21,0
C7orf50,0
RAB6B,0
CARF,0
TGFBR3,0
WDR7,0
TRBV9,0
PTPN7,0
MFF,0
MUTYH,0
PNLIPRP1,0
RAN,0
HNRNPL,0
G2E3,0
SCYL3,0
UBC,0
PSMC3IP,0
POGLUT1,0
DNAJC25-GNG10,0
SLCO2B1,0
EEF1E1-BLOC1S5,0
SRSF1,0
CSTL1,0
RHBG,0
CYFIP2,0
NBPF9,0
NRDE2,0
GRIK2,0
EPHB2,0
DDX24,0
TMED3,0
DDX42,0
PER1,0
PTBP1,0
SLC19A2,0
CBWD5,0
HOOK2,0
PLPP2,0
PKN1,0
NCLN,0
LGALS3BP,0
WBP2,0
DECR2,0
UBR7,0
SKIV2L,0
A0A2R8YFR7,0
ITPR1,0
PSMB8,0
HSPA1A,0
TMEM192,0
SRP19,0
CS,0
ACER3,0
ERBIN,0
JADE2,0
STEAP3,0
SLC29A3,0
DIAPH1,0
FANCB,0
PLSCR1,0
CLPTM1L,0
ITPK1,0
MAPK10,0
KANSL3,0
CCDC25,0
GFER,0
SLC12A2,0
TFPI2,0
ADGRV1,0
HLA-DQA2,0
MPV17L,0
UFM1,0
LTO1,0
RAPGEFL1,0
OTUB1,0
SAMHD1,0
SNRNP200,0
LIPI,0
PIK3CD,0
CNOT3,0
TSPAN5,0
GPI,0
SERPINA3,0
CYSTM1,0
ENO3,0
RBM6,0
PI4K2B,0
TMEM256-PLSCR3,0
HSD17B3,0
OR6K6,0
TIPARP,0
POLD1,0
ERC1,0
GORASP1,0
JKAMP,0
RPL27A,0
IFNGR1,0
FSD1L,0
HARS2,0
TNRC6B,0
RTKN2,0
POPDC3,0
AQP7,0
CD81,0
LOC101929989,0
UHRF1,0
FADS6,0
NRG1,0
THSD4,0
MARK1,0
UQCRB,0
ERO1A,0
PTPN1,0
PPP1R9B,0
WDR83,0
TM9SF4,0
CAPRIN1,0
MAPK14,0
FBXO3,0
MGST1,0
TCP1,0
SIDT2,0
DEPDC5,0
TOP3A,0
ABCB9,0
TXNRD2,0
NDUFA5,0
IFI44L,0
SUN1,0
RAC2,0
CKLF-CMTM1,0
SLC38A1,0
PLEKHA4,0
DHPS,0
NAPA,0
LGALS7,0
ZNF600,0
MRPS18B,0
RPL4,0
ING4,0
BPY2C,0
LEPROTL1,0
TMEM71,0
CCDC178,0
OGFOD3,0
ZNF331,0
TSPAN15,0
PYCR1,0
HNRNPUL2-BSCL2,0
FER,0
KAT6B,0
TSC1,0
WDR92,0
OLIG1,0
MDFIC,0
DIABLO,0
TAF6,0
ANO10,0
RHBDD1,0
KIAA0319L,0
TMEM106B,0
ATG4C,0
SEC61A1,0
ERMN,0
ZNF655,0
XPO1,0
HNRNPR,0
CLCN7,0
SMARCB1,0
FNTA,0
FGFR1,0
MUC1,0
BCLAF1,0
EYA2,0
FNBP1,0
SCARB1,0
H2BFM,0
GABARAP,0
PLA1A,0
A0A1W2PPZ6,0
COPS7A,0
EBF2,0
AK4,0
RPL3,0
