,gene
0,ENSG00000011426
1,ENSG00000035499
2,ENSG00000076003
3,ENSG00000076248
4,ENSG00000076382
5,ENSG00000077152
6,ENSG00000079616
7,ENSG00000080986
8,ENSG00000085999
9,ENSG00000087586
10,ENSG00000088325
11,ENSG00000089685
12,ENSG00000090889
13,ENSG00000093009
14,ENSG00000100297
15,ENSG00000101447
16,ENSG00000105011
17,ENSG00000111247
18,ENSG00000111665
19,ENSG00000112029
20,ENSG00000112118
21,ENSG00000115163
22,ENSG00000117399
23,ENSG00000117650
24,ENSG00000117724
25,ENSG00000120802
26,ENSG00000121152
27,ENSG00000121957
28,ENSG00000122952
29,ENSG00000123219
30,ENSG00000123473
31,ENSG00000123975
32,ENSG00000125871
33,ENSG00000125898
34,ENSG00000126787
35,ENSG00000127564
36,ENSG00000128944
37,ENSG00000129195
38,ENSG00000129810
39,ENSG00000131475
40,ENSG00000131747
41,ENSG00000134057
42,ENSG00000134222
43,ENSG00000134690
44,ENSG00000135451
45,ENSG00000136122
46,ENSG00000136982
47,ENSG00000137310
48,ENSG00000137804
49,ENSG00000137807
50,ENSG00000137812
51,ENSG00000138182
52,ENSG00000138778
53,ENSG00000139734
54,ENSG00000140451
55,ENSG00000142945
56,ENSG00000145386
57,ENSG00000146410
58,ENSG00000146670
59,ENSG00000148773
60,ENSG00000152253
61,ENSG00000156802
62,ENSG00000156970
63,ENSG00000157456
64,ENSG00000158402
65,ENSG00000161800
66,ENSG00000161888
67,ENSG00000162063
68,ENSG00000163507
69,ENSG00000163535
70,ENSG00000164104
71,ENSG00000165480
72,ENSG00000166801
73,ENSG00000166803
74,ENSG00000166851
75,ENSG00000168078
76,ENSG00000168496
77,ENSG00000169607
78,ENSG00000169679
79,ENSG00000170312
80,ENSG00000170540
81,ENSG00000171320
82,ENSG00000171792
83,ENSG00000171848
84,ENSG00000175063
85,ENSG00000175216
86,ENSG00000175305
87,ENSG00000178999
88,ENSG00000182481
89,ENSG00000184661
90,ENSG00000188486
91,ENSG00000188610
92,ENSG00000189057
93,ENSG00000197061
94,ENSG00000198033
95,ENSG00000198056
96,ENSG00000198331
97,ENSG00000229089
98,ENSG00000231007
99,ENSG00000237649
100,ENSG00000259848
101,ENSG00000274997
102,ENSG00000276368
