,gene
0,ENSG00000002549
1,ENSG00000005339
2,ENSG00000006194
3,ENSG00000006459
4,ENSG00000006704
5,ENSG00000008324
6,ENSG00000011451
7,ENSG00000019144
8,ENSG00000025770
9,ENSG00000039319
10,ENSG00000042493
11,ENSG00000047579
12,ENSG00000048740
13,ENSG00000051382
14,ENSG00000054654
15,ENSG00000056050
16,ENSG00000059758
17,ENSG00000060718
18,ENSG00000066651
19,ENSG00000067365
20,ENSG00000068796
21,ENSG00000069011
22,ENSG00000069275
23,ENSG00000069399
24,ENSG00000070476
25,ENSG00000070669
26,ENSG00000070831
27,ENSG00000071889
28,ENSG00000071994
29,ENSG00000074590
30,ENSG00000075539
31,ENSG00000077063
32,ENSG00000078043
33,ENSG00000082701
34,ENSG00000083635
35,ENSG00000083799
36,ENSG00000084693
37,ENSG00000086065
38,ENSG00000088451
39,ENSG00000089009
40,ENSG00000089022
41,ENSG00000089335
42,ENSG00000090316
43,ENSG00000090565
44,ENSG00000091651
45,ENSG00000092931
46,ENSG00000097046
47,ENSG00000099910
48,ENSG00000100116
49,ENSG00000100124
50,ENSG00000100418
51,ENSG00000100554
52,ENSG00000100938
53,ENSG00000100982
54,ENSG00000101004
55,ENSG00000101298
56,ENSG00000102057
57,ENSG00000102309
58,ENSG00000102316
59,ENSG00000102897
60,ENSG00000102908
61,ENSG00000103021
62,ENSG00000103269
63,ENSG00000103479
64,ENSG00000103876
65,ENSG00000104332
66,ENSG00000104679
67,ENSG00000104979
68,ENSG00000105063
69,ENSG00000105204
70,ENSG00000105372
71,ENSG00000105427
72,ENSG00000105559
73,ENSG00000105576
74,ENSG00000106012
75,ENSG00000106013
76,ENSG00000106261
77,ENSG00000107290
78,ENSG00000107295
79,ENSG00000107554
80,ENSG00000107581
81,ENSG00000108344
82,ENSG00000108352
83,ENSG00000108590
84,ENSG00000108599
85,ENSG00000108602
86,ENSG00000108961
87,ENSG00000109814
88,ENSG00000111203
89,ENSG00000111615
90,ENSG00000111653
91,ENSG00000111786
92,ENSG00000112312
93,ENSG00000112365
94,ENSG00000114126
95,ENSG00000114737
96,ENSG00000115266
97,ENSG00000115760
98,ENSG00000115841
99,ENSG00000116852
100,ENSG00000117280
101,ENSG00000117419
102,ENSG00000118007
103,ENSG00000118495
104,ENSG00000119328
105,ENSG00000119446
106,ENSG00000119705
107,ENSG00000120278
108,ENSG00000120519
109,ENSG00000121690
110,ENSG00000122035
111,ENSG00000122085
112,ENSG00000122545
113,ENSG00000122786
114,ENSG00000123607
115,ENSG00000124370
116,ENSG00000124541
117,ENSG00000124688
118,ENSG00000124788
119,ENSG00000125170
120,ENSG00000125355
121,ENSG00000125534
122,ENSG00000125968
123,ENSG00000126756
124,ENSG00000126822
125,ENSG00000127990
126,ENSG00000127995
127,ENSG00000128059
128,ENSG00000128422
129,ENSG00000129007
130,ENSG00000129103
131,ENSG00000129347
132,ENSG00000129691
133,ENSG00000129925
134,ENSG00000130522
135,ENSG00000130559
136,ENSG00000130725
137,ENSG00000130818
138,ENSG00000131061
139,ENSG00000131979
140,ENSG00000132405
141,ENSG00000132600
142,ENSG00000132768
143,ENSG00000134152
144,ENSG00000134253
145,ENSG00000134602
146,ENSG00000135119
147,ENSG00000135249
148,ENSG00000135362
149,ENSG00000135372
150,ENSG00000135439
151,ENSG00000135452
152,ENSG00000136045
153,ENSG00000136159
154,ENSG00000136193
155,ENSG00000136367
156,ENSG00000136824
157,ENSG00000136936
158,ENSG00000137817
159,ENSG00000137824
160,ENSG00000138050
161,ENSG00000138347
162,ENSG00000138801
163,ENSG00000139618
164,ENSG00000140543
165,ENSG00000141026
166,ENSG00000141367
167,ENSG00000141448
168,ENSG00000141577
169,ENSG00000142661
170,ENSG00000142669
171,ENSG00000143013
172,ENSG00000143452
173,ENSG00000143515
174,ENSG00000143552
175,ENSG00000143669
176,ENSG00000143702
177,ENSG00000143951
178,ENSG00000144048
179,ENSG00000144597
180,ENSG00000145244
181,ENSG00000145536
182,ENSG00000145868
183,ENSG00000147421
184,ENSG00000148187
185,ENSG00000148737
186,ENSG00000149636
187,ENSG00000150637
188,ENSG00000151883
189,ENSG00000152332
190,ENSG00000154118
191,ENSG00000154760
192,ENSG00000155980
193,ENSG00000156011
194,ENSG00000156239
195,ENSG00000156642
196,ENSG00000156675
197,ENSG00000156853
198,ENSG00000157184
199,ENSG00000157259
200,ENSG00000157500
201,ENSG00000157916
202,ENSG00000158125
203,ENSG00000158163
204,ENSG00000158258
205,ENSG00000159023
206,ENSG00000160446
207,ENSG00000160710
208,ENSG00000160781
209,ENSG00000160908
210,ENSG00000161202
211,ENSG00000161981
212,ENSG00000162591
213,ENSG00000162772
214,ENSG00000162999
215,ENSG00000163558
216,ENSG00000163807
217,ENSG00000164171
218,ENSG00000164190
219,ENSG00000164638
220,ENSG00000164904
221,ENSG00000164941
222,ENSG00000164989
223,ENSG00000165046
224,ENSG00000165626
225,ENSG00000165732
226,ENSG00000166012
227,ENSG00000166173
228,ENSG00000166200
229,ENSG00000166321
230,ENSG00000166582
231,ENSG00000167065
232,ENSG00000167380
233,ENSG00000167470
234,ENSG00000167685
235,ENSG00000167755
236,ENSG00000167889
237,ENSG00000168159
238,ENSG00000168286
239,ENSG00000168385
240,ENSG00000168538
241,ENSG00000169217
242,ENSG00000169247
243,ENSG00000169740
244,ENSG00000170322
245,ENSG00000170345
246,ENSG00000170473
247,ENSG00000171161
248,ENSG00000171241
249,ENSG00000171608
250,ENSG00000172059
251,ENSG00000172167
252,ENSG00000172175
253,ENSG00000172216
254,ENSG00000172361
255,ENSG00000172461
256,ENSG00000172986
257,ENSG00000173153
258,ENSG00000173599
259,ENSG00000173848
260,ENSG00000174206
261,ENSG00000174579
262,ENSG00000175054
263,ENSG00000175309
264,ENSG00000175573
265,ENSG00000175970
266,ENSG00000176208
267,ENSG00000176476
268,ENSG00000176731
269,ENSG00000177606
270,ENSG00000177732
271,ENSG00000177853
272,ENSG00000178498
273,ENSG00000178691
274,ENSG00000179029
275,ENSG00000179133
276,ENSG00000179528
277,ENSG00000179532
278,ENSG00000180089
279,ENSG00000180376
280,ENSG00000181274
281,ENSG00000181450
282,ENSG00000181722
283,ENSG00000182247
284,ENSG00000182272
285,ENSG00000182325
286,ENSG00000182768
287,ENSG00000183340
288,ENSG00000184277
289,ENSG00000184838
290,ENSG00000185022
291,ENSG00000185024
292,ENSG00000185324
293,ENSG00000185721
294,ENSG00000186063
295,ENSG00000187514
296,ENSG00000187607
297,ENSG00000188167
298,ENSG00000188368
299,ENSG00000188620
300,ENSG00000188976
301,ENSG00000189060
302,ENSG00000189120
303,ENSG00000196352
304,ENSG00000196872
305,ENSG00000197191
306,ENSG00000197757
307,ENSG00000198824
308,ENSG00000198934
309,ENSG00000198959
310,ENSG00000203867
311,ENSG00000204264
312,ENSG00000204315
313,ENSG00000204843
314,ENSG00000214367
