,gene
0,ENSG00000006634
1,ENSG00000011426
2,ENSG00000013810
3,ENSG00000065328
4,ENSG00000068489
5,ENSG00000072571
6,ENSG00000075131
7,ENSG00000075218
8,ENSG00000088325
9,ENSG00000089685
10,ENSG00000090889
11,ENSG00000094804
12,ENSG00000101057
13,ENSG00000101224
14,ENSG00000101447
15,ENSG00000102362
16,ENSG00000105173
17,ENSG00000111247
18,ENSG00000112984
19,ENSG00000117724
20,ENSG00000118971
21,ENSG00000121152
22,ENSG00000121621
23,ENSG00000123485
24,ENSG00000125898
25,ENSG00000126787
26,ENSG00000128944
27,ENSG00000129810
28,ENSG00000134057
29,ENSG00000134690
30,ENSG00000137804
31,ENSG00000137807
32,ENSG00000138160
33,ENSG00000138180
34,ENSG00000138182
35,ENSG00000142945
36,ENSG00000143228
37,ENSG00000143476
38,ENSG00000145386
39,ENSG00000146670
40,ENSG00000148773
41,ENSG00000149503
42,ENSG00000156802
43,ENSG00000156970
44,ENSG00000157456
45,ENSG00000161800
46,ENSG00000163950
47,ENSG00000165480
48,ENSG00000169607
49,ENSG00000171320
50,ENSG00000171848
51,ENSG00000175063
52,ENSG00000178999
53,ENSG00000182481
54,ENSG00000183963
55,ENSG00000184661
56,ENSG00000186185
57,ENSG00000189057
58,ENSG00000198901
