ccd_prots_withmitotic,knownCCD
ENSG00000002549,False
ENSG00000006194,True
ENSG00000006459,False
ENSG00000006634,True
ENSG00000006704,False
ENSG00000008311,False
ENSG00000008324,True
ENSG00000011426,True
ENSG00000011451,True
ENSG00000013810,True
ENSG00000019144,False
ENSG00000023892,False
ENSG00000025770,True
ENSG00000040199,False
ENSG00000041880,True
ENSG00000042493,False
ENSG00000046774,False
ENSG00000047579,False
ENSG00000048740,False
ENSG00000050030,False
ENSG00000051382,True
ENSG00000053372,False
ENSG00000053702,False
ENSG00000056050,False
ENSG00000058600,True
ENSG00000059758,True
ENSG00000065243,True
ENSG00000065328,True
ENSG00000066651,False
ENSG00000067334,True
ENSG00000067365,False
ENSG00000067533,True
ENSG00000067829,False
ENSG00000068489,True
ENSG00000068796,True
ENSG00000069011,False
ENSG00000069399,False
ENSG00000070476,False
ENSG00000070831,True
ENSG00000071462,False
ENSG00000071889,False
ENSG00000071994,True
ENSG00000072571,True
ENSG00000072756,True
ENSG00000073111,True
ENSG00000074590,True
ENSG00000075218,True
ENSG00000075539,False
ENSG00000076201,False
ENSG00000077063,False
ENSG00000077080,False
ENSG00000078043,True
ENSG00000080815,True
ENSG00000083123,False
ENSG00000083635,False
ENSG00000083799,True
ENSG00000084693,False
ENSG00000085721,True
ENSG00000086065,True
ENSG00000086717,False
ENSG00000087510,True
ENSG00000087586,True
ENSG00000088205,False
ENSG00000088325,True
ENSG00000088451,False
ENSG00000089009,True
ENSG00000089022,False
ENSG00000089335,False
ENSG00000089685,True
ENSG00000090316,True
ENSG00000090565,True
ENSG00000090889,True
ENSG00000091651,True
ENSG00000092853,True
ENSG00000092931,False
ENSG00000094804,True
ENSG00000097007,True
ENSG00000097046,True
ENSG00000099910,True
ENSG00000100029,True
ENSG00000100116,False
ENSG00000100124,False
ENSG00000100146,True
ENSG00000100196,False
ENSG00000100297,True
ENSG00000100418,True
ENSG00000100554,False
ENSG00000100596,False
ENSG00000100823,True
ENSG00000100982,False
ENSG00000101004,True
ENSG00000101057,True
ENSG00000101115,True
ENSG00000101224,True
ENSG00000101298,False
ENSG00000101447,True
ENSG00000101457,False
ENSG00000101577,True
ENSG00000102057,False
ENSG00000102309,False
ENSG00000102699,True
ENSG00000102837,False
ENSG00000102897,False
ENSG00000102908,False
ENSG00000103202,False
ENSG00000103479,True
ENSG00000103876,False
ENSG00000104047,False
ENSG00000104299,False
ENSG00000104332,True
ENSG00000104522,False
ENSG00000104679,False
ENSG00000104722,True
ENSG00000104731,False
ENSG00000104979,False
ENSG00000105085,False
ENSG00000105173,True
ENSG00000105176,False
ENSG00000105204,True
ENSG00000105427,False
ENSG00000105486,True
ENSG00000105559,True
ENSG00000105576,True
ENSG00000105642,False
ENSG00000105996,False
ENSG00000106012,False
ENSG00000106261,True
ENSG00000106344,False
ENSG00000107290,True
ENSG00000107295,True
ENSG00000107554,False
ENSG00000107581,True
ENSG00000108352,False
ENSG00000108424,True
ENSG00000108515,False
ENSG00000108592,False
ENSG00000108599,False
ENSG00000108651,False
ENSG00000108924,True
ENSG00000108961,False
ENSG00000109107,False
ENSG00000109814,False
ENSG00000109929,False
ENSG00000110092,True
ENSG00000110104,False
ENSG00000111203,False
ENSG00000111231,False
ENSG00000111247,True
ENSG00000111615,True
ENSG00000111653,True
ENSG00000112276,False
ENSG00000112312,True
ENSG00000112365,False
ENSG00000112578,True
ENSG00000112981,False
ENSG00000112984,True
ENSG00000113460,True
ENSG00000114126,True
ENSG00000114737,False
ENSG00000115053,True
ENSG00000115112,False
ENSG00000115266,False
ENSG00000115604,False
ENSG00000115760,True
ENSG00000115841,False
ENSG00000116852,True
ENSG00000117000,True
ENSG00000117395,False
ENSG00000117399,True
ENSG00000117419,False
ENSG00000117724,True
ENSG00000118231,False
ENSG00000118971,True
ENSG00000119328,False
ENSG00000119446,False
ENSG00000119725,False
ENSG00000119950,True
ENSG00000120278,False
ENSG00000121152,True
ENSG00000121570,False
ENSG00000121621,True
ENSG00000121690,False
ENSG00000121897,False
ENSG00000122035,False
ENSG00000122085,False
ENSG00000122545,True
ENSG00000122786,False
ENSG00000122884,False
ENSG00000123213,False
ENSG00000123485,True
ENSG00000123607,False
ENSG00000124074,False
ENSG00000124228,False
ENSG00000124383,False
ENSG00000124541,False
ENSG00000124688,True
ENSG00000124788,False
ENSG00000125170,False
ENSG00000125534,False
ENSG00000125872,False
ENSG00000125898,False
ENSG00000125966,False
ENSG00000125968,True
ENSG00000126749,False
ENSG00000126756,True
ENSG00000126787,True
ENSG00000126822,False
ENSG00000127990,False
ENSG00000127995,False
ENSG00000128050,False
ENSG00000128059,True
ENSG00000128422,False
ENSG00000128944,True
ENSG00000129007,True
ENSG00000129103,False
ENSG00000129194,True
ENSG00000129195,True
ENSG00000129347,False
ENSG00000129460,False
ENSG00000129691,True
ENSG00000129810,True
ENSG00000129925,False
ENSG00000130035,False
ENSG00000130559,False
ENSG00000130725,False
ENSG00000130818,False
ENSG00000131061,False
ENSG00000131183,True
ENSG00000131591,False
ENSG00000131747,True
ENSG00000132405,False
ENSG00000132768,False
ENSG00000132938,False
ENSG00000134057,True
ENSG00000134152,False
ENSG00000134253,False
ENSG00000134602,True
ENSG00000134690,True
ENSG00000135249,True
ENSG00000135362,False
ENSG00000135372,False
ENSG00000135452,True
ENSG00000135636,True
ENSG00000135638,True
ENSG00000136045,True
ENSG00000136159,True
ENSG00000136367,False
ENSG00000136813,False
ENSG00000136824,True
ENSG00000136866,False
ENSG00000136936,False
ENSG00000137449,False
ENSG00000137478,False
ENSG00000137804,True
ENSG00000137807,True
