cell,phase
A10_355,G2M
A10_356,G2M
A10_357,G2M
A11_355,
A11_356,G1
A11_357,S-ph
A12_355,G2M
A12_356,G2M
A12_357,G1
A13_355,G2M
A13_356,G1
A13_357,G2M
A14_355,G2M
A14_356,S-ph
A14_357,G1
A15_355,S-ph
A15_356,G2M
A15_357,S-ph
A16_355,S-ph
A16_356,G2M
A16_357,G1
A17_355,S-ph
A17_356,G2M
A17_357,G2M
A18_355,S-ph
A18_356,
A18_357,S-ph
A19_355,G2M
A19_356,S-ph
A19_357,G2M
A1_355,S-ph
A1_356,S-ph
A1_357,S-ph
A20_355,G1
A20_356,G2M
A20_357,G2M
A21_355,G1
A21_356,S-ph
A21_357,G2M
A22_355,G1
A22_356,
A22_357,S-ph
A23_355,G2M
A23_356,S-ph
A23_357,G2M
A24_355,
A24_356,G2M
A24_357,G1
A2_355,
A2_356,G1
A2_357,G2M
A3_355,G2M
A3_356,S-ph
A3_357,G1
A4_355,G1
A4_356,G1
A4_357,S-ph
A5_355,G1
A5_356,G1
A5_357,S-ph
A6_355,G2M
A6_356,S-ph
A6_357,G2M
A7_355,G1
A7_356,G2M
A7_357,S-ph
A8_355,G2M
A8_356,G2M
A8_357,G2M
A9_355,G1
A9_356,S-ph
A9_357,S-ph
B10_355,G2M
B10_356,S-ph
B10_357,S-ph
B11_355,G2M
B11_356,G1
B11_357,G2M
B12_355,
B12_356,G2M
B12_357,S-ph
B13_355,G1
B13_356,G1
B13_357,G2M
B14_355,S-ph
B14_356,S-ph
B14_357,G2M
B15_355,G2M
B15_356,G2M
B15_357,G1
B16_355,G1
B16_356,G2M
B16_357,G1
B17_355,G1
B17_356,G2M
B17_357,
B18_355,S-ph
B18_356,S-ph
B18_357,S-ph
B19_355,G1
B19_356,G2M
B19_357,S-ph
B1_355,G2M
B1_356,G1
B1_357,G2M
B20_355,S-ph
B20_356,G1
B20_357,G1
B21_355,G2M
B21_356,S-ph
B21_357,G2M
B22_355,
B22_356,G2M
B22_357,G2M
B23_355,G1
B23_356,S-ph
B23_357,G2M
B24_355,S-ph
B24_356,S-ph
B24_357,G2M
B2_355,G2M
B2_356,G2M
B2_357,G2M
B3_355,G2M
B3_356,S-ph
B3_357,G1
B4_355,G2M
B4_356,S-ph
B4_357,S-ph
B5_355,S-ph
B5_356,S-ph
B5_357,
B6_355,S-ph
B6_356,G2M
B6_357,G1
B7_355,S-ph
B7_356,
B7_357,G2M
B8_355,G1
B8_356,G1
B8_357,G2M
B9_355,G1
B9_356,G2M
B9_357,G1
C10_355,G2M
C10_356,
C10_357,S-ph
C11_355,G2M
C11_356,G2M
C11_357,S-ph
C12_355,G2M
C12_356,G1
C12_357,G1
C13_355,G1
C13_356,
C13_357,S-ph
C14_355,G2M
C14_356,S-ph
C14_357,G2M
C15_355,S-ph
C15_356,S-ph
C15_357,
C16_355,G1
C16_356,
C16_357,G1
C17_355,S-ph
C17_356,G1
C17_357,G2M
C18_355,G2M
C18_356,S-ph
C18_357,S-ph
C19_355,G2M
C19_356,S-ph
C19_357,S-ph
C1_355,
C1_356,G2M
C1_357,S-ph
C20_355,G1
C20_356,
C20_357,G1
C21_355,S-ph
C21_356,G1
C21_357,G1
C22_355,G2M
C22_356,G2M
C22_357,S-ph
C23_355,G2M
C23_356,G2M
C23_357,G2M
C24_355,G1
C24_356,S-ph
C24_357,G2M
C2_355,S-ph
C2_356,S-ph
C2_357,G2M
C3_355,S-ph
C3_356,S-ph
C3_357,G1
C4_355,G2M
C4_356,
C4_357,G2M
C5_355,G2M
C5_356,G2M
C5_357,G2M
C6_355,S-ph
C6_356,G1
C6_357,S-ph
C7_355,G2M
C7_356,G2M
C7_357,
C8_355,G1
C8_356,S-ph
C8_357,G2M
C9_355,S-ph
C9_356,
C9_357,S-ph
D10_355,S-ph
D10_356,S-ph
D10_357,G1
D11_355,G1
D11_356,S-ph
D11_357,G1
D12_355,G1
D12_356,G2M
D12_357,S-ph
D13_355,G2M
D13_356,
D13_357,G2M
D14_355,G1
D14_356,G2M
