,0
0,LOC100506804
1,LOC100507557
2,LOC155060
3,LOC101929450
4,LOC101929470
5,COL11A2-1
6,LOC653160
7,NAPEPLD-1
8,ARL17A-2
9,TCF19-1
10,SLC12A7-1
11,KIF5C-1
12,LOC152225
13,LOC646214
14,LOC283922
15,LOC100130476
16,GTF2H2C_2-1
17,LOC642361
18,RDH13-1
19,LOC729603
20,CHRNA7-1
21,LOC730183
22,VPS52-2
23,FLJ23867
24,MICA-1
25,LOC284581
26,DHRS11-1
27,LOC439994
28,MUC4-5
29,LOC389765
30,BREA2-1
31,LOC148413
32,LOC727924
33,FLJ26850
34,GNN
35,LOC654342
36,LOC728743
37,LOC100272216
38,LOC100272217
39,ADAM9-1
40,LOC100287072
41,LOC100130700
42,LOC284412
43,FLJ12825
44,LOC100268168
45,LOC645166
46,ZNRD1ASP-10
47,FAM120B-1
48,LOC100506142
49,RPH3AL-1
50,LOC100132891
51,ABHD16A-1
52,EHMT2-1
53,LOC100289561
54,PIGY+PYURF
55,SCRIB-1
56,ANKHD1-1
57,PPT2-1
58,SEPTIN6-1
59,PDXDC1-1
60,LOC644656
61,LOC100996579
62,CCHCR1-5
63,LOC642852
64,MGC16142
65,LOC643387
66,MGC2889
67,LOC150776
68,LOC202181
69,LOC146880
70,LOC100270804
71,LOC401127
72,LOC285074
73,C10orf67-1
74,ANO4-1
75,LOC646471
76,LOC100129534
77,LOC100130093
78,LOC100130987
79,CUTA-1
80,ARHGAP42-1
81,LOC643201
82,LOC643923
83,LOC389906
84,KIAA1656
85,LOC341056
86,HLA-F-1
87,ZNF707-1
88,LOC645513
89,HSPA1B-1
90,AGER-5
91,LOC642846
92,LOC101927027
93,LOC101929567
94,HDGFRP3
95,LOC101926963
96,LOC100335030
97,FLJ44511
98,LPCAT1-1
99,TRIM26-3
100,TAPBP-3
101,LOC100499484
102,LOC100287042
103,LOC100129917
104,LOC100128398
105,LOC339803
106,LOC284080
107,LOC102724927
108,YWHAE-1
109,LOC101929718
110,WDR81-1
111,LOC100129034
112,LOC728739
113,CNTNAP2-1
114,DHX16-2
115,LOC257396
116,LOC648987
117,LOC100507053
118,LOC728730
119,LOC100130331
120,LOC285484
121,PPP1R18-3
122,LOC100294145-1
123,LOC646903
124,NTAN1-1
125,KRT34-2
126,LOC650226
127,LOC283335
128,UNC79-1
129,PRR3-1
130,LY6G5C-6
131,LOC494127
132,LOC729218
133,LOC101928767
134,RPL36A-1
135,LOC100133331
136,LOC100288778
137,LOC284344
138,LOC440600
139,NDUFA6-DT-1
140,FLJ20021
141,LOC100288846
142,LOC400655
143,LOC101928295
144,ZNRD1-7
145,LPCAT1-2
146,LOC145474
147,LOC100303749
148,GS1-259H13.2
149,LOC101927257
150,LOC101928796
151,LOC644919
152,MTHFS-1
153,LOC100506207
154,LOC728392
155,LOC100128164
156,LOC100131564
157,LOC100289511
158,STK19-4
159,MIR6723
160,AATF-1
161,LOC729739
162,LOC100505549
163,LOC113230
164,LOC728323-1
165,LOC100288798
166,SNHG32-2
167,KC6
168,LOC652276
169,FLJ42627
170,GSDMD-1
171,KCNQ2-1
172,LOC554206
173,PP7080
174,MSTO2P-1
175,LOC101930452
176,MTRNR2L6-1
177,CBS-1
178,SLC2A11-1
179,MRPL23-1
180,RNASEK-1
181,LOC284009
182,LOC728819
183,LOC100128288
184,CYFIP1-1
185,NRM-3
186,LOC100506127
187,LINC00308-1
188,FLOT1-1
189,EPHB6-1
190,HLA-B-2
191,AKT3-1
192,MRPL45-1
193,PRRC2A-6
194,VARS2-4
195,LOC729970
196,GABBR1-3
197,HNRNPU-1
198,LOC101928371
199,MGC16275
200,LOC100132215
201,LOC100133315
202,PRXL2B-1
203,LOC493754
204,NDUFA3-8
205,LOC727896
206,LOC103344931
207,FLJ45513
208,LOC641367
209,PRPF31-7
210,LOC100288181
211,LOC100287792
212,MGC39584
213,LOC100506314
214,LOC100126784
215,RING1-5
216,LOC100506801
217,LOC254896
218,LOC100130691
219,SLC39A7-2
220,CDH4-1
221,MGC27345
222,MBOAT7-9
223,BTG3-1
224,VSTM1-9
225,NAPRT-1
226,LOC401320
227,APOM-1
228,LOC374443
229,FLJ22447
230,LOC100507564
231,LOC101929378
232,TAP1-7
233,LOC100996447
234,LOC100288911
235,SGK223
236,LOC100652758
237,AP2A2-2
238,LOC100507431
239,LOC100630918
240,LOC101928069
241,LOC101929089
242,LOC102724301
243,FLJ42351
244,LOC100506746
245,LOC100506136
246,LOC401010
247,LOC100652768
248,LOC100507373
249,LOC100506023
250,LOC646626
251,MGC72080
252,LOC101927765
253,LOC101928673
254,LOC100505984
255,LOC100288637
256,LOC100506124
257,LUZP6+MTPN
258,H3F3AP4-1
259,LOC100507577
260,MIR4461
261,LOC100506472
262,PCAT19-1
263,LOC100506990
264,LOC400684
265,LOC729987
266,DECR2-1
267,PKI55
268,HCN3-1
269,ATAT1-6
270,LOC646736
271,UTP4-1
272,LOC100507547
273,LOC388780
274,RXRB-1
275,LOC100506603
276,LOC100128494
277,LOC100506860
278,CTB-113P19.1
279,LOC101929125
280,LOC101927843
281,RNF5-1
282,FAM20C-1
283,LSM14A-1
284,LOC100147773
285,LOC100130950
286,LOC442028
287,LOC100132057
288,LOC101927391
289,TVP23C-1
290,LOC101927124
291,LOC100996437
292,LOC101926940
293,LOC101926935
294,LOC731157
295,LOC100505942
296,DDX39B-6
297,HDGFRP2
298,LILRB3-1
299,GATD3A-1
300,LOC730101
301,LOC441666
302,LOC284023
303,FLJ37453
304,LOC102723769
305,RNU86
306,GBA-1
307,LOC101926943
308,LOC101928731
309,LOC101927550
310,LOC101927497
311,LOC101927021
312,LOC101927045
313,LOC101927081
314,LOC100130357
315,LOC100505658
316,LOC100505716
317,LOC101928036
318,SGK494
319,LOC101927237
320,LOC100506476
321,RPL10-1
322,LOC102606465
323,LOC100506985
324,LOC100287098
325,LOC101927780
326,LOC101927592
327,FLJ36000
328,FLJ43315
329,LOC101928445
330,LOC148709
331,LOC100129550
332,TAP2-6
333,LOC100506083
334,LOC100505715
335,LOC100289361
336,LOC286437
337,LOC100507424
338,LOC100131289
339,LOC100506321
340,LOC100379224
341,LOC642236
342,ITPK1-AS1-1
343,FLJ42393
344,LOC100128531
345,LOC100287015
346,HLA-C-3
347,TBCD-1
348,LOC101928103
349,LOC101928697
350,PCGF2-1
351,LOC728613
352,LOC101927181
353,LOC100130744
354,GPSM3-6
355,LOC100506548
356,LOC100506639
357,RGL2-3
358,LOC101927354
359,CRSP8P
360,NEU1-3
361,LOC101929645
362,LOC100505736
363,LOC100289230
364,DKFZP586I1420
365,LOC81691
366,LOC101927492
367,LOC101927204
368,LOC101927811
369,LOC285740
370,LOC101927881
371,LOC100996385
372,PSMB9-6
373,LOC644936
374,BSCL2-2
375,PET117-1
376,LOC100270746
377,PPP1R10-3
378,LOC653653
379,LOC90834
380,LOC101559451
381,NPIPA1-2
382,MDC1-4
383,AK6-1
384,CSNK2B-4
385,HLA-G-4
386,LOC100129940
387,LOC102723439
388,CORO7-1
389,ARHGAP27-2
390,LOC90784
391,LOC728554-1
392,MTMR10-1
393,VARS-4
394,LOC103611081
395,LOC220729
396,DLL1-1
397,FLJ44635
398,ARL17A-3
399,HERC2P9-1
400,PKD1P1-1
401,MIR1254-1
402,SEPT5-GP1BB
403,LOC646762
404,FLJ46906
405,GOLGA6L9-1
406,UBE2Q2P2-1
407,RPS17-1
408,DDX52-1
409,SNHG4-1
410,LOC100499489
411,FRG1-1
412,FLJ32255
413,MIR3654-1
414,LOC100506895
415,LOC100506844-1
416,LOC102724323
417,LOC101927865
418,LOC286190
419,LOC100507346
420,LOC100128714
421,LOC100505666
422,LOC407835
423,LOC728024
424,MRM1-1
425,INTS3-1
426,DGCR6-1
427,LOC100507462
428,BORCS8-1
429,ARHGEF10-1
430,MGC32805
431,LOC100130992
432,NAP1L4-1
433,LCOR-1
434,HSPA1L-1
435,NOTCH4-6
436,BAZ2B-1
437,LOC100506551
438,LOC100128361
439,LINC00476-1
440,NOMO2-2
441,LOC441455
442,LOC441601
443,LOC101928324
444,LOC101927100
445,LOC100288842
446,KIAA1147-1
447,LOC100507156
448,LOC100507634
449,LOC100506368
450,LOC100506100
451,LOC729930
452,LOC440311
453,LOC284454
454,LOC101928794
455,LOC100132831
456,CISD3-1
457,C18orf61
458,LOC145783
459,SYNE3-1
460,VWA7-1
461,PIGW-1
462,PRPF8-1
463,CNOT3-7
464,LOC101929057
465,LOC158960
466,LOC101927501
467,LOC101927476
468,CLN8-1
469,PPP1R11-2
470,LOC100132356
471,LOC729732
472,LOC100129361
473,ABCF1-6
474,LOC102723828
475,NME2-2
476,CCDC125-1
477,LOC102724814
478,LOC101929715
479,HP09053
480,LOC100507002
481,CTC-338M12.4
482,LOC101928855
483,LOC101929099
484,LOC101060542
485,LOC101927322
486,LOC101927151
487,LOC100420587
488,LOC100996324
489,LOC101927572
490,LOC399815
491,LOC344967
492,LOC285629
493,LOC285627
494,LOC654841
495,LOC100506499
496,LOC643072
497,LOC100996251
498,LOC100289580
499,LOC101927755
500,LOC644762
501,LOC101928489
502,LOC101929767
503,LINC-PINT-1
504,LOC101928491
505,LOC101927919
506,TP53TG3D-1
507,LOC101928446
508,LOC101927817
509,LOC101927623
510,LOC440910
511,LOC103091866
512,LOC101928063
513,LOC102724084
514,LOC102724467
515,LOC101929140
516,LOC101928100
517,LOC101927267
518,LOC100129940-1
519,LOC102723885
520,LOC102724094
521,LOC100506675
522,LOC101929427
523,LINCR-0002
524,LINCR-0001
525,LOC101928994
526,LOC101929574
527,LOC102724009
528,LOC100507316
529,LOC100507651
530,LOC101929563
531,LOC101928525
532,LOC100507291
533,LOC100507420
534,LOC100507420-1
535,LOC101928131
536,LOC284930
537,LOC403323
538,DUXAP9-1
539,LOC100049716
540,LOC730202
541,TSL
542,LOC399491
543,LOC729867
544,LOC339260
545,RRN3-1
546,TJP1-1
547,LOC79160
548,LOC100129434
549,LOC100419583
550,LOC100288152
551,LOC100507437
552,LOC101927003
553,LOC102723582
554,LOC101927056
555,LOC101927815
556,LOC101929128
557,LOC101929066
558,LOC101927221
559,LOC100505938
560,LOC102723729
561,LOC101929709
562,LOC101927365
563,LOC101927768
564,LOC101928140
565,LOC101928304
566,LOC101929705
567,LOC100507487
568,LOC90768
569,LOC101928978
570,LOC101929516
571,LOC101929147
572,LOC283140
573,LOC284825
574,LOC101927973
575,LOC100129461
576,LOC101927188
577,LOC101930071
578,LOC728673
579,LOC103908605
580,LOC221946
581,LOC102724279
582,LOC171391
583,LOC100506302
584,LOC104968399
585,CSAG3-1
586,LOC441242
587,LOC100132352
588,LOC642776
