,fucci_time
0,0.942
1,0.986
2,0.982
3,0.289
4,0.018
5,0.635
6,0.959
7,0.883
8,0.09
9,0.917
10,0.0
11,0.956
12,0.846
13,0.442
14,0.139
15,0.184
16,0.821
17,0.672
18,0.691
19,0.918
20,0.093
21,0.178
22,0.919
23,0.744
24,0.409
25,0.161
26,0.26
27,0.983
28,0.296
29,0.852
30,0.509
31,0.257
32,0.674
33,0.02
34,0.993
35,0.953
36,0.132
37,0.55
38,0.843
39,0.016
40,0.727
41,0.233
42,0.955
43,0.403
44,0.896
45,0.174
46,0.863
47,0.072
48,0.229
49,0.006
50,0.861
51,0.979
52,0.389
53,0.185
54,0.191
55,0.025
56,0.336
57,0.011
58,0.081
59,0.359
60,0.926
61,0.423
62,0.886
63,0.002
64,0.988
65,0.971
66,0.935
67,0.944
68,0.964
69,0.12
70,0.354
71,0.27
72,0.909
73,0.41
74,0.262
75,0.901
76,0.114
77,0.951
78,0.276
79,0.969
80,0.264
81,0.012
82,0.109
83,0.914
84,0.048
85,0.395
86,0.754
87,0.838
88,0.794
89,0.041
90,0.013
91,0.977
92,0.068
93,0.004
94,0.963
95,0.694
96,0.503
97,0.43
98,0.46
99,0.013
100,0.831
101,0.564
102,0.905
103,0.042
104,0.976
105,0.641
106,0.014
107,0.135
108,0.943
109,0.757
110,0.839
111,0.178
112,0.97
113,0.946
114,0.169
115,0.378
116,0.808
117,0.367
118,0.477
119,0.974
120,0.912
121,0.913
122,0.952
123,0.945
124,0.665
125,0.197
126,0.948
127,0.473
128,0.588
129,0.815
130,0.713
131,0.325
132,0.72
133,0.987
134,0.07
135,0.472
136,0.993
137,0.989
138,0.148
139,0.131
140,0.961
141,0.031
142,0.95
143,0.138
144,0.925
145,0.271
146,0.49
147,0.878
148,0.856
149,0.369
150,0.939
151,0.113
152,0.115
153,0.212
154,0.449
155,0.375
156,0.954
157,0.614
158,0.907
159,0.565
160,0.469
161,0.76
162,0.182
163,0.995
164,0.021
165,0.712
166,0.04
167,0.98
168,0.853
169,0.628
170,0.363
171,0.904
172,0.441
173,0.397
174,0.332
175,0.927
176,0.437
177,0.219
178,0.167
179,0.073
180,0.732
181,0.023
182,0.112
183,0.933
184,0.807
185,0.705
186,0.782
187,0.817
188,0.902
189,0.044
190,0.376
191,0.81
192,0.383
193,0.573
194,0.975
195,0.687
196,0.506
197,0.086
198,0.978
199,0.03
200,0.967
201,0.922
202,0.938
203,0.859
204,0.664
205,0.125
206,0.612
207,0.941
208,0.9
209,0.752
210,0.051
211,0.436
212,0.882
213,0.898
214,0.203
215,0.5
216,0.426
217,0.523
218,0.128
219,0.01
220,0.321
221,0.107
222,0.034
223,0.958
224,0.34
225,0.947
226,0.934
227,0.802
228,0.055
229,0.823
230,0.236
231,0.797
232,0.911
233,0.104
234,0.96
235,0.892
236,0.02
237,0.311
238,0.88
239,0.869
240,0.157
241,0.095
242,0.365
243,0.108
244,0.616
245,0.85
246,0.932
247,0.767
248,0.106
249,0.602
250,0.663
251,0.047
252,0.047
253,0.063
254,0.29
255,0.815
256,0.962
257,0.431
258,0.085
259,0.084
260,0.419
261,0.89
262,0.015
263,0.057
264,0.045
265,0.69
266,0.634
267,0.994
268,0.046
269,0.972
270,0.904
271,0.981
272,0.867
273,0.885
274,0.239
275,0.143
276,0.841
277,0.99
278,0.54
279,0.439
280,0.835
281,0.119
282,0.847
283,0.94
284,0.549
285,0.033
286,0.801
287,0.792
288,0.863
289,0.202
290,0.191
291,0.506
292,0.201
293,0.668
294,0.001
295,0.924
296,0.717
297,0.232
298,0.856
299,0.87
300,0.205
301,0.876
302,0.824
303,0.991
304,0.416
305,0.936
306,0.406
307,0.979
308,0.258
309,0.141
310,0.814
311,0.024
312,0.864
313,0.479
314,0.921
315,0.661
316,0.619
317,0.938
318,0.207
319,0.952
320,0.906
321,0.462
322,0.966
323,0.721
324,0.858
325,0.899
326,0.006
327,0.796
328,0.008
329,0.76
330,0.039
331,0.675
332,0.129
333,0.306
334,0.166
335,0.404
336,0.291
337,0.344
338,0.455
339,0.137
340,0.032
341,0.968
342,0.198
343,0.209
344,0.054
345,0.996
346,0.476
347,0.915
348,0.043
349,0.007
350,0.082
351,0.408
352,0.812
353,0.502
354,0.017
355,0.22
356,0.92
357,0.758
358,0.945
359,0.568
360,0.958
361,0.548
362,0.216
363,0.949
364,0.071
365,0.127
366,0.937
367,0.538
368,0.998
369,0.716
370,0.082
371,0.1
372,0.087
373,0.123
374,0.671
375,0.972
376,0.184
377,0.884
378,0.297
379,0.0
380,0.984
381,0.908
382,0.39
383,0.28
384,0.393
385,0.762
386,0.273
387,0.881
388,0.164
389,0.676
390,0.088
391,0.664
392,0.196
393,0.066
394,0.726
395,0.321
396,0.845
397,0.498
398,0.924
399,0.098
400,0.756
401,0.335
402,0.891
403,0.795
404,0.821
405,0.18
406,0.866
407,0.458
408,0.056
409,0.836
410,0.816
411,0.52
412,0.102
413,0.893
414,0.862
415,0.136
416,0.791
417,0.669
418,0.172
419,0.168
420,0.825
421,0.534
422,0.613
423,0.772
424,0.069
425,0.647
426,0.366
427,0.789
428,0.396
429,0.965
430,0.873
431,0.89
432,0.854
433,0.928
434,0.857
435,0.737
436,0.372
437,0.809
438,0.333
439,0.973
440,0.871
441,0.075
442,0.077
443,0.425
444,0.868
445,0.103
446,0.242
447,0.388
448,0.985
449,0.931
450,0.255
451,0.091
452,0.164
453,0.604
454,0.286
455,0.26
456,0.719
457,0.253
458,0.026
459,0.463
460,0.774
461,0.15
462,0.38
463,0.485
464,0.865
465,0.083
466,0.226
467,0.162
468,0.315
469,0.005
470,0.105
471,0.144
472,0.691
473,0.487
474,0.734
475,0.049
476,0.957
477,0.17
478,0.583
479,0.143
480,0.822
481,0.876
482,0.149
483,0.733
484,0.24
485,0.768
486,0.486
487,0.288
488,0.78
489,0.265
490,0.512
491,0.773
492,0.879
493,0.718
494,0.356
495,0.062
496,0.277
497,0.729
498,0.804
499,0.36
500,0.897
501,0.897
502,0.019
503,0.177
504,0.869
505,0.294
506,0.05
507,0.089
508,0.651
509,0.585
510,0.753
511,0.775
512,0.844
513,0.529
514,0.059
515,0.875
516,0.553
517,0.414
518,0.705
519,0.309
520,0.997
521,0.673
522,0.8
523,0.781
524,0.37
525,0.163
526,0.73
527,0.171
528,0.813
529,0.319
530,0.027
531,0.064
532,0.855
533,0.25
534,0.67
535,0.593
536,0.526
537,0.726
538,0.764
539,0.003
540,0.188
541,0.697
542,0.525
543,0.16
544,0.382
545,0.91
546,0.249
547,0.916
548,0.554
549,0.445
550,0.187
551,0.771
552,0.561
553,0.399
554,0.699
555,0.849
556,0.497
557,0.08
558,0.709
559,0.68
560,0.801
561,0.877
562,0.605
563,0.222
564,0.445
565,0.623
566,0.3
567,0.029
568,0.444
569,0.872
570,0.347
571,0.753
572,0.481
573,0.078
574,0.659
575,0.075
576,0.461
577,0.806
578,0.377
579,0.917
580,0.513
581,0.746
582,0.874
583,0.84
584,0.888
585,0.761
586,0.887
587,0.662
588,0.501
589,0.246
590,0.667
591,0.034
592,0.86
593,0.027
594,0.6
595,0.848
596,0.373
597,0.803
598,0.058
599,0.275
600,0.038
601,0.111
602,0.438
603,0.536
604,0.053
605,0.66
606,0.832
607,0.123
608,0.828
609,0.459
610,0.041
611,0.739
612,0.418
613,0.244
614,0.376
615,0.741
616,0.739
617,0.074
618,0.894
619,0.965
620,0.158
621,0.798
622,0.609
623,0.44
624,0.165
625,0.322
626,0.91
627,0.835
628,0.749
629,0.624
630,0.251
631,0.759
632,0.903
633,0.252
634,0.483
635,0.067
636,0.715
637,0.826
638,0.315
639,0.317
640,0.383
641,0.531
642,0.13
643,0.837
644,0.153
645,0.745
646,0.146
647,0.231
648,0.374
649,0.095
650,0.21
651,0.494
652,0.742
653,0.219
654,0.314
655,0.74
656,0.702
657,0.036
658,0.842
659,0.369
660,0.78
661,0.666
662,0.435
663,0.022
664,0.0
665,0.805
666,0.154
667,0.626
668,0.152
669,0.345
670,0.842
671,0.787
672,0.116
673,0.14
674,0.93
675,0.13
676,0.818
677,0.157
678,0.357
679,0.134
680,0.417
681,0.725
682,0.218
683,0.883
684,0.323
685,0.065
686,0.747
687,0.671
688,0.474
689,0.895
690,0.923
691,0.292
692,0.808
693,0.301
694,0.405
695,0.456
696,0.061
697,0.068
698,0.379
699,0.851
700,0.584
701,0.225
702,0.684
703,0.931
704,0.678
705,0.736
706,0.117
707,0.133
708,0.7
709,0.849
710,0.035
711,0.77
712,0.655
713,0.118
714,0.787
715,0.569
716,0.391
717,0.712
718,0.11
719,0.23
720,0.254
721,0.516
722,0.299
723,0.778
724,0.724
725,0.576
726,0.308
727,0.794
728,0.811
729,0.748
730,0.779
731,0.326
732,0.173
733,0.472
734,0.708
735,0.037
736,0.517
737,0.076
738,0.688
739,0.387
740,0.097
741,0.692
742,0.766
743,0.263
744,0.301
745,0.819
746,0.731
747,0.351
748,0.448
749,0.643
750,0.392
751,0.122
752,0.793
753,0.51
754,0.427
755,0.205
756,0.295
757,0.195
758,0.239
759,0.82
760,0.307
761,0.746
762,0.728
763,0.328
764,0.79
765,0.145
766,0.829
767,0.751
768,0.785
769,0.206
770,0.054
771,0.028
772,0.685
773,0.83
774,0.308
775,0.929
776,0.714
777,0.777
778,0.356
779,0.328
780,0.092
781,0.285
782,0.992
783,0.827
784,0.368
785,0.657
786,0.422
787,0.828
788,0.489
789,0.204
790,0.889
791,0.124
792,0.454
793,0.657
794,0.147
795,0.57
796,0.535
797,0.102
798,0.537
799,0.179
800,0.776
801,0.518
802,0.986
803,0.788
804,0.723
805,0.786
806,0.834
807,0.079
808,0.467
809,0.684
810,0.407
811,0.156
812,0.401
813,0.189
814,0.711
815,0.732
816,0.765
817,0.341
818,0.211
819,0.318
820,0.682
821,0.272
822,0.268
823,0.514
824,0.052
