Gene stable ID	Gene type	Gene name
ENSG00000212452	snoRNA	SNORD69
ENSG00000275931	protein_coding	GP6
ENSG00000274978	snRNA	RNU11
ENSG00000266041	miRNA	MIR4690
ENSG00000283881	miRNA	MIR3916
ENSG00000284082	miRNA	MIR7109
ENSG00000208036	miRNA	MIR106B
ENSG00000277784	miRNA	MIR6786
ENSG00000275022	miRNA	MIR6753
ENSG00000283783	miRNA	MIR622
ENSG00000266589	miRNA	MIR4512
ENSG00000284256	miRNA	MIR5004
ENSG00000284067	miRNA	MIR6837
ENSG00000202566	miRNA	MIR421
ENSG00000283774	miRNA	MIR632
ENSG00000252542	snoRNA	SNORD36C
ENSG00000277759	miRNA	MIR6719
ENSG00000277985	snoRNA	SNORA67
ENSG00000272533	snoRNA	SNORA28
ENSG00000281245	protein_coding	STKLD1
ENSG00000206885	snoRNA	SNORA75
ENSG00000276788	snoRNA	SNORD26
ENSG00000271852	snoRNA	SNORD11B
ENSG00000280963	antisense	SERTAD4-AS1
ENSG00000200831	snoRNA	SNORD36B
ENSG00000264294	snoRNA	SNORD55
ENSG00000202515	misc_RNA	VTRNA1-3
ENSG00000206633	snoRNA	SNORA80B
ENSG00000207051	snoRNA	SNORA27
ENSG00000283965	protein_coding	KCNH1
ENSG00000274266	snoRNA	SNORA73A
ENSG00000206941	snoRNA	SNORD15A
ENSG00000206630	snoRNA	SNORD60
ENSG00000275086	protein_coding	TFPT
ENSG00000238795	snoRNA	SCARNA12
ENSG00000263362	snoRNA	SNORD52
ENSG00000274050	protein_coding	GP6
ENSG00000276296	protein_coding	TFPT
ENSG00000276628	protein_coding	LENG1
ENSG00000283621	miRNA	MIR6759
ENSG00000284553	miRNA	MIR6886
ENSG00000276753	miRNA	MIR6821
ENSG00000265724	miRNA	MIR4284
ENSG00000277027	ribozyme	RMRP
ENSG00000284108	miRNA	MIR611
ENSG00000201643	snoRNA	SNORA14A
ENSG00000283180	miRNA	MIR6767
ENSG00000284564	miRNA	MIR3064
ENSG00000284246	miRNA	MIR6716
ENSG00000266437	miRNA	MIR4746
ENSG00000277264	miRNA	MIR6833
ENSG00000276065	protein_coding	GP6
ENSG00000283874	miRNA	MIR3911
ENSG00000221303	snoRNA	SNORA79
ENSG00000251733	scaRNA	SCARNA8
ENSG00000281309	protein_coding	SURF6
ENSG00000263776	snoRNA	SNORA4
ENSG00000283791	miRNA	MIR612
ENSG00000238578	snoRNA	SNORD4A
ENSG00000273776	miRNA	MIR6126
ENSG00000200795	snRNA	RNU4-1
ENSG00000206754	snoRNA	SNORD101
ENSG00000212464	snoRNA	SNORA12
ENSG00000280627	protein_coding	SURF1
ENSG00000212283	snoRNA	SNORD89
ENSG00000200320	snoRNA	SNORA63
ENSG00000207088	snoRNA	SNORA7B
ENSG00000207067	snoRNA	SNORA72
ENSG00000221500	snoRNA	SNORD100
ENSG00000276168	misc_RNA	RN7SL1
ENSG00000277370	snoRNA	SNORD49A
ENSG00000281243	snoRNA	SNORD36B
ENSG00000281022	protein_coding	MED22
ENSG00000207997	miRNA	MIR644A
ENSG00000284421	miRNA	MIR7110
ENSG00000253079	misc_RNA	NRON
ENSG00000206989	snoRNA	SNORD63
ENSG00000199673	snoRNA	SNORD16
ENSG00000274582	snoRNA	SNORA16A
ENSG00000251992	scaRNA	SCARNA17
ENSG00000202093	snoRNA	SNORD58C
ENSG00000275996	snoRNA	SNORD27
ENSG00000221394	miRNA	MIR1229
ENSG00000207973	miRNA	MIR589
ENSG00000284532	miRNA	MIR4723
ENSG00000265321	miRNA	MIR4263
ENSG00000278449	miRNA	MIR6892
ENSG00000274566	protein_coding	GP6
ENSG00000280479	protein_coding	CACFD1
ENSG00000238862	snoRNA	SNORD19B
ENSG00000212443	snoRNA	SNORA53
ENSG00000200354	snoRNA	SNORA71D
ENSG00000226572	snoRNA	SNORD57
ENSG00000273898	miRNA	MIR6798
ENSG00000281541	snoRNA	SNORD36C
ENSG00000278658	miRNA	MIR6826
ENSG00000249784	scaRNA	SCARNA22
ENSG00000274134	miRNA	MIR6774
ENSG00000273555	miRNA	MIR6812
ENSG00000201675	snoRNA	SNORD32A
ENSG00000275667	miRNA	MIR6839
ENSG00000274073	protein_coding	TFPT
ENSG00000254341	snoRNA	SNORD87
ENSG00000206620	snoRNA	SNORD45C
ENSG00000202252	snoRNA	SNORD14C
ENSG00000200792	snoRNA	SNORA80A
ENSG00000200913	snoRNA	SNORD46
ENSG00000280858	protein_coding	RPL7A
ENSG00000212588	snoRNA	SNORA26
ENSG00000201754	snoRNA	SNORD52
ENSG00000207406	snoRNA	SNORA41
ENSG00000284144	miRNA	MIR6866
ENSG00000274417	miRNA	MIR6515
ENSG00000276350	miRNA	MIR6858
ENSG00000284190	miRNA	MIR21
ENSG00000275652	miRNA	MIR6796
ENSG00000277713	miRNA	MIR6856
ENSG00000277108	snoRNA	SNORD49B
ENSG00000206869	snoRNA	SNORA70F
ENSG00000238917	snoRNA	SNORD10
ENSG00000275207	miRNA	MIR6740
ENSG00000278465	miRNA	MIR6769B
ENSG00000265452	miRNA	MIR3682
ENSG00000278316	protein_coding	GP6
ENSG00000275935	protein_coding	LENG1
ENSG00000276774	protein_coding	LENG1
ENSG00000276926	miRNA	MIR6797
ENSG00000199293	snoRNA	SNORA21
ENSG00000284012	miRNA	MIR6840
ENSG00000212402	snoRNA	SNORA74B
ENSG00000276263	protein_coding	TFPT
ENSG00000209482	snoRNA	SNORD83A
ENSG00000284253	miRNA	MIR1973
ENSG00000284293	miRNA	MIR7113
ENSG00000252326	snoRNA	SNORD116-25
ENSG00000284368	miRNA	MIR5047
ENSG00000264757	miRNA	MIR3198-1
ENSG00000283829	miRNA	MIR378I
ENSG00000265160	miRNA	MIR5003
ENSG00000221539	snoRNA	SNORD99
ENSG00000284064	miRNA	MIR6834
ENSG00000277194	snoRNA	SNORD22
ENSG00000280680	protein_coding	HHAT
ENSG00000212534	snoRNA	SNORD70
ENSG00000207118	snoRNA	SNORD14D
ENSG00000281907	snoRNA	SNORD36A
ENSG00000201998	snoRNA	SNORA23
ENSG00000278249	scaRNA	SCARNA2
ENSG00000207031	snoRNA	SNORD59A
ENSG00000285447	protein_coding	ZNF883
ENSG00000283938	miRNA	MIR3917
ENSG00000206634	snoRNA	SNORA22
ENSG00000207696	miRNA	MIR659
ENSG00000283551	snoRNA	SNORD98
ENSG00000284425	miRNA	MIR8072
ENSG00000265828	miRNA	MIR3939
ENSG00000263892	miRNA	MIR4667
ENSG00000238649	snoRNA	SNORD42A
ENSG00000284394	miRNA	MIR4750
ENSG00000221510	miRNA	MIR548O
ENSG00000206597	snoRNA	SNORA57
ENSG00000207864	miRNA	MIR27B
ENSG00000271886	miRNA	MIR98
ENSG00000201772	snoRNA	SNORA5C
ENSG00000220988	snoRNA	SNORD88C
ENSG00000280951	protein_coding	SURF4
ENSG00000208772	snoRNA	SNORD94
ENSG00000283701	miRNA	MIR555
ENSG00000221803	snoRNA	SNORD23
ENSG00000266276	miRNA	MIR4743
