,0
0,LEF1
1,FOXJ2
2,ZNF654
3,ZMYM2
4,DCAF6
5,PDP1
6,ZNF302
7,TMED4
8,SLC5A6
9,PLSCR1
10,RPL41
11,MARK1
12,TMSB10
13,HES6
14,PDLIM1
15,MTMR3
16,LOC100506804
17,INPP4B
18,PSMD4
19,DPM2
20,DCAF5
21,PTPN1
22,POLE2
23,POU6F1
24,IL18R1
25,PITPNA
26,PIN4
27,PIK3CB
28,DUOX1
29,PSMD13
30,FAM131C
31,CTAGE5
32,KAT5
33,CREM
34,CLEC4A
35,BTN3A1
36,FILIP1L
37,VAPA
38,FGFR1OP
39,RNF41
40,ARL13B
41,RNF38
42,PIK3R3
43,ZNF30
44,WASH1
45,SCARF2
46,EIF5
47,SHC1
48,LYPD6
49,UBE2J2
50,CCNB1IP1
51,KIF24
52,SPATA24
53,SCARA3
54,RASSF5
55,TMEM65
56,RALGAPA1
57,CCDC129
58,PIK3R1
59,ATF4
60,INO80C
61,PLCB4
62,TMEM219
63,RBPMS2
64,RNF34
65,MCM8
66,PAIP1
67,CDCA2
68,SLC6A15
69,MCL1
70,SLC25A25-AS1
71,SRI
72,TFEB
73,RYR2
74,DDX42
75,LINC00511
76,MROH6
77,KNG1
78,TNIP1
79,EXTL2
80,IRAK4
81,GUCA1B
82,ITGA7
83,H2AFZ
84,ABCE1
85,GPN1
86,MORF4L2
87,CCDC88A
88,EIF3J
89,YARS
90,IQGAP1
91,MOV10
92,PRPF18
93,PAPSS2
94,SBSPON
95,MAX
96,SRP9
97,TXNDC12
98,PTDSS1
99,COPZ2
100,CWC15
101,MTSS1
102,KIAA0586
103,SNX17
104,RIMS3
105,RNF144A
106,KIAA0232
107,SRRT
108,RASSF2
109,DYNC2LI1
110,VEGFA
111,MAPKAPK2
112,RPS6KA5
113,AIMP1
114,NUMBL
115,MPHOSPH10
116,RABEP1
117,CAPRIN1
118,CRLF1
119,CCPG1
120,DLG5
121,ZFAND5
122,SMAD9
123,GDF15
124,ZNF124
125,ROCK2
126,CCIN
127,UQCRFS1
128,UCHL3
129,CAMTA1
130,BDNF
131,ARMCX6
132,CHMP4B
133,SPDYA
134,MRPL43
135,ADD1
136,PIGN
137,PSME1
138,CDK5RAP3
139,EXD2
140,GPR107
141,C11orf57
142,PCCB
143,DBF4B
144,CCNL2
145,IFT74
146,XYLT1
147,EDC3
148,ZNF485
149,DSC2
150,NFYB
151,RBM10
152,AGA
153,ADSL
154,CEP57
155,ZNF691
156,ARHGEF38
157,PRPF4
158,DTNB
159,RAB2A
160,SCAPER
161,CDSN
162,FIGNL1
163,RRM2B
164,IKBKE
165,SSX2IP
166,ZNF490
167,ZNF512B
168,RPL17
169,PEX26
170,TUBB6
171,MOCS2
172,PAN3
173,ADAM15
174,STK26
175,NDRG2
176,SYF2
177,PLD3
178,SNUPN
179,PSMD9
180,ATP7B
181,AGTPBP1
182,TRAPPC6B
183,CNTNAP3B
184,PLEKHN1
185,PRR5L
186,TMEM68
187,DLK2
188,HMGCS1
189,ANKRD33B
190,SLC25A17
191,SH3YL1
192,PQLC3
193,LINC00632
194,UQCRHL
195,DMKN
196,NOS1AP
197,NEDD1
198,ZNF550
199,HOMER1
200,MFF
201,NBPF20
202,TP53
203,NKD2
204,RAB18
205,CROCCP3
206,EYA1
207,CSE1L
208,USPL1
209,ALG3
210,CROCCP2
211,GPLD1
212,INAFM1
213,PEX1
214,CRIP2
215,CNN1
216,PPP3CA
217,SLC2A4
218,CTSK
219,COL5A2
220,CTBP2
221,INPP4A
222,NSL1
223,BCO2
224,GEMIN5
225,CNRIP1
226,NIPSNAP3A
227,TUBA1C
228,ZNF521
229,NEDD4L
230,POU2F2
231,CUL3
232,ZBTB24
233,EPM2AIP1
234,RGL1
235,MELK
236,DPH5
237,ELMO1
238,THAP4
239,HDDC2
240,FCF1
241,MED31
242,TRIM14
243,DNAJC6
244,CDH18
245,TPRKB
246,ARHGAP11A
247,MRPL4
248,MRPL48
249,C14orf166
250,NOSIP
251,NUP54
252,LINC01029
253,PTENP1-AS
254,SLC16A1-AS1
255,RPS14P3
256,TPMT
257,SLC43A2
258,PIF1
259,UTP15
260,ZNF582-AS1
261,AK2
262,DNAJC25
263,PLEKHA8P1
264,AP3S2
265,DCTN5
266,SRGN
267,SUV39H2
268,BCL7B
269,DPY19L1P1
270,LOC100507557
271,SLC3A2
272,ZFAS1
273,CCDC144B
274,EPHA1-AS1
275,NME1-NME2
276,ADAM1A
277,GOLGA2P5
278,PDGFC
279,YIPF1
280,SKP1P2
281,SORD
282,EBLN3
283,RHOU
284,DPP10-AS1
285,RNF7
286,LOC155060
287,RBM5
288,VDAC1
289,DLST
290,PMF1
291,DMXL1
292,ANKRD11
293,POLL
294,PRRC2C
295,DAW1
296,VWDE
297,ARHGAP32
298,IFT140
299,FLRT1
300,TGFBR3
301,PPM1D
302,PRSS12
303,MAP4K3
304,BAG6
305,MARK2
306,PLD1
307,ZNF668
308,RAB40C
309,RAC3
310,PWP2
311,SF3B4
312,GYG2
313,AP1G2
314,PSMD5
315,GPRC5A
316,HPSE
317,NKIRAS2
318,SLC25A25
319,FBXO28
320,CNOT1
321,MAPKBP1
322,IFITM3
323,RPP14
324,GGCT
325,INTS7
326,KREMEN2
327,VPS33B
328,PDHA1
329,NKRF
330,PRKG2
331,BTBD3
332,TUBA1A
333,MANBA
334,IPP
335,SLC6A9
336,MAN1A1
337,DCAF8
338,KIAA0226
339,IDH1
340,MAK
341,PDE4B
342,BCKDK
343,SMAD1
344,PAK4
345,TUBA3C
346,TUBA4A
347,SMAD3
348,PLAGL1
349,SMAD2
350,SMAD7
351,TRIB3
352,HDAC4
353,GOLGA3
354,SPIN1
355,DNAJA2
356,ST3GAL2
357,LOC101929450
358,LOC101929470
359,MVP
360,SRSF5
361,TMEM115
362,IFT122
363,ANKRD54
364,VPS13D
365,CANT1
366,CCDC148
367,LEO1
368,PIH1D2
369,TMEM45B
370,C11orf74
371,GINM1
372,FCHO2
373,COL11A2-1
374,TEX30
375,AFG3L1P
376,CLTA
377,OAZ3
378,TACC1
379,ELMOD3
380,DAZAP2
381,DNAJB5
382,C2CD4C
383,INCA1
384,TRMT2B
385,CPNE1
386,SPATA33
387,FBXL13
388,ABHD2
389,CEP164
390,SLC1A6
391,MYO6
392,SNORA73A
393,SNORA73B
394,PAK6
395,COL4A5
396,SNORD99
397,FASTK
398,PHKG1
399,RNASEH2B
400,HDX
401,MOSPD2
402,FXYD6
403,HRAS
404,TRIM46
405,TSEN34
406,CERCAM
407,MRPS27
408,SMG6
409,PTTG1
410,ARPIN
411,BORA
412,OTUD6B
413,ACOT8
414,EEF2K
415,CCDC106
416,RBM15B
417,RHOBTB2
418,SPARC
419,DAG1
420,SUCLG2
421,CD33
422,PPP2R2A
423,ALPL
424,ZNF816
425,ENY2
426,EDRF1
427,BEST3
428,ACTR3
429,CD151
430,RMI2
431,CCNG2
432,ENDOG
433,NKTR
434,CASP3
435,EFNB1
436,CETN2
437,CALR
438,CALD1
439,CAD
440,NOLC1
441,FMNL1
442,MTA2
443,VAPB
444,ZFYVE9
445,SLC25A3
446,FGD3
447,C12orf10
448,GPBP1L1
449,HDAC11
450,MTMR9LP
451,NOS1
452,ABCC10
453,RAI1
454,YTHDC2
455,HOXA3
456,FNDC4
457,UCP3
458,ELOVL1
459,MAP1LC3B
460,PER2
461,CDC25C
462,PRRT1
463,ACAP3
464,HNRNPDL
465,THBS3
466,KCTD15
467,RHOT1
468,APOBEC2
469,KLF10
470,WDR3
471,TFCP2
472,ZFPL1
473,CAPN15
474,SOS1
475,FBLN1
476,PEX11B
477,JRK
478,USO1
479,GTF2E2
480,GMNN
481,LOC653160
482,KIAA0040
483,MAGI3
484,TTC27
485,ENO3
486,TRIB1
487,NUDT13
488,ZCCHC17
489,TRAPPC3
490,ARIH2OS
491,NAPEPLD-1
492,ALS2CR11
493,TMEM92
494,DLG1
495,DBI
496,SEMA4G
497,ZC4H2
498,ARL17A-2
499,USP25
500,ELP3
501,PGAP2
502,CNTN1
503,PPAP2A
504,CCDC50
505,KATNAL1
506,NAA16
507,MRPL14
508,SEMA6B
509,PPP1R12B
510,VCPKMT
511,RIC3
512,WT1
513,EIF4H
514,ADIPOR2
515,C10orf76
516,CDK11B
517,GSG2
518,KCTD10
519,SNX25
520,PATZ1
521,SLC52A2
522,SLC4A11
523,B3GNT5
524,AGAP3
525,CDC73
526,SLC25A27
527,NRG1
528,EVI5L
529,SMIM12
530,PPM1J
531,ZNHIT1
532,PPIH
533,ROR1
534,SLC30A9
535,ATP5G2
536,ATP5C1
537,ATP2A3
538,ATF1
539,EYA3
540,EVA1C
541,CCDC115
542,POLR3F
543,BARD1
544,SEPT4
545,BCL2L12
546,PSMB3
547,NFYC-AS1
548,RBFOX2
549,MPZL1
550,NOS3
551,AP3D1
552,DEGS1
553,IGF2BP2
554,ELL
555,PROCR
556,MSRB2
557,CECR2
558,OLA1
559,DCTN2
560,HYOU1
561,MYO1B
562,MSMO1
563,ATP11B
564,DTX2
565,CFAP44
566,ALDH6A1
567,LARP1B
568,SETD4
569,UBL7
570,ECI1
571,SF1
572,PPP1R12A
573,AKAP13
574,LMX1B
575,LEPREL2
576,ZNF709
577,EGFLAM
578,FAM101B
579,ALS2CL
580,GRIK1
581,PPARD
582,MAGED2
583,HECTD2
584,ELMO2
585,PPP2R4
586,GATC
587,TSGA10
588,FGF14
589,CREB5
590,KIAA1429
591,FAM64A
592,CYB5A
593,BTN3A2
594,PACS2
595,KDM4A-AS1
596,MAGIX
597,VEPH1
598,LINC00623
599,FAM204A
600,JDP2
601,CENPM
602,TST
603,TMEM249
604,SPOCD1
605,YAP1
606,SURF4
607,DAAM1
608,APOLD1
609,GFOD2
610,CCDC130
611,TM6SF1
612,SLC30A5
613,PGAP1
614,PPP1R9B
615,MIF4GD
616,ZSWIM8
617,TAF1C
618,TAX1BP1
619,SUDS3
620,VANGL2
