,well_plate,wp_iscell,wp_isnuc,wp_iscyto,wp_ann
0,A01_55185977,True,False,False,Nucleus
1,B01_55185977,False,True,False,nucleus
2,C01_55185977,True,False,False,Cell
3,D01_55185977,True,False,False,
4,E01_55185977,True,False,False,Cell
5,F01_55185977,True,False,False,Cell
6,G01_55185977,True,False,False,Cell
7,H01_55185977,True,False,False,Cytosol
8,A02_55185977,True,False,False,Nucleus
9,B02_55185977,True,False,False,
10,C02_55185977,True,False,False,Cell
11,D02_55185977,False,True,False,Nucleus
12,E02_55185977,True,False,False,Cell
13,F02_55185977,True,False,False,Cell
14,G02_55185977,True,False,False,nucleus
15,H02_55185977,False,False,True,Cytosol
16,A03_55185977,True,False,False,Cell
17,B03_55185977,True,False,False,Cytosol
18,C03_55185977,False,True,False,Nucleus
19,D03_55185977,True,False,False,Nucleus
20,E03_55185977,True,False,False,Cell
21,F03_55185977,True,False,False,
22,G03_55185977,True,False,False,nucleus
23,H03_55185977,False,True,False,Nucleus
24,A04_55185977,True,False,False,Cell
25,B04_55185977,True,False,False,Cell
26,C04_55185977,True,False,False,Cell
27,D04_55185977,True,False,False,Cell
28,E04_55185977,True,False,False,
29,F04_55185977,False,True,False,Nucleus
30,G04_55185977,False,True,False,Nucleus
31,H04_55185977,False,True,False,Nucleus
32,A05_55185977,True,False,False,Cell
33,B05_55185977,True,False,False,Cell
34,C05_55185977,True,False,False,Cell
35,D05_55185977,False,True,False,Nucleus
36,E05_55185977,False,False,True,Cytosol
37,F05_55185977,True,False,False,nucleus
38,G05_55185977,True,False,False,
39,H05_55185977,True,False,False,Cell
40,A06_55185977,True,False,False,
41,B06_55185977,False,True,False,Nucleus
42,C06_55185977,True,False,False,Cytosol
43,D06_55185977,True,False,False,
44,E06_55185977,False,True,False,nucleus
45,F06_55185977,True,False,False,
46,G06_55185977,False,True,False,
47,H06_55185977,False,True,False,nucleus
48,A07_55185977,True,False,False,
49,B07_55185977,False,True,False,Nucleus
50,C07_55185977,False,True,False,Nucleus
51,D07_55185977,False,True,False,
52,E07_55185977,False,True,False,nucleus
53,F07_55185977,True,False,False,Cell
54,G07_55185977,True,False,False,Nucleus
55,H07_55185977,False,True,False,
56,A08_55185977,True,False,False,Cell
57,B08_55185977,True,False,False,Cell
58,C08_55185977,True,False,False,Cell
59,D08_55185977,False,False,True,
60,E08_55185977,False,True,False,Nucleus
61,F08_55185977,True,False,False,Cell
62,G08_55185977,True,False,False,cytosol
63,H08_55185977,True,False,False,Nucleus
64,A09_55185977,False,True,False,Nucleus
65,B09_55185977,True,False,False,Cell
66,C09_55185977,True,False,False,Cytosol
67,D09_55185977,True,False,False,Cell
68,E09_55185977,True,False,False,
69,F09_55185977,False,True,False,
70,G09_55185977,True,False,False,Cytosol
71,H09_55185977,True,False,False,Cell
72,A10_55185977,False,True,False,
73,B10_55185977,False,False,True,Cytosol
74,C10_55185977,True,False,False,nucleus
75,D10_55185977,False,True,False,
76,E10_55185977,False,True,False,Nucleus
77,F10_55185977,True,False,False,
78,G10_55185977,False,True,False,nucleus
79,H10_55185977,True,False,False,
80,A11_55185977,True,False,False,Cytosol
81,B11_55185977,False,True,False,Nucleus
82,C11_55185977,True,False,False,
83,D11_55185977,True,False,False,Cell
84,E11_55185977,False,True,False,Nucleus
85,F11_55185977,True,False,False,Cell
86,G11_55185977,True,False,False,
87,H11_55185977,True,False,False,Cell
88,A12_55185977,True,False,False,Cell
89,B12_55185977,True,False,False,
90,C12_55185977,False,False,True,Cell
91,D12_55185977,True,False,False,Cell
92,E12_55185977,True,False,False,
93,F12_55185977,True,False,False,Cell
94,G12_55185977,True,False,False,
95,A01_55195978,True,False,False,Cell
96,B01_55195978,False,False,True,cytosol
97,C01_55195978,False,False,True,
98,D01_55195978,True,False,False,
99,E01_55195978,False,True,False,Nucleus
100,F01_55195978,False,True,False,nucleus
101,G01_55195978,False,False,True,cytosol
102,H01_55195978,True,False,False,
103,A02_55195978,True,False,False,
104,B02_55195978,True,False,False,Cell
105,C02_55195978,True,False,False,Cell
106,D02_55195978,False,False,True,cytosol
107,E02_55195978,True,False,False,Cell
108,F02_55195978,True,False,False,
109,G02_55195978,True,False,False,nucleus
110,H02_55195978,True,False,False,
111,A03_55195978,True,False,False,Cell
112,B03_55195978,True,False,False,Nucleus
113,C03_55195978,True,False,False,
114,D03_55195978,True,False,False,Cytosol
115,E03_55195978,True,False,False,
116,F03_55195978,True,False,False,
117,G03_55195978,False,True,False,nucleus
118,H03_55195978,True,False,False,Cell
119,A04_55195978,False,False,True,Cell
120,B04_55195978,True,False,False,
121,C04_55195978,True,False,False,Cell
122,D04_55195978,True,False,False,
123,E04_55195978,True,False,False,Cell
124,F04_55195978,False,True,False,nucleus
125,G04_55195978,True,False,False,Cell
126,H04_55195978,False,False,True,Cytosol
127,A05_55195978,False,False,True,Cytosol
128,B05_55195978,False,True,False,Nucleus
129,C05_55195978,True,False,False,
130,D05_55195978,False,False,True,Cytosol
131,E05_55195978,True,False,False,Nucleus
132,F05_55195978,True,False,False,Cell
133,G05_55195978,True,False,False,
