gene,max_pol_protein,max_time_protein
ENSG00000158321,0.05,1.2716500000000002
ENSG00000136108,0.8,20.346400000000003
ENSG00000138347,0.15000000000000002,3.8149500000000005
ENSG00000111605,0.65,16.53145
ENSG00000106012,0.8,20.346400000000003
ENSG00000168159,0.0,0.0
ENSG00000214212,0.8,20.346400000000003
ENSG00000166347,0.8500000000000001,21.618050000000004
ENSG00000180822,0.75,19.07475
ENSG00000128422,0.9,22.8897
ENSG00000196839,0.75,19.07475
ENSG00000101115,0.55,13.988150000000001
ENSG00000189060,0.7000000000000001,17.8031
ENSG00000138614,0.75,19.07475
ENSG00000163644,0.05,1.2716500000000002
ENSG00000111912,0.2,5.086600000000001
ENSG00000100744,0.1,2.5433000000000003
ENSG00000171421,0.7000000000000001,17.8031
ENSG00000167065,0.75,19.07475
ENSG00000165156,0.8,20.346400000000003
ENSG00000213638,0.75,19.07475
ENSG00000105372,0.8,20.346400000000003
ENSG00000177311,0.25,6.35825
ENSG00000076201,0.35000000000000003,8.90155
ENSG00000189221,0.2,5.086600000000001
ENSG00000147231,0.1,2.5433000000000003
ENSG00000143217,0.55,13.988150000000001
ENSG00000179104,0.8500000000000001,21.618050000000004
ENSG00000197776,0.55,13.988150000000001
ENSG00000177352,0.75,19.07475
ENSG00000166123,0.8,20.346400000000003
ENSG00000108592,0.05,1.2716500000000002
ENSG00000183011,0.8,20.346400000000003
ENSG00000127418,0.4,10.173200000000001
ENSG00000008311,0.75,19.07475
ENSG00000138050,0.55,13.988150000000001
ENSG00000147256,0.7000000000000001,17.8031
ENSG00000116031,0.8500000000000001,21.618050000000004
ENSG00000120278,0.65,16.53145
ENSG00000176928,0.7000000000000001,17.8031
ENSG00000078328,0.15000000000000002,3.8149500000000005
ENSG00000147874,0.6000000000000001,15.259800000000002
ENSG00000064933,0.8,20.346400000000003
ENSG00000096968,0.65,16.53145
ENSG00000179918,0.1,2.5433000000000003
ENSG00000181513,0.75,19.07475
ENSG00000116793,0.9,22.8897
ENSG00000158125,0.8,20.346400000000003
ENSG00000073578,0.2,5.086600000000001
ENSG00000121152,0.75,19.07475
ENSG00000136114,0.4,10.173200000000001
ENSG00000100479,0.30000000000000004,7.629900000000001
ENSG00000041802,0.65,16.53145
ENSG00000152229,0.2,5.086600000000001
ENSG00000187607,0.8,20.346400000000003
ENSG00000006704,0.8500000000000001,21.618050000000004
ENSG00000211450,0.75,19.07475
ENSG00000158480,0.8,20.346400000000003
ENSG00000134602,0.05,1.2716500000000002
