gene,max_pol_rna,max_time_rna
ENSG00000000003,0.6629999999999999,16.862078999999998
ENSG00000000419,0.026000000000000002,0.661258
ENSG00000000457,0.08,2.03464
ENSG00000000460,0.581,14.776572999999999
ENSG00000001036,0.309,7.858797
ENSG00000001084,0.1,2.5433000000000003
ENSG00000001167,0.376,9.562808
ENSG00000001460,0.568,14.445943999999999
ENSG00000001461,0.813,20.677028999999997
ENSG00000001497,0.547,13.911851
ENSG00000001561,0.34299999999999997,8.723519
ENSG00000001629,0.09699999999999999,2.4670009999999998
ENSG00000001630,0.465,11.826345
ENSG00000001631,0.907,23.067731000000002
ENSG00000002016,0.52,13.22516
ENSG00000002330,0.17800000000000002,4.527074000000001
ENSG00000002549,0.092,2.339836
ENSG00000002586,0.0,0.0
ENSG00000002746,0.8740000000000001,22.228442
ENSG00000002822,0.57,14.496809999999998
ENSG00000002834,0.10400000000000001,2.645032
ENSG00000002919,0.67,17.040110000000002
ENSG00000002933,0.86,21.87238
ENSG00000003056,0.067,1.7040110000000002
ENSG00000003096,0.856,21.770647999999998
ENSG00000003137,0.375,9.537375
ENSG00000003147,0.616,15.666727999999999
ENSG00000003249,0.26899999999999996,6.841476999999999
ENSG00000003393,0.171,4.349043
ENSG00000003400,0.415,10.554694999999999
ENSG00000003402,0.763,19.405379
ENSG00000003436,0.257,6.536281
ENSG00000003509,0.214,5.4426619999999994
ENSG00000003756,0.753,19.151049
ENSG00000003987,0.853,21.694349
ENSG00000003989,0.248,6.307384
ENSG00000004059,0.595,15.132634999999999
ENSG00000004139,0.307,7.807931
ENSG00000004142,0.239,6.078487
ENSG00000004399,0.304,7.731631999999999
ENSG00000004455,0.408,10.376664
ENSG00000004478,0.081,2.060073
ENSG00000004487,0.154,3.9166819999999998
ENSG00000004534,0.892,22.686236
ENSG00000004660,0.018000000000000002,0.45779400000000003
ENSG00000004700,0.45799999999999996,11.648314
ENSG00000004766,0.8759999999999999,22.279307999999997
ENSG00000004777,0.835,21.236555
ENSG00000004779,0.428,10.885323999999999
ENSG00000004838,0.461,11.724613
ENSG00000004864,0.499,12.691067
ENSG00000004866,0.789,20.066637
ENSG00000004897,0.011000000000000001,0.27976300000000004
ENSG00000004961,0.027000000000000003,0.686691
ENSG00000004975,0.445,11.317685
ENSG00000005007,0.529,13.454057
ENSG00000005022,0.584,14.852872
ENSG00000005059,0.9079999999999999,23.093163999999998
ENSG00000005073,0.174,4.425342
ENSG00000005075,0.045,1.144485
ENSG00000005100,0.397,10.096901
ENSG00000005156,0.861,21.897813
ENSG00000005175,0.02,0.50866
ENSG00000005187,0.08199999999999999,2.0855059999999996
ENSG00000005189,0.602,15.310666
ENSG00000005194,0.12,3.05196
ENSG00000005206,0.85,21.61805
ENSG00000005238,0.055,1.398815
ENSG00000005243,0.444,11.292252
ENSG00000005249,0.127,3.229991
ENSG00000005302,0.087,2.212671
ENSG00000005339,0.7070000000000001,17.981131
ENSG00000005436,0.397,10.096901
ENSG00000005448,0.585,14.878305
ENSG00000005469,0.415,10.554694999999999
ENSG00000005471,0.099,2.5178670000000003
ENSG00000005483,0.184,4.679672
ENSG00000005486,0.141,3.5860529999999997
ENSG00000005700,0.153,3.8912489999999997
ENSG00000005801,0.907,23.067731000000002
ENSG00000005810,0.384,9.766272
ENSG00000005812,0.07400000000000001,1.8820420000000002
ENSG00000005882,0.18899999999999997,4.806836999999999
ENSG00000005884,0.18899999999999997,4.806836999999999
ENSG00000005889,0.139,3.535187
ENSG00000005893,0.7090000000000001,18.031997
ENSG00000006007,0.544,13.835552000000002
ENSG00000006015,0.888,22.584504
ENSG00000006016,0.221,5.620693
ENSG00000006025,0.26,6.61258
ENSG00000006042,0.858,21.821514
ENSG00000006047,0.12300000000000001,3.1282590000000003
ENSG00000006062,0.505,12.843665
ENSG00000006118,0.23199999999999998,5.900455999999999
ENSG00000006125,0.7709999999999999,19.608842999999997
ENSG00000006194,0.188,4.781404
ENSG00000006210,0.013000000000000001,0.330629
ENSG00000006282,0.561,14.267913000000002
ENSG00000006283,0.047,1.195351
ENSG00000006327,0.449,11.419417000000001
ENSG00000006432,0.203,5.162899
ENSG00000006451,0.052000000000000005,1.322516
ENSG00000006453,0.445,11.317685
ENSG00000006459,0.8190000000000001,20.829627000000002
ENSG00000006468,0.5820000000000001,14.802006000000002
ENSG00000006530,0.48,12.20784
ENSG00000006534,0.295,7.5027349999999995
ENSG00000006576,0.705,17.930265
ENSG00000006606,0.877,22.304741
ENSG00000006607,0.26899999999999996,6.841476999999999
ENSG00000006625,0.267,6.790611
ENSG00000006634,0.764,19.430812
ENSG00000006638,0.375,9.537375
ENSG00000006652,0.8959999999999999,22.787967999999996
ENSG00000006695,0.31,7.88423
ENSG00000006704,0.8959999999999999,22.787967999999996
ENSG00000006712,0.0,0.0
ENSG00000006715,0.532,13.530356000000001
ENSG00000006740,0.428,10.885323999999999
ENSG00000006744,0.287,7.299270999999999
ENSG00000006747,0.909,23.118597
ENSG00000006757,0.10300000000000001,2.619599
ENSG00000006788,0.027999999999999997,0.7121239999999999
ENSG00000006831,0.612,15.564995999999999
ENSG00000006837,0.001,0.025433
ENSG00000007001,0.442,11.241386
ENSG00000007047,0.667,16.963811
ENSG00000007080,0.59,15.005469999999999
ENSG00000007168,0.7879999999999999,20.041203999999997
ENSG00000007202,0.08199999999999999,2.0855059999999996
ENSG00000007237,0.485,12.335004999999999
ENSG00000007255,0.532,13.530356000000001
ENSG00000007341,0.579,14.725706999999998
ENSG00000007376,0.247,6.281951
ENSG00000007384,0.451,11.470283
ENSG00000007392,0.385,9.791705
ENSG00000007516,0.0,0.0
ENSG00000007520,0.05,1.2716500000000002
ENSG00000007541,0.851,21.643483
ENSG00000007545,0.508,12.919964
ENSG00000007866,0.5670000000000001,14.420511000000001
ENSG00000007923,0.813,20.677028999999997
ENSG00000007944,0.006,0.152598
ENSG00000007968,0.293,7.451868999999999
ENSG00000008018,0.10300000000000001,2.619599
ENSG00000008083,0.8170000000000001,20.778761000000003
ENSG00000008086,0.431,10.961623
ENSG00000008128,0.402,10.224066
ENSG00000008130,0.397,10.096901
ENSG00000008256,0.7120000000000001,18.108296000000003
ENSG00000008277,0.065,1.653145
ENSG00000008282,0.146,3.713218
ENSG00000008283,0.132,3.3571560000000003
ENSG00000008294,0.515,13.097995000000001
ENSG00000008300,0.0,0.0
ENSG00000008311,0.221,5.620693
ENSG00000008324,0.006,0.152598
ENSG00000008382,0.133,3.3825890000000003
ENSG00000008394,0.38299999999999995,9.740839
ENSG00000008405,0.8959999999999999,22.787967999999996
ENSG00000008441,0.619,15.743027
ENSG00000008513,0.45399999999999996,11.546581999999999
ENSG00000008516,0.527,13.403191
ENSG00000008517,0.302,7.680765999999999
ENSG00000008710,0.5529999999999999,14.064448999999998
ENSG00000008838,0.852,21.668916
ENSG00000008853,0.33,8.39289
ENSG00000008869,0.0,0.0
ENSG00000008952,0.01,0.25433
ENSG00000008988,0.0,0.0
ENSG00000009307,0.815,20.727895
ENSG00000009335,0.765,19.456245
ENSG00000009413,0.907,23.067731000000002
ENSG00000009709,0.12,3.05196
ENSG00000009780,0.307,7.807931
ENSG00000009830,0.782,19.888606
ENSG00000009844,0.136,3.4588880000000004
ENSG00000009954,0.379,9.639107
ENSG00000010017,0.605,15.386965
ENSG00000010072,0.78,19.83774
ENSG00000010165,0.794,20.193802
ENSG00000010219,0.5479999999999999,13.937283999999998
ENSG00000010244,0.02,0.50866
ENSG00000010256,0.877,22.304741
ENSG00000010270,0.040999999999999995,1.0427529999999998
ENSG00000010278,0.045,1.144485
ENSG00000010292,0.769,19.557977
ENSG00000010295,0.114,2.899362
ENSG00000010318,0.695,17.675935
ENSG00000010322,0.5579999999999999,14.191613999999998
ENSG00000010404,0.213,5.417229
ENSG00000010539,0.812,20.651596
ENSG00000010626,0.636,16.175388
ENSG00000010704,0.7490000000000001,19.049317000000002
ENSG00000010803,0.836,21.261988
ENSG00000010810,0.196,4.9848680000000005
ENSG00000010818,0.505,12.843665
ENSG00000011007,0.040999999999999995,1.0427529999999998
ENSG00000011009,0.858,21.821514
ENSG00000011021,0.485,12.335004999999999
ENSG00000011028,0.20199999999999999,5.137466
ENSG00000011052,0.53,13.47949
ENSG00000011105,0.38299999999999995,9.740839
ENSG00000011114,0.021,0.534093
ENSG00000011132,0.665,16.912945
ENSG00000011143,0.41700000000000004,10.605561000000002
ENSG00000011198,0.444,11.292252
ENSG00000011201,0.843,21.440019
ENSG00000011243,0.0,0.0
ENSG00000011258,0.003,0.076299
ENSG00000011260,0.16399999999999998,4.171011999999999
ENSG00000011275,0.7659999999999999,19.481678
ENSG00000011295,0.679,17.269007000000002
ENSG00000011304,0.897,22.813401
ENSG00000011332,0.24,6.10392
ENSG00000011347,0.013000000000000001,0.330629
ENSG00000011376,0.376,9.562808
ENSG00000011405,0.43,10.93619
ENSG00000011422,0.828,21.058524
ENSG00000011426,0.708,18.006563999999997
ENSG00000011451,0.33899999999999997,8.621787
ENSG00000011454,0.19399999999999998,4.9340019999999996
ENSG00000011478,0.294,7.477302
ENSG00000011485,0.534,13.581222
ENSG00000011523,0.27,6.866910000000001
ENSG00000011566,0.387,9.842571
ENSG00000011638,0.09,2.28897
ENSG00000011677,0.6559999999999999,16.684047999999997
ENSG00000012048,0.36200000000000004,9.206746
ENSG00000012061,0.7340000000000001,18.667822
ENSG00000012124,0.309,7.858797
ENSG00000012171,0.469,11.928077
ENSG00000012174,0.29600000000000004,7.528168000000001
ENSG00000012211,0.193,4.908569
ENSG00000012223,0.0,0.0
ENSG00000012232,0.20800000000000002,5.290064
ENSG00000012660,0.39899999999999997,10.147766999999998
ENSG00000012779,0.485,12.335004999999999
ENSG00000012822,0.27399999999999997,6.968641999999999
ENSG00000012963,0.373,9.486509
ENSG00000012983,0.002,0.050866
ENSG00000013016,0.14300000000000002,3.6369190000000002
ENSG00000013275,0.09,2.28897
ENSG00000013288,0.040999999999999995,1.0427529999999998
ENSG00000013306,0.54,13.733820000000001
ENSG00000013364,0.059000000000000004,1.500547
ENSG00000013374,0.602,15.310666
ENSG00000013375,0.282,7.172105999999999
ENSG00000013392,0.369,9.384777
ENSG00000013441,0.019,0.48322699999999996
ENSG00000013503,0.7140000000000001,18.159162000000002
ENSG00000013523,0.304,7.731631999999999
ENSG00000013561,0.158,4.018414
ENSG00000013563,0.585,14.878305
ENSG00000013573,0.373,9.486509
ENSG00000013583,0.41600000000000004,10.580128
ENSG00000013588,0.47200000000000003,12.004376
ENSG00000013619,0.503,12.792799
ENSG00000013810,0.675,17.167275
ENSG00000014123,0.321,8.163993
ENSG00000014138,0.389,9.893437
ENSG00000014164,0.012,0.305196
ENSG00000014216,0.294,7.477302
ENSG00000014641,0.579,14.725706999999998
ENSG00000014824,0.598,15.208934
ENSG00000014914,0.456,11.597448
ENSG00000014919,0.593,15.081769
ENSG00000015153,0.040999999999999995,1.0427529999999998
ENSG00000015171,0.6409999999999999,16.302552999999996
ENSG00000015475,0.353,8.977848999999999
ENSG00000015479,0.49700000000000005,12.640201000000001
ENSG00000015532,0.74,18.82042
ENSG00000015568,0.004,0.101732
ENSG00000015676,0.848,21.567184
ENSG00000016391,0.444,11.292252
ENSG00000016864,0.0,0.0
ENSG00000017260,0.355,9.028715
ENSG00000017427,0.078,1.983774
ENSG00000017797,0.003,0.076299
ENSG00000018189,0.27899999999999997,7.095806999999999
ENSG00000018236,0.188,4.781404
ENSG00000018408,0.132,3.3571560000000003
ENSG00000018510,0.37,9.41021
ENSG00000018610,0.904,22.991432
ENSG00000018699,0.158,4.018414
ENSG00000018869,0.20199999999999999,5.137466
ENSG00000019144,0.648,16.480584
ENSG00000019169,0.47200000000000003,12.004376
ENSG00000019186,0.9109999999999999,23.169462999999997
ENSG00000019485,0.128,3.255424
ENSG00000019549,0.23,5.84959
ENSG00000019995,0.8759999999999999,22.279307999999997
ENSG00000020129,0.10099999999999999,2.568733
ENSG00000020181,0.032,0.813856
ENSG00000020256,0.11699999999999999,2.9756609999999997
ENSG00000020426,0.782,19.888606
ENSG00000020577,0.40700000000000003,10.351231
ENSG00000020922,0.91,23.14403
ENSG00000021300,0.299,7.604467
ENSG00000021355,0.444,11.292252
ENSG00000021574,0.35600000000000004,9.054148000000001
ENSG00000021645,0.904,22.991432
ENSG00000021762,0.494,12.563902
ENSG00000021776,0.77,19.58341
ENSG00000021826,0.552,14.039016000000002
ENSG00000022267,0.863,21.948679
ENSG00000022277,0.12300000000000001,3.1282590000000003
ENSG00000022567,0.01,0.25433
ENSG00000022840,0.7909999999999999,20.117503
ENSG00000022976,0.823,20.931358999999997
ENSG00000023041,0.452,11.495716
ENSG00000023171,0.204,5.188332
ENSG00000023191,0.18100000000000002,4.603373
ENSG00000023228,0.65,16.53145
ENSG00000023287,0.040999999999999995,1.0427529999999998
ENSG00000023318,0.11699999999999999,2.9756609999999997
ENSG00000023330,0.019,0.48322699999999996
ENSG00000023445,0.8059999999999999,20.498997999999997
ENSG00000023516,0.623,15.844759
ENSG00000023572,0.40399999999999997,10.274932
ENSG00000023608,0.5579999999999999,14.191613999999998
ENSG00000023697,0.451,11.470283
ENSG00000023734,0.068,1.7294440000000002
ENSG00000023839,0.502,12.767365999999999
ENSG00000023902,0.049,1.2462170000000001
ENSG00000023909,0.856,21.770647999999998
ENSG00000024048,0.027000000000000003,0.686691
ENSG00000024422,0.376,9.562808
