,well_plate
0,A01_75836284
1,A02_75836284
2,A03_55385989
3,A03_75836284
4,A04_75846286
5,A07_55205980
6,A08_75836284
7,A09_55235979
8,A12_55225983
9,B02_55245981
10,B03_75836284
11,B04_55345985
12,B04_75846286
13,B07_75836284
14,B09_55225983
15,B12_55225983
16,B12_55245981
17,C01_55215982
18,C02_75846286
19,C04_55225983
20,C07_55245981
21,C12_75836284
22,D01_75846286
23,D02_55245981
24,D02_75836284
25,D03_55335984
26,D04_75846286
27,D05_55185977
28,D05_75836284
29,D09_55355986
30,E01_55215982
31,E01_55225983
32,E02_75836284
33,E04_55215982
34,E04_75846286
35,E11_55245981
36,E11_55405991
37,F04_55215982
38,F07_75836284
39,F12_75836284
40,G03_55395990
41,G06_55205980
42,G09_55335984
43,G10_55405991
44,G10_75836284
45,H03_55185977
46,H10_55385989
47,H10_55395990
