,gene
0,ENSG00000006634
1,ENSG00000011426
2,ENSG00000013810
3,ENSG00000065328
4,ENSG00000068489
5,ENSG00000072571
6,ENSG00000073111
7,ENSG00000075218
8,ENSG00000087586
9,ENSG00000088325
10,ENSG00000089685
11,ENSG00000090889
12,ENSG00000092853
13,ENSG00000094804
14,ENSG00000100029
15,ENSG00000100297
16,ENSG00000101057
17,ENSG00000101224
18,ENSG00000101447
19,ENSG00000105173
20,ENSG00000111247
21,ENSG00000112984
22,ENSG00000115053
23,ENSG00000117399
24,ENSG00000117724
25,ENSG00000118971
26,ENSG00000121152
27,ENSG00000121621
28,ENSG00000123485
29,ENSG00000125898
30,ENSG00000126787
31,ENSG00000128944
32,ENSG00000129195
33,ENSG00000129810
34,ENSG00000131747
35,ENSG00000134057
36,ENSG00000134690
37,ENSG00000137804
38,ENSG00000137807
39,ENSG00000137812
40,ENSG00000138160
41,ENSG00000138180
42,ENSG00000138182
43,ENSG00000142945
44,ENSG00000143228
45,ENSG00000143476
46,ENSG00000144048
47,ENSG00000145386
48,ENSG00000146670
49,ENSG00000148773
50,ENSG00000149503
51,ENSG00000149636
52,ENSG00000156802
53,ENSG00000156970
54,ENSG00000157456
55,ENSG00000161800
56,ENSG00000163950
57,ENSG00000165480
58,ENSG00000169607
59,ENSG00000171161
60,ENSG00000171241
61,ENSG00000171320
62,ENSG00000171848
63,ENSG00000175063
64,ENSG00000178999
65,ENSG00000182481
66,ENSG00000183856
67,ENSG00000184661
68,ENSG00000185324
69,ENSG00000186185
70,ENSG00000198901
71,ENSG00000225921
