,well_plate,var_cell_test_p,var_nuc_test_p,var_cyto_test_p,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
0,A01_55185977,1.138804096277524e-13,1.039921842619327e-40,0.14614303267148196,3.024839771496048e-13,6.03385762462014e-39,0.15938991574989114
1,A01_55195978,1.6712307726851558e-22,2.364651005161572e-21,4.883138789602298e-24,1.2948319131990924e-21,1.2274560187826767e-20,5.120431879378153e-23
2,A01_55215982,4.814059770799173e-20,2.958649604135726e-05,3.017201069931944e-23,2.6743638428843914e-19,3.8375728347731646e-05,2.906978595421515e-22
3,A01_55225983,2.1609743526496304e-10,0.00873591610076137,2.490267002252281e-07,4.1064803746493345e-10,0.009848651528103599,3.996365791567736e-07
4,A01_55235979,7.765828801087026e-09,6.413026191552449e-15,2.4207890420002464e-05,1.3064806056467929e-08,1.7086134067493312e-14,3.360276548996621e-05
5,A01_55245981,3.7131917151103936e-36,1.3432653589825259e-46,7.185801460330294e-18,1.7953969570654145e-34,1.40290634092135e-44,3.410011142088116e-17
6,A01_55335984,0.11297018830619876,2.609448110183054e-17,0.9948246448957168,0.12203771686697765,8.917891381790515e-17,1.0
7,A01_55345985,0.08034150395914876,0.023605697043522323,0.24812427988911526,0.08758733479638305,0.025995139173613152,0.26815086704903973
8,A01_55355986,0.031232050178933334,0.0031954844869917036,0.012919289680593459,0.03483420889243696,0.0036966814335557545,0.015065951935122977
9,A01_55365987,1.371212986327162e-10,1.619167515367255e-05,3.0540858984856606e-15,2.6520274868890516e-10,2.1356948234622685e-05,1.0998921766822153e-14
10,A01_55375988,0.24720592258960478,1.420371911308918,0.2256586296219982,0.262060358863767,1.0,0.24407401903191273
11,A01_55385989,0.010977432063679453,0.6923588490299357,1.906571628939044e-05,0.012521657980894298,0.7125537858956099,2.667769840921674e-05
12,A01_55395990,6.289592341094279e-19,2.8402635385929555e-12,1.9018044303946782e-20,3.0243325234985568e-18,5.985414123701539e-12,1.2797967442681713e-19
13,A01_55405991,8.195244210813029e-56,5.6491634909481014e-52,1.176625219728362e-61,3.0568260906332594e-53,9.833310583243663e-50,7.680421121776882e-59
14,A01_6717,7.5949947866170335e-06,2.661215145658562e-16,1.703025653233339e-05,1.028554532565201e-05,8.005106849440675e-16,2.3957974033363407e-05
15,A01_6718,0.13194609137083183,8.496198322450708e-07,1.3971090180700776,0.14200793263365288,1.2202185819537294e-06,1.0
16,A01_6719,1.5548134463750882e-36,3.6711389904705207e-32,3.6785623346405966e-39,7.659656431104444e-35,7.730116051708491e-31,3.311974570947103e-37
17,A01_6720,9.18332792193601e-18,7.200529785013662e-23,3.211678480351761e-15,3.830298594916122e-17,4.331931628725962e-22,1.1518808395876988e-14
18,A01_6721,2.2055333473595953e-20,7.318969470239136e-25,3.6700069925247766e-18,1.2969926959360145e-19,5.5876693821036214e-24,1.825216810948989e-17
19,A01_6722,2.8136169836898653e-24,3.766738130422301e-20,4.566585393825226e-20,2.7932904731613073e-23,1.7074571629396923e-19,2.8870107659267956e-19
20,A01_6724,6.5253175686043e-05,4.8143982985881174e-08,0.0025211112595207624,8.421949664669218e-05,7.595404203996117e-08,0.0030517484926326894
21,A01_6725,4.3529903336251185e-27,4.0174297185864645e-28,7.435619077701374e-29,5.981925137418519e-26,4.7679586341951174e-27,1.357650448383097e-27
22,A01_6731,1.6920966840853806e-12,1.9344642105650245e-18,5.716331920830287e-09,3.978446911546652e-12,7.373556282898218e-18,1.058534939382119e-08
23,A01_6734,1.7511874747872853e-13,1.832081697513518e-17,1.475360851563048e-13,4.54960248424836e-13,6.335848095639465e-17,4.367536489150928e-13
24,A01_6735,4.4923788214030275e-39,3.652168780918229e-42,5.778434301646914e-37,2.8608783177276352e-37,2.270431592137499e-40,3.679876088195144e-35
25,A01_6736,0.586976752747156,1.2363322795167901e-05,0.004785080404127069,0.6096246226821099,1.6427804487625134e-05,0.0056971477132584485
26,A01_6745,1.5017119385388363e-16,6.182831783667388e-31,1.2773024009923863e-17,5.408234305551588e-16,1.1289072578430455e-29,5.881898710742716e-17
27,A01_75846286,3.3636800815632936e-16,2.9493809032251667e-09,5.691300943222812e-22,1.1571236749620235e-15,4.939598164413669e-09,4.6006150968281e-21
28,A02_55185977,9.387500989639587e-09,9.859452184408353e-08,7.113341469643777e-08,1.5681871454861778e-08,1.5196593656133536e-07,1.1951695352149228e-07
29,A02_55205980,0.1375435534093543,1.7064752735962918,0.03252871697913298,0.14772777373583879,1.0,0.03703989534780471
30,A02_55215982,1.7135298260276954,0.6694655620647698,1.3604438407927408,1.0,0.6898084382601082,1.0
31,A02_55225983,7.131115578631104e-11,0.649563314378016,5.149018925794008e-14,1.4159196027228756e-10,0.6700947506286051,1.623682175754608e-13
32,A02_55235979,0.7328882888885955,0.5570578789753228,0.07518875984822461,0.7557548666224814,0.5764875632202012,0.08368194883363787
33,A02_55245981,2.3758259201241347e-05,0.2654174383161168,6.689249300832135e-06,3.131388933591174e-05,0.2779803174662579,9.638868611739904e-06
34,A02_55335984,0.039736727899159226,3.348935240064436e-10,0.4524924946707346,0.04415004108285308,6.026092008726629e-10,0.47871065785465483
35,A02_55345985,6.331794194238366e-26,3.2550824028075474e-21,5.051429550746526e-29,7.798261623186968e-25,1.653505866484534e-20,9.420916112142272e-28
36,A02_55355986,7.655939152940151e-90,1.2482993921264286e-78,6.085736182595442e-57,1.9989657128326733e-86,1.0864365709473683e-75,2.648309528792783e-54
37,A02_55365987,6.20301225693317e-13,8.660406533354223e-07,1.4459186472852323e-11,1.5115100640196264e-12,1.2417529631294824e-06,3.4165552833137936e-11
38,A02_55375988,1.321532307094893e-10,7.099881301264437e-06,2.0859296127973815e-09,2.5635370385027976e-10,9.570361423645559e-06,4.028374422347605e-09
39,A02_55385989,0.12985991686021817,0.061462480165861755,0.2537385919311015,0.13987798800413764,0.06642323498057329,0.27376506757525043
40,A02_55405991,7.749645755248455e-14,1.782991597914593e-08,1.3917032583607327e-10,2.094650628049039e-13,2.8648560382492325e-08,2.9907302119998956e-10
41,A02_6717,1.5534183536670893e-06,1.3514011217295885e-12,1.8802817344240026e-05,2.1865096072370726e-06,2.896969071293888e-12,2.6323944281936035e-05
42,A02_6718,0.9247286008132125,0.021660998652778596,1.1667369924834567,0.9483371471811853,0.02391410887205282,1.0
43,A02_6719,4.5734119089364395e-20,1.838152510300136e-24,2.8000748145432883e-18,2.5515338662891117e-19,1.336884736599904e-23,1.400573820071365e-17
44,A02_6720,8.043716170929712e-17,1.2316828575601692e-18,1.6174825141790954e-09,3.0003061317567825e-16,4.7998864792382116e-18,3.170605739130344e-09
45,A02_6721,2.879116628346797e-21,6.75039833851277e-29,2.04592750196586e-19,1.917697325666706e-20,8.946847747135453e-28,1.1897364604972964e-18
46,A02_6722,1.312836758496542e-17,8.293502578454161e-27,6.201981817068121e-17,5.423760722206442e-17,8.171447257488232e-26,2.6373574143916717e-16
47,A02_6724,2.6930296562281528e-11,1.3849703102654886e-10,1.1824785463012014e-11,5.549724098193928e-11,2.564650695108646e-10,2.8144498490359496e-11
48,A02_6725,0.0020585682554028957,2.609350345207083e-07,0.001659405309353809,0.0024320912736909327,3.877640154431243e-07,0.0020331803203767224
49,A02_6731,2.2007806230508524e-16,2.129066971930819e-15,2.2200845291572655e-17,7.723438449980881e-16,5.945447982579004e-15,9.942779941045661e-17
50,A02_6734,1.5108194356728507e-33,6.356495728862125e-29,8.202737534474214e-36,5.057371213515145e-32,8.46776038166276e-28,4.283469540502435e-34
51,A02_6735,7.287238202512945e-09,8.082889603903444e-10,2.968076322085572e-10,1.2291330068967247e-08,1.415454376646002e-09,6.184874123675522e-10
52,A02_6736,3.694314193804694e-14,2.2019631036451483e-16,1.3702448681677025e-09,1.032746719488657e-13,6.679049340465764e-16,2.710385871807478e-09
53,A02_6745,1.3075641212387292e-06,8.350096890675035e-10,1.8306794002385593e-05,1.856470864901752e-06,1.4602882104187887e-09,2.569840813990795e-05
54,A02_75846286,5.702544281982278e-09,0.00018318699445176183,2.2481433107911646e-11,9.680977321362631e-09,0.00022689812263451144,5.19920476924334e-11
55,A03_55185977,0.0008437346598413067,4.993249032947535e-05,1.885901616076098e-06,0.0010175478969263981,6.403424963175841e-05,2.808949868553732e-06
56,A03_55195978,1.1034500265740091e-06,9.11552883380323e-08,5.809959774481734e-09,1.5726572158213635e-06,1.4058266854731386e-07,1.0751102034848905e-08
