,well_plate,result,var_cell,var_nuc,var_cyto,var_mt,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
0,A02_55355986,NA,0.20528976677919672,0.33937344870372743,0.10483635597326205,0.01967481315293604,1.5542678002444208e-52,4.061055708182347e-73,4.1080069771613534e-29
1,C06_6722,FN,0.03097734350359439,0.03830507569627777,0.03346598469490699,0.20459590513118986,1.0765003247764536e-46,4.916679977975477e-38,6.31035680247536e-43
2,E08_6724,FN,0.031192900444256495,0.034339021867140995,0.03855664264091198,0.33478578077616483,5.4066072075285865e-46,5.301742540778389e-43,5.456036782462655e-39
3,B11_55205980,NA,0.16458105618110358,0.16588412449876813,0.1669089793021471,0.02328613865990468,7.947296619547132e-41,2.2758955191063066e-41,4.639123976672399e-41
4,B07_55365987,NA,0.1077808300481448,0.12190602036578385,0.1112000093599409,0.023339898799128005,8.634264676972859e-36,1.6884508037235507e-41,4.296926959031479e-37
5,H05_55405991,NA,0.10572241018229542,0.15011722685585777,0.10786341797224239,0.0196745232846886,2.1853795170281667e-33,5.980436439281417e-47,4.665174709452249e-34
6,C05_55385989,NA,0.10066730642208203,0.12413997738167196,0.10064189840285537,0.021222042845691517,6.072855418791172e-32,1.602675969363901e-40,6.900531582944934e-32
7,G01_55335984,NA,0.020888705690529547,0.02311794500483656,0.02503039551126223,0.08010158697519028,9.763499750493715e-30,7.285486884072575e-26,1.6192919042689305e-22
8,C02_55405991,NA,0.10989612171475294,0.10849120681730229,0.11991275272723005,0.027973013244502187,8.736457638312133e-28,1.5691794358422665e-27,3.045991272881666e-31
9,H01_55365987,NA,0.11470950944188511,0.2105852088706617,0.05682306547957166,0.02403815742816393,1.745340466424484e-26,1.3030133305068667e-47,1.546787379324463e-08
10,A01_6719,TP,0.12570444830566707,0.1097059940752968,0.1457883059159311,0.0314391358310185,2.0250190780010936e-26,6.270787857001821e-22,6.900531582944934e-32
11,F10_55385989,NA,0.12631018686079346,0.17263665961582997,0.09731910365226674,0.02546995179431947,7.296010353857756e-24,3.372228781483254e-33,5.349823455568592e-17
12,A12_55195978,NA,0.08513369648070622,0.14583619505692114,0.05044910359301069,0.023636388634444967,1.140872044166157e-22,1.864370491995638e-43,2.632722440166662e-08
13,H05_6717,TP,0.24009956419652567,0.3744065076352757,0.10053085552756069,0.0486490977693506,2.851748894680909e-22,6.939964574340878e-35,3.5467032911702156e-05
14,D02_55335984,NA,0.018737629738083194,0.017079577123635642,0.02635243369466297,0.0758971711836141,1.1353886792105965e-20,1.7114970436982557e-23,4.829327611745832e-12
15,H05_55395990,NA,0.10503273370574283,0.08250071713756363,0.14958436137264858,0.02308216105386036,6.084814123005763e-19,6.58271734633404e-14,7.035025024037624e-28
16,H02_55405991,NA,0.06828959220385923,0.08417224246595631,0.06962029787574747,0.02125748672145363,6.861877731069597e-19,4.6479779890771644e-26,2.3122689616112656e-19
17,B05_55335984,NA,0.019045424550689707,0.02804762816013024,0.02170594548555058,0.06715268440763443,1.2217380089985848e-18,1.8094037520477612e-09,5.807197117966322e-15
18,D03_55235979,NA,0.13306851648656767,0.23408740007308904,0.08869282324585154,0.024071076334629942,2.7371850034389023e-18,1.5099833385248334e-30,5.22655970312062e-11
19,A01_55335984,NA,0.023462715511735927,0.018398645048319125,0.03624221080152563,0.1324398150339794,7.515738866223047e-18,9.150655473141091e-23,2.0098584091912068e-10
20,G01_55185977,NA,0.11331408189182199,0.1387411191966117,0.11619964176147511,0.023573003506145822,8.292265390089072e-18,2.0525385083965025e-22,3.793849284000149e-18
21,A02_55215982,NA,0.022880186248248717,0.027009921457960873,0.028957943266489573,0.05848748134836527,1.2449317449104742e-17,3.0816055465971087e-12,5.287847788957096e-10
22,G04_55185977,NA,0.09890776802218852,0.1602705414637246,0.05890176585603425,0.026342063416086012,6.122940480493418e-16,1.590611980895317e-28,2.8863876694142924e-06
