,well_plate,variability_compartment_p,variability_compartment_adj_p
0,A02_55355986,6.493739932821821e-143,1.6955154964597776e-139
1,A12_55195978,5.255482238677448e-118,2.287010687531136e-115
2,C05_55385989,2.3831716843388187e-140,3.1112306339043277e-137
3,B07_55365987,1.4870448250367193e-137,9.706685095427186e-135
4,B11_55205980,5.338455254748514e-139,4.6462355567161225e-136
5,F02_6719,9.897616519163049e-124,5.168535346306944e-121
6,C01_55205980,2.288500615829037e-91,3.7345469424560096e-89
7,C02_55405991,1.0695817136244263e-115,3.98953979181911e-113
8,A01_6719,1.7094646680767894e-114,5.579265310435621e-112
9,B07_55405991,7.318721234499192e-103,2.1232423492530435e-100
10,H05_55405991,4.376679416612965e-92,7.618339971184301e-90
11,A01_55405991,6.068168626295602e-100,1.5843988283257817e-97
12,D07_55385989,2.1416506301875652e-98,5.083499814017939e-96
13,D08_55355986,1.961129075498756e-94,3.9388523200978856e-92
14,H09_55395990,4.1603486819539556e-69,2.5863500972813757e-67
15,H02_55405991,9.046165517467963e-95,1.9682948471757374e-92
16,D04_55345985,1.676173359977733e-92,3.126063316358472e-90
17,G02_55405991,3.3010238425237413e-69,2.102188598251095e-67
18,F03_6722,5.175674992973768e-87,6.756843703327253e-85
19,C03_55405991,3.889277414383305e-90,5.973472546444006e-88
20,C05_55405991,9.506928619024198e-90,1.3790328124595656e-87
21,H01_55365987,2.0897303028473183e-89,2.871729379333867e-87
22,H08_55195978,4.010146799242878e-58,1.3598043237432668e-56
23,G01_55405991,1.537602725955578e-54,4.270936933478738e-53
24,E01_6722,2.091370733405535e-86,2.600270945200882e-84
25,G04_55185977,6.724815095700444e-68,4.083370282528804e-66
26,G01_55185977,1.2729568253439543e-84,1.510768304987757e-82
27,B11_55365987,5.502801301168002e-59,1.968193725664336e-57
28,F10_55385989,1.2021209508832234e-73,1.0462459342520322e-71
29,H05_55395990,3.737806567145858e-81,4.24322302035558e-79
30,C07_55405991,9.512253866189545e-81,1.0348539518592042e-78
31,D01_55405991,1.008619052095332e-61,4.180165627017321e-60
32,A01_6735,3.3062262501256918e-77,3.4530226956312724e-75
33,C09_55365987,7.943543357261335e-48,1.382706113720623e-46
34,F02_6722,8.823201534131128e-77,8.860530463698605e-75
35,F01_6735,1.8013559541219427e-76,1.7419779245231083e-74
36,F06_55375988,6.210901723587075e-52,1.4877673761730139e-50
37,H05_6717,1.3330854931375466e-60,5.044472786350919e-59
38,H04_6734,4.465756983729788e-75,4.164318387328027e-73
39,A09_55385989,5.4358963584770323e-48,9.721318761632557e-47
40,E03_55345985,9.529752502048847e-74,8.580063373396393e-72
41,E03_55205980,1.7661718101501903e-73,1.4875724504200473e-71
42,B04_6735,9.801611724480013e-73,7.625514019698025e-71
43,C06_6722,9.929815268852272e-73,7.625514019698025e-71
44,H08_6717,1.9565991034520546e-72,1.4596229311752326e-70
45,D09_55395990,8.008013655863348e-67,4.545418185969392e-65
46,G07_55195978,3.5822428513011877e-72,2.598121134652056e-70
47,C01_6718,3.5710777125965254e-54,9.612457636690234e-53
48,D05_55395990,1.0163882844350958e-71,7.172404893675771e-70
49,G02_6722,1.271573118320532e-71,8.513019004961305e-70
50,D08_6736,2.152406260321013e-37,1.745320728477691e-36
51,G08_55375988,6.804440809850873e-71,4.441598738630157e-69
52,F08_6725,6.273397648937983e-50,1.2897512804233916e-48
53,E06_6722,2.748151576190474e-50,5.833677858075876e-49
54,E06_6725,8.206160431694573e-66,4.463809351490527e-64
55,C03_6725,1.6643058896768783e-41,1.913351131344867e-40
56,G01_55395990,5.817403592099484e-46,8.934847517042209e-45
57,E07_55375988,2.309145211169756e-42,2.8173729655907627e-41
58,E07_6725,5.874476977885137e-48,1.043419006071979e-46
59,D08_55405991,1.9547802886055214e-73,1.5949785417340677e-71
60,D11_55395990,1.7248676494640774e-67,1.0235521438069786e-65
61,G07_6717,4.1090960412117924e-67,2.3841888363564424e-65
62,B06_75846286,1.046691657526782e-71,7.191873467901124e-70
63,E01_6720,4.241582861920345e-66,2.3563346494625575e-64
64,B09_6721,1.2310568455616197e-65,6.559774334206917e-64
65,G10_55395990,2.4150459473493945e-38,2.1447908056222e-37
66,D10_6725,1.083123386646429e-50,2.4171240705417317e-49
67,H04_55375988,1.1072449137494098e-35,7.834732980487016e-35
68,D01_6735,2.4319133461995757e-63,1.1338795976655522e-61
69,E05_55375988,2.421504399594133e-57,8.003225300430736e-56
70,H04_55345985,1.7041966536700825e-64,8.724818554377618e-63
71,F05_55205980,5.2370175821134226e-64,2.6295870974804125e-62
72,B08_55395990,3.9271001436966904e-50,8.137824186660365e-49
73,H03_55205980,2.580205046088984e-38,2.2607098574960865e-37
74,F03_6735,1.411692379963783e-63,6.954582649217806e-62
75,G01_6735,1.7515302971429952e-63,8.468973344148815e-62
76,E01_55405991,2.007949450271645e-63,9.532283663016845e-62
77,C01_55395990,2.591293280539358e-42,3.1469147699945415e-41
78,E09_55385989,6.107167262060204e-63,2.7492782277998608e-61
79,E03_6735,6.228470369168304e-63,2.7563620565929564e-61
80,A03_55395990,8.823209644681636e-63,3.839566730377292e-61
81,D04_6745,1.4946117299686033e-62,6.397428240898398e-61
82,E03_6720,6.627380750029431e-42,7.794635647894975e-41
83,D05_6722,5.916579415274715e-62,2.491643363432626e-60
84,C10_55355986,2.177422050237046e-61,8.883201520576448e-60
85,G02_6725,3.0156897630444967e-50,6.349972557507403e-49
86,H02_6722,2.4567174069326834e-61,9.868444845386517e-60
87,D03_55235979,3.131433000469465e-61,1.2388138733675414e-59
88,A02_6734,4.2751950950805214e-57,1.3780906658339804e-55
