,well_plate,variability_compartment_p,variability_compartment_adj_p
0,A02_55355986,7.655939152940151e-90,1.9989657128326733e-86
1,B07_55365987,1.746796472762944e-76,2.2804427951920235e-73
2,C01_55205980,1.1012883915928117e-59,5.750927980897662e-57
3,C05_55385989,2.1388147259081634e-61,1.3961113123365537e-58
4,A12_55195978,1.623051340768476e-63,1.4125956835821634e-60
5,H08_55195978,4.535756798768551e-53,8.459186429703348e-51
6,F01_6735,2.9657283333017425e-56,1.2905861130418081e-53
7,A01_55405991,8.195244210813029e-56,3.0568260906332594e-53
8,E01_6722,3.42433719595148e-55,9.934382687365905e-53
9,H05_55395990,8.82917082236884e-55,2.305296501720504e-52
10,B07_55405991,2.7114266042711206e-55,8.84941857968987e-53
11,H04_55345985,1.6073387607185714e-53,3.4973012535301576e-51
12,G10_55395990,2.1131646309408007e-30,4.756442113264165e-29
13,C05_55405991,1.0338774906972638e-52,1.6871588301315975e-50
14,H05_6717,4.110822796504968e-54,9.75759847424952e-52
15,H02_55405991,3.687094277583858e-52,5.662943034571443e-50
16,F02_6722,2.1090685378837321e-50,3.0593210846746805e-48
17,A09_55385989,3.455892954010709e-35,1.3467666422271583e-33
18,D07_55385989,2.358510153881624e-49,3.07903500589246e-47
19,F03_55235979,3.9099752172645676e-50,5.3731291011988346e-48
20,F10_55385989,9.51055836231244e-53,1.6554711922665187e-50
21,B08_55395990,4.936478410273466e-38,2.8642544731608936e-36
22,G07_55195978,4.0541318684229095e-46,5.040637289739151e-44
23,E03_55205980,1.539108054141448e-45,1.8266414224378734e-43
24,D03_55235979,1.6638144084232676e-45,1.8887910523448487e-43
25,G04_55185977,1.8749936570532022e-39,1.2883180101489238e-37
26,H01_55365987,1.6953308303431764e-44,1.8443786658441804e-42
27,D05_6722,5.788735421166474e-44,5.90843161067217e-42
28,F08_6725,1.6081377538864347e-31,4.157274926136119e-30
29,C01_55395990,7.73562873085512e-36,3.423343494281817e-34
30,C02_6734,5.883539711891093e-44,5.90843161067217e-42
31,H09_55395990,2.6993728635819395e-53,5.42158657447111e-51
32,D02_6735,1.2252828604192673e-42,1.1848939068721138e-40
