,well_plate,result,var_cell,var_nuc,var_cyto,var_mt,wp_cell_levene_gtvariability_adj,wp_nuc_levene_gtvariability_adj,wp_cyto_levene_gtvariability_adj
0,H05_55405991,NA,9911970.09366692,2005493.5717139556,4387110.810373266,16244.27927425005,2.400668615439783e-77,5.5661571115718155e-83,1.0535100238807e-52
1,F10_55385989,NA,5478499.222392371,2159528.4051254084,1761838.2298425229,23115.487541086524,4.950709339066429e-53,9.561507522388526e-60,1.0594282206751611e-12
2,B02_55215982,NA,1038688.4194085499,410795.69730170525,456624.0339072336,18024.251658308145,9.640843542790633e-53,2.3490199707076383e-41,1.030378763279864e-17
3,C06_55405991,NA,1753585.8365851443,105647.58395220002,1349386.6841089188,19124.90580747293,9.584750284941501e-51,4.6225551082721294e-17,2.0182263099770667e-43
4,D01_55225983,NA,1140524.2030033544,194301.01429735968,710000.7667966331,25073.15151116333,1.125703925476083e-50,4.647299710993664e-21,2.135275852731e-42
5,C01_55225983,NA,1484584.9887863197,314243.09660285286,742368.4583013142,22463.49646606532,1.2842668086257892e-50,1.6277048580795622e-39,1.257062943783247e-31
6,A01_55225983,NA,346976.023030421,153252.1554518447,99008.26488845535,19747.730431936237,4.76788528227203e-50,1.3263837175657584e-36,9.43910838631629e-10
7,H06_55215982,NA,398235.88090168795,122397.42117547622,156756.0588582517,14130.869055203544,1.3596352311749313e-49,2.306844821510723e-34,1.1327020040105512e-26
8,A06_55225983,NA,1628700.853005869,465638.9491139529,725204.2448074825,26870.64488275139,1.5932341347214227e-49,5.934926234040766e-39,9.449723883891538e-35
9,C05_55405991,NA,761216.8203941641,409315.1958963652,116197.06778573683,13925.182734498467,2.871062948065847e-49,5.1555055049722e-41,6.323310541405236e-17
10,H05_6717,TP,317420.8275212552,239052.9871579233,10791.986543706627,7934.29289476937,3.2557828368958524e-49,1.263771873486623e-50,0.0002344691036182012
11,C09_55385989,NA,520276.4785141611,52934.33067149401,357712.2309107622,20073.94666198291,9.880373409171155e-49,2.9141166738424536e-08,9.100558576304283e-35
12,G12_55195978,NA,363096.3786083975,42597.59057434712,237022.6654542292,22252.317535393424,5.83976797716497e-45,0.0015795817144064628,9.449723883891538e-35
13,C01_55335984,NA,2662000.670048949,675601.7780615473,1014053.959798098,52846.83365461945,1.2498649933509635e-44,6.926776592338938e-30,1.8951763402457484e-26
14,A02_55355986,NA,3132237.6593858376,1761438.1204393315,368131.82788157155,22339.568765497508,1.3433104842299277e-44,2.8207543877755215e-45,1.0905829206739787e-11
15,F01_55335984,NA,1223331.2648327881,196618.37252576917,710343.585894499,29109.33184115313,3.4429407508180953e-44,5.872249699348763e-26,1.7482548866277364e-27
16,B07_55365987,NA,342138.1600705727,55232.12008031456,188828.52690256946,31204.42386102463,1.1914069281388977e-42,0.22142191383293255,5.727388149662682e-29
17,E07_75836284,NA,770617.1282217993,64954.96675684863,519649.9026243179,14742.876956122185,4.2944842768654126e-42,7.465290285222854e-10,3.076507606857705e-39
18,E10_75836284,NA,1203523.3433982332,73227.11163688597,933708.8882751326,22519.384426236385,2.428185285345167e-41,1.39502732049883e-10,1.2777130420227268e-32
19,B04_6724,TP,175083.77756533114,44168.80671818292,82731.85131011141,2707.5966722614066,2.739381945602409e-41,4.807210016758016e-16,1.265476581932267e-42
20,C10_55215982,NA,1091106.7270636274,76399.40092402732,808720.127249623,29131.453788032682,1.3484845178635584e-40,0.00010574110468264401,1.4382908966755444e-37
21,C06_6722,TP,49919.24249718731,18181.766575979982,13154.333315524666,2049.7084121927837,9.069691218985231e-40,6.66954778636377e-21,7.6485254570563205e-28
22,H11_55225983,NA,2688532.7762133437,252757.31259235714,1852018.8507651726,25905.27291888142,9.928224629738804e-40,1.198384774742004e-31,3.744758565874331e-32
