,well_plate,variability_compartment_p,variability_compartment_adj_p
0,F10_55385989,1.254639655801448e-90,3.2758641412975803e-87
1,B10_6722,1.0474983007250115e-58,2.735018063193005e-55
2,B03_55345985,4.312420655646827e-84,1.1259730331893866e-80
3,B02_55215982,2.83988532039954e-73,7.4149405715632e-70
4,E06_6725,6.670138092607737e-79,1.74157305597988e-75
5,H06_55215982,4.2190974451317606e-88,1.1016063429239028e-84
6,A02_55355986,1.5277458185546006e-65,3.988944332246062e-62
7,H05_6717,1.4531028227023605e-60,3.794051470075863e-57
8,H08_55195978,4.709743915970175e-41,1.2297141364598126e-37
9,G11_55195978,1.371169733199364e-46,3.5801241733835396e-43
10,G10_55395990,9.042775092346962e-53,2.3610685766117916e-49
11,C01_55405991,1.7788470348351942e-79,4.644569607954692e-76
12,E01_6722,7.606063586697043e-80,1.985943202486598e-76
13,D04_6725,3.2045656073101673e-59,8.367120800686848e-56
14,H04_55345985,9.941744562876797e-79,2.595789505367132e-75
15,A01_55225983,7.939733959791053e-78,2.073064536901444e-74
16,F01_55335984,1.6422332563315787e-77,4.287871032281752e-74
17,H05_55395990,1.647471388019093e-77,4.301547794117851e-74
18,E05_6722,1.0456983441312828e-70,2.7303183765267793e-67
19,E10_55405991,7.925401638253354e-63,2.069322367747951e-59
20,F02_6722,2.4762959610654133e-74,6.4656087543417945e-71
21,H02_6724,6.4731847549249796e-74,1.690148539510912e-70
22,F04_6722,7.124978371323241e-74,1.8603318527524982e-70
23,G03_55375988,1.8376308455671462e-48,4.798054137775819e-45
24,E04_6721,4.479993438354307e-56,1.1697262867543097e-52
25,A12_55195978,6.0573624931396395e-46,1.58157734695876e-42
26,C01_55225983,1.3114636187986622e-72,3.424231508683307e-69
27,D09_6722,4.109172152811576e-65,1.0729048490991025e-61
28,A06_55225983,7.249835190245335e-56,1.892931968173057e-52
29,B02_55205980,3.1274850880060146e-71,8.165863564783705e-68
30,F04_6721,1.4755197194318705e-43,3.852581987436614e-40
31,G12_55195978,4.828597216656816e-71,1.2607467332690948e-67
32,B08_55395990,1.404590494792155e-45,3.667385781902317e-42
33,D05_6722,1.489800713503623e-70,3.889869662957959e-67
34,F04_6719,6.597883726272367e-67,1.722707440929715e-63
35,C09_55385989,1.7356624263523586e-70,4.531814595206008e-67
36,G10_55205980,3.643098870071461e-42,9.512131149756584e-39
37,B03_6724,2.8630835196869816e-69,7.47551106990271e-66
38,H03_55205980,6.177059330021551e-08,0.0001612830191068627
39,C06_55385989,5.804974535502451e-66,1.5156788512196899e-62
40,A07_6722,2.235593344221173e-63,5.837134221761483e-60
41,E08_6722,1.0816503259633373e-68,2.8241890010902736e-65
42,B02_6725,4.272815229473538e-66,1.1156320564155408e-62
43,F07_6725,3.5697818409847924e-54,9.320700386811292e-51
44,F03_55405991,1.6345348064819453e-67,4.267770379724359e-64
45,D03_6721,2.2628319779151715e-66,5.908254294336513e-63
46,C10_55215982,3.107708577914675e-67,8.114227096935215e-64
47,E11_55345985,2.3447384090259754e-43,6.1221119859668214e-40
48,F02_6721,7.535756862890827e-62,1.967586116900795e-58
49,C06_55365987,2.8031719422572744e-47,7.319081941233743e-44
50,C02_55335984,4.885743990451875e-53,1.2756677559069846e-49
51,F02_6735,2.239723694088213e-56,5.847918565264324e-53
52,C11_75836284,3.8116961397685477e-66,9.952338620935679e-63
53,F02_55335984,1.0033983647426616e-53,2.6198731303430897e-50
54,H03_75846286,1.2218771049561444e-39,3.190321121040493e-36
55,A07_55215982,3.073978927383765e-59,8.02615897939901e-56
56,E02_55225983,1.842918066526876e-59,4.811859071701673e-56
57,H10_6721,1.4464315850566236e-65,3.7766328685828443e-62
58,B05_6725,2.4071039883492357e-65,6.284948513579855e-62
59,E09_55385989,5.637930619519786e-65,1.472063684756616e-61
60,G11_55395990,1.0525643562671805e-64,2.7482455342136082e-61
61,C06_55395990,1.9421447651134465e-64,5.0709399817112084e-61
62,C06_55405991,1.957348714362559e-64,5.110637493200641e-61
63,D02_6724,2.9775775647285848e-64,7.774455021506335e-61
64,D07_6725,3.3234288302473805e-64,8.67747267577591e-61
65,C09_55215982,2.3405906331451695e-45,6.111282143142038e-42
66,D06_6722,3.241000149179761e-37,8.462251389508356e-34
67,C11_55405991,1.0145845898489426e-41,2.6490803640955894e-38
68,G09_6721,1.0408342014657881e-53,2.717618100027173e-50
69,G03_6721,5.248547517404473e-63,1.370395756794308e-59
70,A01_6735,6.740018900425393e-63,1.75981893490107e-59
71,A01_6722,1.911058623421911e-68,4.98977406575461e-65
72,C05_55405991,1.5832424720726963e-62,4.133846094581811e-59
73,H01_6724,3.487099941527271e-51,9.104817947327704e-48
74,D04_6722,2.0105311125314015e-62,5.249496734819489e-59
75,C01_55395990,3.5572837633477066e-51,9.288067906100862e-48
76,H02_55405991,1.4706304672722142e-57,3.8398161500477515e-54
77,D01_55225983,9.917570685100082e-62,2.5894777058796315e-58
78,B04_6725,1.0335550345602578e-61,2.6986121952368334e-58
79,H02_6722,1.5131656524209458e-61,3.95087551847109e-58
80,D01_6721,1.865906188927298e-61,4.871881059289175e-58
81,A01_55215982,1.879058711072689e-61,4.906222294610791e-58
82,C02_55215982,1.487866780990967e-47,3.8848201651674146e-44
83,D01_6735,7.16252014280026e-55,1.8701340092851478e-51
84,A09_55385989,6.118997703550555e-38,1.59767030039705e-34
85,C03_55395990,1.903552464411166e-39,4.9701754845775545e-36
86,F02_6719,7.128168946553872e-61,1.861164911945216e-57
87,G04_75846286,5.311199166757255e-60,1.3867541024403194e-56
88,B06_55385989,7.967567753669415e-61,2.0803319404830843e-57
89,A10_6722,1.1842274718487113e-60,3.092017928996985e-57
90,G01_55225983,2.6103786412949514e-60,6.815698632421118e-57
91,D01_55405991,4.2437251473359595e-48,1.108036635969419e-44
92,D10_6725,4.0286288609291626e-60,1.0518749955886044e-56
93,F01_6719,4.5892376333396484e-57,1.1982499460649822e-53
94,D05_6725,1.0205122204622225e-59,2.664557407626863e-56
95,D08_6725,1.2730588039160342e-59,3.3239565370247653e-56
96,D01_55205980,1.937149931065257e-59,5.057898470011386e-56
97,D08_75836284,5.149302179460924e-50,1.3444827990572473e-46
98,E03_55225983,5.65714513721922e-55,1.4770805953279384e-51
99,G09_6722,8.610921754112076e-61,2.248311669998663e-57
100,C08_55355986,3.7381052474618135e-59,9.760192801122795e-56
101,A04_6725,4.859016309824839e-59,1.2686891584952656e-55
102,C09_55405991,5.481035860912754e-59,1.4310984632843201e-55
103,C06_55225983,7.208091180673616e-59,1.8820326072738813e-55
104,E10_55375988,1.1486463171633013e-23,2.99911553411338e-20
105,B04_55225983,7.371296750790597e-59,1.924645581631425e-55
106,C05_6719,5.940611722241895e-35,1.5510937206773587e-31
107,C09_6721,2.0168049601257108e-57,5.265877750888231e-54
108,B12_75836284,1.6632617166130568e-58,4.342776342076691e-55
109,B09_6725,2.7130816321447696e-58,7.083856141529993e-55
110,C07_6725,4.353493418921292e-57,1.1366971316803493e-53
111,E10_75836284,4.3515273527771094e-58,1.1361837918101033e-54
112,B07_55365987,5.233020062862517e-54,1.3663415384134032e-50
113,C05_6722,9.917687225392047e-58,2.5895081345498635e-54
114,B08_6722,1.0945564166952758e-57,2.857886803991365e-54
115,A06_6725,1.574911952262099e-57,4.11209510735634e-54
116,D02_6734,5.9820178988914154e-64,1.5619048734005484e-60
117,C05_55395990,2.0120628613801185e-57,5.25349613106349e-54
118,A05_6734,5.231365987363572e-57,1.3659096593006287e-53
119,B08_75836284,5.358881505079072e-57,1.3992039609761457e-53
120,A04_6734,1.1604985536652198e-56,3.030061723619889e-53
121,G04_55245981,1.1781841335521764e-56,3.0762387727047324e-53
122,G02_6725,7.935577881163764e-54,2.0719793847718586e-50
123,D09_6725,1.2690886313833465e-54,3.3135904165419175e-51
124,C01_6724,1.9296843666375031e-56,5.0384058812905205e-53
