,0
0,TCF19-1
1,SLC12A7-1
2,LOC646214
3,LOC100272217
4,ADAM9-1
5,PIGY+PYURF
6,CCHCR1-5
7,LOC150776
8,LOC100130093
9,HSPA1B-1
10,LOC642846
11,LPCAT1-1
12,TAPBP-3
13,LOC100294145-1
14,KRT34-2
15,FLJ20021
16,ZNRD1-7
17,LOC101930452
18,NRM-3
19,HLA-B-2
20,MBOAT7-9
21,BTG3-1
22,NAPRT-1
23,LOC101927765
24,LOC100288637
25,ATAT1-6
26,RNF5-1
27,LOC442028
28,LOC730101
29,LOC101927237
30,LOC100505715
31,HLA-C-3
32,TBCD-1
33,LOC101928697
34,LOC100506548
35,RGL2-3
36,NEU1-3
37,CSNK2B-4
38,SNHG4-1
39,LOC100506844-1
40,NAP1L4-1
41,LOC284454
42,PIGW-1
43,LOC100129361
44,CTC-338M12.4
45,LOC100420587
46,LOC399815
47,LOC101927267
48,LOC102724094
49,LOC100507316
50,LOC100129434
51,LOC100419583
52,LOC100132352
