,gene,pvalue,pvaladj_BH,reject_BH,pvaladj_B,reject_B,percent_variance,total_variance,significant,regev_ccd,diana_ccd,diana_nonccd
0,LEF1,0.0001375415333619304,0.0005074948988263425,True,1.95584060440665,False,0.03138514476773614,0.020882698,False,False,False,False
1,FOXJ2,0.7448918001351977,0.7927227509296895,False,10592.361397922512,False,0.005951267597609013,0.030790024,False,False,False,False
2,ZNF654,0.24601968449821648,0.32540228011949013,False,3498.3999135646386,False,0.008269122027026354,0.023370959,False,False,False,False
3,ZMYM2,1.014514767079634e-17,2.297197450298152e-16,True,1.4426399987872395e-13,True,0.07580188123521893,0.016776549,False,False,False,False
4,DCAF6,0.043733102849715426,0.07733922677813125,False,621.8847225229533,False,0.007809266121777623,0.03563277,False,False,False,False
5,PDP1,2.167983337468085e-05,9.562259013274245e-05,True,0.30828723058796165,False,0.03295953189445049,0.0217051,False,False,False,False
6,ZNF302,0.3759608251724075,0.4576018945434935,False,5346.162933951634,False,0.006063703057297551,0.019382196,False,False,True,False
7,TMED4,0.7205261809891195,0.7723997205929347,False,10245.88229366528,False,0.007485673000127611,0.015754214,False,False,False,False
8,SLC5A6,0.00032073625945401514,0.0010671197027225304,True,4.560869609436096,False,0.0200777786510974,0.023847122,False,False,False,False
9,PLSCR1,6.381596534736132e-16,1.2516731410199695e-14,True,9.074630272394779e-12,True,0.0760831803923083,0.022920113,False,False,False,False
10,RPL41,0.0002784739589919255,0.000943732053590367,True,3.9598996968651803,False,0.014402559504828433,0.010754892,False,False,False,False
11,MARK1,3.585826641530101e-08,2.6766642961972724e-07,True,0.0005099045484255804,True,0.029791969043523974,0.018369215,False,False,False,False
12,TMSB10,3.853836274186261e-15,6.972207610550716e-14,True,5.480155181892863e-11,True,0.07927802252617497,0.0027347698,False,False,False,False
13,HES6,0.16526214154770882,0.23418312434563224,False,2350.0276528084196,False,0.01408272736028058,0.015811458,False,False,False,True
14,PDLIM1,8.942747495089374e-08,6.239738438673744e-07,True,0.001271658693801709,True,0.06108232645588768,0.036104545,False,False,False,False
15,MTMR3,8.235329005372121e-07,4.853144569266123e-06,True,0.011710637845639155,False,0.025436993643853236,0.019557208,False,False,False,False
16,LOC100506804,0.004260423978704716,0.010450789887386763,False,60.583228977181065,False,0.01613111117522557,0.004127432,False,False,False,False
17,INPP4B,7.266693363328863e-05,0.00028679539169174697,True,1.0333237962653643,False,0.03492691834188015,0.028698424,False,False,False,False
18,PSMD4,4.0914742433922985e-08,3.0255207353634155e-07,True,0.0005818076374103848,True,0.028230685092548533,0.007942892,False,False,False,False
19,DPM2,1.4327744910552743e-16,2.9613449509892442e-15,True,2.0374053262806e-12,True,0.07473405424119581,0.022323558,False,False,False,False
20,DCAF5,4.767274319665988e-12,6.041946597651546e-11,True,6.779064082565035e-08,True,0.04900185866653164,0.019135417,False,False,False,False
21,PTPN1,0.0033366071563889427,0.008440945341371778,True,47.446553763850766,False,0.027545164873131085,0.0058910404,False,False,False,False
22,POLE2,2.1946682823958496e-23,7.574801693123539e-22,True,3.1208182975668983e-19,True,0.0712212262456406,0.043647658,False,False,False,True
23,POU6F1,0.4269228091337449,0.5065054420740368,False,6070.842345881852,False,0.006217940023578313,0.0093549695,False,False,False,False
24,IL18R1,0.5373617664395036,0.6104725028976385,False,7641.284318769742,False,0.009688286326588304,0.019117108,False,False,False,True
25,PITPNA,0.001320038863266496,0.0037295753299522298,True,18.77095263564957,False,0.02189158970717582,0.03612995,False,False,False,False
26,PIN4,0.00017712327364595245,0.0006333147978992817,True,2.518692951245444,False,0.016604416205599874,0.024880318,False,False,True,False
27,PIK3CB,0.14385677420380588,0.20948728409402148,False,2045.6433291781195,False,0.007576425103216199,0.020281626,False,False,True,False
28,DUOX1,0.20431630491529454,0.278880577452053,False,2905.377855895488,False,0.007309226356279271,0.011905785,False,False,False,False
29,PSMD13,0.2977604823339903,0.3789291264354163,False,4234.154058789341,False,0.019826697938062146,0.012727777,False,False,False,False
30,FAM131C,3.6385819786381795e-05,0.00015330558736662198,True,0.5174063573623491,False,0.03216332963396772,0.015099854,False,False,False,False
31,MIA2,0.046693823083491806,0.08155074481051997,False,663.9861642472534,False,0.007474467079741857,0.00857152,False,False,False,False
32,KAT5,0.010981986967058554,0.023628968780688854,False,156.16385467157264,False,0.02628238770113518,0.03207045,False,False,False,False
33,CREM,0.00983667407752166,0.021473365886146453,False,139.877505382358,False,0.02127078537685078,0.019107105,False,False,False,False
34,CLEC4A,7.735093690880367e-08,5.450596247984084e-07,True,0.0010999303228431882,True,0.03865492832628177,0.015622657,False,False,False,False
35,BTN3A1,0.0017581046237635743,0.004786568590832477,True,25.000247749918028,False,0.019717203247033802,0.013255314,False,False,False,False
36,FILIP1L,0.961630031362414,0.9692245787041941,False,13674.379045973526,False,0.0031594132537359873,0.02011693,False,False,False,False
37,VAPA,0.0004081752182836245,0.0013200481246288698,True,5.804251603993141,False,0.01520165101111314,0.01598743,False,False,False,False
38,FGFR1OP,1.2738498564942783e-05,5.9546827611270994e-05,True,0.18114144959348638,False,0.05115896727359306,0.032714993,False,False,False,False
39,RNF41,0.3501657076702561,0.4318983748001598,False,4979.356363071042,False,0.014231960484022015,0.03301747,False,False,False,False
40,ARL13B,1.052939025447453e-10,1.1300221088198326e-09,True,1.4972792941862781e-06,True,0.05039983904281445,0.022978485,False,False,False,False
41,RNF38,0.15021305564234574,0.21667981854677992,False,2136.0296512341565,False,0.015634085983458012,0.03172992,False,False,False,False
42,PIK3R3,5.305238366867924e-09,4.4771803903182125e-08,True,7.544048957686188e-05,True,0.027200573901730953,0.014167346,False,False,False,False
43,ZNF30,0.2809559712916597,0.36162146196301603,False,3995.1939117674015,False,0.012599942793270048,0.032846574,False,False,False,False
44,WASHC1,0.8089588308588247,0.8451332335475252,False,11503.394574812488,False,0.006848458013700151,0.021590468,False,False,False,False
45,SCARF2,6.396894894198884e-11,7.056931372809009e-10,True,9.096384539550812e-07,True,0.03759410997795765,0.019677091,False,False,False,False
46,EIF5,1.4957531642829893e-13,2.284598280999367e-12,True,2.126960999610411e-09,True,0.12293639012528895,0.023159273,True,False,False,False
47,SHC1,4.0908632276669083e-07,2.5547683398077926e-06,True,0.005817207509742343,True,0.032243979993969905,0.010276931,False,False,False,False
48,LYPD6,1.6547804180148648e-17,3.6595610488602453e-16,True,2.3530977544171375e-13,True,0.08055178144917098,0.009402221,False,False,False,False
49,UBE2J2,0.11768735314762614,0.1770165180621159,False,1673.5141617592437,False,0.011691208416837302,0.024149243,False,False,False,False
50,CCNB1IP1,0.734019855899003,0.7837334698065642,False,10437.762350883822,False,0.009868822438089472,0.03804183,False,False,False,False
51,KIF24,7.970763102279928e-30,4.01929969200073e-28,True,1.1334425131442058e-25,True,0.11103150560818373,0.021959262,True,False,False,False
52,SPATA24,0.24159051571013435,0.3203783580526075,False,3435.4171333981103,False,0.010930902151822458,0.016390873,False,False,False,False
53,SCARA3,8.72941802858286e-05,0.00033823521625735224,True,1.2413232436644828,False,0.02890542491066972,0.032375358,False,False,False,False
54,RASSF5,7.204582421631226e-05,0.00028450197732739804,True,1.0244916203559604,False,0.027231195362463566,0.01649486,False,False,False,False
55,TMEM65,0.1791403202410748,0.2503316975066906,False,2547.3753538280835,False,0.013741006752629261,0.0077052126,False,False,False,False
56,RALGAPA1,0.5402819401190615,0.6131042365727439,False,7682.8091884930545,False,0.010891201281266473,0.012564269,False,False,False,False
57,ITPRID1,0.0010503293482884719,0.0030505889159849,True,14.93568333266207,False,0.020409914856043005,0.013545476,False,False,False,False
58,PIK3R1,1.992931947053361e-05,8.867175308854441e-05,True,0.28339492287098794,False,0.02563153377536616,0.0067243525,False,False,False,False
