,gene,name,pvalue,pvaladj_BH,reject_BH,pvaladj_B,reject_B,percent_variance,total_variance,significant,regev_ccd,diana_ccd,diana_nonccd
100,ENSG00000006327,TNFRSF12A,1.1240502613462362e-28,9.692051323953991e-27,True,1.5119600065368223e-24,True,0.13066773310663893,0.01401287,True,False,False,False
144,ENSG00000007968,E2F2,3.689001318089752e-32,3.787844025162233e-30,True,4.962075672962525e-28,True,0.24635297242386775,0.020673731,True,False,False,False
187,ENSG00000010292,NCAPD2,1.3675051663046637e-24,8.28572612250632e-23,True,1.839431199196403e-20,True,0.16226106099866308,0.01936732,True,True,False,False
229,ENSG00000012048,BRCA1,1.7219770449973987e-35,2.124982865344955e-33,True,2.316231323226001e-31,True,0.12238003009996994,0.02528274,True,False,False,False
261,ENSG00000014138,POLA2,1.548047321386551e-38,2.2151898425500527e-36,True,2.08227845199705e-34,True,0.14315574345550353,0.03624128,True,False,False,False
329,ENSG00000024526,DEPDC1,4.131021941592918e-29,3.6082062426211906e-27,True,5.556637613636633e-25,True,0.18329801562199674,0.042030312,True,False,False,False
400,ENSG00000035499,DEPDC1B,6.817219303035465e-14,1.4486321776481839e-12,True,9.169841684513004e-10,True,0.14436073062658053,0.03658218,True,False,False,False
437,ENSG00000040275,SPDL1,3.0573501318348166e-14,6.865511957146931e-13,True,4.112441662331012e-10,True,0.1111532583570507,0.021200329,True,False,False,False
517,ENSG00000049541,RFC2,1.3523351336244214e-28,1.1440415020366097e-26,True,1.8190259882382092e-24,True,0.11287045702712571,0.032929044,True,True,False,False
538,ENSG00000051180,RAD51,1.866402372668046e-29,1.673665220983859e-27,True,2.5104978314757888e-25,True,0.20851585898208957,0.03512118,True,True,False,False
539,ENSG00000051341,POLQ,1.1136416612845988e-43,1.9709992086762024e-41,True,1.4979593985939138e-39,True,0.14627339327279598,0.03176065,True,False,False,False
738,ENSG00000065548,ZC3H15,2.192413221302167e-25,1.4246449391176544e-23,True,2.9490150239735447e-21,True,0.11647565780993528,0.019008381,True,False,False,False
767,ENSG00000066279,ASPM,4.9670960420237223e-36,6.48664163701564e-34,True,6.681240886126109e-32,True,0.21440535312365824,0.02157959,True,False,False,False
768,ENSG00000066322,ELOVL1,7.068887556323717e-19,2.5355628405362752e-17,True,9.508360652011031e-15,True,0.13232272130695089,0.018978208,True,False,False,False
886,ENSG00000070404,FSTL3,1.5232548411334363e-20,6.443176373611904e-19,True,2.0489300868085852e-16,True,0.1111143696568363,0.024002124,True,False,False,False
970,ENSG00000072864,NDE1,8.370039400263255e-14,1.7536666662451877e-12,True,1.1258539997294104e-09,True,0.11378842157477213,0.029851545,True,False,False,False
976,ENSG00000073111,MCM2,4.609180464292883e-55,1.2916268005250744e-52,True,6.199808642520356e-51,True,0.2532552497474831,0.034498252,True,True,False,False
1052,ENSG00000075618,FSCN1,1.483394399547093e-19,5.652447044846444e-18,True,1.995313806830795e-15,True,0.11002721029946355,0.02337652,True,False,False,False
1067,ENSG00000076003,MCM6,3.378707391998129e-54,9.274896557095273e-52,True,4.544699312976683e-50,True,0.3027366655004425,0.044303797,True,True,False,False
1074,ENSG00000076248,UNG,4.442996067117407e-52,1.1492834634383894e-49,True,5.976274009879624e-48,True,0.4384147171439985,0.040266704,True,True,False,False
