gene,name,ccd_transcript,regev_ccd,ccd_protein,nonccd_protein,mean_diff_from_rng,-log10 CCD FDR
ENSG00000000003,TSPAN6,False,False,No                 ,False,0.0022519396761208604,inf
ENSG00000000419,DPM1,False,False,No                 ,False,0.002423938558642886,inf
ENSG00000000457,SCYL3,False,False,No                 ,False,0.0027068848203191703,inf
ENSG00000000460,C1orf112,False,False,No                 ,False,0.03463737846401156,inf
ENSG00000001036,FUCA2,False,False,No                 ,False,0.01689689361799849,inf
ENSG00000001084,GCLC,False,False,No                 ,False,0.015276268306666176,inf
ENSG00000001167,NFYA,False,False,No                 ,False,-0.003216733380947499,-4.128722284338426
ENSG00000001460,STPG1,False,False,No                 ,False,0.03356851607552312,inf
ENSG00000001461,NIPAL3,False,False,No                 ,False,0.03712534436712759,inf
ENSG00000001497,LAS1L,False,False,No                 ,False,0.019935628490867056,inf
ENSG00000001561,ENPP4,False,False,No                 ,False,0.001167327724952653,299.8865895727577
ENSG00000001629,ANKIB1,False,False,No                 ,False,-0.0054241725080104225,-4.128722284338426
ENSG00000001630,CYP51A1,False,False,No                 ,False,0.019204041981671863,inf
ENSG00000001631,KRIT1,False,False,No                 ,False,-0.0016646668214073275,-4.128722284338426
ENSG00000002016,RAD52,False,False,No                 ,False,0.0030621283902175474,inf
ENSG00000002330,BAD,False,False,No                 ,False,0.006418711016134096,inf
ENSG00000002549,LAP3,False,False,Mitotic,False,-0.0022625419657208213,-4.128722284338426
ENSG00000002586,CD99,False,False,No                 ,False,0.0017219235102432211,inf
ENSG00000002746,HECW1,False,False,No                 ,False,-0.0014777272377482708,-4.128722284338426
ENSG00000002822,MAD1L1,False,False,No                 ,False,0.007530711847687216,inf
ENSG00000002834,LASP1,False,False,No                 ,False,0.03639634059831348,inf
ENSG00000002919,SNX11,False,False,No                 ,False,0.017151722644086938,inf
ENSG00000002933,TMEM176A,False,False,No                 ,False,-0.004864664783447731,-4.128722284338426
ENSG00000003056,M6PR,False,False,No                 ,False,0.006356908890860085,inf
ENSG00000003096,KLHL13,False,False,No                 ,False,-0.0018208655525901393,-4.128722284338426
ENSG00000003137,CYP26B1,False,False,No                 ,True,0.021006416006043558,inf
ENSG00000003147,ICA1,False,False,No                 ,False,0.010965749678530647,inf
ENSG00000003249,DBNDD1,False,False,No                 ,True,-0.0028906762366308634,-4.128722284338426
ENSG00000003393,ALS2,False,False,No                 ,False,-0.003581161012416897,-4.128722284338426
ENSG00000003400,CASP10,False,False,No                 ,False,0.001520429865063128,inf
ENSG00000003402,CFLAR,True,False,No                 ,False,0.08774518465137622,inf
ENSG00000003436,TFPI,False,False,No                 ,False,0.003602734039708289,inf
ENSG00000003509,NDUFAF7,False,False,No                 ,False,-0.0034297996988189895,-4.128722284338426
ENSG00000003756,RBM5,False,False,No                 ,False,0.001736985505720475,inf
ENSG00000003987,MTMR7,False,False,No                 ,False,0.0028785242627571697,inf
ENSG00000003989,SLC7A2,False,False,No                 ,False,0.006484651157531348,inf
ENSG00000004059,ARF5,False,False,No                 ,False,0.012301470762339131,inf
ENSG00000004139,SARM1,False,False,No                 ,False,0.0033206192914034607,inf
ENSG00000004142,POLDIP2,False,False,No                 ,False,0.004629715328778013,inf
ENSG00000004399,PLXND1,False,False,No                 ,False,0.03779967536571799,inf
ENSG00000004455,AK2,False,False,No                 ,False,0.008585281880769208,inf
ENSG00000004478,FKBP4,False,False,No                 ,False,0.0465514272659689,inf
ENSG00000004487,KDM1A,False,False,No                 ,False,0.010850149805455617,inf
ENSG00000004534,RBM6,False,False,No                 ,False,0.01055357814819784,inf
ENSG00000004660,CAMKK1,False,False,No                 ,True,0.0343603754631358,inf
ENSG00000004700,RECQL,False,False,No                 ,False,0.013548120049545772,inf
ENSG00000004766,VPS50,False,False,No                 ,False,0.00526860465183666,inf
ENSG00000004777,ARHGAP33,False,False,No                 ,False,0.030026822670428898,inf
ENSG00000004779,NDUFAB1,False,False,No                 ,True,0.009424654708618386,inf
ENSG00000004838,ZMYND10,False,False,No                 ,False,0.0003130988140741188,62.43439608401945
ENSG00000004864,SLC25A13,False,False,No                 ,False,0.01832242107273385,inf
ENSG00000004866,ST7,False,False,No                 ,True,0.0024094498495658475,inf
ENSG00000004897,CDC27,True,False,No                 ,False,0.08720665104860897,inf
ENSG00000004961,HCCS,False,False,No                 ,False,0.002002850694992935,inf
ENSG00000004975,DVL2,False,False,No                 ,False,0.005622226662771366,inf
ENSG00000005007,UPF1,False,False,No                 ,False,-0.002180968982056205,-4.128722284338426
ENSG00000005022,SLC25A5,False,False,No                 ,False,0.04875407384776501,inf
ENSG00000005059,MCUB,False,False,No                 ,False,-0.0006163014939242141,-4.128722284338426
ENSG00000005073,HOXA11,False,False,No                 ,False,0.007226445522519964,inf
ENSG00000005075,POLR2J,False,False,No                 ,False,0.0005998120343709372,123.20668319148314
ENSG00000005100,DHX33,False,False,No                 ,False,-0.0013071247222652734,-4.128722284338426
ENSG00000005156,LIG3,False,False,No                 ,False,0.0013775498819573737,inf
ENSG00000005175,RPAP3,False,False,No                 ,False,0.017876513801854656,inf
ENSG00000005187,ACSM3,False,False,No                 ,False,-0.0021723771530808788,-4.128722284338426
ENSG00000005189,REXO5,False,False,No                 ,False,0.025272980101533876,inf
ENSG00000005194,CIAPIN1,False,False,No                 ,True,0.011871722215392762,inf
ENSG00000005206,SPPL2B,False,False,No                 ,False,0.008101274560608619,inf
ENSG00000005238,FAM214B,False,False,No                 ,False,0.03295460365569705,inf
ENSG00000005243,COPZ2,False,False,No                 ,False,-0.00039000864258754986,-4.128640591092808
ENSG00000005249,PRKAR2B,False,False,No                 ,False,-0.0026204703056876464,-4.128722284338426
ENSG00000005302,MSL3,False,False,No                 ,False,0.005371335534797554,inf
ENSG00000005339,CREBBP,False,False,No                 ,True,0.019436668358677446,inf
ENSG00000005436,GCFC2,False,False,No                 ,False,0.006796886470711945,inf
ENSG00000005448,WDR54,False,False,No                 ,False,0.03389336833261142,inf
ENSG00000005469,CROT,False,False,No                 ,False,0.02046605374870649,inf
ENSG00000005471,ABCB4,False,False,No                 ,False,0.0027014386970854376,inf
ENSG00000005483,KMT2E,False,False,No                 ,False,-0.0034788264003996552,-4.128722284338426
ENSG00000005486,RHBDD2,False,False,No                 ,False,0.026931450065232662,inf
ENSG00000005700,IBTK,False,False,No                 ,False,-0.002065694723012844,-4.128722284338426
ENSG00000005801,ZNF195,False,False,No                 ,False,0.0009328556859219354,220.69545764447523
ENSG00000005810,MYCBP2,False,False,No                 ,False,-0.002272153267296442,-4.128722284338426
ENSG00000005812,FBXL3,False,False,No                 ,False,0.0006079632185562238,125.28557493243163
ENSG00000005882,PDK2,False,False,No                 ,False,0.00021725137526373538,39.627895234939054
ENSG00000005884,ITGA3,False,False,No                 ,False,0.0009640643602453167,233.86082132661883
ENSG00000005889,ZFX,False,False,No                 ,False,-0.0009693753915403087,-4.128722284338426
ENSG00000005893,LAMP2,False,False,No                 ,False,0.00694241002416922,inf
ENSG00000006007,GDE1,False,False,No                 ,False,0.00021153563135034142,35.22486985030597
ENSG00000006015,REX1BD,False,False,No                 ,False,0.016877352955467,inf
ENSG00000006016,CRLF1,False,False,No                 ,False,0.000594196830984898,121.89315469011999
ENSG00000006025,AC003665.1,False,False,No                 ,False,0.015347107609256628,inf
ENSG00000006042,TMEM98,False,False,No                 ,False,0.01132381785320315,inf
ENSG00000006047,YBX2,False,False,No                 ,False,-0.000330503789260833,-4.068918358402254
ENSG00000006062,MAP3K14,False,False,No                 ,False,0.00018011720667257577,32.78576170309604
ENSG00000006118,TMEM132A,False,False,No                 ,True,0.007004427947472303,inf
ENSG00000006125,AP2B1,False,False,No                 ,False,0.02592807147508742,inf
ENSG00000006194,ZNF263,False,False,Mitotic,False,0.005672255682432069,inf
ENSG00000006210,CX3CL1,False,False,No                 ,False,-0.0024374310513282796,-4.128722284338426
ENSG00000006282,SPATA20,False,False,No                 ,False,0.024960421897297566,inf
ENSG00000006283,CACNA1G,False,False,No                 ,False,0.0026772045362339777,inf
ENSG00000006327,TNFRSF12A,True,False,No                 ,False,0.12192132020103313,inf
ENSG00000006432,MAP3K9,False,False,No                 ,False,0.011111047548852867,inf
ENSG00000006451,RALA,False,False,No                 ,False,0.000119079406182316,24.803903051051226
ENSG00000006453,BAIAP2L1,False,False,No                 ,False,0.014165029600460972,inf
ENSG00000006459,KDM7A,False,False,Pseudotime,False,-0.0005706946333482594,-4.128722284338426
ENSG00000006468,ETV1,False,False,No                 ,True,-0.00430940013290751,-4.128722284338426
