,well_plate,ENSG,in_firstbatch,in_secondbatch,is_variable,is_variable_comp,is_dianaccd,is_newccd
0,A01_55185977,ENSG00000158321,True,False,True,True,False,False
1,A01_55195978,ENSG00000136108,True,True,True,True,False,False
2,A01_55215982,ENSG00000138347,True,False,True,True,True,False
3,A01_55225983,ENSG00000111605,True,False,True,True,False,False
4,A01_55235979,ENSG00000106012,True,False,True,True,True,True
5,A01_55245981,ENSG00000168159,True,False,True,True,True,True
6,A01_55335984,ENSG00000136888,True,True,True,False,False,False
7,A01_55345985,ENSG00000146678,True,False,True,False,False,False
8,A01_55355986,ENSG00000242265,True,False,True,True,False,False
9,A01_55365987,ENSG00000214212,True,False,True,False,False,False
10,A01_55375988,ENSG00000166347,True,False,True,False,False,False
11,A01_55385989,ENSG00000205544,True,False,True,False,False,False
12,A01_55395990,ENSG00000180822,True,False,True,True,False,False
13,A01_55405991,ENSG00000128422,True,False,True,True,True,True
14,A01_6717,ENSG00000088305,False,True,True,True,False,False
15,A01_6718,ENSG00000140968,False,True,True,False,False,False
16,A01_6719,ENSG00000196839,True,True,True,True,False,False
17,A01_6720,ENSG00000128274,False,True,True,True,False,False
18,A01_6721,ENSG00000093010,False,True,True,True,False,False
19,A01_6722,ENSG00000089472,False,True,True,True,False,False
20,A01_6724,ENSG00000067177,False,True,True,True,False,False
21,A01_6725,ENSG00000144724,False,True,True,True,False,False
22,A01_6731,ENSG00000107165,False,True,True,True,False,False
23,A01_6734,ENSG00000147383,False,True,True,True,False,False
24,A01_6735,ENSG00000165140,False,True,True,True,False,False
25,A01_6736,ENSG00000101115,False,True,True,False,False,False
26,A01_6745,ENSG00000062485,False,True,True,True,False,False
27,A01_75846286,ENSG00000111783,True,False,True,True,False,False
28,A02_55185977,ENSG00000189060,True,False,True,True,True,False
29,A02_55205980,ENSG00000118292,True,False,True,False,False,False
30,A02_55215982,ENSG00000171368,True,False,False,False,False,False
31,A02_55225983,ENSG00000138614,True,False,True,False,False,False
32,A02_55235979,ENSG00000163644,True,False,True,False,False,False
33,A02_55245981,ENSG00000111912,True,False,True,False,False,False
34,A02_55335984,ENSG00000100744,True,False,True,False,False,False
35,A02_55345985,ENSG00000171421,True,False,True,True,False,False
36,A02_55355986,ENSG00000167065,True,True,True,True,True,True
37,A02_55365987,ENSG00000165156,True,False,True,True,False,False
38,A02_55375988,ENSG00000213638,True,False,True,True,False,False
39,A02_55385989,ENSG00000105372,True,False,True,False,True,False
40,A02_55405991,ENSG00000177311,True,False,True,True,False,False
41,A02_6717,ENSG00000090530,False,True,True,False,False,False
42,A02_6718,ENSG00000140374,True,True,True,False,False,False
43,A02_6719,ENSG00000171097,False,True,True,True,False,False
44,A02_6720,ENSG00000166016,False,True,True,True,False,True
45,A02_6721,ENSG00000138772,False,True,True,True,False,False
46,A02_6722,ENSG00000168067,False,True,True,True,False,False
47,A02_6724,ENSG00000114670,False,True,True,True,False,False
48,A02_6725,ENSG00000177542,False,True,True,True,False,False
49,A02_6731,ENSG00000159202,False,True,True,True,False,False
50,A02_6734,ENSG00000145675,False,True,True,True,False,False
51,A02_6735,ENSG00000106992,False,True,True,True,False,False
52,A02_6736,ENSG00000076201,False,True,True,True,False,False
53,A02_6745,ENSG00000167508,False,True,True,False,False,False
54,A02_75846286,ENSG00000189221,True,False,True,True,False,False
55,A03_55185977,ENSG00000147231,True,False,True,False,False,False
56,A03_55195978,ENSG00000143217,True,False,True,False,False,False
57,A03_55205980,ENSG00000179104,True,False,True,True,False,True
58,A03_55215982,ENSG00000142327,True,False,True,True,False,False
59,A03_55225983,ENSG00000135736,True,False,True,False,False,False
60,A03_55235979,ENSG00000197776,True,False,True,True,False,False
61,A03_55245981,ENSG00000130635,True,False,True,True,False,True
62,A03_55335984,ENSG00000156413,True,False,True,True,False,False
63,A03_55345985,ENSG00000177352,True,False,True,True,False,False
64,A03_55355986,ENSG00000166123,True,False,True,True,False,False
65,A03_55365987,ENSG00000108592,True,False,True,True,False,False
66,A03_55375988,ENSG00000183011,True,False,True,True,False,False
67,A03_55395990,ENSG00000127418,True,False,True,True,False,False
68,A03_55405991,ENSG00000120694,True,True,True,False,False,False
69,A03_6717,ENSG00000108852,True,True,True,True,False,False
70,A03_6718,ENSG00000135365,False,True,True,False,False,False
71,A03_6719,ENSG00000111846,True,True,True,True,False,False
72,A03_6720,ENSG00000164649,True,True,True,True,False,True
73,A03_6721,ENSG00000117448,False,True,True,True,False,False
74,A03_6722,ENSG00000111144,False,True,True,True,False,True
75,A03_6724,ENSG00000179299,False,True,True,False,False,False
76,A03_6725,ENSG00000143344,False,True,True,True,False,True
77,A03_6731,ENSG00000008311,False,True,True,True,False,True
78,A03_6735,ENSG00000060971,False,True,True,True,False,False
79,A03_6736,ENSG00000204291,False,True,True,False,False,False
80,A03_6745,ENSG00000168393,False,True,True,True,False,False
81,A03_75846286,ENSG00000138050,True,False,True,True,True,True
82,A04_55185977,ENSG00000147256,True,False,True,True,True,True
83,A04_55195978,ENSG00000116031,True,False,True,True,False,False
84,A04_55205980,ENSG00000120278,True,False,True,True,True,False
85,A04_55215982,ENSG00000176928,True,False,True,True,False,False
86,A04_55225983,ENSG00000078328,True,False,True,False,False,False
87,A04_55235979,ENSG00000147874,True,True,True,True,False,False
88,A04_55245981,ENSG00000064933,True,False,True,True,False,False
89,A04_55335984,ENSG00000096968,True,True,True,True,False,False
90,A04_55345985,ENSG00000179918,True,False,True,True,False,False
91,A04_55355986,ENSG00000181513,True,False,True,True,False,False
92,A04_55365987,ENSG00000114166,True,False,True,True,False,False
93,A04_55375988,ENSG00000116793,True,False,True,True,False,False
94,A04_55395990,ENSG00000158125,True,False,True,True,True,False
95,A04_55405991,ENSG00000073578,True,False,True,True,False,False
96,A04_6717,ENSG00000027001,True,True,True,False,False,False
97,A04_6718,ENSG00000148498,True,True,True,False,False,False
98,A04_6719,ENSG00000166439,False,True,True,True,False,False
99,A04_6720,ENSG00000081154,True,True,True,True,False,True
100,A04_6721,ENSG00000185015,False,True,True,True,False,False
101,A04_6722,ENSG00000141543,False,True,True,True,False,True
102,A04_6724,ENSG00000185813,False,True,True,False,False,False
103,A04_6725,ENSG00000176974,False,True,True,True,False,False
104,A04_6731,ENSG00000163482,False,True,True,True,False,False
105,A04_6734,ENSG00000138795,False,True,True,True,False,False
106,A04_6735,ENSG00000117480,False,True,True,True,False,False
107,A04_6736,ENSG00000189283,False,True,False,False,False,False
108,A04_6745,ENSG00000154370,False,True,True,True,False,False
109,A04_75836284,ENSG00000136404,True,False,True,False,False,False
110,A04_75846286,ENSG00000003147,True,False,True,True,False,False
111,A05_55185977,ENSG00000121152,True,False,True,True,True,False
112,A05_55195978,ENSG00000136114,True,False,True,False,False,False
113,A05_55205980,ENSG00000100479,True,True,True,False,False,False
114,A05_55215982,ENSG00000041802,True,False,True,True,False,False
115,A05_55225983,ENSG00000152229,True,False,True,True,False,False
116,A05_55235979,ENSG00000187607,True,False,True,False,True,False
117,A05_55245981,ENSG00000142657,True,True,True,False,False,False
118,A05_55335984,ENSG00000006704,True,False,True,True,True,True
119,A05_55345985,ENSG00000211450,True,False,True,True,False,False
120,A05_55355986,ENSG00000158480,True,False,True,True,False,False
121,A05_55365987,ENSG00000082482,True,False,True,True,False,False
122,A05_55375988,ENSG00000134602,True,False,True,True,True,True
123,A05_55385989,ENSG00000135119,True,False,True,True,True,False
124,A05_55395990,ENSG00000241484,True,False,True,True,True,True
125,A05_55405991,ENSG00000108602,True,False,True,True,True,False
126,A05_6717,ENSG00000053702,False,True,True,True,False,False
127,A05_6718,ENSG00000139344,False,True,True,True,False,False
128,A05_6719,ENSG00000233927,True,True,False,False,False,False
129,A05_6720,ENSG00000109576,False,True,True,True,False,False
130,A05_6721,ENSG00000122218,False,True,True,True,False,False
131,A05_6722,ENSG00000106683,False,True,True,True,False,False
132,A05_6724,ENSG00000161217,False,True,True,False,False,False
133,A05_6725,ENSG00000100614,False,True,True,False,False,False
134,A05_6731,ENSG00000090686,False,True,True,True,False,False
135,A05_6734,ENSG00000105810,False,True,True,True,False,False
136,A05_6735,ENSG00000182054,False,True,True,True,False,False
137,A05_6736,ENSG00000101290,False,True,True,True,False,False
138,A05_6745,ENSG00000198380,False,True,True,True,False,True
139,A05_75836284,ENSG00000079134,True,False,True,True,False,False
140,A05_75846286,ENSG00000197971,True,False,True,False,False,False
141,A06_55195978,ENSG00000157103,True,False,True,True,False,False
142,A06_55205980,ENSG00000157191,True,False,True,False,False,False
143,A06_55215982,ENSG00000180104,True,False,True,True,False,False
144,A06_55225983,ENSG00000110104,True,False,True,True,False,False
145,A06_55235979,ENSG00000124813,True,True,True,True,False,False
146,A06_55245981,ENSG00000077549,True,False,True,True,False,False
147,A06_55335984,ENSG00000141506,True,False,True,False,False,False
148,A06_55345985,ENSG00000274349,True,False,True,True,False,False
149,A06_55355986,ENSG00000185507,True,False,True,True,False,False
150,A06_55365987,ENSG00000099999,True,False,True,True,False,False
151,A06_55375988,ENSG00000161956,True,False,True,True,False,False
152,A06_55385989,ENSG00000126767,True,False,True,True,False,False
153,A06_55395990,ENSG00000160539,True,False,True,False,False,False
154,A06_55405991,ENSG00000122642,True,False,True,True,False,False
155,A06_6717,ENSG00000111615,True,True,True,True,True,False
156,A06_6718,ENSG00000138778,False,True,True,True,False,False
157,A06_6719,ENSG00000169131,False,True,True,True,False,False
158,A06_6720,ENSG00000196177,False,True,True,False,False,False
159,A06_6721,ENSG00000132423,False,True,True,True,False,False
160,A06_6722,ENSG00000114982,False,True,True,True,False,True
161,A06_6724,ENSG00000138382,False,True,True,True,False,False
162,A06_6725,ENSG00000138777,False,True,True,True,False,False
163,A06_6731,ENSG00000114491,False,True,True,True,False,False
164,A06_6734,ENSG00000130829,False,True,True,True,False,False
165,A06_6735,ENSG00000172939,False,True,True,True,False,False
166,A06_6736,ENSG00000033627,False,True,True,True,False,False
167,A06_6745,ENSG00000166135,False,True,True,False,False,False
168,A06_75836284,ENSG00000178404,True,False,True,True,False,False
169,A06_75846286,ENSG00000197712,True,False,True,True,False,False
170,A07_55195978,ENSG00000213853,True,False,True,True,False,False
171,A07_55215982,ENSG00000159335,True,False,True,True,False,False
172,A07_55225983,ENSG00000112149,True,False,True,False,False,False
173,A07_55235979,ENSG00000166263,True,False,True,True,False,False
174,A07_55245981,ENSG00000154079,True,False,True,True,False,False
175,A07_55335984,ENSG00000135048,True,False,True,False,False,False
176,A07_55345985,ENSG00000136866,True,False,True,True,False,False
