,well_plate,does_vary_cell,does_vary_nuc,does_vary_cyto,does_perc_vary_cell,does_perc_vary_nuc,does_perc_vary_cyto
0,A01_55185977,True,True,False,False,False,False
1,A01_55195978,True,True,True,False,False,False
2,A01_55215982,True,False,False,False,False,False
3,A01_55225983,True,False,False,False,False,False
4,A01_55235979,True,True,False,True,True,False
5,A01_55245981,True,True,False,True,True,False
6,A01_55335984,True,False,True,False,False,False
7,A01_55355986,False,False,False,False,False,False
8,A01_55365987,False,False,False,False,False,False
9,A01_55375988,False,False,False,False,False,False
10,A01_55395990,False,False,False,False,False,False
11,A01_55405991,True,True,True,False,True,False
12,A01_6717,False,False,False,False,False,False
13,A01_6719,False,False,True,False,False,False
14,A01_6720,False,True,False,False,False,False
15,A01_6721,False,False,True,False,False,False
16,A01_6722,True,False,False,False,False,False
17,A01_6724,True,True,True,False,False,False
18,A01_6725,False,False,False,False,False,False
19,A01_6731,False,False,False,False,False,False
20,A01_6734,True,True,True,False,False,False
21,A01_6735,True,True,True,False,False,False
22,A01_6745,True,True,True,False,False,False
23,A01_75846286,False,False,False,False,False,False
24,A02_55185977,True,True,False,False,False,False
25,A02_55205980,False,False,False,False,False,False
26,A02_55215982,False,False,False,False,False,False
27,A02_55225983,True,False,False,False,False,False
28,A02_55235979,True,False,True,False,False,False
29,A02_55245981,False,False,False,False,False,False
30,A02_55335984,False,False,True,False,False,False
31,A02_55345985,False,False,False,False,False,False
32,A02_55355986,True,True,False,True,True,True
33,A02_55365987,False,False,False,False,False,False
34,A02_55375988,False,False,False,False,False,False
35,A02_6717,False,False,False,False,False,False
36,A02_6719,False,False,False,False,False,False
37,A02_6720,False,False,False,False,True,False
38,A02_6721,False,True,False,False,False,False
39,A02_6722,False,False,False,False,False,False
40,A02_6724,False,False,False,False,False,False
41,A02_6725,False,True,True,False,False,False
42,A02_6731,True,False,True,False,False,False
43,A02_6734,True,False,True,False,False,False
44,A02_6735,True,True,True,False,False,False
45,A02_6736,False,False,False,False,False,False
46,A02_6745,False,False,False,False,False,False
47,A02_75846286,True,True,True,False,False,False
48,A03_55185977,False,False,True,False,False,False
49,A03_55195978,False,False,True,False,False,False
50,A03_55205980,True,False,True,False,False,False
51,A03_55215982,False,False,False,False,False,False
52,A03_55225983,False,False,False,False,False,False
53,A03_55235979,True,False,True,False,False,False
54,A03_55245981,False,False,False,False,True,False
55,A03_55345985,True,True,False,False,False,False
56,A03_55355986,False,False,False,False,False,False
57,A03_55365987,False,True,False,False,False,False
58,A03_55375988,False,True,False,False,False,False
59,A03_55395990,True,False,True,False,False,False
60,A03_55405991,False,False,False,False,False,False
61,A03_6719,False,False,False,False,False,False
62,A03_6720,False,True,False,True,True,False
63,A03_6721,False,False,True,False,False,False
64,A03_6722,False,False,False,False,False,False
65,A03_6725,False,False,False,True,True,False
66,A03_6731,False,False,False,True,True,False
67,A03_6735,False,False,True,False,False,False
68,A03_6745,False,True,True,False,False,False
69,A03_75846286,False,False,False,False,True,False
70,A04_55185977,True,False,False,True,True,True
71,A04_55195978,False,False,False,False,False,False
72,A04_55205980,False,False,False,False,False,False
73,A04_55215982,False,False,False,False,False,False
74,A04_55225983,False,False,False,False,False,False
75,A04_55235979,False,False,True,False,False,False
76,A04_55245981,False,False,False,False,False,False
77,A04_55335984,True,False,False,False,False,False
78,A04_55345985,False,False,False,False,False,False
79,A04_55355986,False,False,False,False,False,False
80,A04_55375988,True,False,False,False,False,False
81,A04_55395990,False,False,False,False,False,False
82,A04_55405991,False,True,False,False,False,False
83,A04_6718,True,False,True,False,False,False
84,A04_6719,True,True,False,False,False,False
85,A04_6720,True,True,True,False,False,False
86,A04_6721,False,False,True,False,True,False
87,A04_6722,False,False,False,False,False,False
88,A04_6724,False,True,False,False,False,False
89,A04_6725,False,False,False,False,False,False
90,A04_6731,True,True,True,False,False,False
91,A04_6734,True,True,True,False,False,False
92,A04_6735,True,True,True,False,False,False
93,A04_6736,False,False,True,False,False,False
94,A04_6745,False,False,False,False,False,False
95,A04_75836284,False,False,False,False,False,False
96,A05_55185977,True,True,True,False,False,False
97,A05_55195978,False,False,False,False,False,False
98,A05_55205980,True,True,False,False,False,False
99,A05_55215982,False,False,False,False,False,False
100,A05_55225983,False,False,False,False,False,False
101,A05_55235979,False,True,False,False,False,False
102,A05_55245981,False,False,False,False,False,False
103,A05_55335984,False,False,False,False,True,False
104,A05_55345985,True,True,False,False,False,False
105,A05_55355986,False,False,False,False,False,False
106,A05_55365987,False,False,False,False,False,False
107,A05_55375988,True,False,False,True,True,False
108,A05_55385989,False,False,False,False,False,False
109,A05_55395990,False,True,False,False,False,False
110,A05_55405991,False,True,False,False,False,False
111,A05_6717,True,False,False,False,False,False
112,A05_6718,True,True,True,False,False,False
113,A05_6719,False,False,True,False,False,False
114,A05_6720,True,False,True,False,False,False
115,A05_6721,False,True,False,False,True,False
116,A05_6722,False,False,False,False,False,False
117,A05_6725,False,False,True,False,False,False
118,A05_6731,False,False,False,False,False,False
119,A05_6734,True,True,True,False,False,False
120,A05_6735,True,True,True,False,False,False
121,A05_6736,False,False,True,False,False,False
122,A05_6745,False,False,False,False,False,False
123,A05_75836284,False,True,False,False,False,False
124,A06_55195978,False,False,False,False,False,False
125,A06_55205980,False,False,False,False,False,False
126,A06_55225983,False,False,False,False,False,False
127,A06_55245981,False,False,False,False,False,False
128,A06_55335984,False,False,True,False,False,False
129,A06_55345985,True,True,False,False,False,False
130,A06_55355986,False,False,False,False,False,False
131,A06_55365987,False,False,False,False,False,False
132,A06_55375988,False,False,False,False,True,False
133,A06_55385989,True,False,False,False,False,False
134,A06_55405991,False,True,False,False,False,False
135,A06_6717,False,False,False,False,False,False
136,A06_6718,False,True,True,False,True,False
137,A06_6719,False,True,False,False,True,False
138,A06_6721,False,False,False,False,False,False
139,A06_6722,False,False,False,False,True,False
140,A06_6724,True,True,True,False,True,False
141,A06_6725,True,False,True,False,False,False
142,A06_6731,False,False,True,False,False,False
143,A06_6734,False,True,True,False,False,False
144,A06_6735,False,True,False,False,False,False
145,A06_6736,False,True,False,False,True,False
146,A06_6745,False,False,False,False,False,False
147,A06_75836284,False,False,False,False,False,False
148,A06_75846286,False,False,False,False,False,False
149,A07_55215982,False,False,False,False,False,False
150,A07_55225983,False,False,False,False,False,False
151,A07_55235979,False,True,False,False,False,False
152,A07_55245981,False,False,False,False,False,False
153,A07_55335984,False,False,False,False,False,False
154,A07_55345985,False,False,True,False,False,False
155,A07_55355986,False,False,False,False,False,False
156,A07_55365987,True,False,False,False,True,False
157,A07_55375988,False,True,False,False,False,False
158,A07_55385989,False,False,False,False,False,False
159,A07_55395990,True,False,False,False,False,False
160,A07_55405991,False,False,False,False,False,False
161,A07_6717,False,False,True,False,False,False
162,A07_6718,True,True,False,False,False,False
163,A07_6719,False,False,True,False,False,False
164,A07_6720,False,True,False,False,False,False
165,A07_6721,False,False,False,False,False,False
166,A07_6722,False,False,False,False,True,False
167,A07_6724,True,True,True,False,False,False
168,A07_6725,False,True,False,False,False,False
169,A07_6731,True,True,True,False,False,False
170,A07_6735,True,False,True,False,False,False
171,A07_6736,False,False,False,False,False,False
172,A07_6745,True,True,False,False,False,False
173,A07_75836284,False,False,False,False,False,False
174,A07_75846286,True,False,True,False,False,False
175,A08_55185977,False,False,True,False,True,False
176,A08_55195978,False,False,False,False,False,False
177,A08_55205980,False,True,False,False,True,False
178,A08_55215982,False,False,False,False,False,False
179,A08_55225983,False,False,False,False,False,False
180,A08_55235979,False,False,True,False,False,False
181,A08_55245981,True,True,True,False,False,False
182,A08_55335984,False,False,False,False,False,False
183,A08_55345985,True,True,True,False,False,False
184,A08_55355986,True,False,True,False,False,False
185,A08_55375988,True,True,False,False,True,False
186,A08_55385989,False,False,False,False,False,False
187,A08_55395990,True,True,False,False,False,False
188,A08_55405991,False,True,False,False,True,True
189,A08_6717,False,False,False,False,False,False
190,A08_6718,False,True,False,True,True,False
191,A08_6719,True,True,True,False,False,False
192,A08_6720,False,True,False,False,False,False
193,A08_6721,False,False,False,False,False,False
194,A08_6722,False,False,False,False,False,False
195,A08_6724,True,True,True,False,False,False
196,A08_6725,True,True,False,False,False,False
197,A08_6731,False,False,False,False,False,False
198,A08_6735,False,False,False,False,False,False
199,A08_6736,False,False,False,False,False,False
200,A08_6745,True,True,False,False,False,False
201,A09_55185977,True,True,True,False,False,False
202,A09_55195978,True,True,True,False,False,False
203,A09_55205980,True,True,True,False,False,False
204,A09_55215982,False,False,False,False,False,False
205,A09_55225983,False,False,False,False,False,False
206,A09_55345985,False,False,False,False,False,False
207,A09_55355986,False,False,False,False,False,False
208,A09_55365987,True,True,False,True,True,False
209,A09_55385989,True,True,False,True,True,False
210,A09_55395990,False,False,True,False,True,False
211,A09_55405991,False,False,False,False,False,False
212,A09_6717,False,False,False,False,False,False
213,A09_6718,False,False,False,False,False,False
214,A09_6721,False,False,False,False,False,False
215,A09_6722,False,False,False,False,False,False
216,A09_6724,True,True,True,False,False,False
217,A09_6725,False,False,False,False,False,False
218,A09_6731,True,True,False,False,False,False
219,A09_6734,True,True,False,False,False,False
220,A09_6735,False,True,True,False,False,False
221,A09_6736,False,True,False,False,True,False
222,A09_6745,False,False,False,False,False,False
223,A09_75836284,False,False,True,False,False,False
224,A10_55195978,False,False,True,False,False,False
225,A10_55205980,False,False,False,False,False,False
226,A10_55215982,False,False,False,False,False,False
227,A10_55235979,False,True,True,False,False,False
228,A10_55335984,False,False,False,False,False,False
229,A10_55355986,False,False,False,False,False,False
230,A10_55375988,False,False,False,False,False,False
231,A10_55385989,True,False,False,False,False,False
232,A10_55395990,False,False,False,False,False,False
233,A10_55405991,False,False,False,False,False,False
234,A10_6717,False,False,False,True,True,False
235,A10_6719,True,True,False,False,False,True
236,A10_6720,True,True,True,False,False,False
237,A10_6722,False,True,False,False,False,False
238,A10_6724,True,False,True,False,True,False
239,A10_6725,False,True,True,False,False,False
240,A10_6731,True,False,True,False,False,False
241,A10_6734,True,True,True,False,False,False
242,A10_6735,False,False,True,False,False,False
243,A10_6736,False,False,False,False,False,False
244,A10_6745,False,False,False,False,False,False
245,A10_75836284,False,False,False,False,False,False
246,A11_55185977,True,True,True,False,False,False
247,A11_55195978,True,True,True,False,False,False
248,A11_55205980,False,True,True,True,True,True
249,A11_55215982,False,False,False,False,False,False
250,A11_55225983,False,False,False,False,False,False
251,A11_55235979,True,False,False,False,False,False
252,A11_55245981,True,False,True,False,False,False
253,A11_55335984,True,True,True,False,False,False
254,A11_55345985,True,False,True,False,False,False
255,A11_55355986,True,False,True,False,False,False
256,A11_55365987,False,False,False,False,False,False
257,A11_55375988,False,False,False,False,False,False
258,A11_55385989,False,False,False,False,False,False
259,A11_55395990,False,False,False,False,True,False
260,A11_55405991,True,True,True,False,False,False
261,A11_6717,False,False,False,False,False,False
262,A11_6718,True,True,True,False,False,False
263,A11_6719,False,True,False,False,False,False
264,A11_6720,False,False,False,False,False,False
265,A11_6721,False,False,False,False,False,False
266,A11_6724,False,False,True,False,False,False
267,A11_6725,True,True,True,False,False,False
268,A11_6731,True,True,True,False,False,False
269,A11_6734,False,False,True,False,False,False
270,A11_6735,True,True,True,False,False,False
271,A11_6736,True,True,True,False,False,False
272,A11_6745,False,False,False,True,False,True
273,A11_75836284,False,False,False,False,False,False
274,A12_55185977,True,True,True,False,False,False
275,A12_55195978,True,True,False,True,True,True
276,A12_55215982,False,False,False,False,False,False
277,A12_55235979,False,False,True,False,False,False
278,A12_55245981,False,False,False,False,False,False
279,A12_55335984,False,False,False,False,False,False
280,A12_55345985,False,False,False,False,False,False
281,A12_55385989,False,False,False,False,False,False
282,A12_55405991,False,False,False,False,False,False
283,A12_6717,False,False,False,True,False,False
284,A12_6718,False,False,True,False,False,False
285,A12_6719,True,True,False,False,False,False
286,A12_6720,True,True,True,False,False,False
287,A12_6721,True,False,False,True,True,False
288,A12_6722,False,False,False,False,False,False
289,A12_6724,True,True,True,False,True,False
290,A12_6725,True,True,True,False,False,False
291,A12_6731,True,True,True,False,False,False
292,A12_6734,True,True,True,False,False,False
293,A12_6735,True,True,False,False,False,False
294,A12_6736,False,False,False,False,False,False
295,B01_55185977,True,True,True,True,True,True
296,B01_55195978,True,False,True,True,True,True
297,B01_55205980,True,True,True,False,False,False
298,B01_55225983,True,False,True,False,False,False
299,B01_55235979,True,True,False,False,False,False
300,B01_55245981,False,True,False,False,False,False
301,B01_55335984,True,False,True,False,False,False
302,B01_55355986,True,False,False,False,False,False
303,B01_55365987,True,True,False,False,False,False
304,B01_55375988,True,False,True,False,False,False
305,B01_55385989,False,False,False,False,False,False
306,B01_55405991,True,False,True,False,False,False
307,B01_6717,True,True,False,False,False,False
308,B01_6718,False,False,False,False,False,False
309,B01_6720,False,True,False,False,False,False
310,B01_6724,False,False,True,False,False,False
311,B01_6725,True,True,True,False,False,False
312,B01_6731,True,True,True,False,False,False
313,B01_6734,False,True,False,False,False,False
314,B01_6735,True,True,True,False,False,False
315,B01_6736,True,False,False,False,False,False
316,B01_6745,False,False,False,False,False,False
317,B01_75836284,False,False,False,False,False,False
318,B02_55205980,False,False,False,False,False,False
319,B02_55215982,False,False,False,False,False,False
320,B02_55235979,False,True,False,False,True,False
321,B02_55335984,False,False,False,False,False,False
322,B02_55345985,True,False,True,False,False,False
323,B02_55365987,False,False,False,False,False,False
324,B02_55375988,False,False,False,False,False,False
325,B02_55385989,False,False,False,False,False,False
326,B02_55395990,False,False,False,False,False,False
327,B02_55405991,False,False,False,False,False,False
328,B02_6717,False,False,False,False,False,False
329,B02_6718,False,False,False,False,False,False
330,B02_6720,True,True,True,False,False,False
331,B02_6721,False,False,False,False,False,False
332,B02_6722,False,False,False,False,False,False
333,B02_6724,False,False,False,False,False,False
334,B02_6725,False,False,True,False,False,False
335,B02_6731,False,False,False,False,False,False
336,B02_6734,False,False,False,False,False,False
337,B02_6735,True,True,True,False,False,False
338,B02_6736,False,False,False,False,False,False
339,B02_6745,False,False,False,False,False,False
340,B02_75836284,False,False,False,False,False,False
341,B02_75846286,False,False,False,False,False,False
342,B03_55195978,False,False,False,False,False,False
343,B03_55215982,False,False,False,False,False,False
344,B03_55225983,False,False,False,False,False,False
345,B03_55235979,False,False,True,False,False,False
346,B03_55245981,False,False,False,False,False,False
347,B03_55335984,False,False,False,False,False,False
348,B03_55345985,False,False,False,False,False,False
349,B03_55355986,False,False,False,False,False,False
350,B03_55365987,False,False,False,False,False,False
351,B03_55375988,False,False,False,True,True,True
352,B03_55385989,False,False,False,False,False,False
353,B03_55395990,True,False,False,False,False,False
354,B03_55405991,False,False,True,False,False,False
355,B03_6718,True,True,False,False,False,False
356,B03_6719,False,False,True,False,False,False
357,B03_6720,False,False,False,False,True,False
358,B03_6721,False,False,False,False,True,False
359,B03_6724,True,False,True,False,False,False
