,well_plate
0,A01_55345985
1,A02_55195978
2,A02_55215982
3,A03_55405991
4,A04_55385989
5,A05_55245981
6,A05_75846286
7,A06_75836284
8,A08_55365987
9,A09_55355986
10,A10_55185977
11,A10_55365987
12,A12_55355986
13,A12_55375988
14,B03_75846286
15,B08_55235979
16,B12_55185977
17,C01_55195978
18,C03_55205980
19,C03_55375988
20,C04_55235979
21,C05_55375988
22,C06_55215982
23,C06_55375988
24,C08_75836284
25,C09_55375988
26,C10_55375988
27,C11_55345985
28,C11_55375988
29,C11_75836284
30,C12_55245981
31,D01_55345985
32,D04_55335984
33,D06_55205980
34,D06_75846286
35,D07_55345985
36,D09_55235979
37,D10_55185977
38,D11_55345985
39,D11_55355986
40,E02_55345985
41,E03_55335984
42,E03_55355986
43,E04_55225983
44,E05_75846286
45,E06_55195978
46,E07_55195978
47,E11_55375988
48,E11_55385989
49,E12_55185977
50,E12_55205980
51,E12_55235979
52,E12_55375988
53,F02_55365987
54,F02_55375988
55,F03_55185977
56,F03_55345985
57,F05_75836284
58,F06_55205980
59,F07_55375988
60,F09_55205980
61,F10_55185977
62,F10_55215982
63,F11_55365987
64,F11_55375988
65,F12_55355986
66,F12_55375988
67,G05_55245981
68,G05_55365987
69,G05_55375988
70,G06_55185977
71,G06_55355986
72,G06_55375988
73,G06_75836284
74,G11_55375988
75,G11_55405991
76,G12_55185977
77,G12_55375988
78,H01_55195978
79,H02_55345985
80,H02_55365987
81,H04_55365987
82,H05_55365987
83,H07_55185977
84,H07_55205980
85,H07_55375988
86,H10_55195978
87,H11_55365987
