,gene,modcts,modlist
0,CAPNS1,0.005653550429669833,[N-acetylmethionine on M]
1,RPLP1,0.04616805170821791,"[Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on P]"
2,PTBP1,0.023872045834328004,"[N-acetylmethionine on M], [Butyrylation on K], [Hydroxylation on P], [Acetylation on K], [Hydroxylation on K], [Hydroxylation on N], [Hydroxylation on N], [Acetylation on K], [Hydroxylation on N]"
3,HNRNPL,0.00285371968986391,"[Methylation on K], [Methylation on K]"
4,EEF1D,0.011767469026783203,"[N-acetylalanine on A], [Trimethylation on K], [Phosphoserine on S], [Phosphorylation on S], [Phosphorylation on S], [Phosphorylation on S]"
5,RCC1,0.0,
6,SPTBN1,0.0,
7,KPNA3,0.0050510152540660675,[N-acetylalanine on A]
8,SLC1A5,0.0,
9,MBD2,0.00901144453455889,[Formylation on K]
10,PRPF19,0.0028755463538072236,[N-acetylserine on S]
11,TNKS1BP1,0.0014106560961503196,[Phosphoserine on S]
12,SFXN1,0.005263711969681019,[N-acetylserine on S]
13,FH,0.0030165912518853697,[Hydroxylation on N]
14,TLN1,0.0029814079400856263,"[Hydroxylation on N], [Hydroxylation on N], [Phosphorylation on S], [Hydroxylation on N], [Hydroxylation on K]"
15,NAT10,0.002168021680216802,[Glutarylation on K]
16,PPIF,0.0,
17,HSPD1,0.012615908660821296,"[Hydroxylation on P], [Methylation on K], [Acetylation on K], [N6-acetyllysine on K], [Methylation on K], [Citrullination on R]"
18,PLRG1,0.0,
19,GNPDA1,0.0,
20,ACOT1,0.004948535233570863,[Dimethylation on K]
21,GAPDH,0.1029336078229542,"[Deamidated asparagine on N], [Citrullination on R], [Deamidated asparagine on N], [Deamidated asparagine on N], [Hydroxylation on N], [Hydroxylation on P], [Phosphoserine on S], [Methylation on K], [Hydroxylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Acetylation on K], [Acetylation on K], [Deamidated asparagine on N], [Hydroxylation on N], [Cysteine persulfide on C], [Deamidated asparagine on N], [Methylation on K], [Hydroxylation on N], [Acetylation on K], [Glutarylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Nitrosylation on Y], [Hydroxylation on N], [Deamidated asparagine on N], [Nitrosylation on Y], [Methylation on R]"
22,USP14,0.007229612492770388,"[Hydroxylation on K], [Hydroxylation on K]"
23,SNUPN,0.0154320987654321,[N-acetylmethionine on M]
24,ESYT1,0.0017090511348099534,[Hydroxylation on P]
25,SLC25A13,0.005590496156533892,"[Hydroxylation on P], [N6-methyllysine on K]"
26,ATP5F1B,0.0073508273729941285,"[Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on N]"
27,HSD17B4,0.002717391304347826,[N6-succinyllysine on K]
28,HIST1H1A,0.011344299489506523,[N-acetylserine on S]
29,TPR,0.0020643456540363116,"[N-acetylalanine on A], [Hydroxylation on P]"
30,ZBTB7A,0.01223091976516634,[Acetylation on X]
31,ACTB,0.1149329634766528,"[N-acetylaspartate on D], [Hydroxylation on K], [Acetylation on K], [Nitrosylation on Y], [Hydroxylation on P], [Carboxylation on E], [Tele-methylhistidine on H], [Hydroxylation on N], [Carboxylation on D], [Hydroxylation on K], [N6-methyllysine on K], [Formylation on K], [Butyrylation on K], [Hydroxybutyrylation on K], [Acetylation on K], [Dimethylation on K], [Succinylation on K], [Crotonylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Nitrosylation on Y], [Hydroxylation on P], [Nitrosylation on C], [Hydroxylation on P], [Hydroxylation on P], [Nitrosylation on C], [Hydroxylation on N], [Acetylation on K], [Methylation on K], [Butyrylation on K], [Nitrosylation on Y], [Hydroxylation on N], [Nitrosylation on Y], [N-acetylaspartate on D], [Hydroxylation on K], [Acetylation on K], [Nitrosylation on Y], [Hydroxylation on P], [Carboxylation on E], [Tele-methylhistidine on H], [Hydroxylation on N], [Carboxylation on D], [N6-methyllysine on K], [Hydroxylation on K], [Formylation on K], [Butyrylation on K], [Hydroxybutyrylation on K], [Acetylation on K], [Dimethylation on K], [Succinylation on K], [Crotonylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Nitrosylation on Y], [Hydroxylation on P], [Nitrosylation on C], [Hydroxylation on P], [Hydroxylation on P], [Nitrosylation on C], [Hydroxylation on N], [Acetylation on K], [Methylation on K], [Butyrylation on K], [Nitrosylation on Y], [Hydroxylation on N], [Nitrosylation on Y], [Hydroxylation on P], [N-acetylaspartate on D], [Hydroxylation on K], [Acetylation on K], [Nitrosylation on Y], [Hydroxylation on P], [Carboxylation on E], [Tele-methylhistidine on H], [Hydroxylation on N], [Carboxylation on D], [Hydroxylation on K], [N6-methyllysine on K], [Formylation on K], [Butyrylation on K], [Hydroxybutyrylation on K], [Acetylation on K], [Dimethylation on K], [Succinylation on K], [Crotonylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P], [Nitrosylation on Y], [Hydroxylation on P]"
32,DDX5,0.007880634653777452,"[Hydroxylation on P], [Formylation on K], [Methylation on K], [Hydroxylation on P], [Formylation on K], [Methylation on K], [Hydroxylation on P], [Formylation on K], [Methylation on K]"
33,VDAC1,0.0,
34,KIAA0586,0.013358427201253444,"[Phosphorylation on S], [Phosphorylation on S]"
35,TUBB4A,0.03201221575999484,"[Hydroxylation on N], [Hydroxylation on N], [Citrullination on R], [Butyrylation on K], [Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Citrullination on R]"
36,TUBB,0.04450966122635483,"[Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Nitrosylation on Y], [Methylation on R], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Formylation on K], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Nitrosylation on Y], [Methylation on R], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Formylation on K]"
37,TUBB4B,0.04052311659605821,"[Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Nitrosylation on Y], [Methylation on R], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Formylation on K]"
38,TUBB2A,0.033046926635822864,"[Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Nitrosylation on Y], [Methylation on R], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on N], [Formylation on K]"
39,TUBB2B,0.033046926635822864,"[Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Nitrosylation on Y], [Methylation on R], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on N], [Formylation on K]"
40,XRCC5,0.0,
41,FLNB,0.0021961128802020424,"[Hydroxylation on P], [Hydroxylation on K], [Acetylation on K], [Phosphoserine on S]"
42,BTF3,0.0061162079510703364,[Phosphorylation on T]
43,DHRS7,0.0,
44,ECH1,0.0,
45,VDAC3,0.011217679062202031,"[Formylation on K], [Phosphoserine on S]"
46,UBR4,0.001543507621068879,"[Phosphorylation on S], [Phosphorylation on S]"
47,UROD,0.005449591280653951,[N-acetylmethionine on M]
48,JPT1,0.034384924028387526,"[Acetylation on X], [Phosphorylation on S], [Phosphorylation on S], [Phosphorylation on S], [Phosphorylation on S], [Acetylation on K]"
49,SNRNP200,0.0009179701843284132,[Hydroxylation on N]
50,EEF1A1,0.06663267585839502,"[Hydroxylation on K], [N6-methyllysine on K], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on P], [Citrullination on R], [Methylation on R], [Hydroxylation on P], [Formylation on K], [Acetylation on K], [Dimethylation on R], [5-glutamyl glycerylphosphorylethanolamine on E], [Hydroxylation on P], [Acetylation on K], [N6,N6-dimethyllysine on K], [Butyrylation on K], [Hydroxylation on K], [Hydroxylation on K], [N6,N6-dimethyllysine on K], [N6-methyllysine on K], [N6,N6,N6-trimethyllysine on K], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on P], [Citrullination on R], [Methylation on R], [Hydroxylation on P], [Formylation on K], [Acetylation on K], [Dimethylation on R], [Formylation on K], [Methylation on K], [Hydroxylation on P], [Hydroxylation on P], [Methylation on K], [5-glutamyl glycerylphosphorylethanolamine on E], [Hydroxylation on P], [Acetylation on K], [N6,N6,N6-trimethyllysine on K], [Trimethylation on K], [5-glutamyl glycerylphosphorylethanolamine on E], [Acetylation on K], [Methylation on K], [Hydroxybutyrylation on K], [Hydroxylation on P]"
51,EEF1A2,0.03410253495509833,"[N6,N6-dimethyllysine on K], [Butyrylation on K], [Hydroxylation on K], [Hydroxylation on K], [N6-methyllysine on K], [N6,N6-dimethyllysine on K], [Hydroxylation on N], [Citrullination on R], [Methylation on R], [5-glutamyl glycerylphosphorylethanolamine on E], [Hydroxylation on P], [Acetylation on K]"
53,DDX20,0.0036775522212415413,[Acetylation on X]
54,FARSB,0.0,
55,SLC25A12,0.0044694734960221685,[Methylation on K]
56,CALD1,0.0052464160736187685,"[Acetylation on X], [Acetylation on X], [Phosphorylation on S]"
57,HSPA8,0.029687433733406845,"[Nitrosylation on Y], [Acetylation on K], [Nitrosylation on Y], [Hydroxylation on P], [Citrullination on R], [Nitrosylation on Y], [Acetylation on K], [Nitrosylation on Y], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on N], [Hydroxylation on P], [Nitrosylation on Y], [Methylation on K], [Hydroxylation on N], [Methylation on R], [Omega-N-methylarginine on R], [N6,N6-dimethyllysine on K], [N6,N6,N6-trimethyllysine on K], [Hydroxylation on N], [Methylation on R], [Omega-N-methylarginine on R]"
58,HADHA,0.006654775240736334,"[Hydroxylation on P], [Hydroxylation on N], [Acetylation on K], [Hydroxylation on P], [Hydroxylation on N], [Acetylation on K]"
59,CCT6A,0.0,
60,ACAT1,0.0,
61,HNRNPA2B1,0.023283790601109862,"[Phosphoserine on S], [Hydroxylation on P], [Hydroxylation on K], [Omega-N-methylarginine on R], [Omega-N-methylarginine on R], [Omega-N-methylarginine on R]"
62,MAP1B,0.007293354943273906,"[N-acetylalanine on A], [Phosphoserine on S], [Phosphoserine on S], [Phosphorylation on T], [Phosphorylation on T], [Phosphoserine on S], [Phosphoserine on S], [Phosphoserine on S], [Phosphorylation on T]"
63,MED15,0.00746491489997014,[Malonylation on K]
