,gene,modcts,modlist
212,CIP2A,0.0,
310,FEN1,0.005714285714285714,[Hydroxylation on P]
316,SPC24,0.0,
329,TMPO,0.0,
338,BUB1,0.0,
406,NCAPH,0.0,
567,MKI67,0.0025523226135783566,"[Phosphoserine on S], [Phosphothreonine on T], [ADP-ribosylation on S], [Phosphothreonine on T], [ADP-ribosylation on S]"
586,KNL1,0.0,
617,ANLN,0.0,
638,TUBA3C,0.15384615384615385,"[Succinylation on K], [Hydroxylation on N], [Methylation on K], [Acetylation on K], [Formylation on K], [Butyrylation on K], [Hydroxylation on P], [Citrullination on R], [Citrullination on R], [Hydroxylation on N], [Hydroxylation on N], [Methylation on R], [Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Hydroxylation on P], [Hydroxylation on K], [Methylation on R]"
690,MGME1,0.0,
716,KPNA2,0.0,
824,DLGAP5,0.0,
828,NDC80,0.0,
1082,KIF22,0.002164502164502164,[Citrullination on R]
1125,CDC20,0.0,
1259,CDCA2,0.0012422360248447205,[Phosphoserine on S]
1306,MCM3,0.004597701149425287,"[N-acetylalanine on A], [Phosphoserine on S]"
1345,KIF23,0.0,
1383,H2AFX,0.011363636363636364,[Hydroxylation on P]
1431,KIF2C,0.0,
1508,ATAD2,0.0010080645161290322,[Hydroxylation on P]
1591,RACGAP1,0.0,
1609,MCM5,0.0,
1645,RRM2,0.00546448087431694,[Phosphoserine on S]
1683,CDK1,0.07,"[Phosphorylation on T], [Phosphorylation on Y], [Phosphothreonine on T], [Phosphothreonine on T], [Citrullination on R], [N6-succinyllysine on K], [Phosphoserine on S]"
1686,TPX2,0.0,
1803,CCNB1,0.0,
1892,MCM6,0.0023255813953488367,[N-acetylmethionine on M]
2091,PLK1,0.0,
2187,CENPF,0.00042354934349851756,[Acetylation on X]
2226,TOP2A,0.0022753128555176336,"[N-acetylmethionine on M], [Phosphoserine on S]"
2236,FAM111B,0.0,
2238,HMGB2,0.0,
2381,CENPK,0.0,
2548,CENPE,0.0,
2609,KIFC1,0.0,
2758,KIF4A,0.0,
2961,PBK,0.009433962264150943,[N-acetylmethionine on M]
2977,CKAP5,0.0,
3045,AURKB,0.0,
3072,CDC45,0.0,
3191,PRIM1,0.0,
3220,VPS25,0.0,
3294,KIF20B,0.0,
3432,UBE2C,0.0,
3438,SPC25,0.0,
3518,SPAG5,0.0,
3812,KNSTRN,0.0,
4144,NUSAP1,0.0,
4183,FAM83D,0.0,
4234,DIAPH3,0.0,
4385,CCNA2,0.0,
4404,CKAP2L,0.0,
4503,UBE2T,0.0,
4615,PCLAF,0.0,
4673,SKA3,0.0,
4745,BUB1B,0.00117096018735363,[Nitrosylation on C]
4946,AURKA,0.0,
5219,UNG,0.0,
5253,CDCA3,0.0,
5555,SGO2,0.0008176614881439084,[Acetylation on X]
5564,CDC25C,0.0,
5668,ASF1B,0.0,
5753,CDCA8,0.0,
5756,DSCC1,0.0,
5919,FAM111A,0.0,
5999,BIRC5,0.0,
6053,PKMYT1,0.0,
6085,CKS2,0.0,
6294,CDCA5,0.0,
6684,STIL,0.0,
6691,ESCO2,0.0,
6743,NEK2,0.0,
7061,TROAP,0.0,
7069,CCNB2,0.0,
7330,PSRC1,0.0,
7475,ZWINT,0.0,
