,gene,modcts,modlist
51,TUBB4B,0.06285714285714286,"[Hydroxylation on P], [Hydroxylation on N], [Hydroxylation on N], [Nitrosylation on Y], [Methylation on R], [Hydroxylation on P], [Citrullination on R], [Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on N], [Formylation on K]"
179,RPA2,0.0,
206,RRM1,0.0,
210,MSH2,0.0,
310,FEN1,0.005714285714285714,[Hydroxylation on P]
324,NASP,0.007067137809187279,"[N-acetylalanine on A], [Hydroxybutyrylation on K]"
329,TMPO,0.0,
338,BUB1,0.0,
496,ANP32E,0.0,
567,MKI67,0.0025523226135783566,"[Phosphoserine on S], [Phosphothreonine on T], [ADP-ribosylation on S], [Phosphothreonine on T], [ADP-ribosylation on S]"
617,ANLN,0.0,
824,DLGAP5,0.0,
828,NDC80,0.0,
908,RANGAP1,0.003968253968253968,[Acetylation on K]
921,LBR,0.0,
1076,POLA1,0.0,
1095,GINS2,0.0,
1125,CDC20,0.0,
1169,NCAPD2,0.0036991368680641184,"[Acetylation on X], [Hydroxylation on P], [Hydroxylation on N]"
1223,UHRF1,0.0017035775127768314,"[Hydroxylation on P], [Hydroxylation on P], [Hydroxylation on P]"
1259,CDCA2,0.0012422360248447205,[Phosphoserine on S]
1303,MCM4,0.0026024941126097196,"[Hydroxylation on P], [Hydroxylation on P]"
1345,KIF23,0.0,
1431,KIF2C,0.0,
1476,CHAF1B,0.0,
1508,ATAD2,0.0010080645161290322,[Hydroxylation on P]
1609,MCM5,0.0,
1645,RRM2,0.00546448087431694,[Phosphoserine on S]
1661,RFC2,0.0,
1683,CDK1,0.07,"[Phosphorylation on T], [Phosphorylation on Y], [Phosphothreonine on T], [Phosphothreonine on T], [Citrullination on R], [N6-succinyllysine on K], [Phosphoserine on S]"
1686,TPX2,0.0,
1791,NUF2,0.0037313432835820895,[N-acetylmethionine on M]
1866,MCM2,0.0,
1892,MCM6,0.0023255813953488367,[N-acetylmethionine on M]
2109,SMC4,0.0,
2187,CENPF,0.00042354934349851756,[Acetylation on X]
2226,TOP2A,0.0022753128555176336,"[N-acetylmethionine on M], [Phosphoserine on S]"
2248,PCNA,0.014492753623188406,[Hydroxylation on P]
2266,HMMR,0.0,
2331,ECT2,0.0,
